codigo,nombre,nombre_completo,marca,precio,stock,imagen_url
"24784","N-ACETYL CYSTEINE NAC 60 CAPS","ALMX N-ACETYL CYSTEINE NAC 60 CAPS","ALLMAX","279","621",""
"25251","OMEGA 3 180 CT","ALMX OMEGA 3 180 CT","ALLMAX","293","1092",""
"17213","YOHIMBINE 60 CT","ALMX YOHIMBINE 60 CT","ALLMAX","244","1166",""
"29370","ASHWAGANDHA + L-TEANINA 600 MG 90 CAPS","ARMADA ASHWAGANDHA + L-TEANINA 600 MG 90 CAPS","ARMADA","275","107",""
"29371","CITRATO DE MAGNESIO 1000 MG 100 CAPS","ARMADA CITRATO DE MAGNESIO 1000 MG 100 CAPS","ARMADA","255","11",""
"27842","CREATINA 500 GR","ARMADA CREATINA 500 GR","ARMADA","416","5",""
"29372","TRIMAG (3 MAGNESIOS) 1000 MG 100 CAPS","ARMADA TRIMAG (3 MAGNESIOS) 1000 MG 100 CAPS","ARMADA","269","25",""
"22691","BCAA Y GLUTAMINA 405 GRS FRESA","BIRDMAN BCAA Y GLUTAMINA 405 GRS FRESA","BIRDMAN","501","9",""
"22692","BCAA Y GLUTAMINA 405 GRS MORA LIMON","BIRDMAN BCAA Y GLUTAMINA 405 GRS MORA LIMON","BIRDMAN","501","4",""
"23641","CREATINA MONOHIDRATADA 450 GRS","BIRDMAN CREATINA MONOHIDRATADA 450 GRS","BIRDMAN","453","3931",""
"29030","CREATINE ELECTOLYTE REFRESHER 300G GOLDEN PEACH","BIRDMAN CREATINE ELECTOLYTE REFRESHER 300G GOLDEN PEACH","BIRDMAN","400","50",""
"29031","CREATINE ELECTOLYTE REFRESHER 300G LEMON TWIST","BIRDMAN CREATINE ELECTOLYTE REFRESHER 300G LEMON TWIST","BIRDMAN","400","69",""
"29032","CREATINE ELECTOLYTE REFRESHER 300G PINK LEMONADE","BIRDMAN CREATINE ELECTOLYTE REFRESHER 300G PINK LEMONADE","BIRDMAN","400","131",""
"29043","CREATINE ELECTOLYTE REFRESHER 300G WATERMELON SPLASH","BIRDMAN CREATINE ELECTOLYTE REFRESHER 300G WATERMELON SPLASH","BIRDMAN","400","37",""
"22693","FALCON BAG 1.8 KG CHOCOLATE","BIRDMAN FALCON BAG 1.8 KG CHOCOLATE","BIRDMAN","1190","24",""
"22786","FALCON BAG 1.8 KG VAINILLA","BIRDMAN FALCON BAG 1.8 KG VAINILLA","BIRDMAN","1347","26",""
"22694","FALCON PERFORMANCE BAG 1.9 KG CHOCO BRONZE","BIRDMAN FALCON PERFORMANCE BAG 1.9 KG CHOCO BRONZE","BIRDMAN","1184","53",""
"22695","FALCON PERFORMANCE BAG 1.9 KG G VAINILLA GOLDEN","BIRDMAN FALCON PERFORMANCE BAG 1.9 KG G VAINILLA GOLDEN","BIRDMAN","1184","24",""
"24939","FITMINGO 1,020GRS BLUEBERRY","BIRDMAN FITMINGO 1,020GRS BLUEBERRY","BIRDMAN","861","33",""
"24940","FITMINGO 1,020GRS MOKA","BIRDMAN FITMINGO 1,020GRS MOKA","BIRDMAN","861","40",""
"23291","TOALLA DE SECADO RAPIDO NEGRA","BIRDMAN TOALLA DE SECADO RAPIDO NEGRA","BIRDMAN","135","57",""
"3273","1.M.R. VORTEX 50 SERV  FRUIT PUNCH *OFERTA*","BPI 1.M.R. VORTEX 50 SERV  FRUIT PUNCH *OFERTA*","BPI","269","58",""
"8332","1.M.R. VORTEX 50 SERV BLUE RAZZ *OFERTA*","BPI 1.M.R. VORTEX 50 SERV BLUE RAZZ *OFERTA*","BPI","269","69",""
"27853","BEAST EAA 30 SERV SOUR POWER","BPI BEAST EAA 30 SERV SOUR POWER","BPI","395","29",""
"11639","BEST AMINO 25 SERV FRUIT PUNCH *OFERTA*","BPI BEST AMINO 25 SERV FRUIT PUNCH *OFERTA*","BPI","278","127","https://firebasestorage.googleapis.com/v0/b/suplementos-mayoreo.appspot.com/o/products%2Fimg%2Fjpeg%2F811213022808.jpg?alt=media&token=768c6928-6a88-469b-b532-54778503f7d1"
"6100","BEST BCAA 30 SERV (300 GRS) BLUE RASPBERRY","BPI BEST BCAA 30 SERV (300 GRS) BLUE RASPBERRY","BPI","276","525","https://firebasestorage.googleapis.com/v0/b/suplementos-mayoreo.appspot.com/o/products%2Fimg%2Fjpeg%2F811213024857.jpg?alt=media&token=c6be0381-fd60-45ca-82c1-959d5e5f488a"
"5545","BEST BCAA 30 SERV (300 GRS) FRUIT PUNCH","BPI BEST BCAA 30 SERV (300 GRS) FRUIT PUNCH","BPI","276","777","https://firebasestorage.googleapis.com/v0/b/suplementos-mayoreo.appspot.com/o/products%2Fimg%2Fjpeg%2F811213024840.jpg?alt=media&token=b6222aee-d154-4981-8f45-994346e9267d"
"5546","BEST BCAA 30 SERV (300 GRS) GRAPE","BPI BEST BCAA 30 SERV (300 GRS) GRAPE","BPI","276","258",""
"7056","BEST BCAA 30 SERV (300 GRS) PASSION FRUIT","BPI BEST BCAA 30 SERV (300 GRS) PASSION FRUIT","BPI","276","411","https://firebasestorage.googleapis.com/v0/b/suplementos-mayoreo.appspot.com/o/products%2Fimg%2Fjpeg%2F811213024871.jpg?alt=media&token=dafa4976-e2da-4fd1-9068-80a1247a0b0d"
"6101","BEST BCAA 30 SERV (300 GRS) WATERMELON ICE","BPI BEST BCAA 30 SERV (300 GRS) WATERMELON ICE","BPI","276","301","https://firebasestorage.googleapis.com/v0/b/suplementos-mayoreo.appspot.com/o/products%2Fimg%2Fjpeg%2F811213024864.jpg?alt=media&token=3c06818c-5c28-4a45-a929-c7bae033d979"
"7054","BEST BCAA SHREDDED 25 SERV FRUIT PUNCH","BPI BEST BCAA SHREDDED 25 SERV FRUIT PUNCH","BPI","294","16","https://firebasestorage.googleapis.com/v0/b/suplementos-mayoreo.appspot.com/o/products%2Fimg%2Fjpeg%2F811213027247.jpg?alt=media&token=19fc8d03-e350-4792-b657-b8cec0b8ae7b"
"7067","BEST BCAA SHREDDED 25 SERV WATERMELON ICE","BPI BEST BCAA SHREDDED 25 SERV WATERMELON ICE","BPI","294","20","https://firebasestorage.googleapis.com/v0/b/suplementos-mayoreo.appspot.com/o/products%2Fimg%2Fjpeg%2F811213027285.jpg?alt=media&token=93ed6146-4a69-4b2c-b35e-211c1a3b970b"
"7031","BEST CREATINE 50 SERV FRUIT PUNCH","BPI BEST CREATINE 50 SERV FRUIT PUNCH","BPI","351","71",""
"8662","BEST PROTEIN 5 LBS CHOCOLATE BROWNIE *OFERTA*","BPI BEST PROTEIN 5 LBS CHOCOLATE BROWNIE *OFERTA*","BPI","1059","216","https://firebasestorage.googleapis.com/v0/b/suplementos-mayoreo.appspot.com/o/products%2Fimg%2Fjpeg%2F811213026899.jpg?alt=media&token=4ce8155c-c747-48ff-a4ff-7aab698928a0"
"7024","CLA+CARNITINE 50 SERV FRUIT PUNCH","BPI CLA+CARNITINE 50 SERV FRUIT PUNCH","BPI","288","827","https://firebasestorage.googleapis.com/v0/b/suplementos-mayoreo.appspot.com/o/products%2Fimg%2Fjpeg%2F811213026653.jpg?alt=media&token=157a428b-2b21-427d-af2a-a6f236e4aa49"
"7880","CLA+CARNITINE 50 SERV RAINBOW ICE","BPI CLA+CARNITINE 50 SERV RAINBOW ICE","BPI","288","233","https://firebasestorage.googleapis.com/v0/b/suplementos-mayoreo.appspot.com/o/products%2Fimg%2Fjpeg%2F811213028213.jpg?alt=media&token=0e8ef7fd-c3e1-4ac9-a7cf-396533d8b450"
"7025","CLA+CARNITINE 50 SERV SNOW CONE","BPI CLA+CARNITINE 50 SERV SNOW CONE","BPI","288","264","https://firebasestorage.googleapis.com/v0/b/suplementos-mayoreo.appspot.com/o/products%2Fimg%2Fjpeg%2F811213026660.jpg?alt=media&token=7346f160-e2e2-4bb4-a6c0-fad00d647e87"
"7744","CLA+CARNITINE 50 SERV WATERMELON","BPI CLA+CARNITINE 50 SERV WATERMELON","BPI","288","645","https://firebasestorage.googleapis.com/v0/b/suplementos-mayoreo.appspot.com/o/products%2Fimg%2Fjpeg%2F811213028305.jpg?alt=media&token=d1297c82-2589-4582-9375-08c170afbc18"
"10313","CLA+CARNITINE SHREDDED 50 SERV FRUIT PUNCH","BPI CLA+CARNITINE SHREDDED 50 SERV FRUIT PUNCH","BPI","296","171","https://firebasestorage.googleapis.com/v0/b/suplementos-mayoreo.appspot.com/o/products%2Fimg%2Fjpeg%2F810516031906.jpg?alt=media&token=1c13e2f3-79d1-432f-8716-b8b2cda8f91f"
"10300","CLA+CARNITINE SHREDDED 50 SERV TROPICAL MANGO","BPI CLA+CARNITINE SHREDDED 50 SERV TROPICAL MANGO","BPI","296","196",""
"18409","CREATINE MICRONIZED 600 GRS (120 SERV) *OFERTA*","BPI CREATINE MICRONIZED 600 GRS (120 SERV) *OFERTA*","BPI","397","695",""
"7601","ISO-HD 5 LBS CHOCOLATE BROWNIE *OFERTA*","BPI ISO-HD 5 LBS CHOCOLATE BROWNIE *OFERTA*","BPI","1246","601","https://firebasestorage.googleapis.com/v0/b/suplementos-mayoreo.appspot.com/o/products%2Fimg%2Fjpeg%2F810516031203.jpg?alt=media&token=80648685-42ab-4904-9d7c-a99f6ab5ba62"
"8254","ISO-HD 5 LBS COOKIE BUTTER *OFERTA*","BPI ISO-HD 5 LBS COOKIE BUTTER *OFERTA*","BPI","1246","620",""
"7501","ISO-HD 5 LBS COOKIES & CREAM *OFERTA*","BPI ISO-HD 5 LBS COOKIES & CREAM *OFERTA*","BPI","1246","783","https://firebasestorage.googleapis.com/v0/b/suplementos-mayoreo.appspot.com/o/products%2Fimg%2Fjpeg%2F810516031227.jpg?alt=media&token=bcf22bb9-c0bd-4d9a-a0fc-30c986264341"
"8219","ISO-HD 5 LBS VAINILLA COOKIES *OFERTA*","BPI ISO-HD 5 LBS VAINILLA COOKIES *OFERTA*","BPI","1246","653","https://firebasestorage.googleapis.com/v0/b/suplementos-mayoreo.appspot.com/o/products%2Fimg%2Fjpeg%2F810516031197.jpg?alt=media&token=36e74e3d-ff3f-41a4-a7b1-924c24bacb66"
"5548","NITE BURN 30 SERV","BPI NITE BURN 30 SERV","BPI","287","23","https://firebasestorage.googleapis.com/v0/b/suplementos-mayoreo.appspot.com/o/products%2Fimg%2Fjpeg%2F851780005736.jpg?alt=media&token=54c92f3c-2581-494b-8534-76f75b5917ae"
"8661","WHEY-HD 4.1 LBS CHOCOLATE COOKIE *OFERTA*","BPI WHEY-HD 4.1 LBS CHOCOLATE COOKIE *OFERTA*","BPI","1012","238","https://firebasestorage.googleapis.com/v0/b/suplementos-mayoreo.appspot.com/o/products%2Fimg%2Fjpeg%2F811213027070.jpg?alt=media&token=b99751a8-05ce-406b-bab9-3d87ca02b91a"
"7610","WHEY-HD 4.1 LBS MILK & COOKIES *OFERTA*","BPI WHEY-HD 4.1 LBS MILK & COOKIES *OFERTA*","BPI","1012","384","https://firebasestorage.googleapis.com/v0/b/suplementos-mayoreo.appspot.com/o/products%2Fimg%2Fjpeg%2F811213027117.jpg?alt=media&token=33f081f6-7c7b-406c-bd2e-d2cf7ff0d588"
"5937","WHEY-HD 4.1 LBS PEANUT BUTTER ICE CREAM *OFERTA*","BPI WHEY-HD 4.1 LBS PEANUT BUTTER ICE CREAM *OFERTA*","BPI","1012","520","https://firebasestorage.googleapis.com/v0/b/suplementos-mayoreo.appspot.com/o/products%2Fimg%2Fjpeg%2F811213027568.jpg?alt=media&token=77885690-aca5-47de-9fb6-8087781f08d2"
"28259","WHEY-HD 4.1 LBS SALTED CARAMEL *OFERTA*","BPI WHEY-HD 4.1 LBS SALTED CARAMEL *OFERTA*","BPI","1012","190",""
"8438","WHEY-HD 4.1 LBS STRAWBERRY CAKE *OFERTA*","BPI WHEY-HD 4.1 LBS STRAWBERRY CAKE *OFERTA*","BPI","1012","387","https://firebasestorage.googleapis.com/v0/b/suplementos-mayoreo.appspot.com/o/products%2Fimg%2Fjpeg%2F811213028077.jpg?alt=media&token=73337ce4-c28e-4ff7-8a94-c5e4d135100a"
"5034","WHEY-HD 4.1 LBS VAINILLA CARAMEL *OFERTA*","BPI WHEY-HD 4.1 LBS VAINILLA CARAMEL *OFERTA*","BPI","1012","349","https://firebasestorage.googleapis.com/v0/b/suplementos-mayoreo.appspot.com/o/products%2Fimg%2Fjpeg%2F811213027094.jpg?alt=media&token=65f28892-d74a-4a53-a5d5-e985bc36b89e"
"28794","AMINO X (70 SERV) BLUE RASPBERRY","BSN AMINO X (70 SERV) BLUE RASPBERRY","BSN","661","146",""
"3847","AMINO X (70 SERV) BLUE RASPBERRY *OFERTA*","BSN AMINO X (70 SERV) BLUE RASPBERRY *OFERTA*","BSN","616","531","https://firebasestorage.googleapis.com/v0/b/suplementos-mayoreo.appspot.com/o/products%2Fimg%2Fjpeg%2F834266063383.jpg?alt=media&token=3b8b94e4-6ad9-4323-a962-08a7e04a5529"
"28793","AMINO X (70 SERV) FRUIT PUNCH","BSN AMINO X (70 SERV) FRUIT PUNCH","BSN","661","82",""
"3848","AMINO X (70 SERV) FRUIT PUNCH *OFERTA*","BSN AMINO X (70 SERV) FRUIT PUNCH *OFERTA*","BSN","616","505","https://firebasestorage.googleapis.com/v0/b/suplementos-mayoreo.appspot.com/o/products%2Fimg%2Fjpeg%2F834266063307.jpg?alt=media&token=08b4ddeb-bcf8-4e72-8031-fc82396fdde0"
"28792","AMINO X (70 SERV) WATERMELON","BSN AMINO X (70 SERV) WATERMELON","BSN","661","179",""
"3527","AMINO X (70 SERV) WATERMELON *OFERTA*","BSN AMINO X (70 SERV) WATERMELON *OFERTA*","BSN","616","346","https://firebasestorage.googleapis.com/v0/b/suplementos-mayoreo.appspot.com/o/products%2Fimg%2Fjpeg%2F834266063260.jpg?alt=media&token=5ff7e52d-c6d4-4ee4-b269-804bc7958cc7"
"23740","AMINO X 435 GRS BLUE RASPBERRY","BSN AMINO X 435 GRS BLUE RASPBERRY","BSN","369","291",""
"1529","AMINO X 435 GRS BLUE RASPBERRY *OFERTA*","BSN AMINO X 435 GRS BLUE RASPBERRY *OFERTA*","BSN","336","578","https://firebasestorage.googleapis.com/v0/b/suplementos-mayoreo.appspot.com/o/products%2Fimg%2Fjpeg%2F834266003389.jpg?alt=media&token=fb179fa3-28a9-454c-a87c-9403bb35ad49"
"23741","AMINO X 435 GRS FRUIT PUNCH","BSN AMINO X 435 GRS FRUIT PUNCH","BSN","369","338",""
"1622","AMINO X 435 GRS FRUIT PUNCH *OFERTA*","BSN AMINO X 435 GRS FRUIT PUNCH *OFERTA*","BSN","336","672","https://firebasestorage.googleapis.com/v0/b/suplementos-mayoreo.appspot.com/o/products%2Fimg%2Fjpeg%2F834266003303.jpg?alt=media&token=56075b6b-f23d-4dc3-af6e-cf06727140a0"
"23739","AMINO X 435 GRS GRAPE","BSN AMINO X 435 GRS GRAPE","BSN","369","482",""
"3616","AMINO X 435 GRS GRAPE *OFERTA*","BSN AMINO X 435 GRS GRAPE *OFERTA*","BSN","336","1137","https://firebasestorage.googleapis.com/v0/b/suplementos-mayoreo.appspot.com/o/products%2Fimg%2Fjpeg%2F834266003365.jpg?alt=media&token=525e0258-d8a2-4ffe-bd07-ae31aa2c6c98"
"27362","AMINO X 435 GRS WATERMELON","BSN AMINO X 435 GRS WATERMELON","BSN","369","47",""
"1530","AMINO X 435 GRS WATERMELON *OFERTA*","BSN AMINO X 435 GRS WATERMELON *OFERTA*","BSN","336","396","https://firebasestorage.googleapis.com/v0/b/suplementos-mayoreo.appspot.com/o/products%2Fimg%2Fjpeg%2F834266003266.jpg?alt=media&token=50f8a2b8-4c68-4cb8-883f-4081e9de1a8a"
"17299","AMINO X EAA 25 SERV STRAW DRAGON *OFERTA*","BSN AMINO X EAA 25 SERV STRAW DRAGON *OFERTA*","BSN","383","201",""
"28351","AMINO X EAA 25 SERV WATERMELON *OFERTA*","BSN AMINO X EAA 25 SERV WATERMELON *OFERTA*","BSN","383","136",""
"27361","CREATINE POWDER 300 GRS","BSN CREATINE POWDER 300 GRS","BSN","451","46",""
"4211","CREATINE POWDER 300 GRS *OFERTA*","BSN CREATINE POWDER 300 GRS *OFERTA*","BSN","432","97",""
"2622","NITRIX 2.0 180 TABS","BSN NITRIX 2.0 180 TABS","BSN","895","195",""
"2621","NITRIX 2.0 90 TABS","BSN NITRIX 2.0 90 TABS","BSN","589","74",""
"4318","NO-XPLODE 3.0 (30 SERV) BLUE RASPBERRY *OFERTA*","BSN NO-XPLODE 3.0 (30 SERV) BLUE RASPBERRY *OFERTA*","BSN","402","138","https://firebasestorage.googleapis.com/v0/b/suplementos-mayoreo.appspot.com/o/products%2Fimg%2Fjpeg%2F834266001552.jpg?alt=media&token=558984c5-38fa-4ddf-b34d-d513487ce006"
"3738","NO-XPLODE 3.0 (30 SERV) FRUIT PUNCH *OFERTA*","BSN NO-XPLODE 3.0 (30 SERV) FRUIT PUNCH *OFERTA*","BSN","402","118","https://firebasestorage.googleapis.com/v0/b/suplementos-mayoreo.appspot.com/o/products%2Fimg%2Fjpeg%2F834266001521.jpg?alt=media&token=d0306c59-8637-443e-9bf3-a84727d77a11"
"3739","NO-XPLODE 3.0 (30 SERV) GRAPE *OFERTA*","BSN NO-XPLODE 3.0 (30 SERV) GRAPE *OFERTA*","BSN","402","213","https://firebasestorage.googleapis.com/v0/b/suplementos-mayoreo.appspot.com/o/products%2Fimg%2Fjpeg%2F834266001606.jpg?alt=media&token=07f8d267-6bc7-4ce7-9d60-033679e94abc"
"6675","NO-XPLODE 3.0 (30 SERV) WATERMELON *OFERTA*","BSN NO-XPLODE 3.0 (30 SERV) WATERMELON *OFERTA*","BSN","402","64","https://firebasestorage.googleapis.com/v0/b/suplementos-mayoreo.appspot.com/o/products%2Fimg%2Fjpeg%2F834266001583.jpg?alt=media&token=239406e2-cfe0-40e1-ae65-96c527f45bef"
"3644","NO-XPLODE 3.0 (60 SERV) BLUE RASPBERRY *OFERTA*","BSN NO-XPLODE 3.0 (60 SERV) BLUE RASPBERRY *OFERTA*","BSN","573","62","https://firebasestorage.googleapis.com/v0/b/suplementos-mayoreo.appspot.com/o/products%2Fimg%2Fjpeg%2F834266001545.jpg?alt=media&token=832f5865-3a08-475f-8558-e9fbe94d7a14"
"3645","NO-XPLODE 3.0 (60 SERV) FRUIT PUNCH *OFERTA*","BSN NO-XPLODE 3.0 (60 SERV) FRUIT PUNCH *OFERTA*","BSN","573","98","https://firebasestorage.googleapis.com/v0/b/suplementos-mayoreo.appspot.com/o/products%2Fimg%2Fjpeg%2F834266001514.jpg?alt=media&token=06d16163-5ec6-4c9a-bfdc-06ba9d5a4903"
"3646","NO-XPLODE 3.0 (60 SERV) GRAPE *OFERTA*","BSN NO-XPLODE 3.0 (60 SERV) GRAPE *OFERTA*","BSN","573","99","https://firebasestorage.googleapis.com/v0/b/suplementos-mayoreo.appspot.com/o/products%2Fimg%2Fjpeg%2F834266001590.jpg?alt=media&token=ff5eca01-e588-4c5f-8a8a-f9569e170300"
"3647","NO-XPLODE 3.0 (60 SERV) GREEN APPLE *OFERTA*","BSN NO-XPLODE 3.0 (60 SERV) GREEN APPLE *OFERTA*","BSN","573","16","https://firebasestorage.googleapis.com/v0/b/suplementos-mayoreo.appspot.com/o/products%2Fimg%2Fjpeg%2F834266001651.jpg?alt=media&token=27ee52dd-68e9-48c9-b191-13bd5be1acf9"
"3648","NO-XPLODE 3.0 (60 SERV) WATERMELON *OFERTA*","BSN NO-XPLODE 3.0 (60 SERV) WATERMELON *OFERTA*","BSN","573","40","https://firebasestorage.googleapis.com/v0/b/suplementos-mayoreo.appspot.com/o/products%2Fimg%2Fjpeg%2F834266001576.jpg?alt=media&token=aaef1c68-99c7-4ead-822d-b971f1e4d342"
"28352","NO-XPLODE 3.0 COOL RUSH (30 SERV) BUBBLEGUM BLAST","BSN NO-XPLODE 3.0 COOL RUSH (30 SERV) BUBBLEGUM BLAST","BSN","402","21",""
"26218","PROTEIN CRIPS 12 BARS CHOCOLATE CRUNCH","BSN PROTEIN CRIPS 12 BARS CHOCOLATE CRUNCH","BSN","593","49",""
"24895","PROTEIN CRIPS 12 BARS CHOCOLATE CRUNCH *OFERTA*","BSN PROTEIN CRIPS 12 BARS CHOCOLATE CRUNCH *OFERTA*","BSN","535","274",""
"24872","PROTEIN CRIPS 12 BARS PEANUT BUTTER CRUNCH *OFERTA*","BSN PROTEIN CRIPS 12 BARS PEANUT BUTTER CRUNCH *OFERTA*","BSN","535","102",""
"26220","PROTEIN CRIPS 12 BARS SALTED TOFFEE PRETZEL","BSN PROTEIN CRIPS 12 BARS SALTED TOFFEE PRETZEL","BSN","593","31",""
"24874","PROTEIN CRIPS 12 BARS SALTED TOFFEE PRETZEL *OFERTA*","BSN PROTEIN CRIPS 12 BARS SALTED TOFFEE PRETZEL *OFERTA*","BSN","535","68",""
"26221","PROTEIN CRIPS 12 BARS VANILLA MARSHMALLOW","BSN PROTEIN CRIPS 12 BARS VANILLA MARSHMALLOW","BSN","593","22",""
"11497","SYNTHA-6 10 LBS CHOCOLATE *OFERTA*","BSN SYNTHA-6 10 LBS CHOCOLATE *OFERTA*","BSN","1766","31",""
"3628","SYNTHA-6 10 LBS VAINILLA *OFERTA*","BSN SYNTHA-6 10 LBS VAINILLA *OFERTA*","BSN","1766","8","https://firebasestorage.googleapis.com/v0/b/suplementos-mayoreo.appspot.com/o/products%2Fimg%2Fjpeg%2F834266008100.jpg?alt=media&token=ff432d77-f3f6-48f7-85d9-3d4f98bbc09b"
"26911","SYNTHA-6 2.91 LBS BLUEBERRY PANCAKE *OFERTA*","BSN SYNTHA-6 2.91 LBS BLUEBERRY PANCAKE *OFERTA*","BSN","635","12",""
"1249","SYNTHA-6 5 LBS CHOCOLATE","BSN SYNTHA-6 5 LBS CHOCOLATE","BSN","1099","135","https://firebasestorage.googleapis.com/v0/b/suplementos-mayoreo.appspot.com/o/products%2Fimg%2Fjpeg%2F850005755180.jpg?alt=media&token=3b6e9bb4-d2a4-48b9-845e-b1b6addf2340"
"9799","SYNTHA-6 5 LBS CHOCOLATE *OFERTA*","BSN SYNTHA-6 5 LBS CHOCOLATE *OFERTA*","BSN","1016","162","https://firebasestorage.googleapis.com/v0/b/suplementos-mayoreo.appspot.com/o/products%2Fimg%2Fjpeg%2F834266007202.jpg?alt=media&token=5f0b2914-e7b4-41ad-a81d-56ac053bd9a8"
"11955","SYNTHA-6 5 LBS STRAWBERRY","BSN SYNTHA-6 5 LBS STRAWBERRY","BSN","1099","30","https://firebasestorage.googleapis.com/v0/b/suplementos-mayoreo.appspot.com/o/products%2Fimg%2Fjpeg%2F834266007158.jpg?alt=media&token=e0e3023e-4925-49b0-9869-8372330da97d"
"1108","SYNTHA-6 5 LBS STRAWBERRY *OFERTA*","BSN SYNTHA-6 5 LBS STRAWBERRY *OFERTA*","BSN","1016","245","https://firebasestorage.googleapis.com/v0/b/suplementos-mayoreo.appspot.com/o/products%2Fimg%2Fjpeg%2F834266007158.jpg?alt=media&token=e0e3023e-4925-49b0-9869-8372330da97d"
