sku,ean,nombre,marca,presentacion,concentracion,forma_farmaceutica,categoria,subcategoria,linea,costo,techo,oferta,imagen_url,imagen_origen,nombre_lista
FC-70153002,3282770153002,Biology AC Gel espumoso para piel grasa,Aderma,400 ml,,Gel,Cuidado personal,Dermatología,ACNE,492.1,699,10+1,https://cdn.shopify.com/s/files/1/0088/1937/6188/files/3282770153002.jpg,dermaexpress,BIOLOGY AC GEL ESPUMOSO PURIFICANTE 400ML
FC-70152999,3282770152999,Biology AC Gel espumoso para piel grasa,Aderma,200 ml,,Gel,Cuidado personal,Dermatología,ACNE,393.54,559,10+1,https://cdn.shopify.com/s/files/1/0088/1937/6188/files/3282770152999.jpg,dermaexpress,BIOLOGY AC GEL ESPUMOSO PURIFICANTE 200ML
FC-70388916,3282770388916,Biology AC Global Crema hidratante anti-imperfecciones,Aderma,40 ml,,Crema,Cuidado personal,Dermatología,ACNE,506.18,719,10+1,https://cdn.shopify.com/s/files/1/0088/1937/6188/files/3282770388916_1.jpg,dermaexpress,BIOLOGY AC GLOBAL 40ML
FC-70388855,3282770388855,Biology AC Hydra Crema hidratante para piel mixta a grasa,Aderma,40 ml,,Crema,Cuidado personal,Dermatología,ACNE,463.93,659,10+1,https://cdn.shopify.com/s/files/1/0088/1937/6188/files/3282770388855_1.jpg,dermaexpress,BIOLOGY AC HYDRA 40ML
FC-70388886,3282770388886,Biology AC Perfect Tratamiento anti-imperfecciones,Aderma,40 ml,,,Cuidado personal,Dermatología,ACNE,548.41,779,10+1,https://cdn.shopify.com/s/files/1/0088/1937/6188/files/3282770388886_1.jpg,dermaexpress,BIOLOGY AC PERFECT 40ML
FC-70146691,3282770146691,Biology Anti-rojeces Crema calmante para piel con rosácea,Aderma,40 ml,,Crema,Cuidado personal,Dermatología,ACNE,449.85,639,10+1,https://cdn.shopify.com/s/files/1/0088/1937/6188/files/3282770146691_1.jpg,dermaexpress,BIOLOGY ANTIROJECES 40ML
FC-70146677,3282770146677,Biology Crema hidratante,Aderma,40 ml,,Crema,Cuidado personal,Dermatología,ACNE,386.5,549,10+1,https://cdn.shopify.com/s/files/1/0088/1937/6188/files/3282770146677_1.jpg,dermaexpress,BIOLOGY CREMA DERMATOLOGICA HIDRATANTE 40ML
FC-70154085,3282770154085,Biology Espuma limpiadora para piel normal a seca,Aderma,150 ml,,,Cuidado personal,Dermatología,ACNE,379.46,539.01,10+1,https://cdn.shopify.com/s/files/1/0088/1937/6188/files/3282770154085.jpg,dermaexpress,BIOLOGY ESPUMA LIMPIADORA 150ML
FC-70389333,3282770389333,Biology Hyalu Sérum reparador 3 en 1,Aderma,30 ml,,,Cuidado personal,Dermatología,ACNE,478.01,678.99,10+1,https://cdn.shopify.com/s/files/1/0088/1937/6188/files/3282770389333_1.jpg,dermaexpress,BIOLOGY HYALU SERUM 3 EN 1 30ML
FC-70104783,3282770104783,Cytelium Spray calmante para piel irritada,Aderma,100 ml,,Spray,Cuidado personal,Dermatología,CICATRIZANTES,351.29,499,10+1,https://cdn.shopify.com/s/files/1/0088/1937/6188/products/3282770104783-CYTELIUM-SPRAY-100ML-FRN.png,dermaexpress,CYTELIUM SPRAY 100ML
FC-71057392,3282771057392,Dermalibour Crema reparadora,Aderma,50 ml,,Crema,Cuidado personal,Dermatología,CICATRIZANTES,266.81,379,10+1,https://cdn.shopify.com/s/files/1/0088/1937/6188/products/3282771057392_1.jpg,dermaexpress,DERMALIBOUR CREMA 50ML
FC-70391008,3282770391008,Dermalibour+ Crema barrera protectora,Aderma,50 ml,,Crema,Cuidado personal,Dermatología,LIMPIADORES,294.98,419,10+1,https://cdn.shopify.com/s/files/1/0088/1937/6188/files/3282770391008.jpg,dermaexpress,DERMALIBOUR+ BARRERA CREMA PROTECTORA 50ML
FC-70398625,3282770398625,Dermopan Barra limpiadora para piel sensible,Aderma,100 g,,,Cuidado personal,Dermatología,LIMPIADORES,154.17,219,10+1,https://cdn.shopify.com/s/files/1/0088/1937/6188/files/3282770398625.jpg,dermaexpress,DERMOPAN BARRA DERMATOLOGICA CALMANTE FACIAL Y CORPORAL 100G
FC-70393712,3282770393712,Epitheliale Ultra Repair Bálsamo Hidratante,Aderma,50 g,,,Cuidado personal,Dermatología,CICATRIZANTES,259.77,369,10+1,https://cdn.shopify.com/s/files/1/0088/1937/6188/files/3282770393712_1.jpg,dermaexpress,EPITHELIALE ULTRA REPAIR BALSAMO HIDRATANTE ANTIARRUGAS 50G
FC-70398700,3282770398700,Epitheliale Ultra Repair Crema Reparadora Antimarcas SPF50+,Aderma,40 g,,Crema,Cuidado personal,Dermatología,CICATRIZANTES,421.7,599,10+1,https://cdn.shopify.com/s/files/1/0088/1937/6188/files/3282770398700_1.jpg,dermaexpress,EPITHELIALE ULTRA REPAIR CREMA REPARADORA ANTIMARCAS FPS50+ 40G
FC-70398632,3282770398632,"Epitheliale Ultra Repair, Crema Reparadora Antimarcas",Aderma,40 g,,Crema,Cuidado personal,Dermatología,CICATRIZANTES,386.5,549,10+1,https://cdn.shopify.com/s/files/1/0088/1937/6188/files/3282770398632_1.jpg,dermaexpress,EPITHELIALE ULTRA REPAIR CREMA REPARADORA ANTIMARCAS 40G
FC-70393842,3282770393842,Exomega Aceite dermolimpiador,Aderma,200 ml,,,Cuidado personal,Dermatología,LIMPIADORES,302.02,429,10+1,https://cdn.shopify.com/s/files/1/0088/1937/6188/files/3282770393842.jpg,dermaexpress,EXOMEGA CONTROL DERMOLIMPIADOR EN ACEITE EMOLIENTE 200ML
FC-70388701,3282770388701,Exomega Aceite dermolimpiador para piel seca,Aderma,500 ml,,,Cuidado personal,Dermatología,EMOLIENTES,372.41,528.99,10+1,https://cdn.shopify.com/s/files/1/0088/1937/6188/files/Diseno_sin_titulo_890a3d12-8b88-44cc-b055-cc3d5fcb0378.png,dermaexpress,EXOMEGA ACEITE ECO REFIL 500ML
FC-70149814,3282770149814,Exomega Control Bálsamo para pieles secas,Aderma,200 ml,,,Cuidado personal,Dermatología,EMOLIENTES,428.74,609,10+1,https://cdn.shopify.com/s/files/1/0088/1937/6188/files/Diseno_sin_titulo_1_4325f6f1-15c3-4f39-bcec-68083c284e29.png,dermaexpress,EXOMEGA CONTROL BALSAMO ECO-DISEÑO 200ML
FC-70073577,3282770073577,Exomega Control Crema anti-comezón para piel atópica,Aderma,400 ml,,Crema,Cuidado personal,Dermatología,EMOLIENTES,527.3,749,10+1,https://cdn.shopify.com/s/files/1/0088/1937/6188/products/3282770073577_1.jpg,dermaexpress,EXOMEGA CONTROL CREMA 400ML
FC-70149678,3282770149678,Exomega Control Crema calmante,Aderma,200 ml,,Crema,Cuidado personal,Dermatología,EMOLIENTES,428.74,609,10+1,https://cdn.shopify.com/s/files/1/0088/1937/6188/files/3282770149678_1.jpg,dermaexpress,EXOMEGA CONTROL CREMA ECO-DISEÑO 200ML
FC-70074628,3282770074628,Exomega Control Crema calmante para piel seca,Aderma,400 ml,,Crema,Cuidado personal,Dermatología,EMOLIENTES,527.3,749,10+1,https://cdn.shopify.com/s/files/1/0088/1937/6188/products/3282770074628-M-EXO-BALSAMO-CONTROL-400_44d468b8-9378-4366-8618-e0f0b835ade4.png,dermaexpress,EXOMEGA CONTROL BALSAMO 400ML
FC-70397666,3282770397666,Exomega Control Crema de noche anti comezón,Aderma,200 ml,,Crema,Cuidado personal,Dermatología,EMOLIENTES,449.15,638,10+1,https://cdn.shopify.com/s/files/1/0088/1937/6188/files/3282770397666.jpg,dermaexpress,EXOMEGA CONTROL CREMA DE NOCHE 200ML
FC-70393859,3282770393859,Exomega Control Dermolimpiador en aceite emoliente,Aderma,500 ml,,,Cuidado personal,Dermatología,LIMPIADORES,449.85,639,10+1,https://cdn.shopify.com/s/files/1/0088/1937/6188/files/3282770393859_1.jpg,dermaexpress,EXOMEGA CONTROL DERMOLIMPIADOR EN ACEITE EMOLIENTE 500ML
FC-79285216,3282779285216,Exomega Gel dermolimpiador para piel seca,Aderma,500 ml,,Gel,Cuidado personal,Dermatología,LIMPIADORES,449.85,639,10+1,https://cdn.shopify.com/s/files/1/0088/1937/6188/products/3282779285216_1.jpg,dermaexpress,EXOMEGA GEL DERMOLIMPIADOR 500ML
FC-70074239,3282770074239,Exomega Gel limpiador para bebé,Aderma,200 ml,,Gel,Cuidado personal,Dermatología,LIMPIADORES,302.02,429,10+1,https://cdn.shopify.com/s/files/1/0088/1937/6188/products/3282770074239.jpg,dermaexpress,EXOMEGA BABY GEL 200ML
FC-70074635,3282770074635,Exomega Lait Leche hidratante para piel seca con tendencia atópica,Aderma,400 ml,,,Cuidado personal,Dermatología,EMOLIENTES,527.3,749,10+1,https://cdn.shopify.com/s/files/1/0088/1937/6188/products/3282770074635-M-EXOMEGA-LOCION-400ML.png,dermaexpress,EXOMEGA LAIT 400ML
FC-70139181,3282770139181,Exomega Spray calma la comezón y reduce las rojeces,Aderma,200 ml,,Spray,Cuidado personal,Dermatología,EMOLIENTES,449.85,639,10+1,https://cdn.shopify.com/s/files/1/0088/1937/6188/products/3282770139181.jpg,dermaexpress,EXOMEGA SPRAY 200ML
FC-79522656,3282779522656,Xera-Mega Crema hidratante para piel frágil,Aderma,400 ml,,Crema,Cuidado personal,Dermatología,EMOLIENTES,414.58,588.89,10+1,https://cdn.shopify.com/s/files/1/0088/1937/6188/products/3282779522656_1.jpg,dermaexpress,XERACONFORT CREMA 400ML
FC-58214278,7501258214278,Antinocil 100 mg Caja,Advaita,C/10 Tabletas,100 mg,Tabletas,Cuidado personal,Dermatología,MEDICAMENTO,433.46,698.95,10+1,https://gruporfp.vteximg.com.br/arquivos/ids/6999937/7501258214278_01.jpg,farmatodo,ANTINOCIL 100MG C/10TABLETAS
FC-58210270,7501258210270,Astopil Espuma 5% tratamiento para alopecia,Advaita,15 g,,,Cuidado personal,Dermatología,CAPILARES,213.1,343.63,10+1,https://cdn.shopify.com/s/files/1/0088/1937/6188/products/PSASTOPIL15G1.jpg,dermaexpress,ASTOPIL 5.0% ESPUMA 15GR
FC-58210010,7501258210010,Astopil Espuma 5% tratamiento para alopecia,Advaita,60 g,,,Cuidado personal,Dermatología,CAPILARES,487.1,785.45,10+1,https://cdn.shopify.com/s/files/1/0088/1937/6188/products/PSASTOPIL60G1.jpg,dermaexpress,ASTOPIL 5.0% ESPUMA 60GR
FC-58215336,7501258215336,Cicadona Crema corrección y restauración de cicatrices,Advaita,15 g,,Crema,Cuidado personal,Dermatología,CICATRIZANTES,290.44,468.34,10+1,https://cdn.shopify.com/s/files/1/0088/1937/6188/files/CICA_COMBO_15_2000x_1024x_e8ef54f3-d2e7-4883-a8e2-8c8aadb32e28.webp,dermaexpress,CICADONA CREMA 15GR
FC-58214834,7501258214834,Cicadona Crema corrección y restauración de cicatrices,Advaita,40 g,,Crema,Cuidado personal,Dermatología,CICATRIZANTES,763.16,1230.62,10+1,https://cdn.shopify.com/s/files/1/0088/1937/6188/files/Cicadona-Crema-Tubo-40Gr.jpg,dermaexpress,CICADONA CREMA 40GR
FC-58216296,7501258216296,Cicadona Perfinodina,Advaita,5 g,,,Cuidado personal,Dermatología,LANZAMIENTOS 2026,129.49,208.8,10+1,,,CICADONA PERFINODINA 5G
FC-58200011,7501258200011,Dalidome Polvo en sobres 12 x,Advaita,2 g,,Sobres,Cuidado personal,Dermatología,MEDICAMENTO,263.35,400,10+1,https://cdn.shopify.com/s/files/1/0088/1937/6188/files/7501258200011.png,dermaexpress,DALIDOME POLVO 12 SOBRES 2.2GR
FC-58215909,7501258215909,Derluma,Advaita,30 g,,Gel,Cuidado personal,Dermatología,MEDICAMENTO,613.23,990,10+1,,,DERLUMA GEL 30G
FC-58215893,7501258215893,Derluma 5 mg Ungüento C,Advaita,30 g,5 mg,Ungüento,Cuidado personal,Dermatología,MEDICAMENTO,607.03,980,10+1,https://gruporfp.vteximg.com.br/arquivos/ids/7013553/7501258215893_01.jpg,farmatodo,DERLUMA 30G
FC-58212687,7501258212687,Dermalive,Advaita,30 g,,Crema,Cuidado personal,Dermatología,MEDICAMENTO,342.54,552.35,10+1,https://cdn.shopify.com/s/files/1/0088/1937/6188/products/DERMA_IND_F_1200_72.jpg,dermaexpress,DERMALIVE CREMA 30GR
FC-58200028,7501258200028,Domeboro Polvo 12 Sobres de,Advaita,2 g,,Sobres,Cuidado personal,Dermatología,MEDICAMENTO,271.27,412.02,10+1,https://cdn.shopify.com/s/files/1/0088/1937/6188/files/PTAD0005Domeboro1.jpg,dermaexpress,DOMEBORO POLVO 12 SOBRES 2.2GR
FC-58214445,7501258214445,Duosight,Advaita,30 g,,Gel,Cuidado personal,Dermatología,MEDICAMENTO,590.93,952.89,10+1,,,DUOSIGHT GEL 30GR
FC-58208697,7501258208697,Leneda Gel 1%,Advaita,30 g,,Gel,Cuidado personal,Dermatología,MEDICAMENTO,452.98,730.44,10+1,https://cdn.shopify.com/s/files/1/0088/1937/6188/products/CLeneda0_130gGel.jpg,dermaexpress,LENEDA 1% GEL 30GR
FC-58208901,7501258208901,Leneda Gel 3%,Advaita,30 g,,Gel,Cuidado personal,Dermatología,MEDICAMENTO,640.73,1033.19,10+1,https://cdn.shopify.com/s/files/1/0088/1937/6188/products/CLeneda0_330gGel.jpg,dermaexpress,LENEDA 3% GEL 30GR
FC-58209946,7501258209946,Medamestroid Ungüento 0.1% Tubo C,Advaita,30 g,,Ungüento,Cuidado personal,Dermatología,MEDICAMENTO,451.22,727.6,10+1,https://gruporfp.vteximg.com.br/arquivos/ids/7000149/7501258209946_01.jpg,farmatodo,MEDAMESTROID UNGUENTO 30GR
FC-58215350,7501258215350,Pilovait 1 mg Caja,Advaita,C/30 Tabletas,1 mg,Tabletas,Cuidado personal,Dermatología,CAPILARES,879.57,1418.32,10+1,https://gruporfp.vteximg.com.br/arquivos/ids/7000165/7501258215350_01.jpg,farmatodo,PILOVAIT 1MG C/30TABLETAS
FC-58215367,7501258215367,Pilovait 1 mg Caja,Advaita,C/60 Tabletas,1 mg,Tabletas,Cuidado personal,Dermatología,CAPILARES,1294.46,2087.33,10+1,https://gruporfp.vteximg.com.br/arquivos/ids/7000167/7501258215367_01.jpg,farmatodo,PILOVAIT 1MG C/60TABLETAS
FC-58200080,7501258200080,Soyaloid Polvo c/ 1 Sobre de,Advaita,90 g,,Sobres,Cuidado personal,Dermatología,MEDICAMENTO,171.84,261,10+1,https://cdn.shopify.com/s/files/1/0088/1937/6188/products/SOYALOID_CAJA_3_4_D_1200_72.jpg,dermaexpress,SOYALOID POLVO 90GR C/1 SOBRE
FC-58215756,7501258215756,Tissusan,Advaita,15 g,,,Cuidado personal,Dermatología,LANZAMIENTOS 2026,161.85,261,10+1,,,TISSUSAN 15G
FC-58215749,7501258215749,Tissusan,Advaita,40 g,,Crema,Cuidado personal,Dermatología,MEDICAMENTO,400.04,645.07,10+1,,,TISSUSAN CREMA 40G
FC-58203227,7501258203227,Traderma 0.03%,Advaita,30 g,,,Cuidado personal,Dermatología,MEDICAMENTO,892.11,1438.54,10+1,https://cdn.shopify.com/s/files/1/0088/1937/6188/products/Traderma0_3CT30g.jpg,dermaexpress,TRADERMA 0.03% UNGUENTO 30GR
FC-58203234,7501258203234,Traderma 0.1%,Advaita,30 g,,,Cuidado personal,Dermatología,MEDICAMENTO,1078.68,1739.38,10+1,https://cdn.shopify.com/s/files/1/0088/1937/6188/products/Traderma0_1CT30g.jpg,dermaexpress,TRADERMA 0.1% UNGUENTO 30GR
FC-58214285,7501258214285,Traderma Gel 0.1%,Advaita,10 g,,Gel,Cuidado personal,Dermatología,MEDICAMENTO,421.69,679.98,10+1,https://cdn.shopify.com/s/files/1/0088/1937/6188/products/TRADERMA_COMBO_1200.jpg,dermaexpress,TRADERMA 0.01% UNGUENTO 10GR
FC-58210331,7501258210331,Tsuyoi Crema 0.05 % Tubo C,Advaita,50 g,,Crema,Cuidado personal,Dermatología,MEDICAMENTO,501.75,810.02,10+1,https://gruporfp.vteximg.com.br/arquivos/ids/7011181/7501258210331_01.jpg,farmatodo,TSUYOI 0.05% tubo 50 gr cma Clobetasol
FC-58211901,7501258211901,Valinir 500 mg Caja,Advaita,C/10 Tabletas,500 mg,Tabletas,Cuidado personal,Dermatología,MEDICAMENTO,581.28,938.42,10+1,https://gruporfp.vteximg.com.br/arquivos/ids/6999936/7501258211901_01.jpg,farmatodo,VALINIR C/10 TABLETAS 500MG
FC-79097554,5201279097554,Acondicionador Hidratante con Acido Hialurónico,Apivita,150 ml,,,Cuidado personal,Dermatología,CAPILARES,245,350,,,,ACONDICIONADOR HIDRATANTE CON ACIDO HIALURÓNICO 150ML
FC-79086558,5201279086558,Acondicionador para cabello fino y debilitado,Apivita,150 ml,,,Cuidado personal,Dermatología,CAPILARES,245,350,,https://cdn.shopify.com/s/files/1/0088/1937/6188/files/5201279086558_1.jpg,dermaexpress,ACONDICIONADOR PARA CABELLO DEBIL 150ML
FC-79071738,5201279071738,Acondicionador para raíz grasa y puntas secas,Apivita,150 ml,,,Cuidado personal,Dermatología,CAPILARES,245,350,,https://cdn.shopify.com/s/files/1/0088/1937/6188/files/5201279071738_1.jpg,dermaexpress,ACONDICIONADOR PARA RAIZ GRASA Y PUNTAS SECAS 150ML
FC-79072933,5201279072933,Agua micelar limpiadora con rosa y miel,Apivita,300 ml,,,Cuidado personal,Dermatología,LIMPIADORES,342.48,489.25,,https://cdn.shopify.com/s/files/1/0088/1937/6188/files/5201279072933_1.jpg,dermaexpress,AGUA MICELAR LIMPIADORA 300ML
FC-79078898,5201279078898,Aqua Beelicious Contorno de ojos gel hidratante,Apivita,15 ml,,Gel,Cuidado personal,Dermatología,HIDRATANTES,412.99,590,,https://cdn.shopify.com/s/files/1/0088/1937/6188/files/5201279078898_1.jpg,dermaexpress,AQUA BEELICIOUS CONTORNO DE OJOS HIDRATANTE 15ML
FC-79078881,5201279078881,Aqua Beelicious Crema Hidratante con Ceramidas,Apivita,40 ml,,Crema,Cuidado personal,Dermatología,HIDRATANTES,528.67,755.25,,https://cdn.shopify.com/s/files/1/0088/1937/6188/files/5201279078881_1.jpg,dermaexpress,AQUA BEELICIOUS CREMA HIDRATANTE 40ML
FC-79078874,5201279078874,Aqua Beelicious Crema hidratante matificante,Apivita,40 ml,,Crema,Cuidado personal,Dermatología,HIDRATANTES,528.67,755.25,,https://cdn.shopify.com/s/files/1/0088/1937/6188/files/5201279078874_1.jpg,dermaexpress,AQUA BEELICIOUS CREMA OILFREE HIDRATANTE 40ML
FC-79078904,5201279078904,Aqua Beelicious Sérum booster con ácido hialurónico,Apivita,30 ml,,,Cuidado personal,Dermatología,HIDRATANTES,553,789.99,,https://cdn.shopify.com/s/files/1/0088/1937/6188/files/apivita-aqua-beelicious-refreshing-hydrating-booster-30ml.jpg,dermaexpress,AQUA BEELICIOUS SUERO HIDRATANTE 30ML
FC-79085216,5201279085216,Bee Radiant Contorno de ojos anti-fatiga,Apivita,15 ml,,,Cuidado personal,Dermatología,ANTIEDAD,498.75,712.5,,https://cdn.shopify.com/s/files/1/0088/1937/6188/files/5201279085216.jpg,dermaexpress,BEE RADIANT CONTORNO DE OJOS 15ML
FC-79074241,5201279074241,Bee Radiant Gel-Crema antiedad y anti-fatiga,Apivita,50 ml,,Crema,Cuidado personal,Dermatología,ANTIEDAD,661.68,945.25,,https://cdn.shopify.com/s/files/1/0088/1937/6188/files/5201279074241_1.jpg,dermaexpress,BEE RADIANT CREMA HIDRATANTE LIGERA 50ML
FC-79074289,5201279074289,Bee Radiant Sérum antiedad y anti-fatiga,Apivita,30 ml,,,Cuidado personal,Dermatología,ANTIEDAD,864.5,1235.01,,https://cdn.shopify.com/s/files/1/0088/1937/6188/files/5201279074289_1.jpg,dermaexpress,BEE RADIANT SUERO PRIMERAS LINEAS DE EXPRESIÓN 30ML
FC-79100575,5201279100575,Bee Sun Safe Crema antiedad y antimanchas SPF50,Apivita,50 ml,,Crema,Cuidado personal,Dermatología,SOLARES,455,649.99,,https://cdn.shopify.com/s/files/1/0088/1937/6188/files/5201279100575_1.jpg,dermaexpress,BEE SUN SAFE PROTECTOR ANTI MANCHAS PARA ROSTRO SPF50 50ML
FC-79088484,5201279088484,Bee Sun Safe Fluido invisible toque seco SPF50,Apivita,50 ml,,Fluido,Cuidado personal,Dermatología,SOLARES,455,649.99,,https://cdn.shopify.com/s/files/1/0088/1937/6188/files/5201279088484_1.jpg,dermaexpress,BEE SUN SAFE FLUIDO TOQUE SECO INVISIBLE PARA ROSTRO SPF50 50ML
FC-79080174,5201279080174,Bee Sun Safe Hydra Fresh Gel-Crema con Color SPF50,Apivita,50 ml,,Crema,Cuidado personal,Dermatología,SOLARES,434,620,,https://cdn.shopify.com/s/files/1/0088/1937/6188/files/5201279080174_1.jpg,dermaexpress,BEE SUN SAFE GEL PARA ROSTRO CON COLOR SPF50 50ML
