sku,ean,codigo,nombre,marca,presentacion,concentracion,forma,categoria,subcategoria,costo,imagen_url,foto_pendiente
FC-13024840,811213024840,5545,Best BCAA Fruit Punch,BPI,30 servicios · 300 g,,Polvo,Suplemento,Deportiva,276,https://firebasestorage.googleapis.com/v0/b/suplementos-mayoreo.appspot.com/o/products%2Fimg%2Fjpeg%2F811213024840.jpg?alt=media&token=b6222aee-d154-4981-8f45-994346e9267d,0
FC-69715144,,5546,Best BCAA Grape,BPI,30 servicios · 300 g,,Polvo,Suplemento,Deportiva,276,,1
FC-13024871,811213024871,7056,Best BCAA Passion Fruit,BPI,30 servicios · 300 g,,Polvo,Suplemento,Deportiva,276,https://firebasestorage.googleapis.com/v0/b/suplementos-mayoreo.appspot.com/o/products%2Fimg%2Fjpeg%2F811213024871.jpg?alt=media&token=dafa4976-e2da-4fd1-9068-80a1247a0b0d,0
FC-13024864,811213024864,6101,Best BCAA Watermelon Ice,BPI,30 servicios · 300 g,,Polvo,Suplemento,Deportiva,276,https://firebasestorage.googleapis.com/v0/b/suplementos-mayoreo.appspot.com/o/products%2Fimg%2Fjpeg%2F811213024864.jpg?alt=media&token=3c06818c-5c28-4a45-a929-c7bae033d979,0
FC-13027247,811213027247,7054,Best BCAA Shredded Fruit Punch,BPI,25 servicios,,,Suplemento,Deportiva,294,https://firebasestorage.googleapis.com/v0/b/suplementos-mayoreo.appspot.com/o/products%2Fimg%2Fjpeg%2F811213027247.jpg?alt=media&token=19fc8d03-e350-4792-b657-b8cec0b8ae7b,0
FC-13027285,811213027285,7067,Best BCAA Shredded Watermelon Ice,BPI,25 servicios,,,Suplemento,Deportiva,294,https://firebasestorage.googleapis.com/v0/b/suplementos-mayoreo.appspot.com/o/products%2Fimg%2Fjpeg%2F811213027285.jpg?alt=media&token=93ed6146-4a69-4b2c-b35e-211c1a3b970b,0
FC-80224015,,7031,Best Creatine Fruit Punch,BPI,50 servicios,,,Suplemento,Deportiva,351,,1
FC-13026899,811213026899,8662,Best Protein Chocolate Brownie,BPI,5 lb,,Polvo,Suplemento,Proteína,1059,https://firebasestorage.googleapis.com/v0/b/suplementos-mayoreo.appspot.com/o/products%2Fimg%2Fjpeg%2F811213026899.jpg?alt=media&token=4ce8155c-c747-48ff-a4ff-7aab698928a0,0
FC-13026653,811213026653,7024,Cla+carnitine Fruit Punch,BPI,50 servicios,,,Suplemento,Deportiva,288,https://firebasestorage.googleapis.com/v0/b/suplementos-mayoreo.appspot.com/o/products%2Fimg%2Fjpeg%2F811213026653.jpg?alt=media&token=157a428b-2b21-427d-af2a-a6f236e4aa49,0
FC-13028213,811213028213,7880,Cla+carnitine Rainbow Ice,BPI,50 servicios,,,Suplemento,Deportiva,288,https://firebasestorage.googleapis.com/v0/b/suplementos-mayoreo.appspot.com/o/products%2Fimg%2Fjpeg%2F811213028213.jpg?alt=media&token=0e8ef7fd-c3e1-4ac9-a7cf-396533d8b450,0
FC-13026660,811213026660,7025,Cla+carnitine Snow Cone,BPI,50 servicios,,,Suplemento,Deportiva,288,https://firebasestorage.googleapis.com/v0/b/suplementos-mayoreo.appspot.com/o/products%2Fimg%2Fjpeg%2F811213026660.jpg?alt=media&token=7346f160-e2e2-4bb4-a6c0-fad00d647e87,0
FC-13028305,811213028305,7744,Cla+carnitine Watermelon,BPI,50 servicios,,,Suplemento,Deportiva,288,https://firebasestorage.googleapis.com/v0/b/suplementos-mayoreo.appspot.com/o/products%2Fimg%2Fjpeg%2F811213028305.jpg?alt=media&token=d1297c82-2589-4582-9375-08c170afbc18,0
FC-16031906,810516031906,10313,Cla+carnitine Shredded Fruit Punch,BPI,50 servicios,,,Suplemento,Deportiva,296,https://firebasestorage.googleapis.com/v0/b/suplementos-mayoreo.appspot.com/o/products%2Fimg%2Fjpeg%2F810516031906.jpg?alt=media&token=1c13e2f3-79d1-432f-8716-b8b2cda8f91f,0
FC-78294398,,10300,Cla+carnitine Shredded Tropical Mango,BPI,50 servicios,,,Suplemento,Deportiva,296,,1
FC-99724956,,18409,Creatine Micronized,BPI,120 servicios · 600 g,,,Suplemento,Deportiva,397,,1
FC-16031203,810516031203,7601,ISO-HD Chocolate Brownie,BPI,5 lb,,,Suplemento,Deportiva,1246,https://firebasestorage.googleapis.com/v0/b/suplementos-mayoreo.appspot.com/o/products%2Fimg%2Fjpeg%2F810516031203.jpg?alt=media&token=80648685-42ab-4904-9d7c-a99f6ab5ba62,0
FC-86430703,,8254,ISO-HD Cookie Butter,BPI,5 lb,,,Suplemento,Deportiva,1246,,1
FC-16031227,810516031227,7501,ISO-HD Cookies & Cream,BPI,5 lb,,,Suplemento,Deportiva,1246,https://firebasestorage.googleapis.com/v0/b/suplementos-mayoreo.appspot.com/o/products%2Fimg%2Fjpeg%2F810516031227.jpg?alt=media&token=bcf22bb9-c0bd-4d9a-a0fc-30c986264341,0
FC-16031197,810516031197,8219,ISO-HD Vainilla Cookies,BPI,5 lb,,,Suplemento,Deportiva,1246,https://firebasestorage.googleapis.com/v0/b/suplementos-mayoreo.appspot.com/o/products%2Fimg%2Fjpeg%2F810516031197.jpg?alt=media&token=36e74e3d-ff3f-41a4-a7b1-924c24bacb66,0
FC-80005736,851780005736,5548,Nite Burn,BPI,30 servicios,,,Suplemento,Deportiva,287,https://firebasestorage.googleapis.com/v0/b/suplementos-mayoreo.appspot.com/o/products%2Fimg%2Fjpeg%2F851780005736.jpg?alt=media&token=54c92f3c-2581-494b-8534-76f75b5917ae,0
FC-13027070,811213027070,8661,Whey-HD Chocolate Cookie,BPI,4.1 lb,,Polvo,Suplemento,Proteína,1012,https://firebasestorage.googleapis.com/v0/b/suplementos-mayoreo.appspot.com/o/products%2Fimg%2Fjpeg%2F811213027070.jpg?alt=media&token=b99751a8-05ce-406b-bab9-3d87ca02b91a,0
FC-13027117,811213027117,7610,Whey-HD Milk & Cookies,BPI,4.1 lb,,Polvo,Suplemento,Proteína,1012,https://firebasestorage.googleapis.com/v0/b/suplementos-mayoreo.appspot.com/o/products%2Fimg%2Fjpeg%2F811213027117.jpg?alt=media&token=33f081f6-7c7b-406c-bd2e-d2cf7ff0d588,0
FC-13027568,811213027568,5937,Whey-HD Peanut Butter Ice Cream,BPI,4.1 lb,,Polvo,Suplemento,Proteína,1012,https://firebasestorage.googleapis.com/v0/b/suplementos-mayoreo.appspot.com/o/products%2Fimg%2Fjpeg%2F811213027568.jpg?alt=media&token=77885690-aca5-47de-9fb6-8087781f08d2,0
FC-43619578,,28259,Whey-HD Salted Caramel,BPI,4.1 lb,,Polvo,Suplemento,Proteína,1012,,1
FC-13028077,811213028077,8438,Whey-HD Strawberry Cake,BPI,4.1 lb,,Polvo,Suplemento,Proteína,1012,https://firebasestorage.googleapis.com/v0/b/suplementos-mayoreo.appspot.com/o/products%2Fimg%2Fjpeg%2F811213028077.jpg?alt=media&token=73337ce4-c28e-4ff7-8a94-c5e4d135100a,0
FC-13027094,811213027094,5034,Whey-HD Vainilla Caramel,BPI,4.1 lb,,Polvo,Suplemento,Proteína,1012,https://firebasestorage.googleapis.com/v0/b/suplementos-mayoreo.appspot.com/o/products%2Fimg%2Fjpeg%2F811213027094.jpg?alt=media&token=65f28892-d74a-4a53-a5d5-e985bc36b89e,0
FC-50039850,,28794,Amino X Blue Raspberry,BSN,70 servicios,,,Suplemento,Deportiva,661,,1
FC-66063383,834266063383,3847,Amino X Blue Raspberry,BSN,70 servicios,,,Suplemento,Deportiva,616,https://firebasestorage.googleapis.com/v0/b/suplementos-mayoreo.appspot.com/o/products%2Fimg%2Fjpeg%2F834266063383.jpg?alt=media&token=3b8b94e4-6ad9-4323-a962-08a7e04a5529,0
FC-66151755,,28793,Amino X Fruit Punch,BSN,70 servicios,,,Suplemento,Deportiva,661,,1
FC-66063307,834266063307,3848,Amino X Fruit Punch,BSN,70 servicios,,,Suplemento,Deportiva,616,https://firebasestorage.googleapis.com/v0/b/suplementos-mayoreo.appspot.com/o/products%2Fimg%2Fjpeg%2F834266063307.jpg?alt=media&token=08b4ddeb-bcf8-4e72-8031-fc82396fdde0,0
FC-49374136,,28792,Amino X Watermelon,BSN,70 servicios,,,Suplemento,Deportiva,661,,1
FC-66063260,834266063260,3527,Amino X Watermelon,BSN,70 servicios,,,Suplemento,Deportiva,616,https://firebasestorage.googleapis.com/v0/b/suplementos-mayoreo.appspot.com/o/products%2Fimg%2Fjpeg%2F834266063260.jpg?alt=media&token=5ff7e52d-c6d4-4ee4-b269-804bc7958cc7,0
FC-44595708,,23740,Amino X Blue Raspberry,BSN,435 g,,Polvo,Suplemento,Deportiva,369,,1
FC-66003389,834266003389,1529,Amino X Blue Raspberry,BSN,435 g,,Polvo,Suplemento,Deportiva,336,https://firebasestorage.googleapis.com/v0/b/suplementos-mayoreo.appspot.com/o/products%2Fimg%2Fjpeg%2F834266003389.jpg?alt=media&token=fb179fa3-28a9-454c-a87c-9403bb35ad49,0
FC-61373327,,23741,Amino X Fruit Punch,BSN,435 g,,Polvo,Suplemento,Deportiva,369,,1
FC-66003303,834266003303,1622,Amino X Fruit Punch,BSN,435 g,,Polvo,Suplemento,Deportiva,336,https://firebasestorage.googleapis.com/v0/b/suplementos-mayoreo.appspot.com/o/products%2Fimg%2Fjpeg%2F834266003303.jpg?alt=media&token=56075b6b-f23d-4dc3-af6e-cf06727140a0,0
FC-61226232,,23739,Amino X Grape,BSN,435 g,,Polvo,Suplemento,Deportiva,369,,1
FC-66003365,834266003365,3616,Amino X Grape,BSN,435 g,,Polvo,Suplemento,Deportiva,336,https://firebasestorage.googleapis.com/v0/b/suplementos-mayoreo.appspot.com/o/products%2Fimg%2Fjpeg%2F834266003365.jpg?alt=media&token=525e0258-d8a2-4ffe-bd07-ae31aa2c6c98,0
FC-58807216,,27362,Amino X Watermelon,BSN,435 g,,Polvo,Suplemento,Deportiva,369,,1
FC-66003266,834266003266,1530,Amino X Watermelon,BSN,435 g,,Polvo,Suplemento,Deportiva,336,https://firebasestorage.googleapis.com/v0/b/suplementos-mayoreo.appspot.com/o/products%2Fimg%2Fjpeg%2F834266003266.jpg?alt=media&token=50f8a2b8-4c68-4cb8-883f-4081e9de1a8a,0
FC-27293136,,17299,Amino X EAA Straw Dragon,BSN,25 servicios,,,Suplemento,Deportiva,383,,1
FC-65179553,,28351,Amino X EAA Watermelon,BSN,25 servicios,,,Suplemento,Deportiva,383,,1
FC-09140073,,27361,Creatine Powder,BSN,300 g,,Polvo,Suplemento,Deportiva,451,,1
FC-83092944,,4211,Creatine Powder,BSN,300 g,,Polvo,Suplemento,Deportiva,432,,1
FC-88422540,,2622,Nitrix 2.0,BSN,180 tabletas,,Tabletas,Suplemento,Deportiva,895,,1
FC-38755397,,2621,Nitrix 2.0,BSN,90 tabletas,,Tabletas,Suplemento,Deportiva,589,,1
FC-66001552,834266001552,4318,No-Xplode 3.0 Blue Raspberry,BSN,30 servicios,,,Suplemento,Deportiva,402,https://firebasestorage.googleapis.com/v0/b/suplementos-mayoreo.appspot.com/o/products%2Fimg%2Fjpeg%2F834266001552.jpg?alt=media&token=558984c5-38fa-4ddf-b34d-d513487ce006,0
FC-66001521,834266001521,3738,No-Xplode 3.0 Fruit Punch,BSN,30 servicios,,,Suplemento,Deportiva,402,https://firebasestorage.googleapis.com/v0/b/suplementos-mayoreo.appspot.com/o/products%2Fimg%2Fjpeg%2F834266001521.jpg?alt=media&token=d0306c59-8637-443e-9bf3-a84727d77a11,0
FC-66001606,834266001606,3739,No-Xplode 3.0 Grape,BSN,30 servicios,,,Suplemento,Deportiva,402,https://firebasestorage.googleapis.com/v0/b/suplementos-mayoreo.appspot.com/o/products%2Fimg%2Fjpeg%2F834266001606.jpg?alt=media&token=07f8d267-6bc7-4ce7-9d60-033679e94abc,0
FC-66001583,834266001583,6675,No-Xplode 3.0 Watermelon,BSN,30 servicios,,,Suplemento,Deportiva,402,https://firebasestorage.googleapis.com/v0/b/suplementos-mayoreo.appspot.com/o/products%2Fimg%2Fjpeg%2F834266001583.jpg?alt=media&token=239406e2-cfe0-40e1-ae65-96c527f45bef,0
FC-66001545,834266001545,3644,No-Xplode 3.0 Blue Raspberry,BSN,60 servicios,,,Suplemento,Deportiva,573,https://firebasestorage.googleapis.com/v0/b/suplementos-mayoreo.appspot.com/o/products%2Fimg%2Fjpeg%2F834266001545.jpg?alt=media&token=832f5865-3a08-475f-8558-e9fbe94d7a14,0
FC-66001514,834266001514,3645,No-Xplode 3.0 Fruit Punch,BSN,60 servicios,,,Suplemento,Deportiva,573,https://firebasestorage.googleapis.com/v0/b/suplementos-mayoreo.appspot.com/o/products%2Fimg%2Fjpeg%2F834266001514.jpg?alt=media&token=06d16163-5ec6-4c9a-bfdc-06ba9d5a4903,0
FC-66001590,834266001590,3646,No-Xplode 3.0 Grape,BSN,60 servicios,,,Suplemento,Deportiva,573,https://firebasestorage.googleapis.com/v0/b/suplementos-mayoreo.appspot.com/o/products%2Fimg%2Fjpeg%2F834266001590.jpg?alt=media&token=ff5eca01-e588-4c5f-8a8a-f9569e170300,0
FC-66001651,834266001651,3647,No-Xplode 3.0 Green Apple,BSN,60 servicios,,,Suplemento,Deportiva,573,https://firebasestorage.googleapis.com/v0/b/suplementos-mayoreo.appspot.com/o/products%2Fimg%2Fjpeg%2F834266001651.jpg?alt=media&token=27ee52dd-68e9-48c9-b191-13bd5be1acf9,0
FC-66001576,834266001576,3648,No-Xplode 3.0 Watermelon,BSN,60 servicios,,,Suplemento,Deportiva,573,https://firebasestorage.googleapis.com/v0/b/suplementos-mayoreo.appspot.com/o/products%2Fimg%2Fjpeg%2F834266001576.jpg?alt=media&token=aaef1c68-99c7-4ead-822d-b971f1e4d342,0
FC-14846696,,28352,No-Xplode 3.0 Cool Rush Bubblegum Blast,BSN,30 servicios,,,Suplemento,Deportiva,402,,1
FC-21940423,,26218,Protein Crips 12 Bars Chocolate Crunch,BSN,,,,Suplemento,Proteína,593,,1
FC-32710308,,24895,Protein Crips 12 Bars Chocolate Crunch,BSN,,,,Suplemento,Proteína,535,,1
FC-30821087,,24872,Protein Crips 12 Bars Peanut Butter Crunch,BSN,,,,Suplemento,Proteína,535,,1
FC-74629620,,26220,Protein Crips 12 Bars Salted Toffee Pretzel,BSN,,,,Suplemento,Proteína,593,,1
FC-97265849,,24874,Protein Crips 12 Bars Salted Toffee Pretzel,BSN,,,,Suplemento,Proteína,535,,1
FC-91407239,,26221,Protein Crips 12 Bars Vanilla Marshmallow,BSN,,,,Suplemento,Proteína,593,,1
FC-50454766,,11497,Syntha-6 Chocolate,BSN,10 lb,,,Suplemento,Proteína,1766,,1
FC-66008100,834266008100,3628,Syntha-6 Vainilla,BSN,10 lb,,,Suplemento,Proteína,1766,https://firebasestorage.googleapis.com/v0/b/suplementos-mayoreo.appspot.com/o/products%2Fimg%2Fjpeg%2F834266008100.jpg?alt=media&token=ff432d77-f3f6-48f7-85d9-3d4f98bbc09b,0
FC-10631133,,26911,Syntha-6 Blueberry Pancake,BSN,2.91 lb,,,Suplemento,Proteína,635,,1
FC-05755180,850005755180,1249,Syntha-6 Chocolate,BSN,5 lb,,,Suplemento,Proteína,1099,https://firebasestorage.googleapis.com/v0/b/suplementos-mayoreo.appspot.com/o/products%2Fimg%2Fjpeg%2F850005755180.jpg?alt=media&token=3b6e9bb4-d2a4-48b9-845e-b1b6addf2340,0
FC-66007202,834266007202,9799,Syntha-6 Chocolate,BSN,5 lb,,,Suplemento,Proteína,1016,https://firebasestorage.googleapis.com/v0/b/suplementos-mayoreo.appspot.com/o/products%2Fimg%2Fjpeg%2F834266007202.jpg?alt=media&token=5f0b2914-e7b4-41ad-a81d-56ac053bd9a8,0
FC-66007158,834266007158,11955,Syntha-6 Strawberry,BSN,5 lb,,,Suplemento,Proteína,1099,https://firebasestorage.googleapis.com/v0/b/suplementos-mayoreo.appspot.com/o/products%2Fimg%2Fjpeg%2F834266007158.jpg?alt=media&token=e0e3023e-4925-49b0-9869-8372330da97d,0
FC-66007159,834266007158,1108,Syntha-6 Strawberry,BSN,5 lb,,,Suplemento,Proteína,1016,https://firebasestorage.googleapis.com/v0/b/suplementos-mayoreo.appspot.com/o/products%2Fimg%2Fjpeg%2F834266007158.jpg?alt=media&token=e0e3023e-4925-49b0-9869-8372330da97d,0
FC-66007103,834266007103,11961,Syntha-6 Vainilla,BSN,5 lb,,,Suplemento,Proteína,1099,https://firebasestorage.googleapis.com/v0/b/suplementos-mayoreo.appspot.com/o/products%2Fimg%2Fjpeg%2F834266007103.jpg?alt=media&token=c0835f52-0dd7-4585-86fc-5434a20beb4a,0
FC-66007104,834266007103,1109,Syntha-6 Vainilla,BSN,5 lb,,,Suplemento,Proteína,1016,https://firebasestorage.googleapis.com/v0/b/suplementos-mayoreo.appspot.com/o/products%2Fimg%2Fjpeg%2F834266007103.jpg?alt=media&token=c0835f52-0dd7-4585-86fc-5434a20beb4a,0
FC-66005697,834266005697,11854,Syntha-6 Edge Chocolate,BSN,4.02 lb,,,Suplemento,Proteína,1003,https://firebasestorage.googleapis.com/v0/b/suplementos-mayoreo.appspot.com/o/products%2Fimg%2Fjpeg%2F834266005697.jpg?alt=media&token=93b9e24c-45f6-4118-8d0b-7e71a0e28c67,0
FC-66005734,834266005734,11855,Syntha-6 Edge Cookies & Cream,BSN,4.02 lb,,,Suplemento,Proteína,1003,https://firebasestorage.googleapis.com/v0/b/suplementos-mayoreo.appspot.com/o/products%2Fimg%2Fjpeg%2F834266005734.jpg?alt=media&token=4e4cd99e-030f-4bbb-93d6-cdcc79527ca0,0
FC-66076208,834266076208,10473,Syntha-6 Isolate Chocolate,BSN,4 lb,,Polvo,Suplemento,Proteína,1089,https://firebasestorage.googleapis.com/v0/b/suplementos-mayoreo.appspot.com/o/products%2Fimg%2Fjpeg%2F834266076208.jpg?alt=media&token=2ca36454-e121-4581-af77-cc41551871a6,0
FC-32290029,,28355,Syntha-6 Isolate Chocolate Peanut Butter,BSN,4 lb,,Polvo,Suplemento,Proteína,1089,,1
FC-66076154,834266076154,2540,Syntha-6 Isolate Strawberry,BSN,4 lb,,Polvo,Suplemento,Proteína,1089,https://firebasestorage.googleapis.com/v0/b/suplementos-mayoreo.appspot.com/o/products%2Fimg%2Fjpeg%2F834266076154.jpg?alt=media&token=8a211bec-972e-41aa-935e-9c62c9d2be67,0
FC-66076109,834266076109,2541,Syntha-6 Isolate Vainilla,BSN,4 lb,,Polvo,Suplemento,Proteína,1089,https://firebasestorage.googleapis.com/v0/b/suplementos-mayoreo.appspot.com/o/products%2Fimg%2Fjpeg%2F834266076109.jpg?alt=media&token=c25f0369-3789-4fdb-a398-a14f01c36151,0
FC-27160499,,11959,True Mass 1200 Chocolate,BSN,10 lb,,,Suplemento,Proteína,1086,,1
FC-29152206,,28826,C4 Alphabomb Behind Lemony Limes,Cellucor,20 servicios,,,Suplemento,Deportiva,514,,1
FC-12374587,,28825,C4 Alphabomb Blue Rageberry,Cellucor,20 servicios,,,Suplemento,Deportiva,514,,1
FC-45929825,,28827,C4 Alphabomb Full Melon Jacket,Cellucor,20 servicios,,,Suplemento,Deportiva,514,,1
FC-45264111,,28829,C4 Energy + Aminos Cherry Jolly Rancher,Cellucor,30 servicios,,,Suplemento,Deportiva,328,,1
FC-67676558,,28606,C4 Energy + Aminos Fruit Punch,Cellucor,30 servicios,,,Suplemento,Deportiva,328,,1
FC-84454177,,28607,C4 Energy + Aminos Grape,Cellucor,30 servicios,,,Suplemento,Deportiva,328,,1
FC-28486492,,28828,C4 Energy + Aminos Green Apple Jolly Rancher,Cellucor,30 servicios,,,Suplemento,Deportiva,328,,1
FC-67010844,,28608,C4 Energy + Aminos Icy Blue Razz,Cellucor,30 servicios,,,Suplemento,Deportiva,328,,1
FC-83788463,,28609,C4 Energy + Aminos Watermelon,Cellucor,30 servicios,,,Suplemento,Deportiva,328,,1
FC-72615051,,27752,C4 Energy Crb 12PK Blue Razz Jolly Rancher,Cellucor,16 oz,,,Suplemento,Deportiva,482,,1
FC-53597050,,29397,C4 Energy Crb 12PK Cereal Killer,Cellucor,16 oz,,,Suplemento,Deportiva,482,,1
FC-15907154,,20523,C4 Energy Crb 12PK Cherry Limeade,Cellucor,16 oz,,,Suplemento,Deportiva,482,,1
