prioridad,estado,clase,pedir,sku_similares,generico_similares,concentraciones,piezas,forma,linea,jerarquia,precio_similares,min_sucursal,objetivo,fc_sku,fc_nombre,fc_marca,stock,match,razones
11,RELLENAR,A,3,482,AMOXICILINA / ACIDO CLAVULANICO 500 MG 10 TABLETAS,500mg,10,tableta,Antibiótico,Medicamentos,95.0,6,10,FC-01007199,Valclan 500 mg / 125 mg Caja con 10 tabletas Wandel,Wandel,3,100,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
12,RELLENAR,A,4,1415,CLONIXINATO DE LISINA / BUTILHIOSCINA 125/10MG 20 TABLETAS,10mg,20,tableta,Analgésicos,Medicamentos,94.0,5,8,EQ-MAV167,Doltrix 20 Tab 125/10 Mg,Maver,1,100,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
13,RELLENAR,A,5,2804,METFORMINA / GLIBENCLAMIDA 1GR/5MG 40 TABLETAS,1000mg 5mg,40,tableta,Diabetes,Medicamentos,94.0,6,10,EQ-BIO058,Wadil 30 Tab 500/5 Mg,Biomep,1,76,principios activos completos; concentracion coincide; cantidad difiere 30≠40; forma coincide
14,RELLENAR,A,4,762,GLIMEPIRIDA 4 MG 30 TABLETAS,4mg,30,tableta,Diabetes,Medicamentos,89.0,5,8,FC-3D0ED22B,Zukedib,Zukedib,1,100,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
15,RELLENAR,A,4,1412,LACTULOSA JARABE 120ML O 125ML 10GR/15ML 1 PIEZA,10000mg 120ml 125ml 15ml,1,jarabe,Funcionamiento gastrointestinal,Medicamentos,89.0,5,8,FC-09745584,Oppelver lactulosa jarabe 125 mL,Oppelver,1,100,principios activos completos; concentracion coincide; forma coincide
16,RELLENAR,A,5,2176,AMOXICILINA / ACIDO CLAVULANICO 600/42.9 MG SUSPENSION 1 PIEZA,42.9mg,1,suspension,Antibiótico,Medicamentos,88.0,6,10,FC-09745140,Clamoxín S 600 mg / 42.9 mg / 5 mL Frasco 50 mL Maver,Maver,1,100,principios activos completos; concentracion coincide; forma coincide
17,RELLENAR,A,4,763,MELOXICAM / METOCARBAMOL 15/215MG 10 CAPSULAS,215mg,10,capsula,Analgésicos,Medicamentos,87.0,5,8,EQ-MAV174,Flexiver Compuesto 10 Caps 215/15 Mg,Maver,1,100,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
18,RELLENAR,A,3,440,LANSOPRAZOL 30 MG 14 CAPSULAS,30mg,14,capsula,Funcionamiento gastrointestinal,Medicamentos,86.0,5,8,FC-9A37D44A,Amdoryl,Amdoryl,2,100,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
19,RELLENAR,A,4,1525,LOSARTAN POTASICO 100 MG 15 TABLETAS,100mg,15,tableta,Antihipertensivo,Medicamentos,84.5,6,10,EQ-MAV204,Alderan Losartán 15 tab 100 mg,Maver,2,100,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
20,RELLENAR,A,2,798,OMEPRAZOL 20 MG 28 CAPSULAS,20mg,28,capsula,Gastritis,Funcionamiento gastrointestinal,84.5,6,10,FC-73909859,Sarox (Omeprazol) 20 mg,Biomep,4,100,principios activos completos; concentracion coincide; cantidad coincide; forma coincide; nombre parecido (83/62)
21,RELLENAR,A,1,63,CIPROFLOXACINO 500 MG 12 TABLETAS,500mg,12,tableta,Antibiótico,Medicamentos,84.0,6,10,FC-E9C38DC4,Ciprofloxacino G.I,AMSA,5,76,principios activos completos; concentracion coincide; cantidad difiere 14≠12; forma coincide; nombre parecido (88/63)
22,RELLENAR,A,4,3705,PARCHE DE LEON ARNICA 3% 12X18CM 1 PIEZA,,1,parche,Analgésicos,Analgesia,84.0,5,8,FC-45307181,Arnica León Parche,Arnica,1,99,principios activos completos; cantidad coincide; forma coincide
23,RELLENAR,A,2,1806,TRIMEBUTINA 200 MG 40 TABLETAS,200mg,40,tableta,Funcionamiento gastrointestinal,Medicamentos,84.0,5,8,EQ-LIF064,Cineprac 20 Tab 200 Mg,Liferpal,3,76,principios activos completos; concentracion coincide; cantidad difiere 20≠40; forma coincide
24,RELLENAR,A,4,1413,INDOMETACINA / BETAMETASONA / METOCARBAMOL 20 CAPSULAS,,20,capsula,Analgésicos,Medicamentos,83.0,5,8,EQ-MAV307,Veratrin,Maver,1,99,principios activos completos; cantidad coincide; forma coincide
25,RELLENAR,A,4,1409,MELOXICAM / METOCARBAMOL 7.5/215MG 20 CAPSULAS,215mg,20,capsula,Analgésicos,Medicamentos,82.0,5,8,EQ-MAV174,Flexiver Compuesto 10 Caps 215/15 Mg,Maver,1,76,principios activos completos; concentracion coincide; cantidad difiere 10≠20; forma coincide
26,RELLENAR,A,4,2230,SALBUTAMOL 5MG/1ML SOLUCION PARA NEBULIZACION 1 PIEZA,1ml 5mg,1,solucion,Aparato respiratorio,Medicamentos,82.0,6,10,EQ-HIS081,Farmarest Salbut 1 Susp/Aer 200do/125,Hispanoamericana,2,80,principios activos completos; nuestro catalogo sin concentracion
27,RELLENAR,A,5,1528,LORATADINA / BETAMETASONA 100/5 MG SOLUCION 60 ML 1 PIEZA,5mg 60ml,1,solucion,Antialérgico,Medicamentos,81.0,6,10,EQ-MAV187,Erispan Compuesto 1 Sol 5/100mg/60 Ml,Maver,1,100,principios activos completos; concentracion coincide; forma coincide
28,RELLENAR,A,4,689,CETIRIZINA 100 MG SOLUCION 50 ML 1 PIEZA,100mg 50ml,1,solucion,Antialérgico,Medicamentos,80.0,6,10,FC-29670370,Degortzin,Degortzin,2,100,principios activos completos; concentracion coincide; forma coincide
29,RELLENAR,A,4,4494,DIMENHIDRINATO 250 MG/100 ML JARABE INFANTIL 120 ML,100ml 120ml 250mg,,jarabe,Funcionamiento gastrointestinal,Funcionamiento gastrointestinal,79.0,5,8,FC-86100158,Benvia Infantil (Dimenhidrinato) 250 mg/100 mL,Loeffler / Russek,1,95,principios activos completos; concentracion coincide; nombre muy parecido (91/59)
30,RELLENAR,A,5,307,NAPROXENO 500 MG 45 TABLETAS,500mg,45,tableta,Antiinflamatorio,Medicamentos,78.0,6,10,FC-34092301,Syncol Max tabletas,Syncol Max,1,80,principios activos completos; nuestro catalogo sin concentracion; forma coincide
31,RELLENAR,A,3,1862,BUTILHIOSCINA HIOSCINA / IBUPROFENO 20/400 MG 10 TABLETAS,400mg,10,tableta,Analgésicos,Analgesia,76.0,6,10,EQ-LIF153,Realdrax Mxd 10 Tab 20/400 Mg,Liferpal,3,100,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
32,RELLENAR,A,4,1181,TRIMEBUTINA SUSPENSION  2G/100ML 1 PIEZA,100ml 2000mg,1,suspension,Funcionamiento gastrointestinal,Medicamentos,76.0,5,8,FC-25300373,Espabion (Trimebutina) suspensión,Degort's Chemical,1,100,principios activos completos; concentracion coincide; forma coincide; nombre parecido (83/63)
33,RELLENAR,A,4,884,OMEPRAZOL 40 MG 7 CAPSULAS,40mg,7,capsula,Funcionamiento gastrointestinal,Medicamentos,74.0,6,10,FC-01162365,Mornin (Omeprazol) 40 mg C/7 SON'S,Son's,2,100,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
34,RELLENAR,A,4,3064,BENZOCAINA 0.1/1G GEL SABOR UVA SIMI BABY,1000mg,,gel,Analgésicos,Analgesia,71.0,5,8,EQ-MAV410,Benzocaina Gel,Maver,1,100,principios activos completos; concentracion coincide; forma coincide; nombre parecido (100/51)
35,RELLENAR,A,4,297,CISAPRIDA 10 MG 30 TABLETAS,10mg,30,tableta,Funcionamiento gastrointestinal,Medicamentos,71.0,5,8,EQ-MAV064,Presistín 30 Tab 10 Mg,Maver,1,100,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
36,RELLENAR,A,4,583,CLONIXINATO DE LISINA / BUTILHIOSCINA 250/10MG 10 TABLETAS,10mg,10,tableta,Analgésicos,Medicamentos,71.0,5,8,EQ-MAV134,Doltrix 10 Tab 250/10 Mg,Maver,1,100,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
37,RELLENAR,A,3,512,PARACETAMOL / BUTILHIOSCINA 500/10 MG 20 TABLETAS,10mg,20,tableta,Analgésicos,Analgesia,71.0,6,10,EQ-BIO002,Biomesina 10 tab 10 mg,Biomep,3,76,principios activos completos; concentracion coincide; cantidad difiere 10≠20; forma coincide
38,RELLENAR,A,5,1850,DESLORATADINA 5 MG 10 TABLETAS,5mg,10,tableta,Antialérgico,Medicamentos,70.0,6,10,EQ-QUM043,Histapharm 10 Tab 5 Mg,Quimpharma,1,100,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
39,RELLENAR,A,4,1763,LORATADINA / FENILEFRINA  5/30 MG 10 TABLETAS LIBERACION PROLONGADA,30mg,10,tableta,Antigripal,Medicamentos,70.0,6,10,EQ-MAV182,Laritol D 10 Tab 30/5 Mg,Maver,2,100,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
40,RELLENAR,A,4,1919,CLOTRIMAZOL V 3 OVULOS 200 MG,200mg,3,ovulo,Antimicótico,Medicamentos,69.0,6,10,FC-LV-GNO016,Lomecan Duo 3 óvulos y crema 200 mg,Genomma Lab,2,100,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
41,RELLENAR,A,4,3199,METFORMINA 850 MG 30 TABLETAS LIBERACION PROLONGADA,850mg,30,tableta,Diabetes,Medicamentos,69.0,6,10,FC-04908776,Metformina Alpharma 850 mg C/30,Alpharma,2,100,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
42,RELLENAR,A,4,1802,ATORVASTATINA 10 MG 20 TABLETAS,10mg,20,tableta,Hipolipemiante,Medicamentos,66.0,6,10,FC-49028913,Atorvastatina 40 mg Caja con 10 tabletas AMSA,AMSA,2,82,principios activos completos; concentracion difiere ['40mg']≠['10mg']; cantidad difiere 10≠20; forma coincide; nombre muy parecido (95/76)
43,RELLENAR,A,3,1803,ATORVASTATINA 20 MG 10 TABLETAS,20mg,10,tableta,Hipolipemiante,Medicamentos,66.0,6,10,FC-A909ABC0,Odivitor,Odivitor,3,100,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
44,RELLENAR,A,3,1127,LOSARTAN POTASICO 50MG 30 TABLETAS,50mg,30,tableta,Antihipertensivo,Medicamentos,66.0,6,10,EQ-WER040,Punab 30 Tab 50 Mg,Wermar,3,100,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
45,RELLENAR,A,4,3734,LORATADINA 16.66/ FENILEFRINA 33.33 MG / PARACETAMOL 3.2 GR JARABE 120 ML 1 PIEZA,120ml 3200mg 33.33mg,1,jarabe,Antigripal,Aparato respiratorio,65.0,6,10,FC-09740657,Laritol EX (Loratadina/Ambroxol) 100-600 mg/100 mL,Maver,2,70,solo 1/2 principios activos; concentracion coincide; equivalente PA+concentración+forma
46,RELLENAR,A,5,417,AMOXICILINA / ACIDO CLAVULANICO 250MG 60ML SUSPENSION 1 PIEZA,250mg 60ml,1,suspension,Antibiótico,Medicamentos,64.0,6,10,EQ-WAN013,Vandix 1 Susp 250mg/5/75 Ml,Wandel,1,100,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
47,RELLENAR,A,5,489,"AMOXICILINA / ACIDO CLAVULANICO 400/57 SUSPENSION 50, 60 ML 1 PIEZA",60ml,1,suspension,Antibiótico,Medicamentos,64.0,6,10,FC-85BDBD3D,Acroxil-C,Acroxil-C,1,70,solo 1/2 principios activos; concentracion coincide; forma coincide; equivalente PA+concentración+forma
48,RELLENAR,A,4,178,SALBUTAMOL AEROSOL PARA INHALACION .1328GR 200 DOSIS 1 PIEZA,1.328e+06mg,1,spray,Aparato respiratorio,Aparato respiratorio,64.0,6,10,EQ-HIS081,Farmarest Salbut 1 Susp/Aer 200do/125,Hispanoamericana,2,80,principios activos completos; nuestro catalogo sin concentracion
49,RELLENAR,A,4,1495,CIPROFLOXACINO / HIDROCORTISONA / LIDOCAINA SUSPENSION OTICA 10 ML 1 PIEZA,10ml,1,suspension,Antibiótico,Medicamentos,63.0,6,10,EQ-SON204,Phendex Otico 1 Susp 2/10/50mg/10 Ml,SON'S,2,100,principios activos completos; concentracion coincide; forma coincide
50,RELLENAR,A,4,761,GLIMEPIRIDA 2 MG 30 TABLETAS,2mg,30,tableta,Diabetes,Medicamentos,63.0,5,8,FC-52D2A43A,Zukedib glimepirida 2 mg C/30,Loeffler,1,100,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
51,RELLENAR,A,1,2446,AMANTADINA / CLORFENAMINA / PARACETAMOL SOLUCION GOTAS 30 ML 1 PIEZA,30ml,1,solucion,Antigripal,Aparato respiratorio,61.0,6,10,EQ-WER025,"Rosel Amantadina, Clorfenamina, Paracetamol",Wermar,5,82,principios activos completos; concentracion difiere ['300mg']≠['30ml']; cantidad difiere 24≠1; forma difiere capsula≠solucion; nombre muy parecido (92/64)
52,RELLENAR,A,5,281,METOCARBAMOL / PARACETAMOL 400/350MG 30 TABLETAS,350mg,30,tableta,Analgésicos,Medicamentos,61.0,6,10,EQ-LIF006,Carbafen 30 Tab 400/350mg,Liferpal,1,100,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
53,RELLENAR,A,4,688,BROMURO DE PINAVERIO 100 MG 14 TABLETAS,100mg,14,tableta,Funcionamiento gastrointestinal,Medicamentos,60.0,5,8,FMX-307626,Bromuro-Pinaverio-Alpharma Tabletas 100 Mg C/14,NEOLPHARMA,1,100,principios activos completos; concentracion coincide; cantidad coincide; forma coincide; nombre muy parecido (92/65)
54,RELLENAR,A,2,633,CETIRIZINA 10 MG 10 TABLETAS,10mg,10,tableta,Antialérgico,Medicamentos,60.0,6,10,FC-27872123,Raamcinet cetirizina 10 mg,Raam,4,100,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
55,RELLENAR,A,5,251,METRONIDAZOL / DIYODOHIDROXIQUINOLEINA 400/200MG 30 TABLETAS,200mg,30,tableta,Antiparasitario,Medicamentos,59.0,6,10,EQ-NOV054,Lambliquin 30 Tab 400/200 Mg,Novag,1,100,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
56,RELLENAR,A,4,144,METRONIDAZOL / NISTATINA 12 OVULOS,,12,ovulo,Antimicótico,Medicamentos,59.0,6,10,EQ-SON096,Fenimeth V 12 Ovs 500mg/100000 Ui,Son's,2,99,principios activos completos; cantidad coincide; forma coincide
57,RELLENAR,A,3,1963,OMEPRAZOL 20 MG 14 CAPSULAS,20mg,14,capsula,Gastritis,Funcionamiento gastrointestinal,59.0,6,10,FC-73902584,Sarox (Omeprazol) 20 mg,Biomep,3,100,principios activos completos; concentracion coincide; cantidad coincide; forma coincide; nombre parecido (83/62)
58,RELLENAR,A,5,2984,TEOFILINA / AMBROXOL .7/.15 GR SOLUCION 150 ML 1 PIEZA,15000mg 150ml,1,solucion,Aparato respiratorio,Medicamentos,59.0,6,10,FC-09747168,Fedrimin (Teofilina/Ambroxol) 0.700-0.150 g/100 mL,Maver,1,95,principios activos completos; concentracion coincide
59,RELLENAR,A,5,441,METFORMINA / GLIBENCLAMIDA 500/5MG 60 TABLETAS,5mg,60,tableta,Diabetes,Medicamentos,58.0,6,10,EQ-MAI150,Maviglin 60 Grag 500/5 Mg,Mavi,1,100,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
60,RELLENAR,A,5,29,AMOXICILINA / BROMHEXINA 250/8 MG POLVO PARA SUSPENSION 1 PIEZA,8mg,1,polvo,Antibiótico,Medicamentos,54.0,6,10,FC-85BDBD3D,Acroxil-C,Acroxil-C,1,70,principios activos completos; concentracion coincide; forma difiere suspension≠polvo
61,RELLENAR,A,5,757,METFORMINA 500 MG 60 TABLETAS,500mg,60,tableta,Diabetes,Medicamentos,54.0,6,10,EQ-NOV157,Glunovag 60 Tab 500 Mg,Novag,1,100,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
62,RELLENAR,A,5,2677,PARACETAMOL 250 MG / ACIDO ACETILSALICILICO 250 MG / CAFEINA 65 MG 24 TABLETAS,250mg 65mg,24,tableta,Analgésicos,Analgesia,54.0,6,10,FC-08895042,Bruluaquil,Bruluagsa,1,100,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
63,RELLENAR,A,4,318,FLUOCINOLONA / METRONIDAZOL / NISTATINA 10 OVULOS,,10,ovulo,Antimicótico,Medicamentos,53.0,6,10,EQ-SON153,Nysmosons-V 10 Ovs 500/0.5mg/100000 Ui,Son's,2,99,principios activos completos; cantidad coincide; forma coincide
64,RELLENAR,A,6,785,KETOROLACO 30 MG TABLETAS SUBLINGUALES 4 TABLETAS,30mg,4,tableta,Analgésicos,Medicamentos,53.0,6,10,EQ-AMS160,Ketorolaco Sublingual,AMSA,0,76,principios activos completos; concentracion coincide; cantidad difiere 6≠4; forma coincide
65,RELLENAR,A,5,453,CIPROFLOXACINO SOLUCION OFTALMICA 5 ML 1 PIEZA,5ml,1,solucion,Oftalmológico,Medicamentos,51.0,6,10,EQ-AMS407,Ciprofloxacino solución oftálmica 3 mg/mL AMSA,AMSA,1,100,principios activos completos; concentracion coincide; forma coincide; nombre parecido (84/85)
66,RELLENAR,A,4,521,METAMIZOL SODICO  5G/100ML JARABE 120ML  1 PIEZA,100ml 120ml 5000mg,1,jarabe,Analgésicos,Medicamentos,51.0,6,10,FC-50003151,Neo-Melubrina jarabe,Neo-Melubrina,2,100,principios activos completos; concentracion coincide; forma coincide
67,RELLENAR,A,3,72,CLOTRIMAZOL 2/100GR 20GR CREMA VAGINAL,100000mg 20000mg,,crema,Antimicótico,Medicamentos,49.0,6,10,FC-73906407,Lozamir-V (Clotrimazol) crema 2% con 3 aplicadores,Biomep,3,100,principios activos completos; concentracion coincide; forma coincide
68,RELLENAR,A,3,34,AMPICILINA 500 MG 20 CAPSULAS,500mg,20,capsula,Antibiótico,Medicamentos,48.0,6,10,EQ-SON237,Expicin 25 Caps 500 Mg,SON'S,3,76,principios activos completos; concentracion coincide; cantidad difiere 25≠20; forma coincide
69,RELLENAR,A,4,1590,PANTOPRAZOL 20 MG 7 TABLETAS LIBERACION RETARDADA,20mg,7,tableta,Gastritis,Funcionamiento gastrointestinal,46.0,6,10,EQ-AMS292,Pantoprazol 7 Tab 20 Mg,AMSA,2,100,principios activos completos; concentracion coincide; cantidad coincide; forma coincide; nombre parecido (90/53)
70,RELLENAR,A,2,1107,PARACETAMOL/IBUPROFENO 325MG/200MG 20TABLETAS,200mg 325mg,20,,Analgésicos,Analgesia,46.0,6,10,FC-36009661,Dualgos (Paracetamol/Ibuprofeno),Liferpal MD,4,100,principios activos completos; concentracion coincide; cantidad coincide; nombre parecido (85/59)
71,RELLENAR,A,5,1818,AMANTADINA .5 GR / CLORFENAMINA .02 GR/ PARACETAMOL 3 GR  SOLUCION INFANTIL 60 ML 1 PIEZA,2000mg 3000mg 5000mg 60ml,1,solucion,Antigripal,Aparato respiratorio,45.0,6,10,FC-85097661,Antiflu-Des Jr Antigripal,Chinoin,1,70,sin identidad comprobable; equivalente PA+concentración+forma
72,RELLENAR,A,5,460,AMBROXOL / SALBUTAMOL .15/.04 GR SOLUCION 120 ML 1 PIEZA,120ml 4000mg,1,solucion,Aparato respiratorio,Medicamentos,45.0,6,10,FC-69A3C416,Wexpec,Wexpec,1,100,principios activos completos; concentracion coincide; forma coincide
73,RELLENAR,A,3,1108,CLONIXINATO DE LISINA 250 MG 10 TABLETAS,250mg,10,tableta,Analgésicos,Medicamentos,45.0,5,8,EQ-SER025,Lonixer 10 Tab 250 Mg,Serral,2,100,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
74,RELLENAR,A,1,93,ENALAPRIL 10 MG 30 TABLETAS,10mg,30,tableta,Antihipertensivo,Medicamentos,45.0,6,10,FC-53506FA4,Enalapril,ULTRA,5,100,principios activos completos; concentracion coincide; cantidad coincide; forma coincide; nombre parecido (100/50)
75,RELLENAR,A,5,377,AMPICILINA 250MG/5ML SUSPENSION 90 ML 1 PIEZA,250mg 5ml 90ml,1,suspension,Antibiótico,Medicamentos,44.0,6,10,FC-B72A6420,Pentiver,Pentiver,1,100,principios activos completos; concentracion coincide; forma coincide
76,RELLENAR,A,1,615,LORATADINA 10 MG 20 TABLETAS,10mg,20,tableta,Antialérgico,Medicamentos,44.0,6,10,FC-09740435,Laritol (Loratadina) 10 mg,Maver,5,76,principios activos completos; concentracion coincide; cantidad difiere 10≠20; forma coincide; nombre parecido (80/62)
77,RELLENAR,A,5,151,NAPROXENO/PARACETAMOL 125/100MG/5ML SUSPENSION 100ML,100mg 100ml 5ml,,suspension,Analgésicos,Analgesia,44.0,6,10,FC-37103354,Brunadol Infantil paracetamol/naproxeno,Bruluart,1,95,principios activos completos; concentracion coincide
78,RELLENAR,A,4,2261,NAPROXENO/LIDOCAINA 10G/2G GEL TOPICO 35GR,10000mg 2000mg 35000mg,,gel,Analgésicos,Analgesia,43.0,6,10,FC-09745539,Lumboxen gel (Naproxeno/Lidocaína),Maver,2,100,principios activos completos; concentracion coincide; forma coincide; nombre parecido (84/51)
79,RELLENAR,A,5,416,AMOXICILINA / ACIDO CLAVULANICO 125/31.25 MG SUSPENSION 60 ML 1 PIEZA,31.25mg 60ml,1,suspension,Antibiótico,Medicamentos,42.0,6,10,FC-85BDBD3D,Acroxil-C,Acroxil-C,1,70,solo 1/2 principios activos; concentracion coincide; forma coincide; equivalente PA+concentración+forma
80,RELLENAR,A,5,293,AMOXICILINA 500 MG SUSPENSION 75 ML 1 PIEZA,500mg 75ml,1,suspension,Antibiótico,Medicamentos,42.0,6,10,EQ-WAN013,Vandix 1 Susp 250mg/5/75 Ml,Wandel,1,100,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
81,RELLENAR,A,5,80,DICLOFENACO 1.16G/100G 60GR GEL,100000mg 1160mg 60000mg,,gel,Analgésicos,Analgesia,42.0,6,10,EQ-COL239,Volfenac Gel,Collins,1,100,principios activos completos; concentracion coincide; forma coincide
82,RELLENAR,A,5,2179,IBUPROFENO / CAFEINA 400/100 MG 10 CAPSULAS,100mg,10,capsula,Analgésicos,Medicamentos,41.0,6,10,FC-3D0F54B7,Ibuprofeno Cafeina,Gelpharma,1,100,principios activos completos; concentracion coincide; cantidad coincide; forma coincide; nombre muy parecido (100/59)
83,RELLENAR,A,5,873,LORATADINA / FENILEFRINA 50/100MG JARABE INFANTIL 60 ML 1 PIEZA,100mg 60ml,1,jarabe,Antigripal,Medicamentos,41.0,6,10,EQ-MAV118,Laritol D infantil jarabe 50 mL,Maver,1,100,principios activos completos; concentracion coincide; forma coincide
84,RELLENAR,A,4,1069,DIMETICONA SUSPENSION GOTAS 30 ML  1 PIEZA,30ml,1,suspension,Funcionamiento gastrointestinal,Medicamentos,40.0,5,8,FC-11788690,Diotexona (Dimeticona) 10 g/100 mL pediátrico,Loeffler / Russek,1,95,principios activos completos; concentracion coincide
85,RELLENAR,A,4,3031,ACIDO ACETILSALICILICO/BICARBONATO DE SODIO/ACIDO CITRICO 10 TABLETAS ALKA SELTZER,,10,tableta,Gastritis,Funcionamiento gastrointestinal,39.0,6,10,FC-95451096,Sal de uvas,Picot,2,93,principios activos completos; cantidad coincide
86,RELLENAR,A,1,27,AMOXICILINA 500 MG 12 CAPSULAS,500mg,12,capsula,Antibiótico,Medicamentos,39.0,6,10,FC-A0D320D1,Amoxicilina,,5,100,principios activos completos; concentracion coincide; cantidad coincide; forma coincide; nombre parecido (100/54)
87,RELLENAR,A,5,62,CIPROFLOXACINO 250 MG 12 TABLETAS,250mg,12,tableta,Antibiótico,Medicamentos,39.0,6,10,FC-74A5ABEE,Ciprofloxacino,AMSA,1,100,principios activos completos; concentracion coincide; cantidad coincide; forma coincide; nombre muy parecido (100/60)
88,RELLENAR,A,5,450,LORATADINA 100MG/100ML JARABE 1 PIEZA,100mg 100ml,1,jarabe,Antialérgico,Medicamentos,39.0,6,10,EQ-MAV187,Erispan Compuesto 1 Sol 5/100mg/60 Ml,Maver,1,70,solo 1/2 principios activos; concentracion coincide; forma difiere solucion≠jarabe; equivalente PA+concentración+forma
89,RELLENAR,A,3,148,NAPROXENO SODICO 550 MG 12 TABLETAS,550mg,12,tableta,Analgésicos,Analgesia,39.0,6,10,EQ-BIO167,Bixen Naproxeno Sódico,Biomep,3,100,principios activos completos; concentracion coincide; cantidad coincide; nombre parecido (84/56)
90,RELLENAR,A,4,292,SALBUTAMOL 40MG/100ML JARABE 120 ML 1 PIEZA,100ml 120ml 40mg,1,jarabe,Aparato respiratorio,Medicamentos,39.0,6,10,EQ-HIS081,Farmarest Salbut 1 Susp/Aer 200do/125,Hispanoamericana,2,80,principios activos completos; nuestro catalogo sin concentracion
