sku,nombre,principio_activo,costo,precio_fc,mejor_confianza,mejor_candidato,motivo
FC-11788928,Desyn-N (Lidocaína/Hidrocortisona) 60/5 mg,Lidocaína/Hidrocortisona,31.62,51,70,HIDROCORTISONA / LIDOCAINA  5/60MG 6 SUPOSITORIOS,no comparable: concentracion difiere ['5mg']≠['60mg']
FC-12250181,Rocainol Ung,Salicilato de metilo + Mentol,53.12,71.72,47,ALCANFOR / MENTOL / EUCALIPTO / TREMENTINA / SALICILATO DE METILO UNGÜENTO 1 PIEZA,"no comparable: al competidor le sobran principios activos (alcanfor, eucalipto, trementina)"
FC-27424995,Difenhidramina 25 mg,,19.59,32,55,DIFENHIDRAMINA 25 MG 30 CAPSULAS,confianza 55 < 85
FC-25100123,Solucion CS PiSA cloruro de sodio 0.9% 500 mL,Cloruro de sodio 0.9%,35.21,73.78,82,AGUA DE MAR ISOTONICA (EQUIVALENTE 0.9% CLORURO DE SODIO) 100 MLL 1 PIEZA,no comparable: candidato sin tamano declarado
FC-25300366,Espabion (Trimebutina) 20 mg/mL gotas,Trimebutina,25.67,42,72,TRIMEBUTINA 20MG/1M PEDIATRICO SUSPENSION GOTAS 30 ML 1 PIEZA,no comparable: forma difiere gotas≠suspension
FC-22300881,Jeringa insulina SensiMedical 1 mL 27G x 13 mm,,1.37,3,21,JERINGA PARA INSULINA 1ML 31X6 10 PIEZAS ULTRA FINE,confianza 21 < 85
FC-11783282,Erbitrax (Terbinafina) crema 1%,Terbinafina,28.62,46,70,TERBINAFINA 250 MG 28 TABLETAS,no comparable: concentracion difiere ['30000mg']≠['250mg']
FC-01165298,Exhantil suspensión antiácido/antiflatulento,,33.0,53,8,ALUMINIO 3.7 GR / MAGNESIO 4 GR / SIMETICONA .5 GR SUSPENSION 320 ML 1 PIEZA,confianza 8 < 85
FC-22300775,Jeringa Sensi Medical 3 mL 22G x 32 mm negra,,1.4,3,24,RASTRILLO CABALLERO TRIPLE HOJA CON BANDA LUBRICANTE PIEL SENSIBLE COLOR VERDE 1 PIEZA,no comparable: candidato sin tamano declarado
FC-47521025,Hemoger (Sulfato ferroso) 300 mg,Sulfato ferroso,56.3,91,70,SULFATO FERROSO 75MG/ML SOLUCION PEDIATRICA 50ML FERINSOL,"no comparable: concentracion difiere ['300mg']≠['50ml', '75mg']"
FC-01007656,Wamindel (Paracetamol) gotas 100 mg/mL,Paracetamol,12.02,20,72,PARACETAMOL 100 MG/ML SOLUCION PEDIATRICA SABOR UVA TEMPRA 30 ML 1 PIEZA,no comparable: forma difiere gotas≠solucion
FC-08344495,Lactopram infantil 150 mg sabor chocolate,Lactobacillus,27.24,39,82,GOMITAS LACTOBACILLUS ESPORULADOS 60 GOMITAS,no comparable: candidato sin tamano declarado
FC-07535494,Motrin Infantil Suspension 120 ml,Ibuprofeno 2 g/100 ml,186.4,252.0,100,IBUPROFENO  2GR/100ML SUSPENSION 120 ML 1 PIEZA,precio 0.17x el costo
FC-50003314,Unguento Bronco Rub 40 g,Herbolario topico,29.01,39.16,0,,sin resultados VTEX
FC-25304142,Hidrigort (Difenhidramina) 50 mg,Difenhidramina,10.11,17,70,DIFENHIDRAMINA 25 MG 30 CAPSULAS,no comparable: concentracion difiere ['50mg']≠['25mg']
FC-08344303,Ladexgel 300/2/10 mg,,20.55,33,0,,sin resultados VTEX
FC-64560163,Iodex Cristal,Mentol + eucalipto,70.07,94.6,72,PALETAS SIMILYPTUS MENTOL / MIEL / EUCALIPTO CON PROPOLEO 16 PIEZAS,no comparable: candidato sin tamano declarado
FC-12225027,Derman Crema 50 g,Ácido undecilénico + Undecilenato de zinc,44.69,60.34,0,ACIDO ACETILSALICILICO/BICARBONATO DE SODIO/ACIDO CITRICO 10 TABLETAS ALKA SELTZER,no comparable: al competidor le faltan 1/2 principios activos (undecilenato)
FC-18752637,Itamol (Subsalicilato de bismuto) 262 mg,Subsalicilato de bismuto,34.09,55,82,SUBSALICILATO DE BISMUTO 24 TABLETAS MASTICABLES,no comparable: candidato sin tamano declarado
EQ-MAV182,Laritol D 10 Tab 30/5 Mg,Fenilefrina / Loratadina,38.59,62,70,LORATADINA / FENILEFRINA 50/100MG JARABE INFANTIL 60 ML 1 PIEZA,"no comparable: concentracion difiere ['5mg']≠['100mg', '60ml']"
FC-04908714,Miconazol crema 2%,,10.87,18,55,MICONAZOL 2 GR CREMA 20 GR 1 PIEZA,confianza 55 < 85
FC-5112881,Pisacaina 2% 20 mg/ml Sol 50 ml,Lidocaina,85.0,114.75,70,LIDOCAINA  5/100GR (5%) UNGÜENTO 1 PIEZA,"no comparable: concentracion difiere ['20mg', '50ml']≠['100000mg']"
FC-09790739,Normex leche de magnesia 8.5 g/100 mL,,14.06,23,0,,sin resultados VTEX
EQ-SON024,Bentix 1 Cma 40g 3/0.0 %,Clioquinol / Fluocinolona,28.12,45,70,FLUOCINOLONA / CLIOQUINOL .01/3 GR CREMA 1 PIEZA,no comparable: concentracion difiere ['40000mg']≠['3000mg']
FC-04908738,Lidocaina unguento 5% tubo 35 g,Lidocaina 5%,23.3,38,70,LIDOCAINA  5/100GR (5%) UNGÜENTO 1 PIEZA,no comparable: concentracion difiere ['35000mg']≠['100000mg']
FC-09760541,Normex leche de magnesia 8.5 g/100 mL,,41.82,67,0,,sin resultados VTEX
FC-5145497,NyQuil Z difenhidramina 25 mg C/30,Difenhidramina 25 mg,265.0,358.0,100,DIFENHIDRAMINA 25 MG 30 CAPSULAS,precio 0.12x el costo
EQ-BRU016,Brulin (Dexametasona) 3 Fa 8mg/2 Ml,Dexametasona,24.28,39,72,DEXAMETASONA SOLUCION INYECTABLE 8MG/2ML 1 PIEZA,no comparable: forma difiere inyectable≠solucion
FC-08344150,Prugnex Senósidos A-B 12 mg + ciruela 50 mg,,37.07,60,25,SENOSIDOS AB / CIRUELA 30 PERLAS,no comparable: candidato sin tamano declarado
FC-03405381,Vitacilina Ungüento,Neomicina + Bacitracina zinc,23.06,31.14,47,POLIMIXINA B / NEOMICINA / BACITRACINA UNGÜENTO 3.5GR 1 PIEZA,no comparable: al competidor le sobran principios activos (polimixina)
FC-73902584,Sarox (Omeprazol) 20 mg,Omeprazol,8.42,14,100,OMEPRAZOL 20 MG 14 CAPSULAS,precio 7.0x el costo
FC-40450230,Rosel solución infantil 0.5/0.02/3 g,,26.88,44,18,AMANTADINA .5 GR / CLORFENAMINA .02 GR/ PARACETAMOL 3 GR  SOLUCION INFANTIL 60 ML 1 PIEZA,confianza 18 < 85
FC-90287992,Redbelgy (Cianocobalamina) 1000 mcg masticable,Cianocobalamina,34.69,56,82,SIMI B12 CIANOCOBALAMINA (VITAMINA B12) 30 TABLETAS MASTICABLES,no comparable: candidato sin tamano declarado
FC-03430721,Vitacilina 28 Crema,Neomicina + Bacitracina zinc,38.12,51.47,47,POLIMIXINA B / NEOMICINA / BACITRACINA UNGÜENTO 3.5GR 1 PIEZA,no comparable: al competidor le sobran principios activos (polimixina)
FC-49024151,Metoclopramida inyectable 10 mg/2 mL C/6 AMSA,,21.0,34,72,METOCLOPRAMIDA 10 MG 20 TABLETAS,no comparable: forma difiere inyectable≠tableta
FC-49020337,Sulindaco 200 mg,,47.3,76,55,SULINDACO 200 MG 20 TABLETAS,confianza 55 < 85
FC-00005823,Tobramicina / Dexametasona solución oftálmica 3-1 mg/mL,,54.22,87,55,TOBRAMICINA / DEXAMETASONA 3/1 MG SOLUCION OFTALMICA 5 ML 1 PIEZA,confianza 55 < 85
EQ-AMS209,Hipromelosa Oft 1 Sol 5mg/10 Ml,Hipromelosa,24.86,40,70,HIPROMELOSA 0.5% SOLUCION OFTALMICA 15 ML 1 PIEZA,"no comparable: concentracion difiere ['10ml', '5mg']≠['15ml']"
EQ-ALP0628,Metamizol Sódico 3 Amp 1g/2 Ml,Metamizol sódico,14.68,24,72,METAMIZOL 1 GR SOLUCION INYECTABLE 3 AMPOLLETAS,no comparable: forma difiere inyectable≠solucion
EQ-AMS428,Cisaprida 30 Tab 5 Mg,Cisaprida,23.91,39,70,CISAPRIDA 10 MG 30 TABLETAS,no comparable: concentracion difiere ['5mg']≠['10mg']
EQ-QUM014,Pharmacaine 1 Aer 10g/100ml/115 Ml,Lidocaína,101.3,163,70,LIDOCAINA  5/100GR (5%) UNGÜENTO 1 PIEZA,"no comparable: concentracion difiere ['10000mg', '100ml', '115ml']≠['100000mg']"
EQ-COL073,Otilin 1 Got 350mg/2g De 20 Ml,Lidocaína / Neomicina,25.01,41,72,NEOMICINA / LIDOCAINA 0.350/2GR SOLUCION GOTAS 20 ML 1 PIEZA,no comparable: forma difiere gotas≠solucion
EQ-MAV142,Cefabroxil 15 Tab 500/30 Mg,Cefalexina / Ambroxol,44.44,72,65,AMBROXOL 30 MG 20 COMPRIMIDOS,no comparable: al competidor le faltan 1/2 principios activos (cefalexina)
EQ-AMS328,Ketorolaco 3 Amp 30 Mg,Ketorolaco,11.33,19,72,KETOROLACO 30 MG TABLETAS SUBLINGUALES 4 TABLETAS,no comparable: forma difiere inyectable≠tableta
FC-83142308,Tempire (Paracetamol) gotas 100 mg/mL,Paracetamol,20.0,32,72,PARACETAMOL 100 MG/ML SOLUCION PEDIATRICA SABOR UVA TEMPRA 30 ML 1 PIEZA,no comparable: forma difiere gotas≠solucion
EQ-AMS398,Bencil/Benz Comp 1 Fa 1.2 U 3 Ml,Benzatina / procaína / cristalina,18.07,29,26,BENCILPENICILINA / BENZATINA SUSPENSION INYECTABLE 1 PIEZA,"no comparable: al competidor le faltan 2/3 principios activos (procaina, cristalina)"
EQ-SON264,Laur Solución Inyectable,"Ampicilina, Metamizol, Guaifenesina, Lidocaína, Clorfenamina. 500mg/500mg/100mg/30mg/4mg",59.63,96,46,AMPICILINA 500 MG 20 CAPSULAS,"no comparable: al competidor le faltan 4/5 principios activos (metamizol, guaifenesina, lidocaina)"
EQ-MAV065,Presistin 1 Susp 0.1g/60ml,Cisaprida,24.47,40,70,CISAPRIDA 10 MG 30 TABLETAS,"no comparable: concentracion difiere ['100mg', '60ml']≠['10mg']"
EQ-AMS288,Dexam/Neomi 1 Gotas 1/3.5mg/5 Ml,Dexanetasona/Neomicina,23.15,38,41,DEXAMETASONA / NEOMICINA 1/3.5 MG SOLUCION GOTAS OFTALMICAS 5 ML 1 PIEZA,no comparable: al competidor le sobran principios activos (oftalmicas)
FC-47624171,Nailex Desenterrador Unas Desenterrador Unas,,54.49,87.19,0,,sin resultados VTEX
FC-54221482,Deeflamox Plus,Amoxicilina + Acido clavulanico,42.41,58.0,70,AMOXICILINA / ACIDO CLAVULANICO 875MG 10 TABLETAS,no comparable: concentracion difiere ['5ml']≠['875mg']
FC-75717914,Nineka suspensión neomicina/caolín/pectina,Neomicina + Caolin + Pectina,23.45,38,82,NEOMICINA / CAOLIN / PECTINA SUSPENSION 1 PZA,no comparable: candidato sin tamano declarado
FC-71800210,Floroglucinol / Trimetilfloroglucinol 80/80 mg,,152.51,245,55,FLOROGLUCINOL / TRIMETILFLOROGLUCINOL 80/80MG 20 CAPSULAS,confianza 55 < 85
FC-08895042,Bruluaquil AAS/paracetamol/cafeína 250/250/65 mg,,42.35,68,0,,sin resultados VTEX
EQ-SON160,Disons Dex 1 Fa 5/2 Mg,Betametasona,36.86,59,72,BETAMETASONA DE DIPROPIONATO / BETAMETASONA DE FOSFATO SODICO SUSPENSION INYECTABLE 1 AMPOLLETA,no comparable: candidato sin tamano declarado
EQ-RAD096,Calcio Efe 12 Comp 500 Mg,Calcio,39.07,63,82,CARBONATO DE CALCIO 12 TABLETAS MASTICABLES SABOR MENTA,no comparable: candidato sin tamano declarado
FC-09790029,Normex leche de magnesia 8.5 g/100 mL,,26.67,43,0,,sin resultados VTEX
EQ-HIS076,Fhaspem 3 Amp 20 Mg/1 Ml,Hioscina,23.53,38,72,BUTILHIOSCINA  20MG/1ML SOLUCION INYECTABLE 3 AMPOLLETAS,no comparable: forma difiere inyectable≠solucion
FC-00001292,Aceite de ricino Frasco 50 mL Mercurio,Aceite de ricino,9.5,16,0,,sin resultados VTEX
EQ-MAV174,Flexiver Compuesto 10 Caps 215/15 Mg,Meloxicam / Metocarbamol,40.06,65,70,MELOXICAM / METOCARBAMOL 15/215MG 10 CAPSULAS,no comparable: concentracion difiere ['15mg']≠['215mg']
FC-00001612,Jarabe de granada Frasco 50 mL Mercurio,Jarabe de granada,7.0,12,0,,sin resultados VTEX
FC-2225010,Derman Crema 25 g,Acido undecilenico + Undecilenato de zinc,27.8,37.53,0,ACIDO ACETILSALICILICO/BICARBONATO DE SODIO/ACIDO CITRICO 10 TABLETAS ALKA SELTZER,no comparable: al competidor le faltan 1/2 principios activos (undecilenato)
FC-06922728,Motilaxil solución (Picosulfato de sodio) 5 mg/5 mL,Picosulfato de sodio,25.04,41,72,PICOSULFATO DE SODIO 5 MG 20 TABLETAS,no comparable: forma difiere solucion≠tableta
FC-01163232,Ridin Pediátrica jarabe dextrometorfano/guaifenesina/clorfenamina,,26.62,43,0,FENAZOPIRIDINA 100 MG 20 TABLETAS,no comparable: concentracion difiere ['120ml']≠['100mg']
EQ-SON039,Dicleophen 12 Caps 500 Mg,Dicloxacilina,26.82,43,82,DICLOXACILINA 12 CAPSULAS,no comparable: candidato sin tamano declarado
EQ-SON193,Poral Otico 1 Got 10 Ml,Hidrocortisona / Cloranfenicol / Benzocaína,34.41,56,72,HIDROCORTISONA / CLORANFENICOL / BENZOCAINA SOLUCION OTICA 10 ML 1 PIEZA,no comparable: forma difiere gotas≠solucion
EQ-MAV140,Doltrix 3 Amp 100/20mg/2 Ml,Clonixinato / Hioscina,61.88,100,70,CLONIXINATO DE LISINA / BUTILHIOSCINA 125/10MG 20 TABLETAS,"no comparable: concentracion difiere ['20mg', '2ml']≠['10mg']"
FC-002663,Lomotil Loperamida,Loperamida,119.56,162.0,90,LOPERAMIDA 2 MG 12 TABLETAS,precio 0.10x el costo
FC-40015366,Nasalub Sol,Cloruro de sodio + Glicerol,83.32,112.49,39,CLORURO DE SODIO 6.5MG/1ML SOLUCION NASAL 30 ML 1 PIEZA,no comparable: al competidor le faltan 1/2 principios activos (glicerol)
FC-06922711,Motilaxil gotas (Picosulfato de sodio) 7.5 mg/mL,Picosulfato de sodio,27.53,45,72,PICOSULFATO DE SODIO SOLUCION GOTAS 30 ML 1 PIEZA,no comparable: forma difiere gotas≠solucion
EQ-MAV378,Flausiver 1 Gel 100 G,,37.55,61,0,DIOSMINA / HESPERIDINA 450/50MG 20 TABLETAS,no comparable: concentracion difiere ['100000mg']≠['50mg']
EQ-BIO003,Biomesina Compuesta 10 Grag 250/10 Mg,,28.57,46,18,METAMIZOL / BUTILHIOSCINA  250/10MG 10 GRAGEAS,confianza 18 < 85
FC-85278507,Manzanilla Sophia Solucion 15 ml,Manzanilla (Matricaria chamomilla),63.41,86.0,14,BALSAMO FRIO CON EXTRACTO AISLADO DE CANNABIDIOL CBD / ALOE VERA /ARNICA / MANZANILLA 90 GR 1 PIEZA,"no comparable: al competidor le sobran principios activos (balsamo, arnica)"
FC-49025844,Telmisartán 40 mg,,35.1,57,55,TELMISARTAN 40 MG 14 TABLETAS,confianza 55 < 85
EQ-HIS085,Protaisol 1 Susp/Aer 200 Dos/5 12.80 G,Ipratropio,96.21,154,70,IPRATROPIO 20 MCG AEROSOL PARA INHALACION 200 DOSIS 1 PIEZA,no comparable: concentracion difiere ['12800mg']≠['20mcg']
EQ-SON096,Fenimeth V 12 Ovs 500mg/100000 Ui,,34.15,55,0,METRONIDAZOL / NISTATINA 12 OVULOS,no comparable: candidato sin tamano declarado
FC-09747168,Fedrimin (Teofilina/Ambroxol) 0.700-0.150 g/100 mL,Teofilina/Ambroxol,34.25,55,70,TEOFILINA / AMBROXOL .7/.15 GR SOLUCION 150 ML 1 PIEZA,"no comparable: concentracion difiere en parte ['100ml', '150mg', '150ml']≠['15000mg', '150ml']"
EQ-MAV187,Erispan Compuesto 1 Sol 5/100mg/60 Ml,Loratadina / Betametasona,22.53,37,70,LORATADINA / BETAMETASONA 100/5 MG SOLUCION 60 ML 1 PIEZA,"no comparable: concentracion difiere en parte ['100mg', '60ml']≠['5mg', '60ml']"
FC-09745393,Siracux Adulto (Oxeladina/Ambroxol) 0.200-0.225 g/100 mL,Oxeladina/Ambroxol,42.66,69,0,LEVODROPROPIZINA / AMBROXOL 0.6/0.3GR/100ML SOLUCION 120ML,no comparable: al competidor le faltan 1/2 principios activos (oxeladina)
EQ-AMS406,Cinitaprida 25 Comp 1 Mg,Cinitaprida,17.58,29,100,CINITAPRIDA 1MG 25 COMPRIMIDOS,precio 6.8x el costo
EQ-SON225,Norkin 7 Caps 40 Mg,,13.95,23,0,,sin resultados VTEX
EQ-MAV295,Erispan Comp 10 Tab 5/0.25 Mg,Loratadina / Betametasona,8.27,14,70,LORATADINA / BETAMETASONA  5 /.25 MG 10 TABLETAS,no comparable: concentracion difiere ['0.25mg']≠['25mg']
EQ-SON033,Busconet 1 Fa 250/20mg/5 Ml,Hioscina / Metamizol sódico,33.38,54,70,METAMIZOL SODICO / BUTILHIOSCINA 2.5G/20MG SOLUCION INYECTABLE 1 AMPOLLETA,"no comparable: concentracion difiere en parte ['20mg', '5ml']≠['20mg', '2500mg']"
EQ-EXA042,Cromoglicato Sodio 1 Sol 40 Mg/5 Ml,Cromoglicato de sodio,45.61,73,72,CROMOGLICATO DE SODIO SOLUCION OFTALMICA 5 ML 1 PIEZA,no comparable: forma difiere gotas≠solucion
FC-23111387,Jarabe dropropizina/bromhexina Quimpharma 100 mL,Dropropizina + Bromhexina,70.37,113,70,DROPROPIZINA / BROMHEXINA 0.300/0.160GR 200ML SOLUCION ADULTO,"no comparable: concentracion difiere ['100ml']≠['160mg', '200ml']"
EQ-SON153,Nysmosons-V 10 Ovs 500/0.5mg/100000 Ui,,43.06,69,0,,sin resultados VTEX
EQ-NOV165,Budenova Susp .125 Mg/Ml 5 Amp 2ml,Budesonida,130.24,209,70,BUDESONIDA SUSPENSION 0.250MG/2ML O 0.125MG/ML PARA NEBULIZACION 5 AMPOLLETAS,"no comparable: concentracion difiere en parte ['125mg', '2ml']≠['0.125mg', '0.25mg', '2ml']"
FC-75723830,Atroxolam (Teofilina/Ambroxol) 7.0-1.5 mg/mL jarabe,Teofilina/Ambroxol,29.77,48,70,TEOFILINA / AMBROXOL .7/.15 GR SOLUCION 150 ML 1 PIEZA,"no comparable: concentracion difiere en parte ['1.5mg', '150ml']≠['15000mg', '150ml']"
FC-75710465,Benciefedril jarabe dextrometorfano/guaifenesina,,22.74,37,43,DEXTROMETORFANO / GUAIFENESINA  .2/2 GR ADULTO SOLUCION 120 ML 1 PIEZA,confianza 43 < 85
FC-73903260,Bromhexina Adulto solución 160 mg/100 mL,,17.59,29,55,BROMHEXINA 160MG/100ML ADULTO SOLUCION 1 PIEZA,confianza 55 < 85
FC-73903246,Bromhexina Infantil solución 80 mg/100 mL,,17.11,28,55,BROMHEXINA 80MG/100ML SOLUCION INFANTIL 1 PIEZA,confianza 55 < 85
EQ-MAV322,"Traditor Indometacina, Betametasona","Indometacina / Betametasona, 500mg/50mg",47.47,76,53,INDOMETACINA / BETAMETASONA / METOCARBAMOL 20 CAPSULAS,no comparable: al competidor le sobran principios activos (metocarbamol)
EQ-LOE135,Rosanil 7 Tab 500 Mg,,51.43,83,22,NITAZOXANIDA 500 MG 7 TABLETAS,confianza 22 < 85
EQ-MAV307,Veratrin 20 Caps 215/25/0.75 Mg,,33.36,54,0,INDOMETACINA / BETAMETASONA / METOCARBAMOL 20 CAPSULAS,no comparable: candidato sin tamano declarado
FC-9525015,Eucaliptine Jarabe 140 ml,Dextrometorfano + Sulfoguayacol,107.0,145.0,43,DEXTROMETORFANO 300 MG JARABE 120 ML 1 PIEZA,no comparable: al competidor le faltan 1/2 principios activos (sulfoguayacol)
FC-36006028,Virindrez Infantil (Oximetazolina) 0.025%,Oximetazolina,20.7,34,72,OXIMETAZOLINA ADULTO 50MG/100ML SOLUCION NASAL 20 ML 1 PIEZA,no comparable: forma difiere spray≠solucion
EQ-SON214,Dexametasona/Ciprofloxacino Sol,Ciprofloxacino / Dexametasona,43.08,69,72,CIPROFLOXACINO / DEXAMETASONA 3.5/1 MG SOLUCION OFTALMICA 5 ML 1 PIEZA,no comparable: forma difiere gotas≠solucion
FC-69200016,Estomaquil Polvo C/20,Bismuto subsalicilato; Hidróxido de magnesio; Carbonato de calcio,98.79,133.37,72,SUBSALICILATO DE BISMUTO 24 TABLETAS MASTICABLES,no comparable: candidato sin tamano declarado
EQ-DEG011,Convifer C/Hierro 1 Sol 3/2/.1mg/110,,33.94,55,0,,sin resultados VTEX
FC-36006042,Virindrez Adulto (Oximetazolina) 0.050%,Oximetazolina,23.85,39,72,OXIMETAZOLINA ADULTO 50MG/100ML SOLUCION NASAL 20 ML 1 PIEZA,no comparable: forma difiere spray≠solucion
EQ-OFF009,Dexne Otico 1 Got 1/3.5/15/10 Ml,Dexametasona / Neomicina / Lidocaína,42.69,69,37,DEXAMETASONA/LIDOCAINA/VITAMINA B1 B6 B12 6 AMPOLLETAS,no comparable: al competidor le faltan 1/3 principios activos (neomicina)
EQ-NOV054,Lambliquin 30 Tab 400/200 Mg,,42.73,69,2,METRONIDAZOL / DIYODOHIDROXIQUINOLEINA 400/200MG 30 TABLETAS,confianza 2 < 85
EQ-SON098,Metroson 1 Susp 250mg/5/120 Ml,,21.66,35,0,METRONIDAZOL 2.5GR/100ML SUSPENSION 1 PIEZA,"no comparable: concentracion difiere ['120ml', '250mg']≠['100ml', '2500mg']"
FC-0287855,Vita Kid-C jarabe vitamina C naranja 240 ml,Vitamina c,29.14,69.0,72,VITAMINA D3+VITAMINA K2 30 CAPSULAS,no comparable: candidato sin tamano declarado
EQ-MAI163,Crostox 30 Tab 20 Mg,,76.84,123,0,,sin resultados VTEX
FMX-506779,Catéter Sumitex 20G x 33 mm rosa,,9.26,15,0,,sin resultados VTEX
EQ-LOE132,Faribrox Tm Adulto 1 Jbe 150 Ml,Ambroxol / Dextrometorfano,23.19,38,70,AMBROXOL/ DEXTROMETORFANO 150/113MG JARABE INFANTIL 120ML,"no comparable: concentracion difiere ['150ml']≠['113mg', '120ml']"
EQ-VIC030,Tofel 10 Tab 50/500 Mg,Diclofenaco / Paracetamol,37.55,61,65,PARACETAMOL 500 MG 10 TABLETAS,no comparable: al competidor le faltan 1/2 principios activos (diclofenaco)
EQ-BIO017,Colpragin 30 Tab 10 Mg,Pravastatina,14.6,24,100,PRAVASTATINA 10 MG 30 TABLETAS,precio 8.2x el costo
FC-MULIER30,Gelcavit Mulier capsulas 1.54 g C/30,"Isoflavonas de soya, lecitina de soya, vitaminas y minerales",78.55,125.0,46,ISOFLAVONAS SOYA DR SIMI 30 TABLETAS,"no comparable: al competidor le faltan 3/4 principios activos (lecitina, vitaminas, minerales)"
FC-28833707,Levofloxacino 500 mg Caja con 7 tabletas beadvance,Levofloxacino,18.77,31,100,LEVOFLOXACINO 500 MG 7 TABLETAS,precio 7.9x el costo
FC-49021044,Clindamicina 600 mg/4 mL Caja con 5 ampolletas AMSA,Clindamicina,88.42,142,72,CLINDAMICINA 600MG/4ML SOLUCION INYECTABLE 1 AMPOLLETA,no comparable: forma difiere inyectable≠solucion
FC-00001049,Pomada de árnica Tarro 50 g Mercurio,Árnica,10.5,17,72,ARNICA 6C 30 TABLETAS,no comparable: candidato sin tamano declarado
FC-52200809,Cina 750 mg Caja con 7 tabletas Landsteiner,Levofloxacino 750 mg,28.87,47,100,LEVOFLOXACINO 750 MG 7 TABLETAS,precio 7.9x el costo
EQ-LOE066,Pensodil-S 5 Sup 200/100 Mg,,37.16,60,9,NAPROXENO SODICO/PARACETAMOL 100MG/200MG 5 SUPOSITORIOS,confianza 9 < 85
EQ-BIO138,Lozamir-C 1 Cma 1/30 G,,15.08,25,3,CLOTRIMAZOL 1/100GR 30GR CREMA,confianza 3 < 85
EQ-SON089,Magnil 1 Jbe 250mg/5/100 Ml,,24.05,39,0,METAMIZOL SODICO  5G/100ML JARABE 120ML  1 PIEZA,"no comparable: concentracion difiere en parte ['100ml', '250mg']≠['100ml', '120ml', '5000mg']"
EQ-QUI096,Levonorgestrel / Etinilestradiol 0.15/0.03 mg C/21,Levonorgestrel / Etinilestradiol,22.72,37,70,LEVONORGESTREL / ETINILESTRADIOL .15/.03 MG 28 TABLETAS,no comparable: concentracion difiere ['0.03mg']≠['3mg']
EQ-ULT145,Sildenafil 4 Tab 100 Mg,,24.21,39,100,SILDENAFIL 100 MG 4 TABLETAS,precio 6.2x el costo
EQ-MAV331,Lonvitol 10 Amp .05/2.5 Mg/ 2.5 Ml,,69.83,112,0,IPRATROPIO / SALBUTAMOL SOLUCION PARA NEBULIZACION 10 AMPOLLETAS,no comparable: candidato sin tamano declarado
EQ-AVT216,Soltadol 10 Tab 750 Mg,,5.04,9,22,PARACETAMOL 750MG 10 TABLETAS,confianza 22 < 85
FC-30713851,Gelcavit Platinum capsulas 1.39 g C/30,"Coenzima Q-10, aceite de primula, aceite de germen de trigo, vitaminas y minerales",71.49,115.0,17,NAD/RESVERATROL/COENZIMA Q10 30 CAPSULAS,"no comparable: al competidor le faltan 4/5 principios activos (primula, germen, vitaminas)"
