sku,nombre,tipo,costo,precio_fc,precio_similares,confianza,nombre_similares,termino,razones,tenia_ref,sim_previo,stock,cant_fc,cant_sim
EQ-MAV266,Berniver 2% 1 Ung 15 G,generico,76.86,123.0,84.0,100,MUPIROCINA 2% UNGÜENTO 15 GR 1 PIEZA,mupirocina,principios activos completos; concentracion coincide; forma coincide,False,,1.0,,1
FC-73906469,Biobend bencidamina solucion bucal 360 mL,generico,39.49,64.0,69.0,100,BENCIDAMINA SOLUCION 360 ML 1 PIEZA,bencidamina,principios activos completos; concentracion coincide; forma coincide,True,69.0,2.0,,1
FC-6898B64F,Bioerter Eritromicina Suspensión,generico,47.7,70.0,84.0,100,ERITROMICINA 250 MG SUSPENSION 100 ML 1 PIEZA,eritromicina 100ml,principios activos completos; concentracion coincide; forma coincide,False,,1.0,,1
EQ-BIO100,Biostafex 10 Tab 120 Mg,generico,29.94,48.0,129.0,100,FEXOFENADINA 120 MG PIRQUET 10 COMPRIMIDOS,fexofenadina 120mg,principios activos completos; concentracion coincide; cantidad coincide; forma coincide,True,129.0,2.0,10,10
FC-09745560,Bioxover Dropropizina,generico,28.84,47.0,45.0,100,DROPROPIZINA 300MG JARABE 120 ML 1 PIEZA,dropropizina 120ml,principios activos completos; concentracion coincide; forma coincide,True,45.0,2.0,,1
EQ-BIO167,Bixen Naproxeno Sódico,generico,22.88,37.0,39.0,100,NAPROXENO SODICO 550 MG 12 TABLETAS,naproxeno sodico 550mg,principios activos completos; concentracion coincide; cantidad coincide,True,39.0,4.0,12,12
FMX-307626,Bromuro-Pinaverio-Alpharma Tabletas 100 Mg C/14,generico,16.88,59.0,60.0,100,BROMURO DE PINAVERIO 100 MG 14 TABLETAS,bromuro pinaverio 100mg,principios activos completos; concentracion coincide; cantidad coincide; forma coincide,True,60.0,1.0,14,14
EQ-BIO188,Broxtorfan Dextrometorfano Ambroxol,generico,15.85,26.0,36.0,100,AMBROXOL/ DEXTROMETORFANO 150/113MG JARABE INFANTIL 120ML,dextrometorfano ambroxol 100ml,principios activos completos; equivalente generico verificado por composicion; concentracion coincide; forma coincide,False,,1.0,,
FC-08895042,Bruluaquil,generico,42.35,68.0,54.0,100,PARACETAMOL 250 MG / ACIDO ACETILSALICILICO 250 MG / CAFEINA 65 MG 24 TABLETAS,acido acetilsalicilico 250mg,principios activos completos; equivalente generico verificado por composicion; concentracion coincide; cantidad coincide; forma coincide,False,,1.0,24,24
FC-37103354,Brunadol Infantil paracetamol/naproxeno,generico,30.57,70.0,44.0,100,NAPROXENO/PARACETAMOL 125/100MG/5ML SUSPENSION 100ML,paracetamol naproxeno 100mg,principios activos completos; equivalente generico verificado por composicion; concentracion coincide,False,,1.0,,
FC-103521,Brunadol paracetamol/naproxeno C/10,generico,19.31,30.0,34.0,100,NAPROXENO SODICO/PARACETAMOL 275MG/300MG 10TABLETAS,paracetamol naproxeno 275mg,principios activos completos; equivalente generico verificado por composicion; concentracion coincide; cantidad coincide,True,34.0,4.0,10,10
EQ-LIF006,Carbafen 30 Tab 400/350mg,generico,41.47,67.0,61.0,100,METOCARBAMOL / PARACETAMOL 400/350MG 30 TABLETAS,metocarbamol paracetamol 350mg,principios activos completos; equivalente generico verificado por composicion; concentracion coincide; cantidad coincide; forma coincide,False,,1.0,30,30
EQ-MAV320,Cariden 10 Tab 30 Mg,generico,90.81,146.0,159.0,100,DEFLAZACORT 30 MG 10 TABLETAS,deflazacort 30mg,principios activos completos; concentracion coincide; cantidad coincide; forma coincide,True,159.0,1.0,10,10
EQ-MAV318,Cariden 20 Tab 6 Mg,generico,52.87,85.0,114.0,100,DEFLAZACORT 6 MG 20 TABLETAS,deflazacort 6mg,principios activos completos; concentracion coincide; cantidad coincide; forma coincide,True,114.0,1.0,20,20
EQ-MAV228,Cefagen 10 Tab 500 Mg,generico,144.13,231.0,195.0,100,CEFUROXIMA 500 MG 10 TABLETAS,cefuroxima 500mg,principios activos completos; concentracion coincide; cantidad coincide; forma coincide,True,195.0,1.0,10,10
EQ-AMS491,Cefalexina Susp 100 Ml 250 Mg/5 Ml,generico,32.69,53.0,74.0,100,CEFALEXINA 250MG/5ML SUSPENSION 100 ML 1 PIEZA,cefalexina 100ml,principios activos completos; concentracion coincide; forma coincide,False,,1.0,,1
EQ-AMS349,Cefotaxima IM 500 mg/2 ml,generico,27.99,45.0,59.0,100,CEFOTAXIMA 500 MG SOLUCION INYECTABLE 1 PIEZA,cefotaxima,principios activos completos; concentracion coincide,False,,1.0,,1
EQ-WER038,Charyn 3 Tab 500 Mg,generico,24.98,40.0,110.0,100,AZITROMICINA 500 MG 3 TABLETAS,azitromicina 500mg,principios activos completos; concentracion coincide; cantidad coincide; forma coincide,True,110.0,6.0,3,3
EQ-AVT203,Cidorix 28 Tab 75 Mg,generico,38.11,61.0,89.0,100,CLOPIDOGREL 75 MG 28 TABLETAS,clopidogrel 75mg,principios activos completos; concentracion coincide; cantidad coincide; forma coincide,True,89.0,1.0,28,28
EQ-HIS045,Cifhir 1 Gel 60g/5 %,generico,45.68,74.0,99.0,100,BENCIDAMINA CLORHIDRATO GEL 60 GR 1 PIEZA,bencidamina,principios activos completos; concentracion coincide; cantidad coincide; forma coincide,False,,1.0,1,1
EQ-AMS407,Ciprofloxacino solución oftálmica 3 mg/mL AMSA,generico,24.28,39.0,51.0,100,CIPROFLOXACINO SOLUCION OFTALMICA 5 ML 1 PIEZA,ciprofloxacino oftalmica,principios activos completos; concentracion coincide; forma coincide,True,51.0,1.0,,1
EQ-NOV004,Cirulan 20 Tab 10 Mg,generico,7.62,13.0,13.0,100,METOCLOPRAMIDA 10 MG 20 TABLETAS,metoclopramida 10mg,principios activos completos; concentracion coincide; cantidad coincide; forma coincide,False,,2.0,20,20
EQ-AMS472,Citalopram 14 Tab 20 Mg,generico,35.08,73.0,130.0,100,CITALOPRAM 20 MG 14 TABLETAS,citalopram 20mg,principios activos completos; concentracion coincide; cantidad coincide; forma coincide,True,130.0,2.0,14,14
FC-09745140,Clamoxín S 600 mg / 42.9 mg / 5 mL Frasco 50 mL Maver,generico,47.99,75.0,88.0,100,AMOXICILINA / ACIDO CLAVULANICO 600/42.9 MG SUSPENSION 1 PIEZA,amoxicilina acido 42.9mg,principios activos completos; equivalente generico verificado por composicion; concentracion coincide; forma coincide,True,88.0,1.0,,1
EQ-ALP0526,Clioquinol 1 Cma 3% 20 G,generico,10.69,18.0,15.0,100,CLIOQUINOL CREMA 20 GR 1 PIEZA,clioquinol,principios activos completos; concentracion coincide; forma coincide,True,15.0,1.0,,1
EQ-HIS087,Clofhiven 200 Dosis 50 Mcg/12.80g,generico,56.51,91.0,99.0,100,BECLOMETASONA 50 MCG AEROSOL PARA INHALACION 200 DOSIS 1 PIEZA,beclometasona,principios activos completos; concentracion coincide; forma coincide,True,99.0,1.0,,1
EQ-SON220,Clotrimazol 1 Ov 500 Mg,generico,27.55,45.0,139.0,100,CLOTRIMAZOL V 1 OVULO 500 MG,clotrimazol 500mg,principios activos completos; concentracion coincide; cantidad coincide; forma coincide,True,139.0,1.0,1,1
FC-1DA570E3,Cloxan ambroxol 30 mg,generico,9.75,15.0,25.0,100,AMBROXOL 30 MG 20 COMPRIMIDOS,ambroxol 30mg,principios activos completos; concentracion coincide; cantidad coincide; forma coincide,True,18.75,2.0,20,20
FC-09740268,Cobadex Adulto (Ambroxol/Dextrometorfano) 225-225 mg/100 mL,generico,19.31,31.0,36.0,100,AMBROXOL / DEXTROMETORFANO 225/225MG ADULTO JARABE 1 PIEZA,ambroxol dextrometorfano 100ml,principios activos completos; equivalente generico verificado por composicion; concentracion coincide,False,,1.0,,1
EQ-BIO212,Colchicina 30 Tab 1 Mg,generico,30.37,50.0,41.0,100,COLCHICINA 1 MG 30 TABLETAS,colchicina 1mg,principios activos completos; concentracion coincide; cantidad coincide; forma coincide,True,41.0,2.0,30,30
EQ-COL120,Collicort Hidrocortisona,generico,47.85,77.0,94.0,100,HIDROCORTISONA 1GR/100GR CREMA 60 GR 1 PIEZA,hidrocortisona,principios activos completos; concentracion coincide; forma coincide,True,94.0,1.0,,1
FC-83144302,Collifrin Adulto (Oximetazolina) 0.05% extra humectante,generico,33.61,54.0,34.0,100,OXIMETAZOLINA ADULTO 50MG/100ML SOLUCION NASAL 20 ML 1 PIEZA,oximetazolina 20ml,principios activos completos; concentracion coincide; forma coincide,True,34.0,0,,1
FC-09747779,Culminax Adulto (Carbocisteína) 375 mg/5 mL,generico,50.05,81.0,86.0,100,CARBOCISTEINA 375MG/5ML SOLUCION 150 ML 1 PIEZA,carbocisteina 150ml,principios activos completos; concentracion coincide,True,86.0,1.0,,1
EQ-SER116,Cyrux 28 Tab 200 Mcg,generico,222.22,356.0,499.0,100,MISOPROSTOL 200 MCG 28 TABLETAS,misoprostol 200mcg,principios activos completos; concentracion coincide; cantidad coincide; forma coincide,False,,1.0,28,28
FC-53601339,Daclafin subsalicilato bismuto susp. 120 mL,generico,31.49,51.0,46.0,100,SUBSALICILATO DE BISMUTO SUSPENSION 120 ML 1 PIEZA,subsalicilato bismuto 120ml,principios activos completos; concentracion coincide; forma coincide,True,46.0,1.0,,1
EQ-MAI055,Dalatina 1 Gel 1g/30 G,generico,29.85,48.0,45.0,100,CLINDAMICINA GEL 1GR 1% 1 PIEZA,clindamicina,principios activos completos; concentracion coincide; forma coincide,True,45.0,1.0,,1
FC-49013223,Deflazacort 30 mg 10 tabletas LGEN,generico,110.89,278.0,159.0,100,DEFLAZACORT 30 MG 10 TABLETAS,deflazacort,concentracion coincide; cantidad coincide; forma coincide,False,,1.0,10,10
FC-27875568,Desrotan fexofenadina 180 mg C/10,generico,47.31,67.0,144.0,100,FEXOFENADINA 180 MG PIRQUET 10 COMPRIMIDOS,fexofenadina 180mg,principios activos completos; concentracion coincide; cantidad coincide; forma coincide,True,144.0,1.0,10,10
FC-11788928,Desyn-N (Lidocaína/Hidrocortisona),generico,31.62,102.0,59.0,100,HIDROCORTISONA / LIDOCAINA  5/60MG 6 SUPOSITORIOS,lidocaina hidrocortisona 5mg,principios activos completos; equivalente generico verificado por composicion; concentracion coincide; cantidad coincide; forma coincide,False,,1.0,6,6
EQ-ALP0633,Dexketoprofeno 10 Tab 25 Mg,generico,64.24,125.0,127.0,100,DEXKETOPROFENO 25 MG 10 TABLETAS,dexketoprofeno 25mg,principios activos completos; concentracion coincide; cantidad coincide; forma coincide,True,127.0,1.0,10,10
EQ-RAD092,Dextrometorfano 1 Jbe 300 Mg/120 Ml,generico,13.58,22.0,23.0,100,DEXTROMETORFANO 300 MG JARABE 120 ML 1 PIEZA,dextrometorfano 120ml,principios activos completos; concentracion coincide; forma coincide,True,23.0,2.0,,1
EQ-ULT103,Diclofenaco 20 Tab 100 Mg,generico,7.6,35.0,35.0,100,DICLOFENACO 100MG 20 TABLETAS,diclofenaco 100mg,principios activos completos; concentracion coincide; cantidad coincide; forma coincide,True,35.0,4.0,20,20
EQ-JAY263,Diflosensi 28 Tab 10 Mg,generico,335.5,537.0,799.0,100,DAPAGLIFLOZINA 10MG 28 TABLETAS (ASTRA),dapagliflozina 10mg,principios activos completos; concentracion coincide; cantidad coincide; forma coincide,True,449.0,1.0,28,28
FC-11788690,Diotexona (Dimeticona) 10 g/100 mL pediátrico,generico,38.87,63.0,40.0,100,DIMETICONA SUSPENSION GOTAS 30 ML  1 PIEZA,dimeticona,principios activos completos; concentracion coincide,True,40.0,1.0,,1
EQ-BRL053,Direpasid (Metoclopramida) 20 Tab 10 Mg,generico,7.55,13.0,13.0,100,METOCLOPRAMIDA 10 MG 20 TABLETAS,metoclopramida 10mg,principios activos completos; concentracion coincide; cantidad coincide; forma coincide,False,,2.0,20,20
FC-83141929,Dolprin (Ibuprofeno) suspensión 2 g/100 mL,generico,27.52,45.0,31.0,100,IBUPROFENO  2GR/100ML SUSPENSION 120 ML 1 PIEZA,ibuprofeno 100ml,principios activos completos; concentracion coincide; forma coincide,True,31.0,2.0,,1
EQ-COL226,Dolprofen 10 Tab 800 Mg,generico,22.41,36.0,31.0,100,IBUPROFENO 800 MG 10 TABLETAS,ibuprofeno 800mg,principios activos completos; concentracion coincide; cantidad coincide; forma coincide,True,31.0,5.0,10,10
EQ-MAV134,Doltrix 10 Tab 250/10 Mg,generico,56.45,91.0,71.0,100,CLONIXINATO DE LISINA / BUTILHIOSCINA 250/10MG 10 TABLETAS,clonixinato hioscina 10mg,principios activos completos; equivalente generico verificado por composicion; concentracion coincide; cantidad coincide; forma coincide,True,71.0,1.0,10,10
EQ-MAV167,Doltrix 20 Tab 125/10 Mg,generico,70.3,113.0,94.0,100,CLONIXINATO DE LISINA / BUTILHIOSCINA 125/10MG 20 TABLETAS,clonixinato hioscina 10mg,principios activos completos; equivalente generico verificado por composicion; concentracion coincide; cantidad coincide; forma coincide,True,94.0,1.0,20,20
FC-01165045,Dolzycam (Piroxicam) gel,generico,24.81,44.0,44.0,100,PIROXICAM 0.5/100GR GEL 60 GR 1 PIEZA,piroxicam,principios activos completos; concentracion coincide; forma coincide,True,44.0,1.0,,1
EQ-QUM070,Drosequim Ad 1 Jbe 300/160/200 Ml,generico,70.74,114.0,129.0,100,DROPROPIZINA/BROMHEXINA 150 MG/80 MG 200ML JARABE INFANTIL,dropropizina bromhexina 200ml,principios activos completos; equivalente generico verificado por composicion; concentracion coincide; forma coincide,False,,1.0,,
EQ-MAV380,Esomeprazol 14 Tab 40 Mg,generico,51.64,83.0,199.0,100,ESOMEPRAZOL 40 MG 14 TABLETAS,esomeprazol 40mg,principios activos completos; concentracion coincide; cantidad coincide; forma coincide,True,199.0,1.0,14,14
FC-25300373,Espabion (Trimebutina) suspensión,generico,44.45,75.0,76.0,100,TRIMEBUTINA SUSPENSION  2G/100ML 1 PIEZA,trimebutina 100ml,principios activos completos; concentracion coincide; forma coincide,True,76.0,1.0,,1
EQ-APO142,Espadiva 10 Tab 20/400 Mg,generico,81.79,131.0,76.0,100,BUTILHIOSCINA HIOSCINA / IBUPROFENO 20/400 MG 10 TABLETAS,hioscina ibuprofeno 400mg,principios activos completos; equivalente generico verificado por composicion; concentracion coincide; cantidad coincide; forma coincide,False,,1.0,10,10
EQ-SER165,Estranim 10 Caps 75 Mg,generico,116.19,186.0,299.0,100,OSELTAMIVIR 75 MG 10 CAPSULAS,oseltamivir 75mg,principios activos completos; concentracion coincide; cantidad coincide; forma coincide,False,,1.0,10,10
FC-09747236,Exaliv,generico,19.82,36.0,36.0,100,CLORFENAMINA / FENILEFRINA / PARACETAMOL 24 TABLETAS,paracetamol fenilefrina,principios activos completos; equivalente generico verificado por composicion; cantidad coincide; forma coincide,False,,2.0,24,24
EQ-MAV311,Exicort 7 Comp 120 Mg,generico,52.66,147.0,149.0,100,ETORICOXIB 120 MG 7 COMPRIMIDOS,etoricoxib 120mg,principios activos completos; concentracion coincide; cantidad coincide; forma coincide,True,149.0,1.0,7,7
EQ-AMS274,Ezetimiba/Simvasta 14 Tab 10/20 Mg,generico,55.9,166.0,169.0,100,EZETIMIBA / SIMVASTATINA 10/20MG 14 COMPRIMIDOS,ezetimiba simvastatina 20mg,principios activos completos; equivalente generico verificado por composicion; concentracion coincide; cantidad coincide; forma coincide,True,169.0,1.0,14,14
EQ-LOE131,Faribrox Tm Inf 1 Jbe 150/113mg/100/150,generico,23.41,37.0,36.0,100,AMBROXOL/ DEXTROMETORFANO 150/113MG JARABE INFANTIL 120ML,ambroxol dextrometorfano 113mg,principios activos completos; equivalente generico verificado por composicion; concentracion coincide; forma coincide,False,,2.0,1,
EQ-FAC0057,Farmiver Infantil 1 Susp 100/400mg/10,generico,22.93,37.0,87.0,100,LOXCELL QUINFAMIDA / ALBENDAZOL 200/400MG JUNIOR SUSPENSION 1 PIEZA,quinfamida albendazol 400mg,principios activos completos; equivalente generico verificado por composicion; concentracion coincide; cantidad coincide; forma coincide,False,,1.0,1,1
EQ-FAC0058,Farmiver Junior 1 Susp 200/400mg/20 Ml,generico,24.72,40.0,57.0,100,QUINFAMIDA / ALBENDAZOL 200/400MG JUNIOR SUSPENSION 20 ML 1 PIEZA,quinfamida albendazol 20ml,principios activos completos; equivalente generico verificado por composicion; concentracion coincide; forma coincide,True,57.0,1.0,,1
FC-F3E734A0,Fasiclor 375 mg/ 5 mL,generico,63.44,115.0,159.0,100,CEFACLOR 375MG/5ML SUSPENSION 50 ML 1 PIEZA,cefaclor 375mg,principios activos completos; concentracion coincide; forma coincide,False,,1.0,,1
FC-09741425,Fasiclor 500 mg Caja con 15 cápsulas Maver,generico,137.92,221.0,274.0,100,CEFACLOR 500 MG 15 CAPSULAS,cefaclor 500mg,principios activos completos; concentracion coincide; cantidad coincide; forma coincide,True,274.0,0,15,15
FC-83144807,Fazolin (Nafazolina) solución oftálmica 1 mg/mL,generico,23.75,38.0,35.0,100,NAFAZOLINA SOLUCION OFTALMICA 15 ML 1 PIEZA,nafazolina 15ml,principios activos completos; concentracion coincide; forma coincide,True,35.0,2.0,,1
EQ-RAD100,Fenazopiridina 1 Fco 20 Tab 100 Mg,generico,21.09,34.0,27.0,100,FENAZOPIRIDINA 100 MG 20 TABLETAS,fenazopiridina 100mg,principios activos completos; concentracion coincide; cantidad coincide; forma coincide,True,27.0,1.0,20,20
EQ-LOE058,Feniffler-T 50 Tab 100 Mg,generico,20.08,55.0,46.0,100,FENITOINA SODICA 100MG 50 TABLETAS,fenitoina 100mg,principios activos completos; concentracion coincide; cantidad coincide; forma coincide,True,46.0,2.0,50,50
EQ-MAI144,Figral 10 Tab 100 Mg,generico,80.04,129.0,274.0,100,SILDENAFIL 100 MG 10 TABLETAS,sildenafil 100mg,principios activos completos; concentracion coincide; cantidad coincide; forma coincide,False,,5.0,10,10
EQ-MAI142,Figral 10 Tab 50 Mg,generico,46.41,75.0,219.0,100,SILDENAFIL 50MG 10 TABLETAS,sildenafil 50mg,principios activos completos; concentracion coincide; cantidad coincide; forma coincide,True,219.0,5.0,10,10
EQ-MAV098,Flexiver Meloxicam 15 mg C/10,generico,8.76,20.0,40.0,100,MELOXICAM 15 MG 10 TABLETAS,meloxicam 15mg,principios activos completos; concentracion coincide; cantidad coincide; forma coincide,False,,2.0,10,10
EQ-MAI141,Flosef 8 Tab 400 Mg,generico,27.33,60.0,93.0,100,OFLOXACINO 400 MG 8 TABLETAS,ofloxacino 400mg,principios activos completos; concentracion coincide; cantidad coincide; forma coincide,True,93.0,1.0,8,8
EQ-RAD081,Fumarato Ferroso 50 Tab 200mg,generico,13.79,23.0,18.0,100,FUMARATO FERROSO 200 MG 50 COMPRIMIDOS,fumarato ferroso 200mg,principios activos completos; concentracion coincide; cantidad coincide; forma coincide,True,18.0,1.0,50,50
EQ-MAV263,Galaver Gel 10 Sob 80mg/10mg/10 Ml,generico,37.54,61.0,56.0,100,MAGALDRATO/DIMETICONA 80MG/10MG 10SOBRES,magaldrato dimeticona 10mg,principios activos completos; equivalente generico verificado por composicion; concentracion coincide; cantidad coincide,False,,2.0,10,10
FC-09745027,Galaver gel (Magaldrato / Dimeticona),generico,48.22,87.0,88.0,100,MAGALDRATO/DIMETICONA 8G/1G/100ML 250ML,magaldrato dimeticona 250ml,principios activos completos; equivalente generico verificado por composicion; concentracion coincide,False,,2.0,,
EQ-PGE033,Gelubrín 10 Caps 400 Mg,generico,15.21,25.0,21.0,100,IBUPROFENO 400 MG 10 CAPSULAS,ibuprofeno 400mg,principios activos completos; concentracion coincide; cantidad coincide; forma coincide,True,21.0,5.0,10,10
EQ-NOV157,Glunovag 60 Tab 500 Mg,generico,19.38,32.0,54.0,100,METFORMINA 500 MG 60 TABLETAS,metformina 500mg,principios activos completos; concentracion coincide; cantidad coincide; forma coincide,False,,2.0,60,60
FMX-502386,Guaxoquim Jarabe C/140 Ml,generico,41.83,67.0,149.0,100,GUAIFENESINA/OXOLAMINA JARABE 140ML INFANTIL HISTIACIL,guaifenesina oxolamina 100ml,principios activos completos; equivalente generico verificado por composicion; concentracion coincide; forma coincide,True,149.0,2.0,140,
EQ-MAI099,Hidroxin,generico,34.6,56.0,64.0,100,HIDROXIZINA 10 MG 30 TABLETAS,hidroxizina 10mg,principios activos completos; concentracion coincide; cantidad coincide; forma coincide,True,64.0,1.0,30,30
EQ-QUM043,Histapharm 10 Tab 5 Mg,generico,21.99,36.0,70.0,100,DESLORATADINA 5 MG 10 TABLETAS,desloratadina 5mg,principios activos completos; concentracion coincide; cantidad coincide; forma coincide,True,70.0,1.0,10,10
FMX-301081,Hudiclor Tabletas 250 Mg C/28,generico,94.19,168.0,229.0,100,TERBINAFINA 250 MG 28 TABLETAS,terbinafina 250mg,principios activos completos; concentracion coincide; cantidad coincide; forma coincide,True,229.0,1.0,28,28
FC-3D0F54B7,Ibuprofeno Cafeina,generico,30.06,41.0,41.0,100,IBUPROFENO / CAFEINA 400/100 MG 10 CAPSULAS,ibuprofeno cafeina. 100mg,principios activos completos; equivalente generico verificado por composicion; concentracion coincide; cantidad coincide; forma coincide,False,,2.0,10,10
EQ-RAD082,Indometacina 30 Caps 25 Mg,generico,20.02,33.0,22.0,100,INDOMETACINA 25MG 30 CAPSULAS,indometacina 25mg,principios activos completos; concentracion coincide; cantidad coincide; forma coincide,True,22.0,1.0,30,30
EQ-NOV092,Ixicorl 10 Tab 20 Mg,generico,21.72,35.0,61.0,100,PAROXETINA 20 MG 10 TABLETAS,paroxetina 20mg,principios activos completos; concentracion coincide; cantidad coincide; forma coincide,False,,2.0,10,10
EQ-LOE013,Keraffler Ketotifeno,generico,20.17,33.0,48.0,100,KETOTIFENO 0.02GR/ML SOLUCION 120 ML 1 PIEZA,ketotifeno 120ml,principios activos completos; concentracion coincide; forma coincide,True,48.0,1.0,,1
EQ-MAI071,Krobicin 1 Susp 125mg/5/60 Ml,generico,45.41,73.0,124.0,100,CLARITROMICINA 125 MG SUSPENSION 60 ML 1 PIEZA,claritromicina 125mg,principios activos completos; concentracion coincide; forma coincide,True,124.0,1.0,,1
EQ-NOV054,Lambliquin 30 Tab 400/200 Mg,generico,42.73,69.0,59.0,100,METRONIDAZOL / DIYODOHIDROXIQUINOLEINA 400/200MG 30 TABLETAS,diyodohidroxiquinoleina metronidazol 200mg,principios activos completos; equivalente generico verificado por composicion; concentracion coincide; cantidad coincide; forma coincide,False,,1.0,30,30
FC-09740657,Laritol EX (Loratadina/Ambroxol) 100-600 mg/100 mL,generico,19.11,31.0,36.0,100,LORATADINA / AMBROXOL 100/600 MG SOLUCION 120 ML 1 PIEZA,loratadina ambroxol 100ml,principios activos completos; equivalente generico verificado por composicion; concentracion coincide,False,,2.0,,1
FC-18753597,Lesaclor (Aciclovir) crema,generico,16.6,27.0,35.0,100,ACICLOVIR 50MG/1GR CREMA 5 GR 1 PIEZA,aciclovir,principios activos completos; concentracion coincide; forma coincide,True,35.0,5.0,,1
EQ-AMS497,Levetiracetam 30 Tab 1000 Mg,generico,120.9,194.0,179.0,100,LEVETIRACETAM 1000 MG 30 TABLETAS,levetiracetam 1000mg,principios activos completos; concentracion coincide; cantidad coincide; forma coincide,True,179.0,1.0,30,30
EQ-ULT230,Levonorgestrel 1 Tab 1.5 Mg,generico,15.5,25.0,65.0,100,LEVONORGESTREL  1.5 MG 1 TABLETA,levonorgestrel,principios activos completos; concentracion coincide; cantidad coincide; forma coincide,True,65.0,4.0,1,1
EQ-TEM009,Levotiroxina 100 Tab 100 Mcg,generico,45.57,73.0,109.0,100,LEVOTIROXINA SODICA 100MCG 100 TABLETAS,levotiroxina 100mcg,principios activos completos; concentracion coincide; cantidad coincide; forma coincide,True,109.0,2.0,100,100
EQ-MAV239,Linexel Venlafaxina,generico,39.26,63.0,134.0,100,VENLAFAXINA 75 MG 20 CAPSULAS LIBERACION PROLONGADA,venlafaxina 75mg,principios activos completos; concentracion coincide; cantidad coincide,True,134.0,1.0,20,20
EQ-BRL072-1,Lo Bruquin 2 Tab 150/200 Mg,generico,15.4,25.0,44.0,100,QUINFAMIDA / ALBENDAZOL 150/200MG 2 TABLETAS,quinfamida albendazol 200mg,principios activos completos; equivalente generico verificado por composicion; concentracion coincide; cantidad coincide; forma coincide,False,,10.0,2,2
EQ-SER025,Lonixer 10 Tab 250 Mg,generico,32.51,53.0,45.0,100,CLONIXINATO DE LISINA 250 MG 10 TABLETAS,clonixinato lisina 250mg,principios activos completos; concentracion coincide; cantidad coincide; forma coincide,True,45.0,2.0,10,10
