sku,nombre,principio_activo,costo,precio_fc,mejor_confianza,mejor_candidato,motivo
FC-5112881,Pisacaina 2% 20 mg/ml Sol 50 ml,Lidocaina,85.0,114.75,72,DEXAMETASONA/LIDOCAINA/VITAMINA B1 B6 B12 6 AMPOLLETAS,no comparable: candidato sin tamano declarado
FC-69200016,Estomaquil Polvo C/20,Bismuto subsalicilato; Hidróxido de magnesio; Carbonato de calcio,98.79,133.37,72,SUBSALICILATO DE BISMUTO 24 TABLETAS MASTICABLES,no comparable: candidato sin tamano declarado
FC-9233072,Nido Kinder 1+ bolsa 144 g,,30.28,48.45,0,DIFENIDOL 25 MG 30 TABLETAS,no comparable: concentracion difiere ['144000mg']≠['25mg']
FC-AA7B0686,Drosquim adulto jarabe 300/160,,70.74,91.97,0,,sin resultados VTEX
FC-BE0A0E46,Cateter para Venoclisis 22 g,,9.26,12.04,0,,sin resultados VTEX
FC-92821171,Leche en polvo Nutri Rindes,,30.67,50,0,EXTRACTOR MANUAL PARA LECHE MATERNA SIMIBABY 1 PIEZA,no comparable: candidato sin tamano declarado
FC-93022567,Desodorante Rexona Men V8 (Hombre),Antitranspirante / desodorante,54.68,77.0,0,,sin resultados VTEX
FC-98217659,Dolo-Neurobion solucion inyectable C/3,Complejo B + Lidocaina + Diclofenaco sodico,434.3,575,0,DEXAMETASONA/LIDOCAINA/VITAMINA B1 B6 B12 6 AMPOLLETAS,"no comparable: al competidor le faltan 2/3 principios activos (complejo, diclofenaco)"
FC-06134531,Afrin Adulto spray 20 mL,OXIMETAZOLINA CLORHIDRATO,75.46,120.74,72,OXIMETAZOLINA ADULTO 50MG/100ML SOLUCION NASAL 20 ML 1 PIEZA,no comparable: forma difiere spray≠solucion
FC-3961366,Pedialyte SR Coco 500 ml,,23.81,38.1,15,ELECTROLITOS ORALES COCO 500 ML 1 PIEZA,confianza 15 < 85
FC-00322571,Suerox 8 Iones Manzana 630 ML,,14.73,25,0,ELECTROLITOS ORALES LIMA / LIMON 500ML 1 PIEZA,no comparable: concentracion difiere ['630ml']≠['500ml']
FC-40032264,Suerox 8 Iones Eresa-Kiwi 630 ML,,14.73,25,0,ELECTROLITOS ORALES LIMA / LIMON 500ML 1 PIEZA,no comparable: concentracion difiere ['630ml']≠['500ml']
FC-40032271,Suerox 8 Iones Uva 630 ML,,14.73,25,0,ELECTROLITOS ORALES LIMA / LIMON 500ML 1 PIEZA,no comparable: concentracion difiere ['630ml']≠['500ml']
FC-5106788,Leche en Polvo Nidal 2Bebé 6 a 12 M,,101.82,160,0,EXTRACTOR MANUAL PARA LECHE MATERNA SIMIBABY 1 PIEZA,no comparable: candidato sin tamano declarado
FC-54521161,Tempra 500 mg,Paracetamol,45.87,62,82,PARACETAMOL/CAFEINA/FENILEFRINA/CLORFENAMINA 10TABLETAS SIMIFLU,no comparable: candidato sin tamano declarado
FC-00323011,Suerox 8 Iones Naranja Mandarina 630 ML,,14.73,25,0,ELECTROLITOS ORALES LIMA / LIMON 500ML 1 PIEZA,no comparable: concentracion difiere ['630ml']≠['500ml']
FC-36003621,Precicol hioscina/paracetamol gotas 20 mL,Hioscina + Paracetamol,0.0,0,72,PARACETAMOL / BUTILHIOSCINA 100/2 MG SOLUCION GOTAS 20 ML 1 PIEZA,no comparable: forma difiere gotas≠solucion
FC-14121782,Jabón proteína de arroz y concha nácar,,17.78,25.0,0,PROTEINA XGEAR ZERO CARBOHIDRATOS VAINILLA 450GR,no comparable: concentracion difiere ['80000mg']≠['450000mg']
FC-40032295,Suerox 8 Iones Mora Azul 630 ML,,14.73,25,0,ELECTROLITOS ORALES LIMA / LIMON 500ML 1 PIEZA,no comparable: concentracion difiere ['630ml']≠['500ml']
FC-53601247,Rinomar Agua Isotonica,,86.9,105,0,,sin resultados VTEX
FC-58616678,Nestum Cereal Infantil Arroz,,52.43,84,0,,sin resultados VTEX
FC-00721541,Suerox Vitamins Manzana V-Limón 630 ML,,14.73,25,0,ELECTROLITOS ORALES LIMA / LIMON 500ML 1 PIEZA,no comparable: concentracion difiere ['630ml']≠['500ml']
FC-00661391,Suerox 8 Iones Frutos Rojos 630 ML,,14.73,25,0,ELECTROLITOS ORALES LIMA / LIMON 500ML 1 PIEZA,no comparable: concentracion difiere ['630ml']≠['500ml']
FC-00744481,Suerox 8 Iones Coco Piña 630 ML,,14.72,25,0,ELECTROLITOS ORALES LIMA / LIMON 500ML 1 PIEZA,no comparable: concentracion difiere ['630ml']≠['500ml']
FC-00721471,Suerox Vitamins Naranja Mango 630 ML,,14.73,25,0,ELECTROLITOS ORALES LIMA / LIMON 500ML 1 PIEZA,no comparable: concentracion difiere ['630ml']≠['500ml']
FC-03405381,Vitacilina Ungüento,Neomicina + Bacitracina zinc,23.06,31.14,70,POLIMIXINA B / NEOMICINA / BACITRACINA UNGÜENTO 3.5GR 1 PIEZA,no comparable: concentracion difiere ['18000mg']≠['3500mg']
FC-03430721,Vitacilina 28 Crema,Neomicina + Bacitracina zinc,38.12,51.47,70,POLIMIXINA B / NEOMICINA / BACITRACINA UNGÜENTO 3.5GR 1 PIEZA,no comparable: concentracion difiere ['28000mg']≠['3500mg']
FC-54221482,Deeflamox Plus,Amoxicilina + Acido clavulanico,42.41,57.26,70,AMOXICILINA / ACIDO CLAVULANICO 875MG 10 TABLETAS,no comparable: concentracion difiere ['5ml']≠['875mg']
FC-06226852,Desodorante Axe Wom Anarchy,Antitranspirante / desodorante,45.83,65.0,0,,sin resultados VTEX
FC-06245686,Desodorante Axe Men Epic-F 48H,Antitranspirante / desodorante,45.83,73.33,0,,sin resultados VTEX
FC-06247327,Afrin No Drip Descongestivo Nasal spray,Clrhidrato de oximetazolina,109.76,175.62,0,OXIMETAZOLINA ADULTO 50MG/100ML SOLUCION NASAL 20 ML 1 PIEZA,"no comparable: concentracion difiere ['0.5mg', '15ml']≠['100ml', '20ml', '50mg']"
FC-06209862,Desodorante Axe 48H Anarchy Fresh Love (Mujer),Antitranspirante / desodorante,45.83,65.0,0,,sin resultados VTEX
FC-06249783,Sedal Rizos Def,,19.11,25,39,PARACETAMOL/CAFEINA/FENILEFRINA 10 TABLETAS SEDALMERCK,no comparable: candidato sin tamano declarado
FC-08344747,Afrodit,Emolientes,45.08,72.13,0,VITAMINA E 400 MG 90 CAPSULAS,no comparable: concentracion difiere ['400ui']≠['400mg']
FC-06249776,Shampoo Sedal Ceramidas,Surfactantes / formula capilar,18.88,25,39,PARACETAMOL/CAFEINA/FENILEFRINA 10 TABLETAS SEDALMERCK,no comparable: candidato sin tamano declarado
FC-07457826,Acondicionador Pantene Brillo Extremo,,75.7,121.12,0,,sin resultados VTEX
FC-07535494,Motrin Infantil Suspension 120 ml,Ibuprofeno 2 g/100 ml,186.4,251.64,100,IBUPROFENO  2GR/100ML SUSPENSION 120 ML 1 PIEZA,precio 0.17x el costo
FC-07F04F88,Amcef IM 500 mg (Inyectable),,19.43,25.26,0,CEFTRIAXONA 500 MG SOLUCION INYECTABLE 1 PIEZA,no comparable: forma difiere inyectable≠solucion
FC-08344488,Lactopram 430 mg C/20,Lactobacillus,28.71,38.76,82,GOMITAS LACTOBACILLUS ESPORULADOS 60 GOMITAS,no comparable: candidato sin tamano declarado
FC-0BDE9283,Clophiven 200 Dosis 50 Mcg,,56.51,73.47,0,,sin resultados VTEX
FC-07457796,Shampoo Pantene Brillo Extremo,Surfactantes / formula capilar,75.7,121.12,0,,sin resultados VTEX
FC-23001331,Sr. Ting pomada (ácido bórico),Acido bórico / talco,73.6,117.76,72,ACIDO ACETILSALICILICO/BICARBONATO DE SODIO/ACIDO CITRICO 10 TABLETAS ALKA SELTZER,no comparable: candidato sin tamano declarado
FC-23273451,Jeringa insulina 0.5 ml Sensi Medical,,2.13,8,42,RASTRILLO CABALLERO TRIPLE HOJA CON BANDA LUBRICANTE PIEL SENSIBLE COLOR VERDE 1 PIEZA,no comparable: candidato sin tamano declarado
FC-06234062,Sedal Anti Nudos,,50.07,71.0,16,PARACETAMOL/CAFEINA/FENILEFRINA 10 TABLETAS SEDALMERCK,no comparable: candidato sin tamano declarado
FC-24511629,Silica Shine uva,Silice / dimeticone,44.76,63.0,0,,sin resultados VTEX
FC-24511711,Silica Shine Sily 3/1 Mora,Silice / dimeticone,45.26,63,0,,sin resultados VTEX
FC-25104688,Electrolit Naranja-Mandarina,,20.09,32,64,ELECTROLITOS ORALES NARANJA / MANDARINA 500ML 1 PIEZA,no comparable: concentracion difiere ['625ml']≠['500ml']
FC-25652716,Escudo Antibacterial Original,Surfactantes / formula corporal,14.775,19,0,,sin resultados VTEX
FC-27512574,Evenflo Colors,,15.48,25.28,0,BIBERON 4 ONZAS 1 PIEZA,no comparable: candidato sin tamano declarado
FC-42003469,Gel Dental  GUM Paw Patrol,,16.56,26.5,0,,sin resultados VTEX
FC-29003221,Vaso Recolector Para Muestras Quirmex capacidad 120 mL,,3.63,6,0,,sin resultados VTEX
FC-2E5B7248,Reumatol,MENTOL + ALCANFOR + METILSALICILATO,11.0,17.61,64,ALCANFOR / MENTOL / EUCALIPTO / TREMENTINA / SALICILATO DE METILO UNGÜENTO 1 PIEZA,no comparable: al competidor le faltan 1/3 principios activos (metilsalicilato)
FC-31887928,Enjuague Buc Listerine Cuidado Total,,63.53,89.0,0,ENJUAGUE BUCAL ANTISEPTICO SABOR MENTA POLVO 12 SOBRES,no comparable: candidato sin tamano declarado
FC-31976394,Enjuague Bucal Listerine Anticaries,,63.53,89.0,0,ENJUAGUE BUCAL ANTISEPTICO SABOR MENTA POLVO 12 SOBRES,no comparable: candidato sin tamano declarado
FC-06247468,Gel Ego Fresh,,17.54,25.0,0,,sin resultados VTEX
FC-22150221,Jabon en Barra Ricitos de Oro Neutro,Jabon / tensioactivos,20.8,30.0,0,,sin resultados VTEX
FC-35908130,Talco para bebé Mennen azul,Talco / zinc undecilenato,69.19,97,82,SIMI B HIERRO Y ZINC 60 CAPSULAS,no comparable: candidato sin tamano declarado
FC-33950063,Pediasure fresa,Suplemento nutricional,44.0,66,0,,sin resultados VTEX
FC-33950100,Ensure chocolate,Suplemento nutricional,42.0,63.0,19,DIETA POLIMERICA CON FIBRA SABOR CHOCOLATE 236 ML 1 PIEZA,confianza 19 < 85
FC-08837311,Nivea Antitransp Pearlb Spray,Emolientes / humectantes,64.73,83,0,,sin resultados VTEX
FC-20500171,Crema para peinar Pert aceite oliva aguacate,,14.8,25,0,,sin resultados VTEX
FC-33954078,Ensure Fresa,Suplemento nutricional,42.0,63,0,SIMISURE DIABETICO FRESA 462 GR 1 PIEZA,no comparable: concentracion difiere ['237ml']≠['462000mg']
FC-33956126,Glucerna Vainilla,Suplemento nutricional,47.5,72,0,ALIMENTO EN POLVO SABOR VAINILLA PARA DIABETICOS 400 GR 1 PIEZA,no comparable: concentracion difiere ['237ml']≠['400000mg']
FC-6519183A,Clamoxin (Amoxicilina/Clavulánico 500/125 mg),AMOXICILINA/AC. CLAVULANICO,27.89,36.26,43,AMOXICILINA 500 MG SUSPENSION 75 ML 1 PIEZA,no comparable: al competidor le faltan 1/2 principios activos (ac.)
FC-35020008,Shampoo Herbal Essences Limp Renov,Surfactantes / formula capilar,73.76,104.0,0,,sin resultados VTEX
FC-35020077,Shampoo Head & Shoulders Alivio Refrescante,Surfactantes / formula capilar,24.91,35.0,0,,sin resultados VTEX
FC-35155922,Pantene Bambu,,75.0,86,0,,sin resultados VTEX
FC-00942760,Gel Nivea facial hidratante hialurónico,Emolientes / humectantes,105.35,148.0,0,CREMA FACIAL CON ACIDO HIALURONICO PARA TODO TIPO DE PIEL ETERNAL SECRET 50 GR 1 PIEZA,no comparable: concentracion difiere ['200ml']≠['50000mg']
FC-01163983,Old Spice Fresh barra desodorante,,45.24,75.4,16,DESODORANTE EN AEROSOL PARA CABALLERO OLD SPICE 150 ML 1 PIEZA,no comparable: concentracion difiere ['50000mg']≠['150ml']
FC-20500201,Shampoo Pert Aceite oliva,Surfactantes / formula capilar,23.99,34.0,0,,sin resultados VTEX
FC-06217461,Talco Desodorante Rexona Effi Fresh,Antitranspirante / desodorante,64.12,90.0,0,,sin resultados VTEX
FC-09498091,Pasta Dent Sensodyne Proteccion Comp,Fluoruro de sodio,70.91,107.0,47,PASTA DENTAL 100% ORAL-B 1 PIEZA,no comparable: candidato sin tamano declarado
FC-2225010,Derman Crema 25 g,Acido undecilenico + Undecilenato de zinc,27.8,37.53,0,ACIDO ACETILSALICILICO/BICARBONATO DE SODIO/ACIDO CITRICO 10 TABLETAS ALKA SELTZER,no comparable: al competidor le faltan 1/2 principios activos (undecilenato)
FC-20501765,Crema Grisi aloe vera para manos,,45.15,64.0,0,JABON NEUTRO 100 GR 1 PIEZA,no comparable: concentracion difiere ['80ml']≠['100000mg']
FC-35168991,Mousse Herbal Essences extra control,,67.0,90,0,,sin resultados VTEX
FC-35231237,Shampoo Head & Shoulders Anti Comezon,Surfactantes / formula capilar,73.76,104.0,0,,sin resultados VTEX
FC-07528939,Crema Lubriderm Repa Intens,,31.59,45.0,0,,sin resultados VTEX
FC-36032776,Shampoo Ricitos de Oro Biopure,Surfactantes / formula capilar,74.31,105.0,0,,sin resultados VTEX
FC-35469151,Crema Lubriderm Uv Fps15,,34.41,49.0,0,,sin resultados VTEX
FC-35908147,Talco para bebé Mennen rosa,Talco / zinc undecilenato,69.19,97.0,82,SIMI B HIERRO Y ZINC 60 CAPSULAS,no comparable: candidato sin tamano declarado
FC-35911208,Palmolive Aquarium,Surfactantes / formula corporal,23.79,34.0,0,,sin resultados VTEX
FC-20501673,Crema Hinds líquida agave azul,Emolientes / humectantes,42.25,60.0,0,,sin resultados VTEX
FC-31244486,Crema Lubriderm piel normal,,31.59,45.0,0,,sin resultados VTEX
FC-35169035,Mousse Herbal Essences Rizo,,57.9,82.0,0,,sin resultados VTEX
FC-35919129,Shampoo Palmolive Vital Keratina,Surfactantes / formula capilar,49.29,55,0,,sin resultados VTEX
FC-36033735,Shampoo Ricitos de Oro Agua De Coco,Surfactantes / formula capilar,42.34,60.0,0,,sin resultados VTEX
FC-36040450,Crema Grisi concha nácar para manos,,43.63,62.0,0,JABON NEUTRO 100 GR 1 PIEZA,no comparable: concentracion difiere ['80ml']≠['100000mg']
FC-36041273,Crema Hinds Clasica Rosa,Emolientes / humectantes,49.97,60,0,,sin resultados VTEX
FC-36041341,Crema Hinds Natural piel seca 90 ml,,17.64,24.7,0,,sin resultados VTEX
FC-36041389,Crema Hinds Hidratacion Extrema Almendras ch,,17.64,25,0,,sin resultados VTEX
FC-06249226,Shampoo Savile bio sábila crecimiento resistente,Surfactantes / formula capilar,40.66,57.0,0,,sin resultados VTEX
FC-36041402,Crema Hinds hidratación extra almendras,Emolientes / humectantes,39.9,60,0,,sin resultados VTEX
FC-38312374,Cera gel Moco de Gorila Citrus,Cera / resina,32.34,46.0,0,,sin resultados VTEX
FC-07502441,Jabon Johnsons Baby Antes/Dorm,Jabon / tensioactivos,15.51,22.0,0,,sin resultados VTEX
FC-35231244,Shampoo Head & Shoulders Anti Comezon,Surfactantes / formula capilar,36.73,45,0,,sin resultados VTEX
FC-36041297,Crema Hinds Inspiración piel seca 90 ml,,17.64,24.7,0,,sin resultados VTEX
FC-5181402,Sedalmerck C/40 tabletas,Paracetamol 500 mg + Cafeina 50 mg + Fenilefrina 5 mg,144.73,195.39,90,AGRIFEN PARACETAMOL 500 MG / CAFEINA 25 MG / FENILEFRINA 5 MG / CLORFENAMINA 4 MG 10 TABLETAS,precio 0.16x el costo
FC-06248052,Dove aerosol tono uniforme caléndula y vitamina E,Surfactantes / formula corporal,55.89,69,0,,sin resultados VTEX
FC-40010712,Tukol-D jarabe Adulto,Guaifenesina + Dextrometorfano,117.42,158.52,70,GUAIFENESINA / FENILEFRINA / DEXTROMETORFANO PEDIATRICO SOLUCION GOTAS 60 ML 1 PIEZA,no comparable: concentracion difiere ['125ml']≠['60ml']
FC-40013850,Crema Teatrical Lanolina,Emolientes / lanolina,30.02,43,0,,sin resultados VTEX
FC-40015366,Nasalub Sol,Cloruro de sodio + Glicerol,83.32,112.49,39,CLORURO DE SODIO 6.5MG/1ML SOLUCION NASAL 30 ML 1 PIEZA,no comparable: al competidor le faltan 1/2 principios activos (glicerol)
FC-01015141,Lubricante Sico Softlube Origin,Latex,94.75,119,0,CONDON AROMA Y SABOR UVA SIMICONDON 3 PIEZAS,no comparable: candidato sin tamano declarado
FC-06248045,Dove Men Care 72 h,Surfactantes / formula corporal,49.1,60,0,,sin resultados VTEX
FC-06249240,Shampoo Savile keratina sábila fuerza reparadora,Surfactantes / formula capilar,40.66,57.0,0,,sin resultados VTEX
FC-23272151,Jeringa insulina 0.3 ml Sensi Medical,,2.128,8,42,RASTRILLO CABALLERO TRIPLE HOJA CON BANDA LUBRICANTE PIEL SENSIBLE COLOR VERDE 1 PIEZA,no comparable: candidato sin tamano declarado
FC-24511636,Silica Shine Sily 3/1 Naran,Silice / dimeticone,44.76,63.0,0,,sin resultados VTEX
FC-40025839,Jabon Intimo Lomecan V,Jabon / tensioactivos,63.05,89.0,0,SHAMPOO HIGIENE INTIMA 220ML ETERNAL SECRET,no comparable: concentracion difiere ['200ml']≠['220ml']
FC-40030338,Jabon Intimo Lomecan V Aclar,Jabon / tensioactivos,70.92,100.0,0,SHAMPOO HIGIENE INTIMA 220ML ETERNAL SECRET,no comparable: concentracion difiere ['200ml']≠['220ml']
FC-01165321,Acondicionador Pantene Rizos Definid,,75.7,103.0,0,,sin resultados VTEX
FC-08427330,Bepanthen Pomada Protectora Contra Rozaduras,Dexpanthenol,134.5,160,0,,sin resultados VTEX
FC-22130063,Shampoo Ricitos de Oro miel y argán 100 ml,,31.56,44.2,0,,sin resultados VTEX
FC-22133286,Shampoo Grisi Rici Oro Miel,Surfactantes / formula capilar,66.93,94.0,0,JABON NEUTRO 100 GR 1 PIEZA,no comparable: concentracion difiere ['250ml']≠['100000mg']
FC-40013898,Crema Teatrical Lanol/Ros,Emolientes / lanolina,30.36,43.0,0,,sin resultados VTEX
FC-40030963,Crema Teatrical Cel-Ma Nutrit,Emolientes / lanolina,62.25,88.0,0,,sin resultados VTEX
FC-40032325,Suerox 8 Iones Lima Limón 630 ML,,14.73,25,0,ELECTROLITOS ORALES LIMA / LIMON 500ML 1 PIEZA,no comparable: concentracion difiere ['630ml']≠['500ml']
FC-40035395,Suerox 8 Iones Coco 630 ML,,14.73,25,0,ELECTROLITOS ORALES LIMA / LIMON 500ML 1 PIEZA,no comparable: concentracion difiere ['630ml']≠['500ml']
FC-52933307,Desodorante Obao Game 48Hr,Antitranspirante / desodorante,27.19,39.0,0,,sin resultados VTEX
FC-14983726,Prudence Natural Lubricante Natural,,62.06,99.3,0,GEL LUBRICANTE VAGINAL 113GR 1 PIEZA,no comparable: concentracion difiere ['75ml']≠['113000mg']
FC-08DB70CB,Bicarbonato Velazquez Grande 200G,Bicarbonato de sodio,11.5,18.41,82,ACIDO ACETILSALICILICO/BICARBONATO DE SODIO/ACIDO CITRICO 10 TABLETAS ALKA SELTZER,no comparable: candidato sin tamano declarado
FC-14983153,Lubricante Intimo Prudence Grosella,,62.06,109,0,GEL LUBRICANTE VAGINAL 113GR 1 PIEZA,no comparable: concentracion difiere ['75ml']≠['113000mg']
FC-30622622,Desodorante Axe Men Young (hombre),Antitranspirante / desodorante,45.83,73.33,0,,sin resultados VTEX
FC-33956775,Suero Pedialyte Sr Uva,,23.81,36,10,ELECTROLITOS ORALES UVA 500 ML 1 PIEZA,confianza 10 < 85
FC-06213906,Desodorante Axe Ice Chill 48H (hombre),Antitranspirante / desodorante,45.83,65.0,0,,sin resultados VTEX
FC-06244795,Desodorante Axe Intense 48H (Hombre),Antitranspirante / desodorante,45.83,65.0,0,,sin resultados VTEX
FC-1FBF5206,Del Viejito Reomatolum,,20.0,32.0,0,,sin resultados VTEX
FC-33954740,Suero Pedialyte Sr Manzana,,23.81,36,18,ELECTROLITOS ORALES MANZANA 500ML 1 PIEZA,confianza 18 < 85
FC-33956133,Glucerna chocolate,Suplemento nutricional,47.5,72,0,,sin resultados VTEX
FC-33956140,Glucerna fresa,Suplemento nutricional,47.5,72.0,0,,sin resultados VTEX
FC-33961373,Suero Pedialyte Sr fresa,,23.81,36,14,ELECTROLITOS ORALES FRESA 500 ML 1 PIEZA,confianza 14 < 85
FC-40066306,Suerox 8 Iones Fresa 630 ML,,14.73,25,0,ELECTROLITOS ORALES LIMA / LIMON 500ML 1 PIEZA,no comparable: concentracion difiere ['630ml']≠['500ml']
FC-40074455,Suerox 8 Iones Uva Mora Azul 630 ML,,14.73,25,0,ELECTROLITOS ORALES LIMA / LIMON 500ML 1 PIEZA,no comparable: concentracion difiere ['630ml']≠['500ml']
FC-40171550,Pasta Dent Sensodyne rápido relief,Fluoruro de sodio,106.44,150.0,47,PASTA DENTAL 100% ORAL-B 1 PIEZA,no comparable: candidato sin tamano declarado
FC-7048853,Melox Plus,Hidroxido de aluminio + Hidroxido de magnesio + Simeticona,132.3,178.78,65,ALUMINIO 200 MG / MAGNESIO 200 MG / DIMETICONA 20 MG 50 TABLETAS MASTICABLES,"no comparable: al competidor le faltan 2/3 principios activos (hidroxido, hidroxido)"
FC-002663,Lomotil Loperamida,Loperamida,119.56,161.57,90,LOPERAMIDA 2 MG 12 TABLETAS,precio 0.10x el costo
FC-52876406,Desodorante Obao Men Tatto Aqua (Hombre),Antitranspirante / desodorante,24.71,35.0,0,,sin resultados VTEX
FC-34067851,Torundas de algodon Quirmex,,17.54,28,0,,sin resultados VTEX
FC-36041259,Crema Hinds Clásica piel seca 90 ml,,17.64,24.7,0,,sin resultados VTEX
FC-42270027,Crema Nivea Facial 7 en 1,Emolientes / humectantes,86.77,137.4,0,CREMA CORPORAL NIVEA PARA PIEL EXTRA SECA 220 ML 1 PIEZA,no comparable: concentracion difiere ['200ml']≠['220ml']
FC-42302289,Enjuague Bucal GUM Paroex Gengivitis,,148.27,237,0,,sin resultados VTEX
FC-42326414,Garnier agua micelar De Rosas,,108.24,152.0,0,AGUA MICELAR SOLUCION ETERNAL SECRET 200ML 1 PIEZA,no comparable: concentracion difiere ['400ml']≠['200ml']
FC-42417644,Crema Nivea Cuidado Int P/Mano,Emolientes / humectantes,48.58,69.0,0,,sin resultados VTEX
