sku,nombre,tipo,categoria,marca,laboratorio_inferido,principio_activo,pa_sucio,concentracion,forma_farmaceutica,presentacion,costo,precio,markup_implicito_pct,margen_sobre_venta_pct,regla_markup,regla_markup_pct,piso,ean,ean_clase,ean_nota,precio_similares,precio_fahorro,ref_min,sugerido_min_menos_2,piso_gt_mercado,stock
FC-00740024,Silka Medic Gel,GENERICO,Otro,Silka,,Silice / dimeticone,,,GEL,,80.56,108.76,35.0,25.9,sin_clasificar,35,109,6502400074024,prefijo_650_interno,Prefijo 650 no es GS1 país (México=750). Interno Farmalive/Genomma.,34.0,,34.0,34,si,1
FC-30133021,Iri (Inmunoglobulina),marca,Otro,Iri,BAUSCH LOMB MEXICO,,,,AMPOLLETA,,273.42,437.48,60.0,37.5,sin_clasificar,35,370,7501123013302,gs1_mx,EAN-13 México,,,,,,17
FC-12225027,Derman Crema,GENERICO,GENERAL,Derman,,Clotrimazol,,1%,CREMA,50 G,44.69,60.34,35.0,25.9,sin_clasificar,35,61,7501354312250,gs1_mx,EAN-13 México,,,,,,1
FC-6C2878CF,Susp 125 Mg/Ml,marca,Otro,Budenova,,,,2 ML,AMPOLLETA,5 AMPOLLETA,130.24,169.32,30.0,23.1,sin_clasificar,35,176,,vacio,,,,,,,1
FC-25104268,Electrolit Fresa,marca,Higiene,Electrolit,LAB PISA,Electrolitos / suero oral,si,,Suero oral,625 ML,20.50,32.81,60.0,37.5,categoria,30,29,7501125104268,gs1_mx,EAN-13 México,,,,,,2
FC-25104411,Electrolit Coco,marca,Higiene,Electrolit,LAB PISA,Electrolitos / suero oral,si,,Suero oral,625 ML,20.09,32.15,60.0,37.5,categoria,30,29,7501125104411,gs1_mx,EAN-13 México,,25.0,25.0,25,si,2
FC-25149221,Electrolit Eresa-Kiwi,marca,Higiene,Electrolit,LAB PISA,Electrolitos / suero oral,si,,Suero oral,625 ML,20.09,32.15,60.0,37.5,categoria,30,29,7501125149221,gs1_mx,EAN-13 México,,25.0,25.0,25,si,2
FC-70612368,Treda,marca,Otro,Treda,SANFER,Loperamida,,,TABLETAS,C/20,152.00,198.00,30.3,23.2,med_otc_marca,35,206,7501070612368,gs1_mx,EAN-13 México,,,,,,2
FC-80953017,Condones Trojan Fire & Ice,marca,Cuidado personal,Trojan,CHURCH & DWIGHTND,Latex,si,,,3 pzs,41.65,70.00,68.1,40.5,categoria,40,59,7501080953017,gs1_mx,EAN-13 México,,,,,,1
FC-93025865,desodorante Axe Men Gold Temp,marca,Higiene,Axe,,Antitranspirante / desodorante,si,,Desodorante,,45.83,73.33,60.0,37.5,categoria,40,65,7791293025865,gs1_otro_pais,"EAN-13 válido, prefijo 779 (no 750)",,,,,,1
FC-7F90064A,Ampicilina,generico,Otro,,,AMPICILINA,,500MG/2 ML,FRASCO AMPULA,1 FRASCO AMPULA,20.37,32.60,60.0,37.5,sin_clasificar,35,29,7501349021051,gs1_mx,EAN-13 México,,85.0,85.0,84,,2
FC-931B4809,Mercurio Aceite Coco,marca,Producto,Mercurio,,Producto homeopatico / natural,,,Aceite,C/25,8.00,12.80,60.0,37.5,sin_clasificar,35,13,,vacio,,,,,,,5
FC-926099D3,Mertiolate Kohn Rojo,marca,Producto,Mertiolate,,Timerosal,,,Antiséptico,C/25,9.00,14.40,60.0,37.5,sin_clasificar,35,14,,vacio,,,,,,,5
FC-77FE5C83,Sonblefam S (Crema),marca,Otro,Sonblefam,,,,100 G/40 G,CREMA,1 CREMA,32.41,42.14,30.0,23.1,sin_clasificar,35,44,,vacio,,,,,,,1
FC-79400556,Syncol (Paracetamol),marca,Analgésico,Sanfer,SANFER,Paracetamol/Pamabrom/Pirilamina,,,TABLETAS,C/24 500mg/25mg/15mg,98.81,140.00,41.7,29.4,med_otc_marca,35,134,7501070600556,gs1_mx,EAN-13 México,,,,,,1
FC-00315021,Tukol-D jarabe infantil,GENERICO,Otro,Tukol-D,,Guaifenesina + Dextrometorfano,,,JARABE,Jbe Inf,126.91,171.33,35.0,25.9,med_generico,60,204,6502400315021,prefijo_650_interno,Prefijo 650 no es GS1 país (México=750). Interno Farmalive/Genomma.,,,,,,1
FC-85103015,Toallitas Humedas Bebin Super,marca,Higiene,Bebin Super,,Solucion limpiadora,,,,40 PZA,13.32,18.00,35.1,26.0,categoria,40,19,6195851030154,gs1_otro_pais,"EAN-13 válido, prefijo 619 (no 750)",,,,,,1
FC-54525051,Tempra Forte C/24,GENERICO,GENERAL,Tempra,RB HEALTH,Paracetamol,,500 MG,TABLETAS,C/24,113.93,153.81,35.0,25.9,med_generico,60,183,7501095452505,gs1_mx,EAN-13 México,,,,,,1
FC-71829601,Tribedoce,MEDICAMENTO,Medicamento,Tribedoce,,Complejo B (Hidroxocobalamina),,50000 UI,AMPOLLETA,Amp C/5,73.11,98.70,35.0,25.9,sin_clasificar,35,99,7501501537161,gs1_mx,EAN-13 México,,,,,,2
FC-77620056,Agua destilada La Flor,marca,Botiquín,La Flor,,,,,Agua destilada,1 L,19.00,29.00,52.6,34.5,categoria,50,29,7506313000353,gs1_mx,EAN-13 México,,,,,,3
FC-76000284,Vitacilina agua micelar agua rosas,marca,Cuidado personal,Vitacilina,,,,,Agua micelar,500 ML,81.74,110.00,34.6,25.7,categoria,40,115,7506376000284,gs1_mx,EAN-13 México,,,,,,1
FC-7D1D9857,Acetilsalicilico,marca,Otro,Acido,,Acido acetilsalicilico,,100MG,TABLETAS,30 TABLETAS,14.85,19.31,30.0,23.1,med_otc_marca,35,21,7501008491074,checksum_invalido,Dígito verificador GS1 no cuadra,,32.5,32.5,32,,5
FC-35168991,Mousse Herbal Essences extra control,marca,Higiene,Herbal Essences,,,,,Shampoo,210 ML,67.00,90.00,34.3,25.6,categoria,40,94,7500435168991,gs1_mx,EAN-13 México,,,,,,1
FC-46657035,Palmolive jabón líquido cerezo y rosa,marca,Higiene,Palmolive,,Jabon / tensioactivos,,,Jabón,221 ML,23.79,34.00,42.9,30.0,categoria,40,34,7509546657035,gs1_mx,EAN-13 México,,,,,,1
FC-01303454,Pantene Control caída anticaída,marca,Higiene,Pantene,,,,,Shampoo,400 ML,75.70,106.00,40.0,28.6,categoria,40,106,7501001303454,checksum_invalido,Dígito verificador GS1 no cuadra,,,,,,1
FC-46073156,Shampoo Caprice natural manzana,marca,Higiene,Caprice,,Surfactantes / formula capilar,si,,Shampoo,380 ML,29.31,42.00,43.3,30.2,categoria,40,42,7509546073156,gs1_mx,EAN-13 México,,,,,,1
FC-50882017,Dermodine Espuma 120 Mi,marca,Botiquín,Dermodine,DEGASA,,,,Espuma,,75.20,120.32,60.0,37.5,categoria,50,113,7501250882017,gs1_mx,EAN-13 México,,,,,,2
FC-35155847,Shampoo Pantene bambú control caída,marca,Higiene,Pantene,,Surfactantes / formula capilar,si,,Shampoo,400 ML,75.70,106.00,40.0,28.6,categoria,40,106,7500435155847,gs1_mx,EAN-13 México,,,,,,1
FC-40010712,Tukol-D jarabe,GENERICO,GENERAL,Tukol-D,,Guaifenesina + Dextrometorfano,,,JARABE,125 ML,117.42,158.52,35.0,25.9,med_generico,60,188,6502400107128,prefijo_650_interno,Prefijo 650 no es GS1 país (México=750). Interno Farmalive/Genomma.,,,,,,1
FC-51078461,Nan 1 Pro 1,marca,GENERAL,Nan,MARCAS NESTLE,,,,,,129.40,207.05,60.0,37.5,categoria,30,169,7506475107846,gs1_mx,EAN-13 México,,,,,,1
FC-51078531,Nan Nestle Bolsa Nestle Bolsa,marca,GENERAL,Nan,MARCAS NESTLE,,,,,2 G,58.70,93.93,60.0,37.5,categoria,30,77,7506475107853,gs1_mx,EAN-13 México,,,,,,1
FC-40036354,Genoprazol Tab,GENERICO,Otro,Genoprazol,,Omeprazol,,20 MG,CAPSULAS,C/7,24.50,33.08,35.0,25.9,med_generico,60,40,6502400363548,prefijo_650_interno,Prefijo 650 no es GS1 país (México=750). Interno Farmalive/Genomma.,,,,,,1
FC-51448511,Electrolit Uva,marca,Higiene,Electrolit,LAB PISA,Electrolitos / suero oral,si,,Suero oral,525 ML,20.50,32.81,60.0,37.5,categoria,30,29,7501125144851,gs1_mx,EAN-13 México,,25.0,25.0,25,si,2
FC-92509213,Nutribela Nutricion,marca,Cuidado personal,Nutribela,,,,,Crema,300 G,41.84,64.39,53.9,35.0,categoria,40,59,7506192509213,gs1_mx,EAN-13 México,,,,,,1
FC-22322395,Normogotero Sensi Medical,marca,Botiquín,Sensi Medical,,,,,,1 pz,11.53,18.00,56.1,35.9,categoria,50,18,7506022322395,gs1_mx,EAN-13 México,,,,,,5
FC-4F05124E,Gelcavit-9M Capsulas,marca,Vitaminas,Gelcavit,,,,,,C/30,66.30,86.19,30.0,23.1,categoria,45,97,7501130713868,gs1_mx,EAN-13 México,,,,,,1
FC-46073118,Shampo Caprice Acti-Ceramidas,marca,Higiene,Caprice,,,,,,380 mL,29.31,40.00,36.5,26.7,categoria,40,42,7509546073118,gs1_mx,EAN-13 México,,,,,,1
FC-12250181,Rocainol Ung,GENERICO,GENERAL,Rocainol,,Salicilato de metilo + Mentol,,16/8 G/100G,UNGÜENTO,45 G,53.12,71.72,35.0,25.9,sin_clasificar,35,72,7501312250181,gs1_mx,EAN-13 México,,,,,,2
FC-58367129,Condón Sico Negro Feel,GENERICO,GENERAL,Sico,RB HEALTH,Latex,si,,CONDON,C/3,54.71,73.86,35.0,25.9,sin_clasificar,35,74,7501058367129,gs1_mx,EAN-13 México,,,,,,1
FC-10974329,Enjuague Buc Listerine Cool Mint,marca,Higiene,Listerine,,,,,Enjuague bucal,250 ML,54.06,76.00,40.6,28.9,categoria,40,76,7891010974329,gs1_otro_pais,"EAN-13 válido, prefijo 789 (no 750)",,,,,,1
FC-69200016,Estomaquil Polvo C/20,marca,Producto,Higia,LAB HIGIA,Bismuto subsalicilato; Hidróxido de magnesio; Carbonato de calcio,,,Polvo,C/20 sobres 3 g,98.79,133.37,35.0,25.9,sin_clasificar,35,134,7501369200016,gs1_mx,EAN-13 México,,,,,,1
FC-95201021,Pomada Hipoglos Pac,marca,Otro,Hipoglos,ANDROMACO,Oxido de zinc,,,,45 G al 25%,69.58,110.00,58.1,36.7,sin_clasificar,35,94,7501289520102,gs1_mx,EAN-13 México,,,,,,1
FC-98217659,Dolo-Neurobión,marca,Analgésico,Neurobion,,Diclofenaco c/ Complejo B,,,Tabletas,20 TABLETAS,269.28,694.89,158.1,61.2,med_otc_marca,35,364,7501298223704,gs1_mx,EAN-13 México,,,,,,1
FC-AA7B0686,Drosquim Ad 1 Ibe 300/160,marca,Producto,Drosquim,,,,,,200 ML,70.74,91.97,30.0,23.1,sin_clasificar,35,96,,vacio,,,,,,,1
FC-CF719C07,Diclofen,marca,Otro,Diclofen,,DICLOFENACO,,500 MG,CAPSULAS,12 CAPSULAS,26.82,34.87,30.0,23.1,med_otc_marca,35,37,,vacio,,,,,,,2
FC-00701992,Crema Nivea Manos  Ant-Arrugas,marca,Cuidado personal,Nivea,,Emolientes / humectantes,,,Crema,75 ML,36.30,51.00,40.5,28.8,categoria,40,51,4005900701992,gs1_otro_pais,"EAN-13 válido, prefijo 400 (no 750)",,,,,,1
FC-BE0A0E46,Cateter para Venoclisis 22 g,marca,Botiquín,Sumitex,,,,,Catéter,1 pz,9.26,12.04,30.0,23.1,categoria,50,15,7506022316622,gs1_mx,EAN-13 México,,,,,,3
FC-34092301,Syncol Max tabletas,GENERICO,GENERAL,Syncol Max,,Naproxeno + Paracetamol,,,TABLETAS,,88.69,119.74,35.0,25.9,med_generico,60,142,7501210734301,gs1_mx,EAN-13 México,,,,,,1
FC-50724298,Tempra jarabe,GENERICO,GENERAL,Tempra,,Paracetamol,,,JARABE,120 ML,166.19,224.36,35.0,25.9,med_generico,60,266,7501250105079,gs1_mx,EAN-13 México,,,,,,1
FC-51747971,Electrolit Mora Azul,marca,Higiene,Electrolit,LAB PISA,Electrolitos / suero oral,si,,Suero oral,625 ML,20.50,32.81,60.0,37.5,categoria,30,29,7501125174797,gs1_mx,EAN-13 México,,,,,,2
FC-50071598,Theraflu TD,GENERICO,Otro,Theraflu,,Paracetamol + Fenilefrina + Feniramina,,,POLVO,,170.32,229.94,35.0,25.9,sin_clasificar,35,230,7503050071598,checksum_invalido,Dígito verificador GS1 no cuadra,,,,,,2
FC-06134531,Afrin Adulto rojo spray,marca,Producto,Afrin,BAYER OTC,OXIMETAZOLINA CLORHIDRATO,,,SPRAY,SPRAY 20 ML,75.46,120.74,60.0,37.5,sin_clasificar,35,102,7501050613453,gs1_mx,EAN-13 México,,113.0,113.0,111,,20
FC-1CF27DC9,Dison Dex,marca,Otro,Dison,,,,5/2 MG,FRASCO AMPULA,1 FRASCO AMPULA,36.86,47.92,30.0,23.1,sin_clasificar,35,50,,vacio,,,,,,,1
FC-56342258,Crema Para Peinar Sedal Recons Inst,marca,Cuidado personal,Sedal,,,,,Crema,135 ML,18.17,28.44,56.5,36.1,categoria,40,26,7501056342258,gs1_mx,EAN-13 México,,,,,,1
FC-58715517,Graneodin B (benzocaína),GENERICO,GENERAL,Graneodin,,Benzocaina,,10 MG,PASTILLAS,C/24,42.64,57.57,35.0,25.9,sin_clasificar,35,58,7501058715517,gs1_mx,EAN-13 México,,,,,,5
FC-28979502,Histiacil NF adulto jarabe,marca,Respiratorio,Histiacil Opella,OPELLA,Dextrometorfano/Ambroxol,,ADTO 150 MI OPELLA JAR ADTO 150 MI OPELLA,JARABE,JARABE 150 mL 225 mg/225mg,121.91,161.72,32.7,24.6,med_otc_marca,35,165,7501328979502,gs1_mx,EAN-13 México,36.0,,36.0,36,si,1
FC-01508201,Antiflu-Des,GENERICO,Otro,Antiflu-Des,,Paracetamol + Clorfenamina + Fenilefrina,,,TABLETAS,,149.35,201.63,35.0,25.9,med_generico,60,239,7505253015021,gs1_mx,EAN-13 México,,,,,,1
FC-56340124,Crema Para Peinar Sedal Ceramida,marca,Cuidado personal,Sedal,,,,,Crema,300 ML,50.07,71.00,41.8,29.5,categoria,40,71,7501056340124,gs1_mx,EAN-13 México,,,,,,1
FC-47624171,Nailex Desenterrador Unas Desenterrador Unas,marca,GENERAL,Nailex,LAB PISA,,,,,12 ML,54.49,87.19,60.0,37.5,sin_clasificar,35,74,7502234762417,gs1_mx,EAN-13 México,,,,,,12
FC-56326142,Crema Ponds Suave y Tersa,marca,Cuidado personal,Ponds,,,,,Crema,100 G,59.36,84.00,41.5,29.3,categoria,40,84,7501056326142,gs1_mx,EAN-13 México,,,,,,1
FC-84500522,Cinta Micropor Cintapore Blanca 2.5 cm x 5m,marca,Botiquín,,,,,,,1 pz,9.50,18.00,89.5,47.2,categoria,50,15,7506484500522,gs1_mx,EAN-13 México,,,,,,1
FC-56330309,Crema Ponds Clarant B3,marca,Cuidado personal,Ponds,,,,,Crema,100 G,72.30,102.00,41.1,29.1,categoria,40,102,7501056330309,gs1_mx,EAN-13 México,,,,,,1
FC-50002301,Neo-Melubrina metamizol tabletas C/10,marca,Otro,Neo-Melubrina,OPELLA,Metamizol Sodico,,,TABLETAS,C/10 500 mg,72.23,93.90,30.0,23.1,med_otc_marca,35,98,7501165000230,gs1_mx,EAN-13 México,,,,,,1
FC-80596011,Aderogyl Amp,GENERICO,GENERAL,Aderogyl,OPELLA,Vitamina C + Vitamina A + Vitamina D3 + Complejo B,,,AMPOLLETA,Amp C/4,96.92,130.85,35.0,25.9,sin_clasificar,35,131,3664798059601,gs1_otro_pais,"EAN-13 válido, prefijo 366 (no 750)",,,,,,2
FC-83683367,Condón Sico Rojo Feel,GENERICO,GENERAL,Sico,,Latex,si,,CONDON,C/3,54.71,73.86,35.0,25.9,sin_clasificar,35,74,7501058363367,gs1_mx,EAN-13 México,,,,,,1
FC-92730451,Riopan Sobres,GENERICO,Otro,Riopan,,Magaldrato,,,SOBRES,Sobres,268.72,362.78,35.0,25.9,sin_clasificar,35,363,7507201092351,gs1_mx,EAN-13 México,,,,,,1
FC-83146207,Fazolin F (nafazolina),MEDICAMENTO,Medicamento,Fazolin,,Nafazolina,,15 ML I COLLINS OMELELE,GOTAS,15 ML,26.85,36.25,35.0,25.9,sin_clasificar,35,37,7800831462076,gs1_otro_pais,"EAN-13 válido, prefijo 780 (no 750)",,,,,,2
FC-54054221,Splash Tears Sol oftálmica,GENERICO,Otro,Splash Tears,,Hipromelosa,,,SOLUCION,Sol oftálmica,140.53,189.72,35.0,25.9,med_generico,60,225,7509854054221,checksum_invalido,Dígito verificador GS1 no cuadra,,,,,,1
FC-08485316,Tabcin Eferv,marca,Otro,Tabcin,BAYER OTC,,,,TABLETAS,50 TABLETAS · C/12,37.73,49.05,30.0,23.1,med_otc_marca,35,51,7501008485316,gs1_mx,EAN-13 México,,,,,,1
FC-DE106642,Infamid (Metamizol + Dexametasona + Vit. B),marca,Otro,Ampigrin,,,,250/200/100/30MG/3 ML,AMPOLLETA,3 AMPOLLETA,73.57,95.65,30.0,23.1,sin_clasificar,35,100,,vacio,,,,,,,1
FC-54521161,Tempra 500 mg,marca,Analgésico,Tempra,RB HEALTH,Paracetamol,,,UNGÜENTO,C/10 500 mg,45.87,62.00,35.2,26.0,sin_clasificar,35,62,7501095452116,gs1_mx,EAN-13 México,,,,,,1
FC-58203691,Hilo dental expanding,marca,Higiene,Gum,SUNSTAR AMERICAS,,,,,0.9 M,18.90,30.24,60.0,37.5,categoria,40,27,7502235820369,gs1_mx,EAN-13 México,,,,,,22
FC-40006647,Ultra Bengue Gel,GENERICO,GENERAL,Ultra Bengue,,Mentol + Alcanfor,,,GEL,Gel,110.30,148.91,35.0,25.9,sin_clasificar,35,149,6502400066470,prefijo_650_interno,Prefijo 650 no es GS1 país (México=750). Interno Farmalive/Genomma.,,,,,,1
FC-40032264,Suerox 8 Iones Eresa-Kiwi 630 ML,GENERICO,GENERAL,Suerox,,Electrolitos / suero oral,si,,BEBIDA,Eresa-Kiwi 630 ML,14.73,19.89,35.0,25.9,sin_clasificar,35,20,6502400322644,prefijo_650_interno,Prefijo 650 no es GS1 país (México=750). Interno Farmalive/Genomma.,,,,,,1
FC-40032271,Suerox 8 Iones Uva 630 ML,GENERICO,GENERAL,Suerox,,Electrolitos / suero oral,si,,BEBIDA,Uva 630 ML,14.73,19.89,35.0,25.9,sin_clasificar,35,20,6502400322712,prefijo_650_interno,Prefijo 650 no es GS1 país (México=750). Interno Farmalive/Genomma.,,,,,,1
FC-50959781,Centrum Performance,marca,Vitaminas,Centrum,PG PERF,Multivitaminico + minerales,,,TABLETAS,C/30,160.72,210.00,30.7,23.5,categoria,45,234,7501065095978,gs1_mx,EAN-13 México,,,,,,1
FC-58793249,Lubricante sensación calor,marca,Cuidado personal,Sico,RB HEALTH,,,,Lubricante,50 ML,101.90,163.05,60.0,37.5,categoria,40,143,7501058793249,gs1_mx,EAN-13 México,,,,,,1
FC-84500607,Cinta Micropor Cintapore Blanca 2.5 cm x 9.1 m,marca,Botiquín,Cintapore,,,,,,1 pz,15.21,28.00,84.1,45.7,categoria,50,23,7506484500607,gs1_mx,EAN-13 México,,,,,,4
FC-D11D586A,Valgab 3 Ibe /6Ml,marca,Producto,Valgab,,,,,,50 MG,19.41,25.24,30.0,23.1,sin_clasificar,35,27,,vacio,,,,,,,1
FC-DF39BB27,Alevarin Capsulas,marca,Otro,Alevarin,,,,,,C/45,68.86,89.55,30.0,23.1,sin_clasificar,35,93,7501590281105,gs1_mx,EAN-13 México,,,,,,1
FC-58792792,Tempra,marca,Producto,Tempra,RB HEALTH,Paracetamol/fenilefrina/carbinoxamina,,,,C/12 400mg/20mg/4mg,58.70,96.00,63.5,38.9,sin_clasificar,35,80,7501058792792,gs1_mx,EAN-13 México,,,,,,1
FC-D751525D,Animalin Formula liquida,marca,Vitaminas,Animalin,,,,C/30 ML,GOTAS,30 mL,22.65,29.45,30.0,23.1,categoria,45,33,7502009744105,gs1_mx,EAN-13 México,,,,,,1
FC-00322571,Suerox 8 Iones Manzana 630 ML,GENERICO,GENERAL,Suerox,,Electrolitos / suero oral,si,,BEBIDA,Manzana 630 ML,14.73,19.89,35.0,25.9,sin_clasificar,35,20,6502400322571,prefijo_650_interno,Prefijo 650 no es GS1 país (México=750). Interno Farmalive/Genomma.,,,,,,1
FC-F8691496,Bactiver F (Sulfametoxazol/Trimetoprima),marca,Otro,Bactiver,,,,160/800 MG,TABLETAS,16 TABLETAS,16.89,21.96,30.0,23.1,med_otc_marca,35,23,,vacio,,,,,,,3
FC-22B18244,Cefotaxima IM (Inyectable),marca,Otro,Cefotaxima,,,,1 G/4 ML,FRASCO AMPULA,1 FRASCO AMPULA,31.06,40.38,30.0,23.1,sin_clasificar,35,42,,vacio,,,,,,,3
FC-40032295,Suerox 8 Iones Mora Azul 630 ML,GENERICO,GENERAL,Suerox,,Electrolitos / suero oral,si,,BEBIDA,Mora Azul 630 ML,14.73,19.89,35.0,25.9,sin_clasificar,35,20,6502400322958,prefijo_650_interno,Prefijo 650 no es GS1 país (México=750). Interno Farmalive/Genomma.,,,,,,1
FC-14121782,Jabón proteína de arroz y concha nácar,marca,Higiene,Gelimedic,,,,,Jabón,80 g,17.78,25.00,40.6,28.9,categoria,40,25,7505514121782,gs1_mx,EAN-13 México,,,,,,1
FC-53601247,Rinomar Agua Isotonica,marca,Respiratorio,Rinomar,,,,,,100 mL,86.90,105.00,20.8,17.2,sin_clasificar,35,118,7502253601247,gs1_mx,EAN-13 México,,,,,,1
FC-EADF1484,Diosmina Hesperidina,generico,Otro,,,DIOSMINA HESPERIDINA,,450/50 MG,TABLETAS,20 TABLETAS,39.41,63.06,60.0,37.5,med_generico,60,64,,vacio,,,364.0,364.0,357,,3
FC-F7A2CACF,Indarzona,marca,Otro,Indarzona,,,,25/0.5 MG,CAPSULAS,30 CAPSULAS,56.30,73.19,30.0,23.1,med_otc_marca,35,77,,vacio,,,,,,,2
FC-F817BC3A,Sibicos,marca,Otro,Sibicos,,,,1/100/20 G,CREMA,1 CREMA,33.65,43.75,30.0,23.1,sin_clasificar,35,46,,vacio,,,,,,,2
FC-FA3D96E6,N Calcitriol,marca,Otro,Becatrim,,,,0.25 MCG,CAPSULAS,30 CAPSULAS,47.13,61.27,30.0,23.1,med_otc_marca,35,64,,vacio,,,,,,,1
FC-00323011,Suerox 8 Iones Naranja Mandarina 630 ML,GENERICO,GENERAL,Suerox,,Electrolitos / suero oral,si,,BEBIDA,Naranja Mandarina 630 ML,14.73,19.89,35.0,25.9,sin_clasificar,35,20,6502400323011,prefijo_650_interno,Prefijo 650 no es GS1 país (México=750). Interno Farmalive/Genomma.,,,,,,1
FC-2E79C2D8,Hierro Dex,marca,Otro,Hierro,,,,100 MG/2 ML,AMPOLLETA,3 AMPOLLETA,61.33,79.73,30.0,23.1,sin_clasificar,35,83,,vacio,,,,,,,1
FC-14704156,Senosiain supositorios adulto C/10,marca,Otro,Senosiain,SENOSIAIN OTC,,,,SUPOSITORIO,C/10,58.96,94.34,60.0,37.5,sin_clasificar,35,80,7501314704156,gs1_mx,EAN-13 México,,,,,,1
FC-1BF03D35,Acetonido De Fluocinolona Cma,marca,Producto,Acetonido,,,,,,,18.44,23.98,30.0,23.1,sin_clasificar,35,25,,vacio,,,,,,,1
FC-24227339,Loxcel adulto,marca,Otro,Loxcel,LAB HORMONA,,,,TABLETAS,C/1,78.00,101.40,30.0,23.1,med_otc_marca,35,106,7502224227339,gs1_mx,EAN-13 México,,,,,,1
FC-14704163,Senosiain supositorios infantil C/10,marca,Otro,Senosiain,SENOSIAIN OTC,,,,SUPOSITORIO,C/10,63.40,102.00,60.9,37.8,sin_clasificar,35,86,7501314704163,gs1_mx,EAN-13 México,,,,,,1
FC-40066306,Suerox 8 Iones Fresa 630 ML,GENERICO,GENERAL,Suerox,,Electrolitos / suero oral,si,,BEBIDA,Fresa 630 ML,14.73,19.89,35.0,25.9,sin_clasificar,35,20,6502400663068,prefijo_650_interno,Prefijo 650 no es GS1 país (México=750). Interno Farmalive/Genomma.,,,,,,1
FC-3B001F9B,Amlodipino,marca,Otro,Amlodipino,,,,5 MG,TABLETAS,30 TABLETAS,9.04,11.76,30.1,23.1,med_otc_marca,35,15,,vacio,,,282.0,282.0,277,,3
FC-40074455,Suerox 8 Iones Uva Mora Azul 630 ML,GENERICO,GENERAL,Suerox,,Electrolitos / suero oral,si,,BEBIDA,Uva Mora Azul 630 ML,14.73,19.89,35.0,25.9,sin_clasificar,35,20,6502400744552,prefijo_650_interno,Prefijo 650 no es GS1 país (México=750). Interno Farmalive/Genomma.,,,,,,1
FC-62746612,Ajolotius,marca,Otro,Ajolotius,BIOALIMENTOS NAT,,,S/AZUCAR 250 ML. I BIOALIMENTOS NATI,JARABE,JARABE,89.20,115.96,30.0,23.1,med_otc_marca,35,121,7500462746612,gs1_mx,EAN-13 México,,,,,,1
