activo,calculated_price,categoria,codigo_barras,concentracion,costo,costo_incluye_iva,created_at,denominacion_distintiva,denominacion_generica,descripcion,descuento_mxn,descuento_pct,disponible,fecha_actualizacion_precios,forma_farmaceutica,id,imagen_mobile_url,imagen_url,manual_price_override,marca,markup_percentage,nombre,precio,precio_del_ahorro,precio_marca,precio_similares,precio_unidad,presentacion,price_needs_review,price_updated_at,pricing_rule_id,principio_activo,requiere_receta,sku,stock,stock_minimo,stock_unidades,subcategoria,sucursal_id,tasa_iva,tipo,ubicacion_texto,unidades_por_caja,venta_unidad
True,,GENERAL,7501008498798,,63.25,,2026-08-11T00:19:06.632557+00:00,,,Bepanthen Multiusos Pomada 30 Multiusos Pomada,0,0,inmediato,,,474,,,False,Bepanthen,,Bepanthen Multiusos Pomada 30 Multiusos Pomada,101.2,,,,0,,False,,,,False,FC-08498798,30,5,0,,,,marca,,0,False
True,,Cuidado personal,037836041273,,49.97,,2026-08-14T16:02:41.333196+00:00,,,,0,0,inmediato,,,582,,,False,Hinds,,Crema Hinds Clasica Rosa,60,,,,0,500 mL,False,,,,False,FC-36041273,1,5,0,,,,marca,,0,False
True,30.0,Otro,,600 MG,21.95,,2026-08-10T19:50:21.991528+00:00,,,Gelubrin,0,0.0,inmediato,,CAPSULAS,131,,,False,Gelubrin,0.35,Gelubrin,28.54,,,,0.0,10 CAPSULAS,False,2026-08-11T00:05:37.88556+00:00,3,,False,FC-5C8C9C11,5,5,0,,,,marca,,0,False
True,,Otro,7501065095718,,152.2,,2026-08-11T00:19:06.632557+00:00,,,Centrum,0,0,inmediato,,TABLETAS,482,,,False,Centrum,,Centrum,205.47,,,,0,C/30,False,,,,False,FC-65095718,1,5,0,,,,marca,,0,False
True,,GENERAL,7501065095947,,178.46,,2026-08-11T00:19:06.632557+00:00,,,Centrum Tab 1 Tab,0,0,inmediato,,,459,,,False,Centrum,,Centrum Tab 1 Tab,232.0,,,,0,C/30,False,,,,False,FC-65095947,1,5,0,,,,marca,,0,False
True,38.0,Otro,,125/31.25MG/5/60 ML,27.89,,2026-08-10T19:50:21.991528+00:00,,,Clamoxin,0,0.0,inmediato,,SUSPENSION,65,,,False,Clamoxin,0.35,Clamoxin,36.26,,,,0.0,1 SUSPENSION,False,2026-08-11T00:05:37.88556+00:00,3,AMOXICILINA/AC. CLAVULANICO,False,FC-6519183A,1,5,0,,,,marca,,0,False
True,,Botiquín,7590002012475,,125.12,,2026-08-11T00:19:06.632557+00:00,,,Vicks Vaporub ungüento 100 g — ticket 112558,0,0,inmediato,,Ungüento,438,,,False,Vicks,,Vicks Vaporub ungüento 100 G,188.0,,,,0,100 G,False,,,,False,FC-02012475,1,5,0,,,,marca,,0,False
True,33.0,Higiene,75095466534951,,22.93,,2026-08-10T19:51:08.809889+00:00,,,Colgate Total,0,0.0,inmediato,,Crema dental,378,,,False,Colgate,0.4,Colgate Total,36.69,,,,0.0,1 tubo,False,2026-08-11T00:05:37.88556+00:00,5,,False,FC-66534951,1,5,0,,,,marca,,0,False
True,,Botiquín,7590002012468,,82.41,,2026-08-11T00:19:06.632557+00:00,,,Vicks Vaporub ungüento 50 g — ticket 112558,0,0,inmediato,,Balsamo,439,,,False,Vicks,,Vicks Vaporub ungüento 50G,124.0,,,,0,50 G,False,,,,False,FC-02012468,1,5,0,,,,marca,,0,False
True,,Higiene,7501035919129,,49.29,,2026-08-13T18:13:29.246551+00:00,,,,0,0,inmediato,,,571,,,False,Palmolive,,Shampoo Palmolive Vital Keratina,55,,,,0,400 mL,False,,,,False,FC-35919129,1,5,0,,,,marca,,0,False
True,25.0,Higiene,7506267905131,,16.7,,2026-08-10T19:50:21.991528+00:00,,,Blumen Cherry Bloss,0,0.0,inmediato,,Jabón líquido,202,,,False,Blumen,0.4,Blumen Jbn liq Cherry Bloss,28.45,,,,0.0,221 ML,False,2026-08-11T00:05:37.88556+00:00,5,,False,FC-67905131,1,5,0,,,,marca,,0,False
True,,Producto,7506022315281,,15.18,,2026-08-11T00:19:23.977326+00:00,,,Meditest Prueba Embarazo,0,0,inmediato,,,552,,,False,Meditest,,Prueba Embarazo Meditest,25,,,,0,C/1,False,,,,False,FC-66055303,6,5,0,,,,marca,,0,False
True,77.0,Higiene,7509552780956,,25.83,,2026-08-10T19:50:21.991528+00:00,,,Obao Men Tato Rebel,0,0.0,inmediato,,Desodorante,171,,,False,Obao,0.4,Desodorante Obao Men Tattoo Rebel (Hombre),33,,,,0.0,R-ON 65 G,False,2026-08-11T00:05:37.88556+00:00,5,,False,FC-55280956,1,5,0,,,,marca,,0,False
True,186.0,Botiquín,7501868900127,,123.58,,2026-08-10T19:51:08.809889+00:00,,,Gasa 10 x 10,0,0.0,inmediato,,Gasa,380,,,False,Dibar,0.5,Gasa 10 x 10,197.73,,,,0.0,PAQ 10,False,2026-08-11T00:05:37.88556+00:00,4,,False,FC-68900127,1,5,0,,,,marca,,0,False
True,15.0,Otro,,30 MG,9.75,,2026-08-10T19:50:21.991528+00:00,,,Cloxan,0,0.0,inmediato,,COMPRIMIDOS,10,,,True,Cloxan,0.35,Cloxan,12.68,,,,0.0,20 COMPRIMIDOS,False,2026-08-11T00:02:47.082937+00:00,3,,False,FC-1DA570E3,2,5,0,,,,marca,,0,False
True,,Producto,75010723001331,,73.6,,2026-08-11T00:19:06.632557+00:00,,,Sr I Ting,0,0,inmediato,,CREMA,471,,,False,Sr,,Sr I Ting,117.76,,,,0,,False,,,,False,FC-23001331,1,5,0,,,,marca,,0,False
True,326.0,Botiquín,75060223273451,,217.2,,2026-08-10T19:51:08.809889+00:00,,,Jeringa insulina 0.5 ml,0,0.0,inmediato,,Jeringa,365,,,True,Jayor,0.5,Jeringa insulina 0.5 ml,282.36,,,,0.0,C/100,False,2026-08-11T00:02:47.082937+00:00,4,,False,FC-23273451,1,5,0,,,,marca,,0,False
True,29.0,Higiene,7501125104268,,20.5,,2026-08-10T19:51:08.809889+00:00,,,Electrolit Fresa,0,0.0,inmediato,,Suero oral,403,,,False,Electrolit,0.3,Electrolit Fresa,32.81,,,,0.0,625 ML,False,2026-08-11T00:05:37.88556+00:00,7,,False,FC-25104268,2,5,0,,,,marca,,0,False
True,29.0,Higiene,7501125104411,,20.09,,2026-08-10T19:51:08.809889+00:00,,,Electrolit Coco,0,0.0,inmediato,,Suero oral,401,,,False,Electrolit,0.3,Electrolit Coco,32.15,,,,0.0,625 ML,False,2026-08-11T00:05:37.88556+00:00,7,,False,FC-25104411,2,5,0,,,,marca,,0,False
True,51.0,Higiene,7501072629012,,8.052,,2026-08-10T19:50:41.010327+00:00,,,Colgate Adulto Med 40 C12,0,0.0,inmediato,,Cepillo dental,325,,,False,Clinic,0.4,Cepillo Dent Clinic,15,,,,0.0,1 pz,False,2026-08-11T00:05:37.88556+00:00,5,,False,FC-72629012,12,5,0,,,,marca,,0,False
True,29.0,Higiene,7501125149221,,20.09,,2026-08-10T19:51:08.809889+00:00,,,Electrolit Eresa-Kiwi,0,0.0,inmediato,,Suero oral,402,,,False,Electrolit,0.3,Electrolit Eresa-Kiwi,32.15,,,,0.0,625 ML,False,2026-08-11T00:05:37.88556+00:00,7,,False,FC-25149221,2,5,0,,,,marca,,0,False
True,21.0,Bebés,7501027512574,,15.8,,2026-08-10T19:51:08.809889+00:00,,,Evenflo Colors,0,0.0,inmediato,,Biberón,367,,,False,Evenflo,0.3,Evenflo Colors,25.28,,,,0.0,,False,2026-08-11T00:05:37.88556+00:00,8,,False,FC-27512574,1,5,0,,,,marca,,0,False
True,9.0,Botiquín,75065529003221,,3.7,,2026-08-10T19:51:08.809889+00:00,,,Quirmex,0,0.0,inmediato,,Vaso recolector,399,,,False,Quirmex,0.5,Quirmex,5.93,,,,0.0,,False,2026-08-11T00:05:37.88556+00:00,4,,False,FC-29003221,1,5,0,,,,marca,,0,False
True,,Producto,,,11.0,,2026-08-11T00:19:23.977326+00:00,,,Reumatol,0,0,inmediato,,Pomada,513,,,False,Del Viejito,,Reumatol,17.61,,,,0,60 G,False,,,,False,FC-2E5B7248,2,5,0,,,,marca,,0,False
True,,Otro,75011230133021,,273.42,,2026-08-11T00:19:06.632557+00:00,,,Iri,0,0,inmediato,,AMPOLLETA,501,,,False,Iri,,Iri,437.48,,,,0,,False,,,,False,FC-30133021,17,5,0,,,,marca,,0,False
True,57.0,Suplemento,7501033954061,,42.0,,2026-08-10T19:50:41.010327+00:00,,,Ensure líquido 236 ml chocolate — ticket 112558,0,0.0,inmediato,,Líquido,351,,,False,Ensure,0.35,Ensure chocolate,63.0,,,,0.0,236 ML,True,2026-08-11T00:02:47.082937+00:00,12,,False,FC-33950100,2,5,0,,,,marca,,0,False
True,164.0,Producto,7501868900134,,108.88,,2026-08-10T19:51:08.809889+00:00,,,Gasa Lox10 C/100,0,0.0,inmediato,,,381,,,False,Dibar,0.5,Gasa Lox10 C/100,174.21,,,,0.0,C/100,False,2026-08-11T00:05:37.88556+00:00,4,,False,FC-68900134,3,5,0,,,,marca,,0,False
True,65.0,Otro,,250 MG/100 ML,47.7,,2026-08-10T19:50:21.991528+00:00,,,Bioerter,0,0.0,inmediato,,SUSPENSION,129,,,False,Bioerter,0.35,Bioerter,62.02,,,,0.0,1 SUSPENSION,False,2026-08-11T00:05:37.88556+00:00,3,,False,FC-6898B64F,1,5,0,,,,marca,,0,False
True,130.0,GENERAL,,,96.21,,2026-08-10T19:50:21.991528+00:00,,,Protect aerosol 200 dosis,0,0.0,inmediato,,,93,,,False,Protect,0.35,Protect aerosol 200 dosis,125.08,,,,0.0,12.80 G,True,2026-08-11T00:02:47.082937+00:00,12,,False,FC-6B2ADEE9,1,5,0,,,,marca,,0,False
True,,Cuidado personal,650240013850,,30.02,,2026-08-14T16:06:31.999863+00:00,,,,0,0,inmediato,,,583,,,False,Teatrical,,Crema Teatrical Lanolina,43,,,,0,52 g,False,,,,False,FC-40013850,1,5,0,,,,marca,,0,False
True,176.0,Otro,,2 ML,130.24,,2026-08-10T19:50:21.991528+00:00,,,Susp 125 Mg/Ml,0,0.0,inmediato,,AMPOLLETA,102,,,False,Budenova,0.35,Susp 125 Mg/Ml,169.32,,,,0.0,5 AMPOLLETA,True,2026-08-11T00:02:47.082937+00:00,12,,False,FC-6C2878CF,1,5,0,,,,marca,,0,False
True,,Otro,7501070612368,,152.0,,2026-08-11T00:19:06.632557+00:00,,,Treda,0,0,inmediato,,TABLETAS,468,,,False,Treda,,Treda,198.0,,,,0,C/20,False,,,,False,FC-70612368,2,5,0,,,,marca,,0,False
True,62.0,Cuidado personal,7501072300171,,80.46,,2026-08-10T19:50:21.991528+00:00,,,Ting polvo decolorante,0,0.0,inmediato,,Polvo,221,,,False,Ting,0.4,Talco Desodorante Ting polvo,113.0,,,,0.0,85 G,False,2026-08-11T00:05:37.88556+00:00,5,,False,FC-72300171,1,5,0,,,,marca,,0,False
True,958.0,Botiquín,7501868900257,,53.2,,2026-08-10T19:50:41.010327+00:00,,,Alcohol Dibar 1 L rojo — ticket 112558,0,0,inmediato,,Alcohol,338,,,False,Dibar,0.5,Alcohol Etilico Rojo 96°,80,,,,0,1 L,False,2026-08-11T00:05:37.88556+00:00,4,,False,FC-68960257,12,5,0,,,,marca,,0,False
True,122.0,Suplemento,7501033956331,,44,,2026-08-10T19:50:41.010327+00:00,,,Pediasure líquido 236 ml fresa — ticket 112558,0,0,inmediato,,Líquido,352,,,False,Pediasure,0.45,Pediasure fresa,66,,,,0,236 ML,False,2026-08-11T00:05:37.88556+00:00,6,,False,FC-33950063,2,5,0,,,,marca,,0,False
True,1016.0,Botiquín,7501868990023,,28.2,,2026-08-10T19:50:41.010327+00:00,,,Alcohol Dibar 500 ml rojo — ticket 112558,0,0,inmediato,,Alcohol,340,,,False,Dibar,0.5,Alcohol Etilico Rojo 96°,49,,,,0,500 ML,False,2026-08-11T00:05:37.88556+00:00,4,,False,FC-68990023,3,5,0,,,,marca,,0,False
True,64.0,Cuidado personal,7502224511711,,45.26,,2026-08-10T19:50:41.010327+00:00,,,Silica Shine Sily 3/1 Mora,0,0.0,inmediato,,Tratamiento capilar,268,,,False,ShineSily,0.4,Silica Shine Sily 3/1 Mora,63,,,,0.0,105 ML,False,2026-08-11T00:05:37.88556+00:00,5,,False,FC-24511711,1,5,0,,,,marca,,0,False
True,44.0,Otro,,500MG/2 ML,31.94,,2026-08-10T19:50:21.991528+00:00,,,Amikacina,0,0.0,inmediato,,AMPOLLETA,75,,,False,,0.35,Amikacina,51.11,,,,0.0,2 AMPOLLETA,True,2026-08-11T00:02:47.082937+00:00,12,AMIKACINA,False,FC-11294615,1,5,0,,,,generico,,0,False
True,62.0,Otro,,1 G/3 ML,45.42,,2026-08-10T19:50:21.991528+00:00,,,Ceftazidima,0,0.0,inmediato,,FRASCO AMPULA,123,,,False,Ceftazidima,0.35,Ceftazidima,59.05,,,,0.0,1 FRASCO AMPULA,True,2026-08-11T00:02:47.082937+00:00,12,,False,FC-357D4A17,2,5,0,,,,marca,,0,False
True,,Producto,,,6.0,,2026-08-11T00:19:23.977326+00:00,,,Mercurio Espiritus Tomar 1760823,0,0,inmediato,,,515,,,False,Mercurio,,Mercurio Espiritus Tomar 1760823,9.61,,,,0,C/25,False,,,,False,FC-3676D5DC,3,5,0,,,,marca,,0,False
True,,Producto,,,8.0,,2026-08-11T00:19:23.977326+00:00,,,Mercurio Aceite Romero 1910923,0,0,inmediato,,,521,,,False,Mercurio,,Mercurio Aceite Romero 1910923,12.8,,,,0,C/25,False,,,,False,FC-38CAFE6B,3,5,0,,,,marca,,0,False
True,,Producto,,,12.0,,2026-08-11T00:19:23.977326+00:00,,,Mercurio Glicerina 1230723 83125,0,0,inmediato,,,517,,,False,Mercurio,,Mercurio Glicerina 1230723 83125,19.21,,,,0,C/25,False,,,,False,FC-39036C88,3,5,0,,,,marca,,0,False
True,,Producto,7501080950139,,42.5,,2026-08-11T00:19:06.632557+00:00,,,Lásico enzimático,0,0,inmediato,,,452,,,False,Lásico,,Lásico enzimático,68.0,,,,0,Caja,False,,,,False,FC-80950139,1,5,0,,,,marca,,0,False
True,52.0,Higiene,7501943454811,,39.6,,2026-08-10T19:51:08.809889+00:00,,,Toallitas húmedas cuidado puro,0,0.0,inmediato,,Toallas húmedas,408,,,False,Huggies,0.3,Toallitas húmedas cuidado puro,63.37,,,,0.0,C/80,False,2026-08-11T00:05:37.88556+00:00,8,,False,FC-43454811,9,5,0,,,,marca,,0,False
True,31.0,Higiene,7501943471900,,21.46,,2026-08-10T19:51:08.809889+00:00,,,Toallitas húmedas C/120,0,0.0,inmediato,,Toallas húmedas,405,,,False,Absorsec,0.4,Toallitas húmedas C/120,34.34,,,,0.0,C/120,False,2026-08-11T00:05:37.88556+00:00,5,,False,FC-43471900,1,5,0,,,,marca,,0,False
True,77.0,Otro,75010545079011,,56.5,,2026-08-10T19:51:08.809889+00:00,,,Labello,0,0.0,inmediato,,POMADA,418,,,False,Labello,0.35,Labello,90.4,,,,0.0,,True,2026-08-11T00:02:47.082937+00:00,12,,False,FC-45079011,1,5,0,,,,marca,,0,False
True,,Producto,,,69.0,,2026-08-11T00:19:23.977326+00:00,,,Mercurio Sulfatiazol Polvo 1710824,0,0,inmediato,,,538,,,False,Mercurio,,Mercurio Sulfatiazol Polvo 1710824,110.4,,,,0,C/50,False,,,,False,FC-47AAF23B,1,5,0,,,,marca,,0,False
True,23.0,Botiquín,7501048335305,,14.7,,2026-08-10T19:51:08.809889+00:00,,,Degasa 15.00 Agua Oxigenada,0,0.0,inmediato,,Agua oxigenada,390,,,False,Degasa,0.5,Degasa 15.00 Agua Oxigenada,23.52,,,,0.0,480 ML,False,2026-08-11T00:05:37.88556+00:00,4,,False,FC-48335305,1,5,0,,,,marca,,0,False
True,,Higiene,75010173629981,,33.3,,2026-08-11T00:19:06.632557+00:00,,,Kleenex Panuelos Pack C/8 1,0,0,inmediato,,Pañuelos desechables,511,,,False,Kleenex,,Kleenex Panuelos Pack C/8 1,53.28,,,,0,C/8,False,,,,False,FC-73629981,1,5,0,,,,marca,,0,False
True,44.0,Otro,,100 G/40 G,32.41,,2026-08-10T19:50:21.991528+00:00,,,S,0,0.0,inmediato,,CREMA,115,,,False,Sonblefam,0.35,S,42.14,,,,0.0,1 CREMA,True,2026-08-11T00:02:47.082937+00:00,12,,False,FC-77FE5C83,1,5,0,,,,marca,,0,False
True,,Otro,7501079400556,,107.4,,2026-08-11T00:19:06.632557+00:00,,,Sanfer Syncol,0,0,inmediato,,TABLETAS,461,,,False,Sanfer,,Sanfer Syncol,139.62,,,,0,871210734092301 TABLETAS,False,,,,False,FC-79400556,1,5,0,,,,marca,,0,False
True,21.0,Otro,,100MG,14.85,,2026-08-10T19:50:21.991528+00:00,,,Acetilsalicilico,0,0.0,inmediato,,TABLETAS,53,,,False,Acido,0.35,Acetilsalicilico,19.31,,,,0.0,30 TABLETAS,False,2026-08-11T00:05:37.88556+00:00,3,,False,FC-7D1D9857,5,5,0,,,,marca,,0,False
True,29.0,Otro,,500MG/2 ML,20.37,,2026-08-10T19:50:21.991528+00:00,,,Ampicilina,0,0.0,inmediato,,FRASCO AMPULA,50,,,False,,0.35,Ampicilina,32.6,,,,0.0,1 FRASCO AMPULA,True,2026-08-11T00:02:47.082937+00:00,12,AMPICILINA,False,FC-7F90064A,2,5,0,,,,generico,,0,False
True,,Higiene,7501035908116,,38.18,,2026-08-14T16:35:08.362282+00:00,,,,0,0,inmediato,,,584,,,False,Mennen,,Talco Para Bebe Mennen Azul ch,54,,,,0,100 g,False,,,,False,FC-35908116,1,5,0,,,,marca,,0,False
True,75.0,Higiene,75076009,,51.5,,2026-08-10T19:50:21.991528+00:00,,,Rexona 48H Happy-M,0,0.0,inmediato,,Desodorante,175,,,False,Rexona,0.4,Rexona 48H Happy (Mujer),85.6,,,,0.0,STICK 45 G,False,2026-08-11T00:05:37.88556+00:00,5,,False,FC-75076009,1,5,0,,,,marca,,0,False
True,25.0,Botiquín,7506313000353,,19,,2026-08-10T19:50:41.010327+00:00,,,Agua destilada La Flor 1 L — ticket 112558,0,0,inmediato,,Agua destilada,341,,,False,La Flor,0.3,Agua destilada La Flor,29,,,,0,1 L,False,2026-08-11T00:05:37.88556+00:00,7,,False,FC-77620056,3,5,0,,,,marca,,0,False
True,121.0,Cuidado personal,42270027,,86.77,,2026-08-10T19:50:41.010327+00:00,,,Nivea Cuidada Clar-Nat,0,0.0,inmediato,,Crema,290,,,False,Nivea,0.4,Crema Nivea Facial 7 en 1,137.4,,,,0.0,200 ML,False,2026-08-11T00:05:37.88556+00:00,5,,False,FC-42270027,1,5,0,,,,marca,,0,False
True,119.0,Higiene,7506309895208,,17,,2026-08-10T19:50:41.010327+00:00,,,Naturella flujo moderado C/8 con alas — ticket 112558,0,0,inmediato,,Toallas sanitarias,357,,,False,Naturella,0.4,Naturella flujo moderado con alas,26,,,,4,C/8,False,2026-08-11T00:05:37.88556+00:00,5,,False,FC-01157296,5,5,8,,,,marca,,8,True
True,24.0,Higiene,75069223,,42.82,,2026-08-10T19:50:21.991528+00:00,,,Rexona Mot-Sen Sport Stick,0,0.0,inmediato,,Desodorante,192,,,False,Rexona,0.4,Rexona Sport Stick,60.0,,,,0.0,45 g,False,2026-08-11T00:05:37.88556+00:00,5,,False,FC-75069223,1,5,0,,,,marca,,0,False
True,,Producto,7501080953017,,49.0,,2026-08-11T00:19:06.632557+00:00,,,Trojan,0,0,inmediato,,,455,,,False,Trojan,,Trojan,78.41,,,,0,C/3,False,,,,False,FC-80953017,1,5,0,,,,marca,,0,False
True,,Producto,7501089810021,,79.38,,2026-08-11T00:19:06.632557+00:00,,,Armstrong Herklin Ne Sham 60 Ml,0,0,inmediato,,SHAMPOO,488,,,False,Armstrong,,Armstrong Herklin Ne Sham 60 Ml,127.01,,,,0,60 ML,False,,,,False,FC-89810021,2,5,0,,,,marca,,0,False
True,30.0,Cuidado personal,7506376000284,,81.74,,2026-08-10T19:50:21.991528+00:00,,,Vitacilina Ros-Sab,0,0.0,inmediato,,Agua micelar,199,,,False,Vitacilina,0.4,Vitacilina agua micelar agua rosas,110,,,,0.0,500 ML,False,2026-08-11T00:05:37.88556+00:00,5,,False,FC-76000284,1,5,0,,,,marca,,0,False
True,25.0,Cuidado personal,7506192506045,,17.98,,2026-08-10T19:50:41.010327+00:00,,,Ego Firme Matte,0,0.0,inmediato,,Cera capilar,275,,,False,Ego,0.4,Cera Ego Matte,27,,,,0.0,25 G,False,2026-08-11T00:05:37.88556+00:00,5,,False,FC-92506045,1,5,0,,,,marca,,0,False
True,31.0,Cuidado personal,7501048623006,,21.7,,2026-08-10T19:51:08.809889+00:00,,,Protec Pads Facial Redondos C/100,0,0.0,inmediato,,Pads,370,,,False,Protec,0.4,Protec Pads Facial Redondos C/100,34.72,,,,0.0,C/100,False,2026-08-11T00:05:37.88556+00:00,5,,False,FC-48623006,2,5,0,,,,marca,,0,False
True,,Producto,,,66.3,,2026-08-11T00:19:23.977326+00:00,,,Gelcavit-9M Capsulas,0,0,inmediato,,,554,,,False,Gelcavit-9M,,Gelcavit-9M Capsulas,86.19,,,,0,C/30,False,,,,False,FC-4F05124E,1,5,0,,,,marca,,0,False
True,,Otro,75011650003151,,118.58,,2026-08-11T00:19:06.632557+00:00,,,Opella Neomelubrina Jbe I 121.00 Neomelubrina Jbe I,0,0,inmediato,,Inyectable,476,,,False,Opella,,Opella Neomelubrina Jbe I 121.00 Neomelubrina Jbe I,189.73,,,,0,100 ML,False,,,,False,FC-50003151,1,5,0,,,,marca,,0,False
True,113.0,Botiquín,7501250882017,,75.2,,2026-08-10T19:51:08.809889+00:00,,,Dermodine Espuma 120 Mi,0,0.0,inmediato,,Espuma,382,,,False,Dermodine,0.5,Dermodine Espuma 120 Mi,120.32,,,,0.0,,False,2026-08-11T00:05:37.88556+00:00,4,,False,FC-50882017,2,5,0,,,,marca,,0,False
True,34.0,Otro,,8MG/2 ML,24.45,,2026-08-10T19:50:21.991528+00:00,,,Erispan,0,0.0,inmediato,,FRASCO AMPULA,108,,,False,Erispan,0.35,Erispan,31.79,,,,0.0,1 FRASCO AMPULA,True,2026-08-11T00:02:47.082937+00:00,12,,False,FC-50AC2C82,1,5,0,,,,marca,,0,False
True,153.0,Producto,75064751067711,,112.7,,2026-08-10T19:51:08.809889+00:00,,,Nido,0,0.0,inmediato,,,393,,,False,Nido,0.35,Nido,180.33,,,,0.0,,True,2026-08-11T00:02:47.082937+00:00,12,,False,FC-51067711,1,5,0,,,,marca,,0,False
True,169.0,GENERAL,75064751078461,,129.4,,2026-08-10T19:51:08.809889+00:00,,,Nan 1 Pro 1,0,0.0,inmediato,,,397,,,False,Nan,0.3,Nan 1 Pro 1,207.05,,,,0.0,,False,2026-08-11T00:05:37.88556+00:00,8,,False,FC-51078461,1,5,0,,,,marca,,0,False
True,77.0,GENERAL,75064751078531,,58.7,,2026-08-10T19:51:08.809889+00:00,,,Nan Nestle Bolsa Nestle Bolsa,0,0.0,inmediato,,,398,,,False,Nan,0.3,Nan Nestle Bolsa Nestle Bolsa,93.93,,,,0.0,2 G,False,2026-08-11T00:05:37.88556+00:00,8,,False,FC-51078531,1,5,0,,,,marca,,0,False
True,29.0,Higiene,75011251448511,,20.5,,2026-08-10T19:51:08.809889+00:00,,,Electrolit Uva,0,0.0,inmediato,,Suero oral,400,,,False,Electrolit,0.3,Electrolit Uva,32.81,,,,0.0,525 ML,False,2026-08-11T00:05:37.88556+00:00,7,,False,FC-51448511,2,5,0,,,,marca,,0,False
True,50.0,Otro,,400/57MG/5/50 ML,36.79,,2026-08-10T19:50:21.991528+00:00,,,12H Jr,0,0.0,inmediato,,SUSPENSION,54,,,False,Clamoxin,0.35,12H Jr,47.83,,,,0.0,1 SUSPENSION,False,2026-08-11T00:05:37.88556+00:00,3,AMOXICILINA/AC. CLAVULANICO,False,FC-516C2E89,3,5,0,,,,marca,,0,False
True,29.0,Higiene,75011251747971,,20.5,,2026-08-10T19:51:08.809889+00:00,,,Electrolit Mora Azul,0,0.0,inmediato,,Suero oral,404,,,False,Electrolit,0.3,Electrolit Mora Azul,32.81,,,,0.0,625 ML,False,2026-08-11T00:05:37.88556+00:00,7,,False,FC-51747971,2,5,0,,,,marca,,0,False
