descripcion,sustancia,codigo_marzam,precio,oferta_pct,proveedor,precio_farmacia,precio_con_oferta
AGUA OXIGENADA PG 125ML,Agua Oxigenada,67028,6.15,5.0,PRODUCTOS DE CU,6.47,6.15
AGUA OXIGENADA PG 250ML,Agua Oxigenada,67029,7.95,5.0,PRODUCTOS DE CU,8.37,7.95
AGUA OXIGENADA PG 500ML,Agua Oxigenada,67030,12.96,5.0,PRODUCTOS DE CU,13.64,12.96
AKABAR 200MG CAP C16,NIFUROXAZIDA,C 107502,206.4,12.6,SERVICIOS PROMO,236.16,206.4
AKABAR SUSP 90ML,NIFUROXAZIDA,C 107501,232.34,12.6,SERVICIOS PROMO,265.84,232.34
ALCOHOL DESN PG 125ML,Alcohol Desnaturalizado,87025,8.27,5.0,PRODUCTOS DE CU,8.71,8.27
ALCOHOL DESN PG 250ML,Alcohol Desnaturalizado,87034,15.68,5.0,PRODUCTOS DE CU,16.51,15.68
ALCOHOL DESN PG 500ML,Alcohol Desnaturalizado,87035,22.8,5.0,PRODUCTOS DE CU,24.0,22.8
ALDACTONE 100MG TAB C30,ESPIRONOLACTONA,90004,1575.52,0.0,PFIZER SA DE CV,1921.36,1575.52
ALDACTONE A 25MG TAB C30,ESPIRONOLACTONA,90003,651.09,0.0,PFIZER SA DE CV,794.01,651.09
ALEGORIA 0.05%SUSP 18ML 140DOS,MOMETASONA FUROATO DE,A 92301,411.36,0.0,LABORATORIOS PIS,411.36,411.36
ALEGORIA 0.05%SUSP PED10ML 60D,MOMETASONA FUROATO DE,A 92302,258.84,0.0,LABORATORIOS PIS,258.84,258.84
ALERT SH 2 EN 1 700ML,Shampoos No Medicados,E 97002,73.82,0.0,GENOMMA LAB INT,73.82,73.82
ALFA CETOANALO 630MG TAB C100,ALFA CETOANALOGOS DE AMI,3401459,654.15,0.0,ANTIBIOTICOS DE M,654.15,654.15
ALGODON PG 10G C50,Algodón Plisado,101067,122.88,5.0,PRODUCTOS DE CU,129.35,122.88
ALGODON PG 3G C100,Algodón Plisado,101055,115.29,5.0,PRODUCTOS DE CU,121.36,115.29
ALGODON PLISADO LEROY 25G,Algodón Plisado,R 101080,8.26,0.0,LABORATORIOS LE,8.26,8.26
ALGODON PLISADO PG 100G,Algodón Plisado,101052,16.53,5.0,PRODUCTOS DE CU,17.4,16.53
ALGODON PLISADO PG 200G,Algodón Plisado,101051,30.4,5.0,PRODUCTOS DE CU,32.0,30.4
ALGODON PLISADO PG 25G,Algodón Plisado,101054,5.05,5.0,PRODUCTOS DE CU,5.32,5.05
ALGODON PLISADO PG 300G,Algodón Plisado,101050,40.75,5.0,PRODUCTOS DE CU,42.9,40.75
ALGODON PLISADO PG 50G,Algodón Plisado,101053,9.42,5.0,PRODUCTOS DE CU,9.92,9.42
ALGODON TORUNDA PG 75G,Torundas y Pads,101070,14.9,5.0,PRODUCTOS DE CU,15.68,14.9
ALIN 0.5MG TAB C30,DEXAMETASONA,A 103007,84.85,0.0,PRODUCTOS FARM,84.85,84.85
ALIN 0.75MG TAB C30,DEXAMETASONA,A 103008,95.51,0.0,PRODUCTOS FARM,95.51,95.51
ALIN DEPOT F A 2ML,DEXAMETASONA,A 103001,204.03,0.0,PRODUCTOS FARM,204.03,204.03
ALIN DEPOT JP 8MG/2ML,DEXAMETASONA SODICA 21-F,A 103011,332.54,28.5,PRODUCTOS FARM,465.09,332.54
ALIN JP 8MG/2ML,DEXAMETASONA,A 103012,244.54,28.5,PRODUCTOS FARM,342.01,244.54
ALIN NASAL GTS 20ML,DEXAMETASONA,A 103009,161.37,3.0,PRODUCTOS FARM,166.36,161.37
ALIN OFT GTS 5ML,DEXAMETASONA,A 103010,80.97,5.0,PRODUCTOS FARM,85.23,80.97
ALIREN 25/1/150MG JBE 60ML,AMANTADINA CLORHIDRATO D,103502,90.35,9.09,SIEGFRIED RHEIN S,99.38,90.35
ALIREN 50/3/300MG CAP C24,AMANTADINA CLORHIDRATO D,103501,114.77,9.09,SIEGFRIED RHEIN S,126.25,114.77
ALIREN FCO GTS SOL 30ML,AMANTADINA CLORHIDRATO D,103503,102.27,9.09,SIEGFRIED RHEIN S,112.5,102.27
ALIREN JARABE FRASCO 120ML,AMANTADINA CLORHIDRATO D,103504,110.23,9.09,SIEGFRIED RHEIN S,121.25,110.23
ALLI-TRIPLE TAB C20,NAPROXENO SODICO,E 109705,246.53,0.0,GENOMMA LAB INT,246.53,246.53
ALLI-TRIPLE TAB C6,NAPROXENO SODICO,E 109704,85.79,13.0,GENOMMA LAB INT,98.61,85.79
ALLIVIAX 550MG TAB C20,NAPROXENO SODICO,E 109702,172.14,0.0,GENOMMA LAB INT,172.14,172.14
ALLIVIAX GARGANTA TAB C6,NAPROXENO SODICO,E 109711,85.64,0.0,GENOMMA LAB INT,85.64,85.64
ALMOHADILLA FACIAL ALGOD C100,Accesorios Limpieza Facial,105701,18.37,5.0,PRODUCTOS DE CU,19.34,18.37
ALMOHADILLA FACIAL ALGOD C60,Accesorios Limpieza Facial,105702,12.41,5.0,PRODUCTOS DE CU,13.06,12.41
ALTRULINE 50MG TAB C28,SERTRALINA CLORHIDRATO DE,R 106207,1573.42,0.0,VIATRIS HEALTHCA,1918.8,1573.42
AMABLY 24 HRS 20MG CAP C14,ESOMEPRAZOL,124205,282.96,9.09,SIEGFRIED RHEIN S,311.25,282.96
AMABLY 24 HRS 20MG CAP C30,ESOMEPRAZOL,124206,410.8,9.09,SIEGFRIED RHEIN S,451.88,410.8
AMABLY 24 HRS 20MG CAP C7,ESOMEPRAZOL,124204,163.64,9.09,SIEGFRIED RHEIN S,180.0,163.64
AMABLY 40MG CAP C14,ESOMEPRAZOL,124202,454.55,9.09,SIEGFRIED RHEIN S,500.0,454.55
AMABLY 40MG CAP C30,ESOMEPRAZOL,124201,745.46,9.09,SIEGFRIED RHEIN S,820.0,745.46
AMARYL 2MG TAB C15,GLIMEPIRIDA,A 379001,521.6,0.0,SANOFI PASTEUR S,521.6,521.6
AMARYL 4MG TAB C15,GLIMEPIRIDA,A 379002,965.22,0.0,SANOFI PASTEUR S,965.22,965.22
AMARYL XM 2/850MG TAB C16,GLIMEPIRIDA,A 124501,778.55,0.0,SANOFI PASTEUR S,778.55,778.55
AMARYL XM 4/850MG TAB C16,GLIMEPIRIDA,A 124502,1026.72,0.0,SANOFI PASTEUR S,1026.72,1026.72
AMCEF INY 1G IV 10ML,CEFTRIAXONA,3401117,21.45,0.0,ANTIBIOTICOS DE M,21.45,21.45
AMIGDOBIS AD SUP C2,BISMUTO,A 142001,67.02,0.0,PRODUCTOS FARM,67.02,67.02
AMIGDOBIS INF SUP C2,BISMUTO,A 142002,67.02,0.0,PRODUCTOS FARM,67.02,67.02
AMIKACINA 100MG AMP PLAS C1,AMIKACINA SULFATO DE,3401174,8.63,0.0,ANTIBIOTICOS DE M,8.63,8.63
AMIKACINA 100MG/2ML AMP C2,AMIKACINA SULFATO DE,3401446,14.32,0.0,ANTIBIOTICOS DE M,14.32,14.32
AMIKACINA 500MG/2ML INY 1AMP,AMIKACINA SULFATO DE,3400451,16.52,0.0,ANTIBIOTICOS DE M,16.52,16.52
AMIKACINA 500MG/2ML INY 2AMP,AMIKACINA SULFATO DE,3400450,29.85,0.0,ANTIBIOTICOS DE M,29.85,29.85
AMINOEFEDRISON NF JBE 150ML,TEOFILINA,146005,333.53,9.09,SIEGFRIED RHEIN S,366.88,333.53
AMIZT SR 3 500MG TAB C3,AZITROMICINA,148701,223.3,9.09,SIEGFRIED RHEIN S,245.63,223.3
AMIZT SR 3 500MG TAB C5,AZITROMICINA,148702,289.21,9.09,SIEGFRIED RHEIN S,318.13,289.21
AMK 100MG INY AMP 2ML C1,AMIKACINA SULFATO DE,A 149501,65.86,0.0,LABORATORIOS PIS,65.86,65.86
AMK 500MG INY AMP 2ML C1,AMIKACINA SULFATO DE,A 149502,180.06,0.0,LABORATORIOS PIS,180.06,180.06
AMOX/CLA 125/31.25MG SUSP 60ML,AMOXICILINA,3401303,21.03,0.0,ANTIBIOTICOS DE M,21.03,21.03
AMOX/CLA 200/28.57MG SUSP 50ML,AMOXICILINA,3401426,21.13,0.0,ANTIBIOTICOS DE M,21.13,21.13
AMOX/CLA 400/57.14MG SUSP 50ML,AMOXICILINA,3401427,29.75,0.0,ANTIBIOTICOS DE M,29.75,29.75
AMOXICILINA 500MG SUSP 75ML,AMOXICILINA,3401275,23.61,0.0,ANTIBIOTICOS DE M,23.61,23.61
AMOXICILINA/CLAVULÁNI 500MG TAB C1,2AMOXICILINA,3400255,35.54,0.0,ANTIBIOTICOS DE M,35.54,35.54
AMOXICLAV 250MG SUSP 75ML,AMOXICILINA,A 153105,258.61,0.0,LABORATORIOS PIS,258.61,258.61
AMOXICLAV 500/125MG TAB C15,AMOXICILINA,A 153208,379.63,0.0,LABORATORIOS PIS,379.63,379.63
AMOXICLAV BID 875MG TAB C14,AMOXICILINA,A 153209,403.22,0.0,LABORATORIOS PIS,403.22,403.22
AMOXICLAV BID ORAL 200MG 70ML,AMOXICILINA,A 153207,159.51,0.0,LABORATORIOS PIS,159.51,159.51
AMOXICLAV BID SUSP 400MG 70ML,AMOXICILINA,A 153206,264.38,0.0,LABORATORIOS PIS,264.38,264.38
AMOXICLAV PED 125MG SUSP 60ML,AMOXICILINA,A 153101,160.37,0.0,LABORATORIOS PIS,160.37,160.37
AMPICILINA 1G AMP 5ML,AMPICILINA,3401447,26.42,0.0,ANTIBIOTICOS DE M,26.42,26.42
AMPICILINA 500MG INY 2ML AMP C1,AMPICILINA SODICA,3401039,21.29,0.0,ANTIBIOTICOS DE M,21.29,21.29
AMPICILINA 500MG TAB C20,AMPICILINA,3401276,28.23,0.0,ANTIBIOTICOS DE M,28.23,28.23
AMPLIRON 750MG TAB C12,AMOXICILINA,157703,289.21,9.09,SIEGFRIED RHEIN S,318.13,289.21
AMPLIRON DUO 400/57MG SUSP70ML,AMOXICILINA,157705,371.03,9.09,SIEGFRIED RHEIN S,408.13,371.03
AMPLIRON DUO 875/125MG CPR C14,AMOXICILINA,157704,513.64,9.09,SIEGFRIED RHEIN S,565.0,513.64
AMSAFAST 120MG CAP C21,ORLISTAT,3401245,88.54,0.0,ANTIBIOTICOS DE M,88.54,88.54
ANARA GTS 20ML,SODIO PICOSULFATO DE,A 177001,168.79,5.0,PRODUCTOS FARM,177.67,168.79
ANARA JBE 125ML,SODIO PICOSULFATO DE,A 177003,177.4,5.0,PRODUCTOS FARM,186.74,177.4
ANASEPTIL 0.040/0.150G SOL 120ML,SALBUTAMOL,A 178002,151.2,0.0,LABORATORIOS PIS,151.2,151.2
ANASEPTIL 0.040/0.150G SOL 60ML,SALBUTAMOL,A 178001,107.19,0.0,LABORATORIOS PIS,107.19,107.19
ANEREX HRRO SOL 115ML CPR C1,FERRICO SACARATO,C 187001,345.72,8.0,SERVICIOS PROMO,375.78,345.72
ANZANERA 0.1MG 250 TAB OD,CLONACEPAM,C 283201,484.83,11.68,SERVICIOS PROMO,548.95,484.83
APIXABAN 2 5MG TAB C20,APIXABAN,D 3402523,178.59,5.5,AVIVIA PHARMA SA,188.98,178.59
