sku,precio,confianza,nombre_fuente,sku_externo,reason,ratio,ean_levic,ean_fc,nombre
EQ-ACC066,40.8,100,ACC066 STERYX 30 TAB 5 MG,ACC066,sku_eq,1.01,7506335700019,7506335700019,Steryx 30 Tab 5 Mg
FC-62746605,45.05,100,AJO001 AJOLOTIUS JARABE CON MIEL 1 JBE 250 ML,AJO001,ean_exacto,1.61,7500462746605,7500462746605,Jarabe Ajolotiux Orig Con Miel
FC-52400267,66.57,100,AJO012 AJOLOTIUS JARABE ELDERBERRY 1 JBE 250 ML,AJO012,ean_exacto,0.91,7506452400267,7506452400267,Ajolotius Jarabe Elderberry
FC-62746698,56.56,100,AJO013 AJOLOTIUS JARABE PROPOLEO 1 JBE 250 ML,AJO013,ean_exacto,0.98,7500462746698,7500462746698,Ajolotius Jarbe con Bioalimentos/propoleo y vitamina C y A
FC-62746612,79.79,100,AJO002 AJOLOTIUS JARABE SIN AZUCAR 1 JBE 250 ML,AJO002,ean_exacto,0.91,7500462746612,7500462746612,Ajolotius Jarabe Sin azucar
FC-62746643,19.68,100,AJO003 AJOLOTIUS MENTA-EUC 1 PZA C/10 PAST 25 G,AJO003,ean_exacto,1.01,7500462746643,7500462746643,Ajolotius menta eucalipto pastillas
FC-24004581,21.95,100,AJO014 ELDELBERRY-GROSELLERO 1PZA C/10 PAST 25G,AJO014,ean_exacto,1.07,7506452400458,7506452400458,Pastillas Ajolotius Elderberry Grosellero
FC-52400212,20.35,100,AJO010 JENGIBRE-HEDERA 1 PZA C/10 PAST 22 G,AJO010,ean_exacto,1.01,7506452400212,7506452400212,Pastillas Ajolotius Jengibre Hedera
FC-52400038,21.95,100,AJO004 MENTA-EUC SIN AZUCAR 1 PZA C/10 PAST 22G,AJO004,ean_exacto,1.03,7506452400038,7506452400038,Ajolotius menta eucalipto sin azúcar pastillas
FC-1BF03D35,19.79,100,ALP0598 ACETONIDO DE FLUOCINOLONA CMA 40/01/100G,ALP0598,ean_exacto,1.07,7503004908721,7503004908721,Acetonido De Fluocinolona Cma
FC-6898B64F,51.03,100,ALP0567 BIOERTER 1 SUSP 250 MG/100 ML,ALP0567,ean_exacto,1.07,7502226292182,7502226292182,Bioerter Eritromicina Suspensión
FC-885F2723,18.75,100,ALP0608 CARBAMAZEPINA 20 TAB 200 MG,ALP0608,ean_exacto,1.04,7501384541163,7501384541163,Carbamazepina
FC-3CAA7C5C,37.49,100,ALP0340 CINARIZINA 60 TAB 75 MG,ALP0340,ean_exacto,1.07,7503004908820,7503004908820,Cinarizina
EQ-ALP0526,11.46,100,ALP0526 CLIOQUINOL 1 CMA 3% 20 G,ALP0526,sku_eq,1.07,7503004908677,7503004908677,Clioquinol 1 Cma 3% 20 G
EQ-ALP0633,68.74,100,ALP0633 DEXKETOPROFENO 10 TAB 25 MG,ALP0633,sku_eq,1.07,7502226295954,7502226295954,Dexketoprofeno 10 Tab 25 Mg
EQ-RAD100,20.83,100,ALP0554 FENAZOPIRIDINA 20 TAB 100 MG,ALP0554,ean_exacto,1.1,7501384545659,7501384545659,Fenazopiridina 1 Fco 20 Tab 100 Mg
FC-04908738,25.0,100,ALP0380 LIDOCAINA 1 UNG 5% 35 G,ALP0380,ean_exacto,1.07,7503004908738,7503004908738,Lidocaina unguento 5% tubo 35 g
EQ-ALP0628,21.11,100,ALP0628 METAMIZOL SODICO 3 AMP 1G/2 ML,ALP0628,sku_eq,1.44,7502226293776,7502226293776,Metamizol Sódico 3 Amp 1g/2 Ml
FC-04908714,11.66,100,ALP0520 MICONAZOL 1 CMA DE 20 G,ALP0520,ean_exacto,1.07,7503004908714,7503004908714,Miconazol crema 2%
EQ-ALP0410,36.45,100,ALP0410 NISTATINA 1 SUSP 1 UI /24 ML,ALP0410,sku_eq,1.07,7503004908844,7503004908844,Nistatina 1 Susp 1 Ui /24 Ml
FC-26291475,38.54,100,ALP0192 PHARMAFIL LP 20 TAB 100 MG,ALP0192,ean_exacto,1.07,7502226291475,7502226291475,Pharmafil LP (Teofilina) 100 mg liberación prolongada
FC-86A95D07,47.91,100,ALP0237 TROPHARMA 20 TAB 500 MG,ALP0237,ean_exacto,1.08,7503003134268,7503003134268,Tropharma Eitromicina 500 mg
FC-FD845E68,61.42,100,AMS297 ACICLOVIR 35 TAB 400 MG,AMS297,ean_exacto,0.96,7501349028791,7501349028791,Aciclovir
FC-49020269,233.1,100,AMS501 ACIDO URSODEOXICOLICO 50 CAP 250 MG,AMS501,ean_exacto,1.07,7501349020269,7501349020269,Ácido ursodeoxicólico 250 mg Caja con 50 cápsulas AMSA
FC-BE76D409,17.92,100,AMS004 AMCEF I.M. 1 FA 1G/3.5 ML,AMS004,ean_exacto,0.91,7501349012004,7501349012004,Amcef IM 1 g (Inyectable)
FC-07F04F88,17.5,100,AMS002 AMCEF I.M. 1 FA 500MG/2 ML,AMS002,ean_exacto,0.9,7501349011007,7501349011007,Amcef IM 500 mg (Inyectable)
FC-347A49C7,8.18,100,AMS471 AMIKACINA 1 AMP 100 MG/2 ML,AMS471,ean_exacto,0.97,7501349020740,7501349020740,Amikacina
FC-1FEA2FB7,15.43,100,AMS252 AMIKACINA 1 AMP 500MG/2 ML,AMS252,ean_exacto,0.96,7501349021440,7501349021440,Amikacina
FC-11294615,29.21,100,AMS251 AMIKACINA 2 AMP 500MG/2 ML,AMS251,ean_exacto,1.0,7501349021488,7501349021488,Amikacina
FC-F4E9C71F,22.5,100,AMS359 AMOXICILINA 1 SUSP 500MG/5/75 ML,AMS359,ean_exacto,0.95,7501349021839,7501349021839,Amoxicilina
FC-49021570,18.31,100,AMS265 AMOXICILINA 12 CAPS 500 MG,AMS265,ean_exacto,1.0,7501349021570,7501349021570,Amoxicilina 500 mg Caja con 12 cápsulas AMSA
FC-D210172A,26.61,100,AMS375 AMPICILINA 1 FA 1G/5 ML,AMS375,ean_exacto,1.04,7501349022874,7501349022874,Ampicilina
FC-7F90064A,19.95,100,AMS053 AMPICILINA 1 FA 500MG/2 ML,AMS053,ean_exacto,0.98,7501349021051,7501349021051,Ampicilina
FC-F82A6E4B,24.75,100,AMS344 AMPICILINA 10 TAB 1 G,AMS344,ean_exacto,0.91,7501349022881,7501349022881,Ampicilina
FC-49028913,30.76,100,AMS416 ATORVASTATINA 10 TAB 40 MG,AMS416,ean_exacto,1.17,7501349028913,7501349028913,Atorvastatina 40 mg Caja con 10 tabletas AMSA
EQ-AMS398,24.13,100,"AMS398 BENCIL/BENZ COMP 1 FA 1,2 U 3 ML",AMS398,sku_eq,1.34,7501349025271,7501349025271,Bencil/Benz Comp 1 Fa 1.2 U 3 Ml
FC-281E0F22,139.63,100,AMS477 BUDESONIDA 1 SUSP NEB 5AMP 0.500MG/ 2ML,AMS477,ean_exacto,0.91,7501349024304,7501349024304,Budesonida
FC-447B30F9,118.13,100,AMS437 BUDESONIDA 5 AMP 0.250MG/2ML,AMS437,ean_exacto,0.9,7501349023987,7501349023987,Budesonida
EQ-AMS463,11.38,100,AMS463 BUTILHIOSCINA 10 TAB 10 MG,AMS463,sku_eq,0.94,7501349024601,7501349024601,Butilhioscina 10 Tab 10 Mg
FC-2005DD57,37.49,100,AMS322 CEFALEXINA 20 CAP 500 MG,AMS322,ean_exacto,0.94,7501349021181,7501349021181,Cefalexina
FC-22B18244,30.4,100,AMS263 CEFOTAXIMA I.M. 1 FA 1G/4 ML,AMS263,ean_exacto,0.98,7501349022515,7501349022515,Cefotaxima IM (Inyectable)
FC-357D4A17,45.28,100,AMS350 CEFTAZIDIMA 1 FA 1G/3 ML,AMS350,ean_exacto,1.0,7501349022799,7501349022799,Ceftazidima
EQ-AMS406,15.93,100,AMS406 CINITAPRIDA 25 COMP 1 MG,AMS406,sku_eq,0.91,7501349027312,7501349027312,Cinitaprida 25 Comp 1 Mg
EQ-AMS407,22.17,100,AMS407 CIPROFLOXACINO 1 GOT 3MG/5 ML,AMS407,sku_eq,0.91,7501349027817,7501349027817,Ciprofloxacino solución oftálmica 3 mg/mL AMSA
FC-74A5ABEE,14.4,100,AMS430 CIPROFLOXACINO 12 TAB 250 MG,AMS430,ean_exacto,1.05,7501349020894,7501349020894,Ciprofloxacino
FC-E9C38DC4,22.42,100,AMS184 CIPROFLOXACINO G.I. 14 TAB 500 MG,AMS184,ean_exacto,0.98,7501349021532,7501349021532,Ciprofloxacino G.I
EQ-AMS428,22.68,100,AMS428 CISAPRIDA 30 TAB 5 MG,AMS428,sku_eq,0.95,7501349028326,7501349028326,Cisaprida 30 Tab 5 Mg
EQ-AMS472,32.26,100,AMS472 CITALOPRAM 14 TAB 20 MG,AMS472,sku_eq,0.92,7501349024922,7501349024922,Citalopram 14 Tab 20 Mg
FC-41339950,62.96,100,AMS492 CLARITROMICINA 10 TAB 500 MG,AMS492,ean_exacto,1.06,7501349021686,7501349021686,Claritromicina
FC-9A4E4C31,20.06,100,AMS439 CLINDAMICINA 1 AMP 600MG/4 ML,AMS439,ean_exacto,0.23,7501349021860,7501349021860,Clindamicina
FC-CF18C740,30.0,100,AMS296 CLINDAMICINA 16 CAP 300 MG,AMS296,ean_exacto,0.98,7501349020788,7501349020788,Clindamicina
FC-49021044,86.84,100,AMS033 CLINDAMICINA 5 FA 600MG/4 ML,AMS033,ean_exacto,0.98,7501349021044,7501349021044,Clindamicina 600 mg/4 mL Caja con 5 ampolletas AMSA
EQ-AMS288,21.0,100,AMS288 DEXAM/NEOMI 1 GOTAS 1/3.5MG/5 ML,AMS288,sku_eq,0.91,7501349029712,7501349029712,Dexam/Neomi 1 Gotas 1/3.5mg/5 Ml
EQ-AMS253,8.35,100,AMS253 DEXAMETASONA 1 FA 8MG/2 ML,AMS253,sku_eq,0.98,7501349027329,7501349027329,Dexametasona 1 Fa 8mg/2 Ml
EQ-AMS362,14.42,100,AMS362 DICLOFENACO 2 FA 75MG/3 ML,AMS362,sku_eq,0.91,7501349025929,7501349025929,Diclofenaco 2 Fa 75mg/3 Ml
EQ-AMS460,51.86,100,AMS460 ETORICOXIB 14 COMP 90 MG,AMS460,sku_eq,1.02,7501349027787,7501349027787,Etoricoxib 14 Comp 90 Mg
EQ-AMS274,63.15,100,AMS274 EZETIMIBA/SIMVASTA 14 TAB 10/20 MG,AMS274,sku_eq,1.13,7501349024533,7501349024533,Ezetimiba/Simvasta 14 Tab 10/20 Mg
EQ-AMS275,111.36,100,AMS275 EZETIMIBA/SIMVASTA 28 TAB 10/20 MG,AMS275,sku_eq,1.11,7501349024540,7501349024540,Ezetimiba/Simvasta 28 Tab 10/20 Mg
FC-5BC5F234,13.28,100,AMS165 FLUCONAZOL 1 CAPS 150 MG,AMS165,ean_exacto,1.03,7501349012943,7501349012943,Fluconazol
FC-60F627D5,48.43,100,AMS071 GENTAMICINA 5 AMP 160MG/2 ML,AMS071,ean_exacto,0.92,7501349026094,7501349026094,Gentamicina
FC-2E79C2D8,63.41,100,AMS371 HIERRO DEX 3 AMP 100 MG /2 ML,AMS371,ean_exacto,1.03,7501349020412,7501349020412,Hierro Dex
EQ-AMS209,25.31,100,AMS209 HIPROMELOSA OFT 1 SOL 5MG/10 ML,AMS209,sku_eq,1.02,7501349028654,7501349028654,Hipromelosa Oft 1 Sol 5mg/10 Ml
FC-262F2A30,51.55,100,AMS367 IRBESARTAN 14 TAB 150 MG,AMS367,ean_exacto,1.17,7501349022454,7501349022454,Irbesartan
EQ-AMS424,76.23,100,AMS424 IRBESARTAN 14 TAB 300 MG,AMS424,sku_eq,1.0,7501349020535,7501349020535,Irbesartán 300 mg C/14 AMSA
EQ-AMS328,10.77,100,AMS328 KETOROLACO 3 AMP 30 MG,AMS328,sku_eq,0.95,7501349024267,7501349024267,Ketorolaco 3 Amp 30 Mg
EQ-AMS160,10.03,100,AMS160 KETOROLACO TROMETAMINA 6 TAB SL 30 MG,AMS160,sku_eq,1.09,7501349023369,7501349023369,Ketorolaco Trometamina 6 Tab Sl 30 Mg
EQ-AMS497,119.03,100,AMS497 LEVETIRACETAM 30 TAB 1000 MG,AMS497,sku_eq,0.98,7501349022249,7501349022249,Levetiracetam 30 Tab 1000 Mg
FC-C721E8D7,21.23,100,AMS278 LEVOFLOXACINO 7 TAB 500 MG,AMS278,ean_exacto,1.13,7501349021419,7501349021419,Levofloxacino
FC-E826D304,40.84,100,AMS354 LINCOMICINA 600MG/2ML 6 AMPOLLETAS,AMS354,ean_exacto,0.93,7501349021983,7501349021983,Lincomicina /2Ml 6 Ampolletas
FC-49024151,20.62,100,AMS418 METOCLOPRAMIDA 6 AMP 10MG/2 ML,AMS418,ean_exacto,0.98,7501349024151,7501349024151,Metoclopramida inyectable 10 mg/2 mL C/6 AMSA
EQ-AMS292,10.5,100,AMS292 PANTOPRAZOL 7 TAB 20 MG,AMS292,sku_eq,0.93,7501349022485,,Pantoprazol 7 Tab 20 Mg
FC-3A4583F3,17.72,100,"AMS021 PENIPOT 1 FA 400,000 UI",AMS021,ean_exacto,1.26,7501349012172,7501349012172,Penipot bencilpenicilina procainica
FC-F183C6E9,19.16,100,"AMS022 PENIPOT 1 FA 800,000 UI",AMS022,ean_exacto,0.99,7501349011175,7501349011175,Penipot bencilpenicilina procainica
EQ-AMS370,69.72,100,AMS370 PENTOXIFILINA 30 TAB 400 MG,AMS370,sku_eq,1.17,7501349028487,7501349028487,Pentoxifilina 30 Tab 400 Mg
FC-49024175,18.19,100,AMS401 PIOGLITAZONA 7 TAB 30 MG,AMS401,ean_exacto,0.99,7501349024175,7501349024175,Pioglitazona 30 mg AMSA
EQ-AMS498,34.81,100,AMS498 POPRAM 28 TAB 40 MG,AMS498,sku_eq,0.93,7501349028845,7501349028845,Popram 28 Tab 40 Mg
FC-49025967,24.06,100,AMS231 PREGABALINA 14 CAPS 75 MG,AMS231,ean_exacto,0.96,7501349025967,7501349025967,Pregabalina 75 mg C/14 AMSA
EQ-AMS232,34.68,100,AMS232 PREGABALINA 28 CAPS 75 MG,AMS232,sku_eq,0.93,7501349025943,7501349025943,Pregabalina 28 Caps 75 Mg
EQ-AMS323,18.85,100,AMS323 SERTRALINA 14 TAB 50 MG,AMS323,sku_eq,0.92,7501349021310,7501349021310,Sertralina 14 Tab 50 Mg
EQ-AMS503,79.67,100,AMS503 SITAGLIPTINA 14 COMP 100 MG,AMS503,sku_eq,0.91,7501349010048,7501349010048,Sitagliptina 14 Comp 100 Mg
FC-49020337,43.87,100,AMS502 SULINDACO 20 TAB 200 MG,AMS502,ean_exacto,0.93,7501349020337,7501349020337,Sulindaco 200 mg
FC-49025844,34.97,100,AMS237 TELMISARTAN 28 TAB 40 MG,AMS237,ean_exacto,1.0,7501349025844,7501349025844,Telmisartán 40 mg
EQ-AMS221,51.56,100,AMS221 TELMISARTAN 28 TAB 80 MG,AMS221,sku_eq,1.0,7501349025806,7501349025806,Telmisartán 28 Tab 80 Mg
EQ-APO142,86.87,100,APO142 ESPADIVA 10 TAB 20/400 MG,APO142,sku_eq,1.06,7501277091034,7501277091034,Espadiva 10 Tab 20/400 Mg
FC-4A0245DA,32.87,100,AVI027 AMLODIPINO 100 TAB 5 MG,AVI027,ean_exacto,1.01,7502216804814,7502216804814,Amlodipino
FC-3B001F9B,11.33,100,AVI037 AMLODIPINO 30 TAB 5 MG,AVI037,ean_exacto,1.25,7502216804661,7502216804661,Amlodipino
FC-16803800,34.15,100,AVI004 OMEPRAZOL 60 CAPS 20 MG,AVI004,ean_exacto,1.04,7502216803800,7502216803800,Omeprazol Avivia capsulas C/60
FC-08443033,45.11,100,LIV130 ALKA SELTZER EFERVECENTE 12 TAB,LIV130,ean_exacto,1.16,7501008443033,7501008443033,Alka-Seltzer C/12 alivio rapido
FC-8491966,52.27,100,LIV008 ASPIRINA AD 40 TAB 500 MG,LIV008,ean_exacto,1.15,7501008491966,7501008491966,Aspirina 500 mg C/40
FC-76040610,66.87,100,LIV149 DESENFRIOL ITO PLUS 24 TAB 80/2.5/.1,LIV149,ean_exacto,1.45,7502276040405,7502276040405,Desenfriolito Plus Masticables
FC-08485316,44.1,100,LIV020 TABCIN EFERV 12 TAB 325/10/8/2 MG,LIV020,ean_exacto,1.17,7501008485316,7501008485316,Tabcin efervescente C/12
EQ-BEA468,126.42,100,BEA468 QUETIAPINA 60 TAB 100 MG,BEA468,sku_eq,1.03,7506624900908,7506624900908,Quetiapina 60 Tab 100 Mg
FMX-302206,22.5,100,BLB032 BELAPIEL GOLPES 1 UNG 75 G,BLB032,ean_exacto,1.1,7502009748011,7502009748011,Belapiel/Golpes Ungüento C/75 Gr
FC-09749063,53.0,100,BLB037 SOLSUN FACE PROTEC SOL FPS+50 1 CMA 50 G,BLB037,ean_exacto,1.09,7502009749063,7502009749063,Sol Sun protector solar facial crema hidratacion profunda
FC-73906469,40.47,100,BIO146 BIOBEND 1 SOL .15G/360 ML,BIO146,ean_exacto,1.02,7501573906469,7501573906469,Biobend bencidamina solucion bucal 360 mL
EQ-BIO003,30.6,100,BIO003 BIOMESINA COMPUESTA 10 GRAG 250/10 MG,BIO003,sku_eq,1.07,7501573900115,7501573900115,Biomesina Compuesta 10 Grag 250/10 Mg
EQ-BIO100,30.55,100,BIO100 BIOSTAFEX 10 TAB 120 MG,BIO100,sku_eq,1.02,7501573904151,7501573904151,Biostafex 10 Tab 120 Mg
EQ-BIO167,24.19,100,BIO167 BIXEN 12 TAB 550 MG,BIO167,sku_eq,1.06,7501573908104,7501573908104,Bixen 12 Tab 550 Mg
FC-73903260,18.4,100,BIO108 BROMHEXINA AD 1 SUSP 160MG/100 ML,BIO108,ean_exacto,1.05,7501573903260,7501573903260,Bromhexina Adulto solución 160 mg/100 mL
FC-73903246,17.88,100,BIO109 BROMHEXINA INF 1 SUSP 80MG/100 ML,BIO109,ean_exacto,1.05,7501573903246,7501573903246,Bromhexina Infantil solución 80 mg/100 mL
EQ-BIO188,15.77,100,BIO188 BROXTORFAN INF 1 JBE 150/113 MG/120 ML,BIO188,sku_eq,0.99,7501573908036,7501573908036,Broxtorfan Inf 1 Jbe 150/113 Mg/120 Ml
FC-4F737E93,12.94,100,BIO064 CLOXAN 1 SOL 300MG/120ML,BIO064,ean_exacto,1.05,7501573902706,7501573902706,Cloxan
FC-1DA570E3,9.86,100,BIO016 CLOXAN 20 COMP 30 MG,BIO016,ean_exacto,1.01,7501573900337,7501573900337,Cloxan ambroxol 30 mg
EQ-BIO212,31.24,100,BIO212 COLCHICINA 30 TAB 1 MG,BIO212,sku_eq,1.03,7501573909958,7501573909958,Colchicina 30 Tab 1 Mg
EQ-BIO017,15.0,100,BIO017 COLPRADIN 30 TAB 10 MG,BIO017,sku_eq,1.03,7501573900436,7501573900436,Colpragin 30 Tab 10 Mg
FC-E535DE28,9.3,100,BIO019 DIURMESSEL 20 TAB 40 MG,BIO019,ean_exacto,1.0,7501573900375,7501573900375,Diurmessel
EQ-BIO021,9.82,100,BIO021 DOCSI 20 TAB 4 MG,BIO021,sku_eq,1.02,7501573900153,7501573900153,Docsi 20 Tab 4 Mg
EQ-BIO112,9.72,100,BIO112 GRISTALIT 1 JBE 600/100MG/30 ML,BIO112,sku_eq,1.04,7501573904700,7501573904700,Gristalit 1 Jbe 600/100mg/30 Ml
FC-73906407,24.03,100,BIO149 LOZAMIR V C/3 APLICS 1 CMA 2% 20G,BIO149,ean_exacto,1.06,7501573906407,7501573906407,Lozamir-V (Clotrimazol) crema 2% con 3 aplicadores
EQ-BIO136,14.32,100,BIO138 LOZAMIR-C 1 CMA 1/30 G,BIO138,ean_exacto,0.95,7501573904403,7501573904403,Lozamir-C 1 Cma 1/30 G
FC-FD92D114,10.31,100,BIO183 OVISEN 14 TAB  20 MG,BIO183,ean_exacto,1.01,7501573900290,7501573900290,Ovisen
FC-F7DB080D,20.37,100,BIO189 OVISEN 28 TAB 20 MG,BIO189,ean_exacto,1.0,7501573909408,7501573909408,Ovisen
FC-73902584,8.5,100,BIO067 SAROX 14 CAPS 20 MG,BIO067,ean_exacto,1.01,7501573902584,7501573902584,Sarox (Omeprazol) 20 mg
FC-73909859,15.79,100,BIO213 SAROX 28 CAPS 20 MG,BIO213,ean_exacto,1.01,7501573909859,7501573909859,Sarox (Omeprazol) 20 mg
FC-D11D586A,21.18,100,BIO163 VALGAB 1 JBE 50MG/60 ML,BIO163,ean_exacto,1.09,7501573907688,7501573907688,Valgab 3 jarabe 6 mL
FC-01007656,12.76,100,BIO087 WAMINDEL 1 GOT 100MG/30 ML,BIO087,ean_exacto,1.06,7503001007656,7503001007656,Wamindel (Paracetamol) gotas 100 mg/mL
FC-01007663,16.37,100,BIO068 WAMINDEL 1 SOL 3.20G/120 ML,BIO068,ean_exacto,1.06,7503001007663,7503001007663,Wamindel (Paracetamol) solución infantil 3.2 g/100 mL
FC-69A3C416,16.66,100,BIO076 WEXPEC 1 SOL 7.5/2MG/5/120 ML,BIO076,ean_exacto,1.0,7503001007694,7503001007694,Wexpec
FC-20089077,80.26,100,BMI080 EXZON 90 TAB 490 MG,BMI080,ean_exacto,1.04,7503020089077,7503020089077,Exzon tabletas masticables 490 mg C/90 sabor uva
FC-1041884,70.02,100,BMI076 PLENIFORM 40 30 TAB 80/60/11.81/500 MG,BMI076,ean_exacto,0.94,7503181041884,7503181041884,Biomiral Pleniform 40 isoflavonas soya C/30
FC-06910913,28.97,100,BRO081 BICOESTOL CEREZA 1 PQTE C/16 PAST 40 G,BRO081,ean_exacto,1.06,714706910913,714706910913,Broncolin Bicoestol pastillas cereza C/16
FC-06910487,28.97,100,BRO082 BICOESTOL EUCALIPT 1 PQTE C/16 PAST 40 G,BRO082,ean_exacto,1.06,714706910487,714706910487,Broncolin Bicoestol pastillas eucalipto C/16
FC-06910906,28.97,100,BRO084 BICOESTOL NARANJA 1 PAQ C/16 PAST 40 G,BRO084,ean_exacto,1.06,714706910906,714706910906,Broncolin Bicoestol pastillas naranja C/16
FC-06903205,125.43,100,BRO004 BRONCOLIN MIXTO 1 VITROLERO 50 PZA,BRO004,ean_exacto,1.11,714706903205,714706903205,Broncolin paletas vitrolero surtido
