sku,nombre,principio_activo,concentracion,presentacion,presentacion_completa,marca,termino_busqueda_sugerido
FC-7AF7ACB5,Charlyn,CIPROFLOXACINO,500 MG,3 TABLETAS,500 MG · 3 TABLETAS · TABLETAS,Charlyn,CIPROFLOXACINO 500 MG · 3 TABLETAS · TABLETAS
FC-26462061,Chupon Ternura Ortodontic Miel C3,,,,Chupón,Ternura,Chupon Ternura Ortodontic Miel C3 Chupón
FC-E9C38DC4,Ciprofloxacino G.I,CIPROFLOXACINO G.I,500 MG,14 TABLETAS,500 MG · 14 TABLETAS · TABLETAS,,CIPROFLOXACINO G.I 500 MG · 14 TABLETAS · TABLETAS
FC-F48FF7EF,Clamoxin,AMOXICILINA/AC. CLAVULANICO,250/62.5MG/5/60 ML,1 SUSPENSION,250/62.5MG/5/60 ML · 1 SUSPENSION · SUSPENSION,Clamoxin,AMOXICILINA/AC. CLAVULANICO 250/62.5MG/5/60 ML · 1 SUSPENSION · SUSPENSION
FC-5F30F9D4,Clamoxin,AMOXICILINA/AC. CLAVULANICO,500/125 MG,10 TABLETAS,500/125 MG · 10 TABLETAS · TABLETAS,Clamoxin,AMOXICILINA/AC. CLAVULANICO 500/125 MG · 10 TABLETAS · TABLETAS
FC-CF719C07,Diclofen,DICLOFENACO,500 MG,12 CAPSULAS,500 MG · 12 CAPSULAS · CAPSULAS,Diclofen,DICLOFENACO 500 MG · 12 CAPSULAS · CAPSULAS
FC-98217659,Dolo-Neurobión,Diclofenaco c/ Complejo B,,20 TABLETAS,20 TABLETAS · Tabletas,Neurobion,Diclofenaco c/ Complejo B 20 TABLETAS · Tabletas
FC-33954078,Ensure Fresa,,,237 ML,237 ML,Ensure,Ensure Fresa 237 ML
FC-33950070,Ensure vainilla,,,236 ML,236 ML · Líquido,Ensure,Ensure vainilla 236 ML · Líquido
FC-75125811,Evenflo Colors,,,,Biberón,Evenflo,Evenflo Colors Biberón
FC-75163051,Evenflo Ensueno Azul,,,,Biberón,Evenflo,Evenflo Ensueno Azul Biberón
FC-F3E734A0,Fasiclor,CEFACLOR,375MG/5/50 ML,1 SUSPENSION,375MG/5/50 ML · 1 SUSPENSION · SUSPENSION,Fasiclor,CEFACLOR 375MG/5/50 ML · 1 SUSPENSION · SUSPENSION
FC-01B2F362,Fasiclor,CEFACLOR,125MG/5/75 ML,1 SUSPENSION,125MG/5/75 ML · 1 SUSPENSION · SUSPENSION,Fasiclor,CEFACLOR 125MG/5/75 ML · 1 SUSPENSION · SUSPENSION
FC-9538F7D6,Fasiclor,CEFACLOR,250MG/5/75 ML,1 SUSPENSION,250MG/5/75 ML · 1 SUSPENSION · SUSPENSION,Fasiclor,CEFACLOR 250MG/5/75 ML · 1 SUSPENSION · SUSPENSION
FC-63975795,Gentamicina,GENTAMICINA,1 MG,25 COMPRIMIDOS,1 MG · 25 COMPRIMIDOS · COMPRIMIDOS,,GENTAMICINA 1 MG · 25 COMPRIMIDOS · COMPRIMIDOS
FC-974EE5FD,Gimalxina,GIMALXINA,250MG/5/75 ML,1 SUSPENSION,250MG/5/75 ML · 1 SUSPENSION · SUSPENSION,,GIMALXINA 250MG/5/75 ML · 1 SUSPENSION · SUSPENSION
FC-428A228F,Gimalxina,GIMALXINA,500 MG,12 CAPSULAS,500 MG · 12 CAPSULAS · CAPSULAS,,GIMALXINA 500 MG · 12 CAPSULAS · CAPSULAS
FC-33956126,Glucerna Vainilla,,,237 ML,237 ML,Glucerna,Glucerna Vainilla 237 ML
FC-33956133,Glucerna chocolate,,,237 ML,237 ML · Líquido,Glucerna,Glucerna chocolate 237 ML · Líquido
FC-33956140,Glucerna fresa,,,237 ML,237 ML · Líquido,Glucerna,Glucerna fresa 237 ML · Líquido
FC-262F2A30,Irbesartan,IRBESARTAN,150 MG,14 TABLETAS,150 MG · 14 TABLETAS · TABLETAS,,IRBESARTAN 150 MG · 14 TABLETAS · TABLETAS
FC-72C28BC1,Knoricin,NITROFURANTOINA,125MG/5/60 ML,1 SUSPENSION,125MG/5/60 ML · 1 SUSPENSION · SUSPENSION,Knoricin,NITROFURANTOINA 125MG/5/60 ML · 1 SUSPENSION · SUSPENSION
FC-E6112F15,Nalixone,NALIXONE,500/50 MG,20 TABLETAS,500/50 MG · 20 TABLETAS · TABLETAS,,NALIXONE 500/50 MG · 20 TABLETAS · TABLETAS
FC-33951008,Pediasure chocolate,,,236 ML,236 ML · Líquido,Pediasure,Pediasure chocolate 236 ML · Líquido
FC-33950209,Pediasure vainilla,,,237 ML,237 ML · Líquido,Pediasure,Pediasure vainilla 237 ML · Líquido
FC-0E0A9E42,S,AMOXICILINA/AC. CLAVULANICO,600/42.9MG/50 ML,1 SUSPENSION,600/42.9MG/50 ML · 1 SUSPENSION · SUSPENSION,Clamoxin,AMOXICILINA/AC. CLAVULANICO 600/42.9MG/50 ML · 1 SUSPENSION · SUSPENSION
FC-65054135,TUMS,Carbonato de Calcio,,8 TABLETAS,8 TABLETAS · Surtido,TUMS,Carbonato de Calcio 8 TABLETAS · Surtido
FC-022543CD,Valclan,AMOXICILINA/AC. CLAVULANICO,500/125 MG,10 TABLETAS,500/125 MG · 10 TABLETAS · TABLETAS,Valclan,AMOXICILINA/AC. CLAVULANICO 500/125 MG · 10 TABLETAS · TABLETAS
FC-4C621D07,Vanmoxol,VANMOXOL,250/15MG/5/90 ML,1 SUSPENSION,250/15MG/5/90 ML · 1 SUSPENSION · SUSPENSION,,VANMOXOL 250/15MG/5/90 ML · 1 SUSPENSION · SUSPENSION
FC-A23F290E,Zitriasol,ZITRIASOL,100 MG,15 CAPSULAS,100 MG · 15 CAPSULAS · CAPSULAS,,ZITRIASOL 100 MG · 15 CAPSULAS · CAPSULAS
