sku,producto_id,fuente,precio,confianza,etiqueta,origen_csv,notas
FC-08837311,209,similares,56.0,60,dudoso,Similares,Claude 20260815 · CREMA CORP NIVEA PIEL EXT SECA 220ML.. (Score: 57%)
FC-08DB70CB,547,similares,18.0,60,dudoso,Similares,Claude 20260815 · BICARBONATO DE SODIO 100GR.. (Score: 64%)
FC-09498091,308,similares,42.0,60,dudoso,Similares,Claude 20260815 · PASTA DENTAL SENSIB 45GR SENSODYNE.. (Score: 53%)
FC-10974329,326,similares,49.0,60,dudoso,Similares,Claude 20260815 · ENJUAGUE BUCAL COOL MINT 180ML LISTERINE.. (Score: 58%)
FC-127F5753,525,similares,55.0,60,dudoso,Similares,Claude 20260815 · ARNICA 6C 30TAB.. (Score: 60%)
FC-14121782,204,similares,69.0,60,dudoso,Similares,Claude 20260815 · PROTEINA XGEAR BARRA CHOCOLATE 57GR.. (Score: 60%)
FC-14982514,417,similares,65.0,60,dudoso,Similares,Claude 20260815 · ACCESO SIMICASA PRECIO PREFERENTE.. (Score: 59%)
FC-14983153,407,similares,79.0,60,dudoso,Similares/Higiene,Claude 20260815 · Estimado por categoría Higiene
FC-14983726,414,similares,84.0,60,dudoso,Similares,Claude 20260815 · GEL LUBRICANTE VAGINAL 113GR.. (Score: 64%)
FC-14985348,410,similares,43.0,60,dudoso,Similares,Claude 20260815 · CUBREBOCA LAV SANITI ADULT 1PZA AZUL.. (Score: 50%)
FC-14985805,413,similares,169.0,60,dudoso,Similares,"Claude 20260815 · TRAJE SIMI CHALECO TIPO CARGO, JEANS.. (Score: 50%)"
FC-17360604,314,similares,5.0,60,dudoso,Similares,Claude 20260815 · TATUAJE TEMPORAL SAN JUDAS TADEO 1 PZA.. (Score: 53%)
FC-19006371,332,similares,14.0,60,dudoso,Similares,Claude 20260815 · TOALLA SANITARIA ANAT C/ALAS 7PZAS.. (Score: 61%)
FC-19006623,362,similares,28.0,60,dudoso,Similares,Claude 20260815 · BALSAMO HIDRAT YERBABUENA 4GR BLUE MOON.. (Score: 52%)
FC-1DAD5EF1,160,similares,189.0,60,dudoso,Similares,Claude 20260815 · TRIMEBUTIN/SIMET 100/37.5MG 20COMP.. (Score: 58%)
FC-1FBF5206,512,similares,300.0,60,dudoso,Similares,Claude 20260815 · KIT DE PERRITO.. (Score: 64%)
FC-20500171,233,similares,119.0,60,dudoso,Similares,Claude 20260815 · PALMITATO RET/ERGOC/AC ASC 4AMP ADEROGYL.. (Score: 54%)
FC-20500201,220,similares,64.0,60,dudoso,Similares,Claude 20260815 · AC NALIDIXICO/FENAZOPIRI 20TAB.. (Score: 56%)
FC-20501673,286,similares,379.0,60,dudoso,Similares,Claude 20260815 · MANDIL AZUL SIMI CHEF.. (Score: 54%)
FC-20501765,317,similares,54.0,60,dudoso,Similares,Claude 20260815 · SIMIALOE JUGO ALOE VERA 240ML.. (Score: 62%)
FC-21012303,203,similares,39.0,60,dudoso,Similares,Claude 20260815 · TOALLA DESMAQ ALO-VERA 30PZAS.. (Score: 60%)
FC-21042481,427,similares,54.0,60,dudoso,Similares,Claude 20260815 · MATRICARIA REC 0.25MG/1ML SOL OFT 15ML.. (Score: 59%)
FC-22111352,191,similares,90.0,60,dudoso,Similares,Claude 20260815 · PIN ACRILICO.. (Score: 58%)
FC-22133286,306,similares,399.01,60,dudoso,Similares,Claude 20260815 · MUÑECO DR SIMI ELVIS.. (Score: 53%)
FC-22150092,190,similares,56.0,60,dudoso,Similares,Claude 20260815 · JABON DE AZUFRE CON LANOLINA 100GR.. (Score: 57%)
FC-22150221,316,similares,300.0,60,dudoso,Similares,Claude 20260815 · KIT DE PERRITO.. (Score: 64%)
FC-24004581,425,similares,219.0,60,dudoso,Similares,Claude 20260815 · GOMITAS ELDERBERRY 60 PZAS MULTIGOMI.. (Score: 64%)
FC-24227339,477,similares,56.0,60,dudoso,Similares,Claude 20260815 · CARETA PROTECTORA ADULTO 1PZA.. (Score: 63%)
FC-24511629,248,similares,90.0,60,dudoso,Similares,Claude 20260815 · PIN ACRILICO.. (Score: 58%)
FC-24511636,269,similares,90.0,60,dudoso,Similares,Claude 20260815 · PIN ACRILICO.. (Score: 58%)
FC-25605514,187,similares,18.0,60,dudoso,Similares,Claude 20260815 · TOALLA HUMEDA ANTIBAC P/MANOS.. (Score: 55%)
FC-25652716,205,similares,33.0,60,dudoso,Similares,Claude 20260815 · FRISBEE DISCO VOLADOR DE PLASTICO AZUL.. (Score: 55%)
FC-25E452B6,524,similares,55.0,60,dudoso,Similares,Claude 20260815 · ARNICA 6C 30TAB.. (Score: 60%)
FC-26462078,283,similares,29.0,60,dudoso,Similares,Claude 20260815 · CARTERA INF CON VELCRO SIMI CARITAS.. (Score: 57%)
FC-27512574,367,similares,144.0,60,dudoso,Similares,Claude 20260815 · Similares: búsqueda por categoría Bebés. Precio base estimado.
FC-2E5B7248,513,similares,85.0,60,dudoso,Similares/Estimado,"Claude 20260815 · Estimado - Reumatol es producto especializado, sin referencia exacta en Similares"
FC-31244486,302,similares,113.01,60,dudoso,Similares,Claude 20260815 · CREMA CORP DERMOCOS PH NATURAL 250ML.. (Score: 54%)
FC-31976394,320,similares,49.0,60,dudoso,Similares,Claude 20260815 · ENJUAGUE BUCAL COOL MINT 180ML LISTERINE.. (Score: 60%)
FC-34064021,406,similares,39.0,60,dudoso,Similares,Claude 20260815 · METAMIZOL/BUTIL 2.5G/20MG 1AMP.. (Score: 53%)
FC-35020008,254,similares,42.0,60,dudoso,Similares,Claude 20260815 · PASTA DENTAL SENSIB 45GR SENSODYNE.. (Score: 53%)
FC-35020077,261,similares,133.0,60,dudoso,Similares,Claude 20260815 · TELMISARTAN/HIDRO 14TAB.. (Score: 51%)
FC-35155847,245,similares,169.0,60,dudoso,Similares,Claude 20260815 · PANCREAT/SIME/B BUEY/CEL 50TAB.. (Score: 53%)
FC-35155922,234,similares,85.0,60,dudoso,Similares,Claude 20260815 · DESODORANTE ANTI GEL CAB 82GR GILLETTE.. (Score: 57%)
FC-35168991,256,similares,159.0,60,dudoso,Similares,Claude 20260815 · CARNITINA/CROMO 60CAP XGEAR.. (Score: 50%)
FC-35169035,255,similares,204.0,60,dudoso,Similares,Claude 20260815 · BALON SOCCER NO 3.. (Score: 53%)
FC-35231237,257,similares,159.0,60,dudoso,Similares,Claude 20260815 · CARNITINA/CROMO 60CAP XGEAR.. (Score: 50%)
FC-35231244,260,similares,449.0,60,dudoso,Similares,Claude 20260815 · SUDADERA NIÑO CH BLANCA SIMPLANETA.. (Score: 50%)
FC-35246309,493,similares,154.0,60,dudoso,Similares,Claude 20260815 · PASTILLERO DR SIMI 1PZA.. (Score: 54%)
FC-35469151,295,similares,249.01,60,dudoso,Similares,Claude 20260815 · BLOQUEADOR FLUIDO FPS50+ 50ML ETERNAL.. (Score: 50%)
FC-35908130,329,similares,61.0,60,dudoso,Similares,Claude 20260815 · CALCETIN P/DIAB AZUL 1PAR UNISEX.. (Score: 53%)
FC-35908147,331,similares,114.0,60,dudoso,Similares,Claude 20260815 · TAZA CERAMICA ROSA 325ML.. (Score: 53%)
FC-35911208,208,similares,79.0,60,dudoso,Similares/Higiene,Claude 20260815 · Estimado por categoría Higiene
FC-36032776,296,similares,300.0,60,dudoso,Similares,Claude 20260815 · KIT DE PERRITO.. (Score: 61%)
FC-36033735,304,similares,300.0,60,dudoso,Similares,Claude 20260815 · KIT DE PERRITO.. (Score: 57%)
FC-36040450,288,similares,90.0,60,dudoso,Similares,Claude 20260815 · PIN ACRILICO.. (Score: 58%)
FC-36041402,300,similares,61.0,60,dudoso,Similares,Claude 20260815 · BALSAMO HIDRAT PINK ETERNAL SEC 4.8GR.. (Score: 52%)
FC-3676D5DC,515,similares,95.0,60,dudoso,Similares/Estimado,Claude 20260815 · Estimado - Mercurio Espíritus es remedio tradicional sin referencia clara en Similares
FC-38312374,259,similares,92.0,60,dudoso,Similares,Claude 20260815 · PORTACEPILLO DE DIENTES ROCKERO.. (Score: 56%)
FC-38891190,182,similares,144.0,60,dudoso,Similares,Claude 20260815 · JUEGO DE LOTERIA.. (Score: 57%)
FC-39036C88,517,similares,95.0,60,dudoso,Similares/Estimado,Claude 20260815 · Estimado - Mercurio Glicerina es remedio tradicional sin referencia clara en Similares
FC-40004643,185,similares,93.01,60,dudoso,Similares,Claude 20260815 · EXFOLIANTE FACIAL VIT E 60GR ETERNAL SEC.. (Score: 59%)
FC-40013898,312,similares,88.0,60,dudoso,Similares,Claude 20260815 · TOALLA FACIAL AZUL.. (Score: 56%)
FC-40030963,293,similares,134.0,60,dudoso,Similares,Claude 20260815 · LUTEINA/ ZEAXATINA/VIT A 30CAPGEL.. (Score: 58%)
FC-40036965,184,similares,22.0,60,dudoso,Similares,Claude 20260815 · BIBERON 4 ONZAS 1PZA.. (Score: 52%)
FC-40171550,335,similares,52.0,60,dudoso,Similares,Claude 20260815 · PASTA DENTAL SENSIB 113GR SENSODYNE.. (Score: 58%)
FC-41500096,219,similares,89.0,60,dudoso,Similares,Claude 20260815 · TIRALECHE 1PZA SIMIBABY.. (Score: 60%)
FC-42326414,198,similares,129.0,60,dudoso,Similares,Claude 20260815 · COLLAR DIJE ARETE DE ZAMAK CARA DR SIMI.. (Score: 54%)
FC-42417644,310,similares,169.0,60,dudoso,Similares,"Claude 20260815 · TRAJE SIMI CAMISA CUADROS, PANTALON KAKI.. (Score: 53%)"
FC-43427754,321,similares,79.0,60,dudoso,Similares/Higiene,Claude 20260815 · Estimado por categoría Higiene
FC-43471900,405,similares,144.0,60,dudoso,Similares,Claude 20260815 · Similares: búsqueda por categoría Higiene. Precio base estimado.
FC-43475014,565,similares,279.0,60,dudoso,Similares,Claude 20260815 · PLAYERA JASPE GRANDE DR SIMI.. (Score: 61%)
FC-43489004,197,similares,79.0,60,dudoso,Similares/Higiene,Claude 20260815 · Estimado por categoría Higiene
FC-43489165,211,similares,139.0,60,dudoso,Similares,Claude 20260815 · VASO ACERO INOX BLANCO C/TAPA 350ML.. (Score: 56%)
FC-44B6751A,117,similares,73.0,60,dudoso,Similares/Laur,Claude 20260815 · Estimado por marca Laur
FC-45720550,228,similares,177.0,60,dudoso,Similares,Claude 20260815 · TOALLA PULLMAN AZUL.. (Score: 58%)
FC-45720567,277,similares,199.0,60,dudoso,Similares,Claude 20260815 · TRAJE SIMI COCHINITO.. (Score: 57%)
FC-45722547,201,similares,91.0,60,dudoso,Similares,Claude 20260815 · AGUA MICELAR 200ML ETERNAL SEC.. (Score: 60%)
FC-46059556,193,similares,26.0,60,dudoso,Similares,Claude 20260815 · BOLSA NON WOVEN DR SIMI.. (Score: 53%)
FC-46072050,315,similares,91.0,60,dudoso,Similares,Claude 20260815 · AGUA MICELAR 200ML ETERNAL SEC.. (Score: 53%)
FC-46073033,266,similares,90.0,60,dudoso,Similares,Claude 20260815 · PIN ACRILICO.. (Score: 58%)
FC-46073040,265,similares,90.0,60,dudoso,Similares,Claude 20260815 · PIN ACRILICO.. (Score: 58%)
FC-46073156,232,similares,107.01,60,dudoso,Similares,Claude 20260815 · CREMA VARICES/PIERNAS CANSADAS 480ML.. (Score: 58%)
FC-46074504,303,similares,199.0,60,dudoso,Similares,Claude 20260815 · HONGO MELENA LEON/L TIROS/B1/B12 60CAP.. (Score: 52%)
FC-46640629,281,similares,34.0,60,dudoso,Similares,Claude 20260815 · NAPROXENO SOD 275MG 20TAB.. (Score: 58%)
FC-46650708,305,similares,40.0,60,dudoso,Similares,Claude 20260815 · LANCETAS 25PZAS.. (Score: 53%)
FC-46655055,271,similares,90.0,60,dudoso,Similares,Claude 20260815 · PIN ACRILICO.. (Score: 58%)
FC-46655079,298,similares,90.0,60,dudoso,Similares,Claude 20260815 · PIN ACRILICO.. (Score: 58%)
FC-46655727,328,similares,24.01,60,dudoso,Similares,Claude 20260815 · BIBERON DE 8ONZ C/MAMILA.. (Score: 50%)
FC-46657035,214,similares,23.0,60,dudoso,Similares,Claude 20260815 · CUADERNO PARA COLOREAR.. (Score: 53%)
FC-46683133,195,similares,229.0,60,dudoso,Similares,Claude 20260815 · MOCHILA JUVENIL DR SIMI.. (Score: 57%)
FC-47640531,494,similares,79.0,60,dudoso,Similares,Claude 20260815 · CEFTRIAXONA 1GR 1AMP.. (Score: 55%)
FC-48623006,370,similares,88.0,60,dudoso,Similares,Claude 20260815 · TOALLA FACIAL GRIS.. (Score: 61%)
FC-48640751,282,similares,34.0,60,dudoso,Similares,Claude 20260815 · NAPROXENO SOD 275MG 20TAB.. (Score: 55%)
FC-48640775,279,similares,16.0,60,dudoso,Similares,Claude 20260815 · VENDA ELASTICA 10CMX5MTS DR SIMI.. (Score: 56%)
FC-48640799,280,similares,22.0,60,dudoso,Similares,Claude 20260815 · VENDA ELASTICA 15CMX5MTS DR SIMI.. (Score: 56%)
FC-49800151,420,similares,90.0,60,dudoso,Similares,Claude 20260815 · PIN ACRILICO.. (Score: 58%)
FC-49824391,409,similares,23.0,60,dudoso,Similares,Claude 20260815 · CUADERNO PARA COLOREAR.. (Score: 55%)
FC-49824771,415,similares,184.0,60,dudoso,Similares,Claude 20260815 · SIMIRICO INF PVO FRESA 400GR.. (Score: 53%)
FC-49824911,412,similares,339.0,60,dudoso,Similares,Claude 20260815 · ALCANCIA DR SIMI.. (Score: 56%)
FC-49853867,411,similares,97.01,60,dudoso,Similares,Claude 20260815 · SOLUCION OFT LENTE CONT 120ML.. (Score: 55%)
FC-4F05124E,554,similares,47.0,60,dudoso,Similares,Claude 20260815 · VITAMINA-E 400MG 30CAP.. (Score: 55%)
FC-4FD413D2,111,similares,27.01,60,dudoso,Similares,Claude 20260815 · RASTRILLO CABALL 3 HOJAS PIEL SENS VDE.. (Score: 62%)
FC-50882017,382,similares,189.0,60,dudoso,Similares,Claude 20260815 · ESPUMA FACIAL DERMO 160ML ETERNAL SECRET.. (Score: 57%)
FC-51078531,398,similares,93.0,60,dudoso,Similares/Nan,Claude 20260815 · Estimado por marca Nan
FC-52816297,225,similares,399.0,60,dudoso,Similares,Claude 20260815 · MUÑECO DR SIMI COMO SUPERMAN.. (Score: 51%)
FC-52910971,224,similares,276.0,60,dudoso,Similares,Claude 20260815 · TIRAS REACTIVAS GMATE 50 PZAS.. (Score: 50%)
FC-54073302,267,similares,90.0,60,dudoso,Similares,Claude 20260815 · PIN ACRILICO.. (Score: 58%)
FC-54500216,284,similares,2900.0,60,dudoso,Similares,Claude 20260815 · MUÑECO GIGANTE SANTA.. (Score: 59%)
FC-54503095,323,similares,56.0,60,dudoso,Similares,Claude 20260815 · CREMA CORP NIVEA PIEL EXT SECA 220ML.. (Score: 57%)
FC-56131681,363,similares,129.0,60,dudoso,Similares,Claude 20260815 · LOCION CORP ETERNAL SEC FLORAL 236ML.. (Score: 60%)
FC-56323059,436,similares,23.0,60,dudoso,Similares,Claude 20260815 · VASELINA P/BEBE 60GR.. (Score: 55%)
FC-56323066,435,similares,23.0,60,dudoso,Similares,Claude 20260815 · VASELINA P/BEBE 60GR.. (Score: 57%)
FC-56330309,289,similares,999.0,60,dudoso,Similares,Claude 20260815 · INSULINA GLARGINA 300UI/ML SOL JER PRE.. (Score: 57%)
FC-56330378,215,similares,469.0,60,dudoso,Similares,Claude 20260815 · ALIMENTO EN PVO VAINILLA PARA DIAB 400GR.. (Score: 50%)
FC-56340025,240,similares,299.0,60,dudoso,Similares,Claude 20260815 · SELLO DR SIMI.. (Score: 54%)
FC-56340124,253,similares,114.0,60,dudoso,Similares,Claude 20260815 · TAZA CERAMICA ROSA 325ML.. (Score: 52%)
FC-56340131,236,similares,224.01,60,dudoso,Similares,Claude 20260815 · ANTISEPT NASAL CLORO/OXIGENO AD SOL 30ML.. (Score: 54%)
FC-56342227,241,similares,92.0,60,dudoso,Similares,Claude 20260815 · PORTACEPILLO DE DIENTES BOMBERO.. (Score: 53%)
FC-56342258,250,similares,399.0,60,dudoso,Similares,Claude 20260815 · MUÑECO DR SIMI ASTRONAUTA.. (Score: 52%)
FC-578F060C,534,similares,25.5,60,dudoso,Similares,Claude 20260815 · ELECTROLITO ORAL COCO 500ML.. (Score: 56%)
FC-58203691,416,similares,69.0,60,dudoso,Similares,Claude 20260815 · HILO DENTAL SAB MENTA 25MTS.. (Score: 61%)
FC-58611420,396,similares,319.0,60,dudoso,Similares,Claude 20260815 · NAD/ARANDANO/MAGNESIO/ RESV POLVO 68GR.. (Score: 52%)
FC-5A697CC2,516,similares,164.0,60,dudoso,Similares,Claude 20260815 · HIERRO/AC FOLICO 100MG/800MCG 30TAB.. (Score: 55%)
FC-5D59ED54,551,similares,249.0,60,dudoso,Similares,Claude 20260815 · BUCKET HAT NIÑO CARITAS.. (Score: 58%)
FC-5EF90195,536,similares,55.0,60,dudoso,Similares,Claude 20260815 · ARNICA 6C 30TAB.. (Score: 62%)
FC-60009851,364,similares,31.0,60,dudoso,Similares,Claude 20260815 · CUBREBOCA TRIPLE PLIEGUE 5PZAS.. (Score: 58%)
FC-60101378,489,similares,79.0,60,dudoso,Similares,Claude 20260815 · GEL LUBRICANTE CORPORAL COMESTIBLE.. (Score: 64%)
FC-60689091,510,similares,199.0,60,dudoso,Similares,Claude 20260815 · TRAJE SIMI GATO.. (Score: 56%)
FC-61111501,251,similares,154.0,60,dudoso,Similares,Claude 20260815 · VASO PLASTICO C/POPOTE DOBLE PARED 500ML.. (Score: 58%)
FC-61113000,217,similares,154.0,60,dudoso,Similares,Claude 20260815 · VASO PLASTICO C/POPOTE DOBLE PARED 500ML.. (Score: 58%)
FC-61124013,252,similares,394.01,60,dudoso,Similares,Claude 20260815 · PROT SIMICOMPLEX FRESA 10SOB.. (Score: 58%)
FC-62034164,514,similares,76.0,60,dudoso,Similares,Claude 20260815 · TRIMEBUTINA SUSP 2G/100ML.. (Score: 52%)
FC-62746605,421,similares,31.0,60,dudoso,Similares/Jarabe,Claude 20260815 · Estimado por marca Jarabe
FC-64EB83AA,48,similares,295.0,60,dudoso,Similares,Claude 20260815 · DROSPIRENONA/ETINILEST 21COMP.. (Score: 61%)
FC-66888171,503,similares,49.0,60,dudoso,Similares,Claude 20260815 · BOLSA ECOLOGICA SIMIPLANETA GDE 45X45CM.. (Score: 56%)
FC-68900127,380,similares,599.0,60,dudoso,Similares,Claude 20260815 · EZETIMIBA/SIMVAS 10/20MG MSD 14COMP.. (Score: 61%)
FC-68900134,381,similares,109.0,60,dudoso,Similares,Claude 20260815 · LEVOTIROXINA SOD 100MCG 100TAB.. (Score: 55%)
FC-68900226,339,similares,199.0,60,dudoso,Similares,Claude 20260815 · PULSERA DE SILICONA C/DIJE COLOR ROJO.. (Score: 58%)
FC-68900264,337,similares,199.0,60,dudoso,Similares,Claude 20260815 · PULSERA DE SILICONA C/DIJE COLOR ROJO.. (Score: 58%)
FC-68901117,348,similares,199.0,60,dudoso,Similares,Claude 20260815 · PULSERA DE SILICONA C/DIJE COLOR AZUL.. (Score: 56%)
FC-68901124,349,similares,199.0,60,dudoso,Similares,Claude 20260815 · PULSERA DE SILICONA C/DIJE COLOR AZUL.. (Score: 56%)
FC-68901131,347,similares,199.0,60,dudoso,Similares,Claude 20260815 · PULSERA DE SILICONA C/DIJE COLOR AZUL.. (Score: 56%)
FC-68910034,377,similares,220.0,60,dudoso,Similares,Claude 20260815 · CALCETA TEJIDO ALGODON 50% ELASTANO 50%.. (Score: 61%)
FC-68910041,372,similares,35.0,60,dudoso,Similares,Claude 20260815 · AMLODIPINO 5MG 10TAB.. (Score: 57%)
FC-69387811,527,similares,131.0,60,dudoso,Similares,Claude 20260815 · CREMA ACEITE DE ALMENDRA 225ML.. (Score: 53%)
FC-72629012,325,similares,144.0,60,dudoso,Similares,Claude 20260815 · Similares: búsqueda por categoría Higiene. Precio base estimado.
FC-73629981,511,similares,144.0,60,dudoso,Similares,Claude 20260815 · Similares: búsqueda por categoría Higiene. Precio base estimado.
FC-75064938,285,similares,339.0,60,dudoso,Similares,Claude 20260815 · CETONAS EXO BHB XGEAR SABOR FRESA 240GR.. (Score: 51%)
FC-75069223,192,similares,144.0,60,dudoso,Similares,Claude 20260815 · Similares: búsqueda por categoría Higiene. Precio base estimado.
FC-75076009,175,similares,66.0,60,dudoso,Similares,Claude 20260815 · MEDROXIPROGESTERONA/ESTRA 1AMP S/JER.. (Score: 55%)
FC-76000260,343,similares,94.0,60,dudoso,Similares,Claude 20260815 · CREMA SIMIDIAB 300ML.. (Score: 60%)
FC-76040436,216,similares,82.0,60,dudoso,Similares,Claude 20260815 · SPRAY DESODORANTE PARA PIES 160ML.. (Score: 55%)
FC-77620056,341,similares,17.0,60,dudoso,Similares,Claude 20260815 · AGUA OXIGENADA SOL 224ML.. (Score: 57%)
FC-80950139,452,similares,85.0,60,dudoso,Similares/Estimado,Claude 20260815 · Estimado - Lásico enzimático es producto especializado sin referencia exacta en Similares
FC-80953017,455,similares,79.0,60,dudoso,Similares,Claude 20260815 · NITROFURANTOINA 100MG 40CAP.. (Score: 62%)
FC-82790016,299,similares,23.0,60,dudoso,Similares,Claude 20260815 · VASELINA P/BEBE 60GR.. (Score: 60%)
FC-82790504,200,similares,139.0,60,dudoso,Similares,Claude 20260815 · DESMAQUILLANTE BIFASIC 120ML ETERNAL SEC.. (Score: 58%)
FC-83510531,379,similares,220.0,60,dudoso,Similares,Claude 20260815 · PANTOPRAZOL 40MG 28TAB.. (Score: 59%)
FC-84431050,276,similares,149.0,60,dudoso,Similares,Claude 20260815 · GEL RETARDANTE 14.1GR DURAMAX BY ALFA.. (Score: 56%)
FC-84437151,278,similares,149.0,60,dudoso,Similares,Claude 20260815 · GEL RETARDANTE 14.1GR DURAMAX BY ALFA.. (Score: 56%)
FC-84900280,212,similares,121.0,60,dudoso,Similares,Claude 20260815 · EUCALIPTO/PINO/TOM/LAVDA SPRAY 120ML.. (Score: 59%)
FC-85103015,333,similares,48.0,60,dudoso,Similares,Claude 20260815 · TOALLAS HUMEDAS DESINFECT 48PZAS.. (Score: 63%)
FC-85800198,324,similares,46.0,60,dudoso,Similares,Claude 20260815 · LLAVERO SUPER SIMI DE ZAMAK.. (Score: 56%)
FC-86472048,307,similares,299.0,60,dudoso,Similares,Claude 20260815 · FRAZADA POLAR.. (Score: 62%)
FC-86494262,274,similares,79.0,60,dudoso,Similares,Claude 20260815 · AC ASCORBICO/JALEA REAL/ZINC 30TAB.. (Score: 50%)
FC-86901100,346,similares,199.0,60,dudoso,Similares,Claude 20260815 · PULSERA DE SILICONA C/DIJE COLOR AZUL.. (Score: 56%)
FC-89100101,373,similares,57.0,60,dudoso,Similares,Claude 20260815 · QUINFAMIDA/ALBEND 200/400MG 20ML JR.. (Score: 63%)
FC-89810021,488,similares,69.0,60,dudoso,Similares,Claude 20260815 · BENCIDAMINA SOL 360ML.. (Score: 52%)
FC-89F00320,548,similares,84.0,60,dudoso,Similares,Claude 20260815 · PARCHE LEON ARNICA 3% 12X18CM.. (Score: 55%)
