sku,nombre_original,nombre,marca,presentacion,principio_activo,tipo,margen_pct,costo,precio_nuevo
FC-C101D5B1,BISOPROLOL 30 TAB 2.5 MG,Bisoprolol,,30 TABLETAS,BISOPROLOL,generico,60,97.51,156.02
FC-7AF7ACB5,CHARLYN 3 TAB 500 MG,Charlyn,Charlyn,3 TABLETAS,CIPROFLOXACINO,marca,30,24.98,32.48
FC-CF18C740,CLINDAMICINA 16 CAP 300 MG,Clindamicina,,16 CAPSULAS,CLINDAMICINA,generico,60,30.54,48.87
FC-E4EFC4C2,FASICLOR 15 CAPS 500 MG,Fasiclor,Fasiclor,15 CAPSULAS,CEFACLOR,marca,30,137.92,179.3
FC-6EAD98A9,CEPOBROM 12 CAPS 500/0.782 MG,Cepobrom,Cepobrom,12 CAPSULAS,CEFADROXIL,marca,30,47.97,62.37
FC-CF719C07,DICLOFEN 12 CAPS 500 MG,Diclofen,Diclofen,12 CAPSULAS,DICLOFENACO,marca,30,26.82,34.87
FC-60F627D5,GENTAMICINA 5 AMP 160MG/2ML,Gentamicina,,5 AMPOLLETA,GENTAMICINA,generico,60,52.57,84.12
FC-48F732CF,EPICIN 20 CAPS 500 MG,Epicin,Epicin,20 CAPSULAS,ERITROMICINA,marca,30,29.56,38.43
FC-72C28BC1,KNORICIN 1 SUSP 125MG/5/60 ML,Knoricin,Knoricin,1 SUSPENSION,NITROFURANTOINA,marca,30,45.41,59.04
FC-443C330E,CEFAGEN 10 TAB 500 MG,Cefagen,Cefagen,10 TABLETAS,CEFALEXINA,marca,30,144.13,187.37
FC-492D652F,CEFALVER 20 CAPS 500 MG,Cefalver,Cefalver,20 CAPSULAS,,marca,30,43.35,56.36
FC-86A95D07,TROPHARMA 20 TAB 500 MG,Tropharma,Tropharma,20 TABLETAS,,marca,30,44.53,57.89
FC-697EEAD0,KURTOSIL 1 CMA 20/1 MG,Kurtosil,Kurtosil,1 CREMA,,marca,30,62.48,81.23
FC-830BF3FB,DIVILTAC 1 FA 150/10MG/1 ML,Diviltac,Diviltac,1 FRASCO AMPULA,,marca,30,34.45,44.79
FC-F3E734A0,FASICLOR 1 SUSP 375MG/5/50 ML,Fasiclor,Fasiclor,1 SUSPENSION,CEFACLOR,marca,30,63.44,82.48
FC-74A5ABEE,CIPROFLOXACINO 12 TAB 250 MG,Ciprofloxacino,,12 TABLETAS,CIPROFLOXACINO,generico,60,13.69,21.91
FC-AEA8C8DA,NAMIFEN 20 TAB 500 MG,Namifen,Namifen,20 TABLETAS,,marca,30,24.28,31.57
FC-2005DD57,CEFALEXINA 20 CAPS 500 MG,Cefalexina,,20 CAPSULAS,CEFALEXINA,generico,60,39.84,63.75
FC-B4477A00,PENTIBROXIL 16 CAPS 500/30 MG,Pentibroxil,Pentibroxil,16 CAPSULAS,,marca,30,30.04,39.06
FC-85BDBD3D,ACROXIL-C 1 SUSP 250MG/5/60 ML,Acroxil-C,Acroxil-C,1 SUSPENSION,,marca,30,25.42,33.05
FC-7AA38F97,PENTIVER 1 SUSP 500MG/5/60 ML,Pentiver,Pentiver,1 SUSPENSION,,marca,30,31.2,40.56
FC-9538F7D6,FASICLOR 1 SUSP 250MG/5/75 ML,Fasiclor,Fasiclor,1 SUSPENSION,CEFACLOR,marca,30,81.18,105.54
FC-01B2F362,FASICLOR 1 SUSP 125MG/5/75 ML,Fasiclor,Fasiclor,1 SUSPENSION,CEFACLOR,marca,30,49.85,64.81
FC-50587FA6,MEXAPIN 1 SUSP 125MG/5/60 ML,Mexapin,Mexapin,1 SUSPENSION,,marca,30,13.93,18.11
FC-B72A6420,PENTIVER 1 SUSP 250MG/5/90 ML,Pentiver,Pentiver,1 SUSPENSION,,marca,30,27.06,35.18
FC-D9391288,AZITROMICINA 1 SUSP 200MG/5/15 ML,Azitromicina,,1 SUSPENSION,AZITROMICINA,generico,60,68.5,109.6
FC-41339950,CLARITROMICINA 10 TAB 500 MG,Claritromicina,,10 TABLETAS,CLARITROMICINA,generico,60,59.45,95.12
FC-E6112F15,NALIXONE 20 TAB 500/50 MG,Nalixone,,20 TABLETAS,NALIXONE,generico,60,63.32,101.32
FC-F183C6E9,"PENIPOT 1 FA 800,000 UI",Penipot,Penipot,1 FRASCO AMPULA,,marca,30,19.44,25.28
FC-A0D320D1,AMOXICILINA 12 CAPS 500 MG,Amoxicilina,,12 CAPSULAS,AMOXICILINA,generico,60,18.37,29.4
FC-95779436,ACIDO ACETILSALICILICO EF 20 TAB 300 MG,Acetilsalicilico Ef,Acido,20 TABLETAS,,marca,30,19.07,24.8
FC-4C621D07,VANMOXOL 1 SUSP 250/15MG/5/90 ML,Vanmoxol,,1 SUSPENSION,VANMOXOL,generico,60,18.03,28.85
FC-022543CD,VALCLAN 10 TAB 500/125 MG,Valclan,Valclan,10 TABLETAS,AMOXICILINA/AC. CLAVULANICO,marca,30,37.22,48.39
FC-64EB83AA,"BENCIL/BENZ COMPL 1 FA 1,2 U 3 ML",Compl,Bencil/Benz,1 FRASCO AMPULA,,marca,30,18.07,23.5
FC-D210172A,AMPICILINA 1 FA 1G/5 ML,Ampicilina,,1 FRASCO AMPULA,AMPICILINA,generico,60,25.48,40.77
FC-7F90064A,AMPICILINA 1 FA 500MG/2 ML,Ampicilina,,1 FRASCO AMPULA,AMPICILINA,generico,60,20.37,32.6
FC-F82A6E4B,AMPICILINA 10 TAB 1 G,Ampicilina,,10 TABLETAS,AMPICILINA,generico,60,27.05,43.28
FC-5F30F9D4,CLAMOXIN 10 TAB 500/125 MG,Clamoxin,Clamoxin,10 TABLETAS,AMOXICILINA/AC. CLAVULANICO,marca,30,48.48,63.03
FC-7D1D9857,ACIDO ACETILSALICILICO 30 TAB 100MG,Acetilsalicilico,Acido,30 TABLETAS,,marca,30,14.85,19.31
FC-516C2E89,CLAMOXIN 12H JR 1 SUSP 400/57MG/5/50 ML,12H Jr,Clamoxin,1 SUSPENSION,AMOXICILINA/AC. CLAVULANICO,marca,30,36.79,47.83
FC-05965071,ACROXIL-C 12 CAPS 500/8 MG,Acroxil-C,Acroxil-C,12 CAPSULAS,,marca,30,24.05,31.27
FC-930E0B1B,VANDIL 1 SUSP 250MG/5/75 ML,Vandil,Vandil,1 SUSPENSION,,marca,30,20.58,26.76
FC-405A75E3,ACIDO URSODESOXICOLICO 50 CAP 250 MG,Ursodesoxicolico,Acido,50 CAPSULAS,,marca,30,217.23,282.4
FC-D06E54FE,VALCLAN 10 TAB 875/125 MG,Valclan,Valclan,10 TABLETAS,AMOXICILINA/AC. CLAVULANICO,marca,30,51.18,66.54
FC-3A4583F3,"PENIPOT 1 FA 400,000 UI",Penipot,Penipot,1 FRASCO AMPULA,,marca,30,14.07,18.3
FC-F22C72BE,CLAMOXIN 12H 10 TAB 875/125 MG,12H,Clamoxin,10 TABLETAS,AMOXICILINA/AC. CLAVULANICO,marca,30,55.03,71.54
FC-F48FF7EF,CLAMOXIN 1 SUSP 250/62.5MG/5/60 ML,Clamoxin,Clamoxin,1 SUSPENSION,AMOXICILINA/AC. CLAVULANICO,marca,30,35.62,46.31
FC-4BD80686,BENEVENTOL 3 CAPS 400 MG,Beneventol,,3 CAPSULAS,BENEVENTOL,generico,60,88.17,141.08
FC-974EE5FD,GIMALXINA 1 SUSP 250MG/5/75 ML,Gimalxina,,1 SUSPENSION,GIMALXINA,generico,60,27.09,43.35
FC-0E0A9E42,CLAMOXIN S 1 SUSP 600/42.9MG/50 ML,S,Clamoxin,1 SUSPENSION,AMOXICILINA/AC. CLAVULANICO,marca,30,47.99,62.39
FC-6519183A,CLAMOXIN 1 SUSP 125/31.25MG/5/60 ML,Clamoxin,Clamoxin,1 SUSPENSION,AMOXICILINA/AC. CLAVULANICO,marca,30,27.89,36.26
FC-DDFBABDF,CLAMOXIN 12H PED 1 SUSP 200/28.5MG/40 ML,12H Ped,Clamoxin,1 SUSPENSION,AMOXICILINA/AC. CLAVULANICO,marca,30,25.94,33.73
FC-C9F4ACCC,ACEMETACINA 14 CAPS 90 MG,Acemetacina,,14 CAPSULAS,ACEMETACINA,generico,60,39.44,63.11
FC-17376CAE,ASPITAK-P 30 COMP 100 MG,Aspitak-P,Aspitak-P,30 COMPRIMIDOS,,marca,30,19.72,25.64
FC-369D1689,BENEVENTOL 6 CAPS 400 MG,Beneventol,,6 CAPSULAS,BENEVENTOL,generico,60,51.43,82.29
FC-B69FCBF4,LESACLOR (MACLOV) 35 TAB 400 MG,(Maclov),Lesaclor,35 TABLETAS,,marca,30,146.11,189.95
FC-F4E9C71F,AMOXICILINA 1 SUSP 500MG/5/75 ML,Amoxicilina,,1 SUSPENSION,AMOXICILINA,generico,60,72.03,115.25
FC-428A228F,GIMALXINA 12 CAPS 500 MG,Gimalxina,,12 CAPSULAS,GIMALXINA,generico,60,23.57,37.72
FC-FD845E68,ACICLOVIR 35 TAB 400 MG,Aciclovir,Aciclovir,35 TABLETAS,,marca,30,23.68,30.79
FC-B2123139,OXIVAG 4 TAB 70 MG,Oxivag,Oxivag,4 TABLETAS,,marca,30,64.09,83.32
FC-11294615,AMIKACINA 2 AMP 500MG/2 ML,Amikacina,,2 AMPOLLETA,AMIKACINA,generico,60,31.94,51.11
FC-1FEA2FB7,AMIKACINA 1 AMP 500MG/2 ML,Amikacina,,1 AMPOLLETA,AMIKACINA,generico,60,29.21,46.74
FC-AA905BF7,PERLUDIL 1 FA 150/10 MG,Perludil,Perludil,1 FRASCO AMPULA,,marca,30,16.11,20.95
FC-AE5EEDF7,BACTIVER 20 TAB 400/80 MG,Bactiver,Bactiver,20 TABLETAS,,marca,30,48.65,63.25
FC-F8691496,BACTIVER F 16 TAB 160/800 MG,F,Bactiver,16 TABLETAS,,marca,30,16.89,21.96
FC-6074BB64,REDALIP 30 TAB 200 MG,Redalip,Redalip,30 TABLETAS,,marca,30,21.01,27.32
FC-E826D304,LINCOMICINA 600MG/2ML 6 AMPOLLETAS,Lincomicina /2Ml 6 Ampolletas,Lincomicina,600 MG,,marca,30,47.85,62.21
FC-4F737E93,CLOXAN 1 SOL 300MG/120ML,Cloxan,Cloxan,1 SOLUCION,,marca,30,44.04,57.26
FC-DB3B2584,CELESBITAN 1 FA C/BER 6MG/2 ML,Celesbitan,Celesbitan,1 FRASCO AMPULA,,marca,30,16.91,21.99
FC-22B18244,CEFOTAXIMA I.M. 1 FA 1G/4 ML,I.M,Cefotaxima,1 FRASCO AMPULA,,marca,30,31.06,40.38
FC-4A0245DA,AMLODIPINO 100 TAB 5 MG,Amlodipino,Amlodipino,100 TABLETAS,,marca,30,32.52,42.28
FC-29670370,DEGORTZIN 1 SOL 100 MG/50 ML,Degortzin,Degortzin,1 SOLUCION,,marca,30,35.71,46.43
FC-69A3C416,WEXPEC 1 SOL 7.5/2MG/5/120 ML,Wexpec,Wexpec,1 SOLUCION,,marca,30,16.65,21.65
FC-F817BC3A,SIBICOS 1 CMA 1/100/20 G,Sibicos,Sibicos,1 CREMA,,marca,30,33.65,43.75
FC-447B30F9,BUDESONIDA 5 AMP 0.250MG/2ML,Budesonida,Budesonida,5 AMPOLLETA,,marca,30,131.38,170.8
FC-1CF27DC9,DISON DEX 1 FA 5/2 MG,Dex,Dison,1 FRASCO AMPULA,,marca,30,36.86,47.92
FC-3CAA7C5C,CINARIZINA 60 TAB 75 MG,Cinarizina,,60 TABLETAS,CINARIZINA,generico,60,35.05,56.08
FC-E6B50AC3,CELECOXIB 10 CAPS 200MG,Celecoxib,Celecoxib,10 CAPSULAS,,marca,30,34.82,45.27
FC-6B2ADEE9,PRCTAISOL 1 SUSP/AER 200 DOSIS 12.80 G,Prctaisol 1 Susp/Aer 200 Dosis,,12.80 G,,marca,30,96.21,125.08
FC-DB4A39AE,CALCIO EFE 12 COMP 500 MG,Efe,Calcio,12 COMPRIMIDOS,,marca,30,39.07,50.8
FC-FA3D96E6,BECATRIM N CALCITRIOL 30 CAPS 0.25 MCG,N Calcitriol,Becatrim,30 CAPSULAS,,marca,30,47.13,61.27
FC-63975795,GENTAMICINA 25 COMP 1 MG,Gentamicina,,25 COMPRIMIDOS,GENTAMICINA,generico,60,17.58,28.13
FC-C6C20517,BUDIMIN 20 TAB 1 MG,Budimin,Budimin,20 TABLETAS,,marca,30,31.31,40.71
FC-58DB24C4,BITENVER 30 TAB 24 MG,Bitenver,Bitenver,30 TABLETAS,,marca,30,62.78,81.62
FC-1FFBB505,SUPRATEX DAC 1 SOL 300/600 MG 120 ML,Dac,Supratex,1 SOLUCION,,marca,30,42.14,54.79
FC-A909ABC0,ODIVITOR 10 TAB 20 MG,Odivitor,Odivitor,10 TABLETAS,,marca,30,13.77,17.91
FC-82F88FED,CAPTOPRIL 30 TAB 25 MG,Captopril,,30 TABLETAS,CAPTOPRIL,generico,60,7.95,12.72
FC-6C2878CF,BUDENOVA SUSP 125 MG/ML 5 AMP 2ML,Susp 125 Mg/Ml,Budenova,5 AMPOLLETA,,marca,30,130.24,169.32
FC-3B001F9B,AMLODIPINO 30 TAB 5 MG,Amlodipino,Amlodipino,30 TABLETAS,,marca,30,9.04,11.76
FC-B25094C4,LESACLOR 1 SUSP 200MG/5/125 ML,Lesaclor,Lesaclor,1 SUSPENSION,,marca,30,44.43,57.76
FC-26EA40A4,RAMCINET 10 TAB 10 MG,Ramcinet,Ramcinet,10 TABLETAS,,marca,30,19.65,25.55
FC-885F2723,CARBAMAZEPINA 20 TAB 200 MG,Carbamazepina,,20 TABLETAS,CARBAMAZEPINA,generico,60,18.11,28.98
FC-DF8ADDAB,ERISPAN 1 FA 4MG/3 ML,Erispan,Erispan,1 FRASCO AMPULA,,marca,30,22.15,28.8
FC-50AC2C82,ERISPAN 1 FA 8MG/2 ML,Erispan,Erispan,1 FRASCO AMPULA,,marca,30,24.45,31.79
FC-281E0F22,BUDESONIDA 1 SUSP NEB AMP 0.500MG,Budesonida,Budesonida,1 SUSPENSION,,marca,30,153.72,199.84
FC-9F67BB73,AMIFARIN 1 SUSP 250MG 60 ML,Amifarin,Amifarin,1 SUSPENSION,,marca,30,27.0,35.1
FC-4FD413D2,HASPEN 3 AMP 20 MG/1 ML,Haspen,Haspen,3 AMPOLLETA,,marca,30,23.53,30.59
FC-0BDE9283,CLOPHIVEN 200 DOSIS 50 MCG/15 G,Clophiven 200 Dosis 50 Mcg,Clophiven,15 G,,marca,30,56.51,73.47
FC-97BEFA1A,AMLODIPINO 100 TAB 5 MG,Amlodipino,Amlodipino,100 TABLETAS,,marca,30,32.52,42.28
FC-DEAF33B0,BACTIVER 1 SUSP 40/200/5/120 ML,Bactiver,Bactiver,1 SUSPENSION,,marca,30,21.28,27.67
FC-77FE5C83,SONBLEFAM S 1 CMA 100 G/40 G,S,Sonblefam,1 CREMA,,marca,30,32.41,42.14
FC-C636D8EA,CEFTRIAXONA I.M. 1 FA 1G/3.5 ML,I.M,Ceftriaxona,1 FRASCO AMPULA,,marca,30,9.8,12.75
FC-44B6751A,LAUR AQUITO 500/100/30/4 MG 3 AMP,Aquito 500/100/30/4 Mg,Laur,3 AMPOLLETA,,marca,30,59.63,77.52
FC-9B93AC4C,BENEVENTOL 1 SUSP 100MG/5ML/50 ML,Beneventol,,1 SUSPENSION,BENEVENTOL,generico,60,97.6,156.16
FC-2001A890,AMPIGRIN AD 3 AMP 500/500/100/30MG/3 ML,Ad,Ampigrin,3 AMPOLLETA,,marca,30,81.71,106.23
FC-DE106642,AMPIGRIN INF 3 AMP 250/200/100/30MG/3 ML,Inf,Ampigrin,3 AMPOLLETA,,marca,30,73.57,95.65
FC-BE76D409,AMCEF I.M. 1 FA 1G/3.5 ML,I.M,Amcef,1 FRASCO AMPULA,,marca,30,19.72,25.64
FC-07F04F88,AMCEF I.M. 1 FA 500MG/2 ML,I.M,Amcef,1 FRASCO AMPULA,,marca,30,19.43,25.26
FC-357D4A17,CEFTAZIDIMA 1 FA 1G/3 ML,Ceftazidima,Ceftazidima,1 FRASCO AMPULA,,marca,30,45.42,59.05
FC-5D9DFA3D,NORQUINOL 20 TAB 400 MG,Norquinol,,20 TABLETAS,NORQUINOL,generico,60,48.87,78.2
FC-E9C38DC4,CIPROFLOXACINO G.I. 14 TAB 500 MG,Ciprofloxacino G.I,,14 TABLETAS,CIPROFLOXACINO G.I,generico,60,22.92,36.68
FC-347A49C7,AMIKACINA 1 AMP 100 MG/2 ML,Amikacina,,1 AMPOLLETA,AMIKACINA,generico,60,19.46,31.14
FC-E4BE37BE,ATORVASTATINA 10 TAB 40 MG,Atorvastatina,,10 TABLETAS,ATORVASTATINA,generico,60,26.35,42.16
FC-1751468C,FLOSPET 8 TAB 400 MG,Flospet,Flospet,8 TABLETAS,,marca,30,27.33,35.53
FC-6898B64F,BIOERTER 1 SUSP 250 MG/100 ML,Bioerter,Bioerter,1 SUSPENSION,,marca,30,47.7,62.02
FC-CD261CD5,DOLIPROFEN 10 TAB 800 MG,Doliprofen,Doliprofen,10 TABLETAS,,marca,30,22.41,29.14
FC-5C8C9C11,GELUBRIN 10 CAPS 600 MG,Gelubrin,Gelubrin,10 CAPSULAS,,marca,30,21.95,28.54
FC-A23F290E,ZITRIASOL 15 CAP 100 MG,Zitriasol,,15 CAPSULAS,ZITRIASOL,generico,60,34.61,55.38
FC-5885E577,PABESORAG 28 TAB 150/12.5 MG,Pabesorag,Pabesorag,28 TABLETAS,,marca,30,60.47,78.62
FC-3D0F54B7,IBUPRO-CAFE 10 CAPS 400 MG/100 MG,Ibupro-Cafe,Ibupro-Cafe,10 CAPSULAS,,marca,30,30.06,39.08
FC-F7A2CACF,INDARZONA 30 CAPS 25/0.5 MG,Indarzona,Indarzona,30 CAPSULAS,,marca,30,56.3,73.19
FC-50D044FF,WERMY 15 CAPS 300 MG,Wermy,Wermy,15 CAPSULAS,,marca,30,24.51,31.87
FC-E535DE28,DIURMESSEL 20 TAB 40 MG,Diurmessel,Diurmessel,20 TABLETAS,,marca,30,9.31,12.11
FC-1321B34F,HIDROXON 30 TAB 10 MG,Hidroxon,Hidroxon,30 TABLETAS,,marca,30,34.6,44.98
FC-1AE9D7E6,COLLUCORT 1 CMA 1% 60 G,Collucort,Collucort,1 CREMA,,marca,30,47.85,62.21
FC-3E863E37,TRATIDRI 1 GEL 500/50 MG 60 G,Tratidri,Tratidri,1 GEL,,marca,30,47.47,61.72
FC-9ABFB996,ELAPHTERON 20 TAB 100 MG,Elaphteron,Elaphteron,20 TABLETAS,,marca,30,30.77,40.01
FC-9A37D44A,AMDORYL 14 CAPS 30 MG,Amdoryl,Amdoryl,14 CAPSULAS,,marca,30,26.11,33.95
FC-1BF03D35,ACETONIDO DE FLUOCINOLONA CMA,Acetonido De Fluocinolona Cma,Acetonido,,,marca,30,18.44,23.98
FC-5BC5F234,FLUCONAZOL 1 CAPS 150 MG,Fluconazol,,1 CAPSULAS,FLUCONAZOL,generico,60,12.92,20.68
FC-A2B284E0,HIALURONATO DE SODIO 4MG 10 ML,Hialuronato De Sodio 4Mg,Hialuronato,10 ML,,marca,30,113.89,148.06
FC-2E79C2D8,HIERRO DEX 3 AMP 100 MG/2 ML,Dex,Hierro,3 AMPOLLETA,,marca,30,61.33,79.73
FC-28A424E5,DIZIVER 20 TAB 25 MG,Diziver,Diziver,20 TABLETAS,,marca,30,8.15,10.6
FC-52D2A43A,ZUKEDIB 30 TAB 2 MG,Zukedib,Zukedib,30 TABLETAS,,marca,30,29.08,37.81
FC-3D0ED22B,ZUKEDIB 30 TAB 4 MG,Zukedib,Zukedib,30 TABLETAS,,marca,30,27.98,36.38
FC-04D83B46,PRALEX 28 TAB 10 MG,Pralex,Pralex,28 TABLETAS,,marca,30,42.85,55.71
FC-D11D586A,VALGAB 3 IBE 50MG/6ML,Valgab 3 Ibe /6Ml,Valgab,50 MG,,marca,30,19.41,25.24
FC-53506FA4,ENALAPRIL 30 TAB 10 MG,Enalapril,,30 TABLETAS,ENALAPRIL,generico,60,8.09,12.95
FC-F7DB080D,OVISEN 28 TAB 20 MG,Ovisen,Ovisen,28 TABLETAS,,marca,30,20.33,26.43
FC-FD92D114,OVISEN 14 TAB 20 MG,Ovisen,Ovisen,14 TABLETAS,,marca,30,10.19,13.25
FC-57925EF3,REGLUSAN 50 TAB 5 MG,Reglusan,Reglusan,50 TABLETAS,,marca,30,8.88,11.55
FC-AA7B0686,DROSQUIM AD 1 IBE 300/160/200 ML,Drosquim Ad 1 Ibe 300/160,Drosquim,200 ML,,marca,30,70.74,91.97
FC-B3B8F9BB,DESROTAN 10 TAB 180 MG,Desrotan,Desrotan,10 TABLETAS,,marca,30,47.31,61.51
FC-EADF1484,DIOSMINA HESPERIDINA 20 TAB 450/50 MG,Diosmina Hesperidina,,20 TABLETAS,DIOSMINA HESPERIDINA,generico,60,39.41,63.06
FC-262F2A30,IRBESARTAN 14 TAB 150 MG,Irbesartan,,14 TABLETAS,IRBESARTAN,generico,60,43.98,70.37
FC-1DAD5EF1,TUSILEN AD 1 IBE 240/30/50MG/100/118 ML,Tusilen Ad 1 Ibe 240/30/50Mg/100,Tusilen,118 ML,,marca,30,24.22,31.49
FC-BDB2E087,IRBESARTAN 14 TAB 300 MG,Irbesartan,,14 TABLETAS,IRBESARTAN,generico,60,70.49,112.79
FC-759A5EF9,WERMY 30 CAPS 300 MG,Wermy,Wermy,30 CAPSULAS,,marca,30,24.89,32.36
FC-52844825,Desod Obao R-Nat Coco R-On 65G,Obao R-Nat Coco,Obao,R-ON 65 G,,marca,60,29.55,47.28
FC-52933307,Desod Obao Game 48Hr R-On 65G N,Obao Game 48Hr N,Obao,R-ON 65 G,,marca,60,24.71,39.54
FC-27250612,Desod Obad P/Del R-On 65G,Obao P/Del,Obao,R-ON 65 G,,marca,60,24.71,39.54
FC-27286017,Desod Obao Clas R-On 65G,Obao Clas,Obao,R-ON 65 G,,marca,60,45.83,73.33
FC-52876406,Desod Obao Men Tatto Aqua R-On 65G,Obao Men Tatto Aqua,Obao,R-ON 65 G,,marca,60,45.83,73.33
FC-30622622,Desod Axe Men Young Spy 150Ml,Axe Men Young,Axe,SPRAY 150 ML,,marca,60,45.83,73.33
FC-06213906,Desod Axe Icechi E-Frio Spy 150Ml,Axe Icechi E-Frio,Axe,SPRAY 150 ML,,marca,60,25.83,41.33
FC-93037806,Desod Rexona Men Marine Spy 150Ml,Rexona Men Marine,Rexona,SPRAY 150 ML,,marca,60,62.83,100.53
FC-55280956,Desod Obao Men Tato Rebel R-On65,Obao Men Tato Rebel,Obao,R-ON 65 G,,marca,60,54.68,87.49
FC-93025919,Desod Axe Excite Seco Spy 152Ml,Axe Excite Seco,Axe,SPRAY 152 ML,,marca,60,45.83,73.33
FC-93022567,Desod Rexona Men V8 Tun Spy 90G,Rexona Men V8 Tun Spy,Rexona,90 G,,marca,60,51.5,82.4
FC-06244795,Desod Axe Intense 48H Spy 150Ml,Axe Intense 48H,Axe,SPRAY 150 ML,,marca,60,54.68,87.49
FC-75076009,Desod Rexona 48H Happy-M Stick 45G,Rexona 48H Happy-M,Rexona,STICK 45 G,,marca,60,53.5,85.6
FC-93025797,Desod Axe Men Dark Temp Spy150Ml,Axe Men Dark Temp,Axe,SPRAY 150 ML,,marca,60,53.5,85.6
FC-93038223,Desod Rexona Men Sport Spy 150Ml,Rexona Men Sport,Rexona,SPRAY 150 ML,,marca,60,45.83,73.33
FC-75062897,Desod Rexona Bamboo 48H Stick 45G,Rexona Bamboo 48H,Rexona,STICK 45 G,,marca,60,45.83,73.33
FC-06245686,Desod Axe Men Epic-F 48H Spy 150Ml,Axe Men Epic-F 48H,Axe,SPRAY 150 ML,,marca,60,45.83,73.33
FC-93025865,Desod Axe Men Gold Temp,Axe Men Gold Temp,Axe,,,marca,60,45.83,73.33
FC-22105207,Jbn Grisi Neutro 150 G,Grisi Neutro,Grisi,150 G,,marca,60,20.14,32.23
FC-38891190,Jbn Dove Barra Blanca,Dove Barra Blanca,Dove,,,marca,60,60.54,96.87
FC-75062927,Desod Rexona Pom-Dry48H Stick45G,Rexona Pom-Dry 48 H,Rexona,STICK 45 G,,marca,60,30.21,48.34
FC-40036965,Jbn Asepxia Bicarbon Sod 100G,Asepxia Bicarbon Sod,Asepxia,100 G,,marca,60,14.45,23.12
FC-40004643,Jbn Asexia Exfol 100G,Asepxia Exfol,Asepxia,100 G,,marca,60,38.66,61.86
FC-22150801,Jbn Grisi Avena 125G,Grisi Avena,Grisi,125 G,,marca,60,15.02,24.04
FC-25605514,Jbn Escudo Antibact 110Gr,Escudo Antibact,Escudo,110 G,,marca,60,26.75,42.8
FC-14119032,Azufre Jabon C Miel 80,Jabon C Miel 80,,,,marca,60,30.21,48.34
FC-06230507,Jbn Dove Barra Karite Vainill 135G,Dove Barra Karite Vainill,Dove,135 G,,marca,60,30.21,48.34
FC-22150092,Jbn Grisi Leche De Burra 125G,Grisi Leche De Burra,Grisi,125 G,,marca,60,42.82,68.52
FC-22111352,Jbn Grisi Corp Diabecare 125 G,Grisi Corp Diabecare,Grisi,125 G,,marca,60,35.61,56.98
FC-75069223,Desod Rex Mot-Sen Sport Stick,Rexona Mot-Sen Sport Stick,Rexona,,,marca,60,16.7,26.72
FC-46059556,Jbn Liq Palmol N-Bal Dermol 221Mln,Palmolive N-Bal Dermol,Palmolive,221 ML,,marca,60,52.29,83.67
FC-67905186,Jbn Liq Blumen Coconut Para 221Ml,Blumen Coconut Para,Blumen,221 ML,,marca,60,128.57,205.72
FC-46683133,Jbn Palmol N-Bal Dermo Limp 120G,Palmolive N-Bal Dermo Limp,Palmolive,120 G,,marca,60,8.96,14.34
FC-06241206,Desod Dove Dermac Sk-C 48H Spy150Ml,Dove Dermac Sk-C 48H,Dove,SPRAY 150 ML,,marca,60,54.12,86.6
