producto_id,codigo_barras,nombre,marca,presentacion,motivo
1286,2008550100018,Dona / bolsa IJJ-10 C/12,,Paquete con 12,"codigo interno de la farmacia: no existe en catalogo externo, foto propia"
1287,2008560100015,Peine caballero profesional N1 C/12,,Paquete con 12,"codigo interno de la farmacia: no existe en catalogo externo, foto propia"
1289,2008580100019,Peine para piojos de acero económico 9309,,Pieza,"codigo interno de la farmacia: no existe en catalogo externo, foto propia"
1304,855553008221,Encendedor desechable Riegel,Riegel,1 pieza,buscado por EAN y por nombre; sin candidato que pase revision visual
1315,7506475102520,Gerber Etapa 2 comida casera res 100 g,,,buscado por EAN y por nombre; sin candidato que pase revision visual
1316,7506475102537,Gerber Etapa 2 comida casera pollo 100 g,,,buscado por EAN y por nombre; sin candidato que pase revision visual
1317,7506475102476,Gerber Etapa 2 durazno 100 g,,,buscado por EAN y por nombre; sin candidato que pase revision visual
1319,7506475102469,Gerber Etapa 2 mango 100 g,,,buscado por EAN y por nombre; sin candidato que pase revision visual
1642,759684900280,Jaloma agua de rosas spray 130 ml,Jaloma,130 ml,buscado por EAN y por nombre; sin candidato que pase revision visual
1667,,Brocha para tinte con peine de cola,,Pieza,sin codigo de barras y nombre incompleto: foto propia
1719,074451166561,Baby Einstein Neptune's Busy Bubbles juguete sensorial Ocean Explorers,Baby Einstein,1 pieza · modelo 16656 · 3+ meses,buscado por EAN y por nombre; sin candidato que pase revision visual
1720,7501370204584,Pinza depilar Lady chica,Lady,Chica,buscado por EAN y por nombre; sin candidato que pase revision visual
1721,7501370204577,Pinza depilar Lady grande,Lady,Grande,buscado por EAN y por nombre; sin candidato que pase revision visual
1748,6977587671074,Termo Fifa,,,buscado por EAN y por nombre; sin candidato que pase revision visual
1771,7506281106019,Ferro-4 Streger 30 grageas 300/150/50/10 mg,Streger,Caja con 30 grageas,buscado por EAN y por nombre; sin candidato que pase revision visual
