sku,nombre,marca,presentacion,categoria
FC-25104268,Electrolit Fresa,Electrolit,625 ML,Higiene
FC-25104411,Electrolit Coco,Electrolit,625 ML,Higiene
FC-25116810,Agrifen Ab Pis,Agrifen,TABLETAS,Otro
FC-25149221,Electrolit Eresa-Kiwi,Electrolit,625 ML,Higiene
FC-25605514,Escudo Antibact,Escudo,110 G,Higiene
FC-25652716,Escudo Azul Rey,Escudo,135 G,Higiene
FC-25E452B6,Mercurio Arnica Untar 1790823 83156,Mercurio,C/25,Producto
FC-262F2A30,Irbesartan,,14 TABLETAS,Otro
FC-26462061,Ternura Ortodontic Miel C3,Ternura,,Bebés
FC-26462078,Chupón con miel,Ternura,18 PZAS,Cuidado personal
FC-26EA40A4,Ramcinet,Ramcinet,10 TABLETAS,Otro
FC-27250612,Obao P/Del,Obao,R-ON 65 G,Higiene
FC-27286017,Obao Clas,Obao,R-ON 65 G,Higiene
FC-27512574,Evenflo Colors,Evenflo,,Bebés
FC-281E0F22,Budesonida,Budesonida,1 SUSPENSION,Otro
FC-28979502,Ne,Histiacil,JARABE,Otro
FC-28A424E5,Diziver,Diziver,20 TABLETAS,Otro
FC-29003221,Quirmex,Quirmex,,Botiquín
FC-29670370,Degortzin,Degortzin,1 SOLUCION,Otro
FC-2E5B7248,Reumatol,Del Viejito,60 G,Producto
FC-2E79C2D8,Dex,Hierro,3 AMPOLLETA,Otro
FC-2EDC6E3B,Cefagen,Cefagen,10 TABLETAS,Otro
FC-30133021,Iri,Iri,,Otro
FC-30622622,Axe Men Young,Axe,SPRAY 150 ML,Higiene
FC-31244486,Lubriderm P/Normal,Lubriderm,120 ML,Cuidado personal
FC-31887928,Listerine Care Zero Mta,Listerine,250 ML,Higiene
FC-31976394,Listerine Anticari-Al,Listerine,250 ML,Higiene
FC-33950063,Basuye Liq Fsa,Basuye,236 ML,Suplemento
FC-33950070,Ensure Liq Vnlla,Ensure,236 ML,Suplemento
FC-33950100,Lio Chte,Lio,236 ML,Producto
FC-33950209,Pediasure Liq Vnlla,Pediasure,236 ML,Suplemento
FC-33951008,Pediasure Liq Chte,Pediasure,236 ML,Suplemento
FC-33954245,Pediasure Liq Fsa,Pediasure,236 ML,Suplemento
FC-33954740,Pedialyte,Pedialyte,500 ML,Higiene
FC-33956133,Lucerna Liq,Lucerna,237 ML,Suplemento
FC-33956140,Glucerna Sr Liq Fresa,Glucerna,237 ML,Suplemento
FC-33956775,Pedialyte Sr60 Uva,Pedialyte,,Higiene
FC-33961373,Pedialyte fresa,Pedialyte,500 ML,Otro
FC-34062421,Tela adhesiva,Quirmex,1.25 CM x 1 M,Botiquín
FC-34063651,Quirmex,Quirmex,,Botiquín
FC-34064021,Quirmex Tarro 1 2 12.00 Cotonetes Tarro 1,Quirmex,C/100,Higiene
FC-34067301,Quirmex,Quirmex,5 CM,Botiquín
FC-34067471,Quirmex,Quirmex,,Botiquín
FC-34067781,Quirmex,Quirmex,30 CM,Botiquín
FC-34067851,Quirmex,Quirmex,,Botiquín
FC-347A49C7,Amikacina,,1 AMPOLLETA,Otro
FC-35020008,Herbal Essences Limp Renoy,Herbal Essences,375 ML,Higiene
FC-35020077,Herbal Essences Alivio Instant,Herbal Essences,,Higiene
FC-35155847,Pantene Bambu Ctrl Caida,Pantene,400 ML,Higiene
FC-35155922,Pantene Bambu,Pantene,400 ML,Higiene
FC-35168991,Hask Anti Comezon,Hask,375 ML,Higiene
FC-35169035,Herbal Essences Rizo,Herbal Essences,200 G,Higiene
FC-35231237,Hask Anti Comezon,Hask,375 ML,Higiene
FC-35231244,Head & Shoulders Anti Comezon,Head & Shoulders,180 ML,Higiene
FC-35246309,Vick Drops Tengibre Pastillas Drops Tengibre,Vick,C/20,Botiquín
FC-35469151,Lubriderm Uv Fps15,Lubriderm,120 ML,Cuidado personal
FC-357D4A17,Ceftazidima,Ceftazidima,1 FRASCO AMPULA,Otro
FC-35908130,Mennen Azul,Mennen,200 G,Higiene
FC-35908147,Mennen Rosa,Mennen,200 G,Higiene
FC-35911208,Palmolive Aquarium,Palmolive,221 ML,Higiene
FC-36032776,Ricitos de Oro Oro Biopure,Ricitos de Oro,250 ML,Higiene
FC-36033735,Ricitos de Oro Oro Agua De Coco,Ricitos de Oro,250 ML,Higiene
FC-36040450,Grisi Conchnac P/Manos,Grisi,80 ML,Cuidado personal
FC-36041402,Hinds Hidr-Extr Almendras,Hinds,500 ML,Cuidado personal
FC-3676D5DC,Mercurio Espiritus Tomar 1760823,Mercurio,C/25,Producto
FC-369D1689,Beneventol,,6 CAPSULAS,Otro
FC-38312374,Moco de Gorila Gel Citr,Moco de Gorila,100 G,Higiene
FC-38891190,Dove Barra Blanca,Dove,,Higiene
FC-38CAFE6B,Mercurio Aceite Romero 1910923,Mercurio,C/25,Producto
FC-39036C88,Mercurio Glicerina 1230723 83125,Mercurio,C/25,Producto
FC-3A4583F3,Penipot,Penipot,1 FRASCO AMPULA,Otro
FC-3B001F9B,Amlodipino,Amlodipino,30 TABLETAS,Otro
FC-3CAA7C5C,Cinarizina,,60 TABLETAS,Otro
FC-3D0ED22B,Zukedib,Zukedib,30 TABLETAS,Otro
FC-3D0F54B7,Ibupro-Cafe,Ibupro-Cafe,10 CAPSULAS,Otro
FC-3E863E37,Tratidri,Tratidri,1 GEL,Otro
FC-40004643,Asepxia Exfol,Asepxia,100 G,Higiene
FC-40013898,Teatrical Lanol/Ros,Teatrical,52 G,Cuidado personal
FC-40025839,Lomecan V,Lomecan,200 ML,Higiene
FC-40030338,Lomecan V Aclar,Lomecan,200 ML,Higiene
FC-40030963,Teatrical Cel-Ma Nutrit,Teatrical,400 ML,Cuidado personal
FC-40036965,Asepxia Bicarbon Sod,Asepxia,100 G,Higiene
FC-40171550,Sensodyne rápido alivio,Sensodyne,100 G,Higiene
FC-405A75E3,Ursodesoxicolico,Acido,50 CAPSULAS,Otro
FC-40CE757D,Cefalver,Cefalver,12 TABLETAS,Otro
FC-41339950,Claritromicina,,10 TABLETAS,Otro
FC-41500096,Tiraleche de cristal,Genérico,1 PZA,Botiquín
FC-42270027,Nivea Cuidada Clar-Nat,Nivea,200 ML,Cuidado personal
FC-42326414,Garnier De Rosas,Garnier,400 ML,Cuidado personal
FC-42417644,Nivea Cuidado Int P/Mano,Nivea,75 ML,Cuidado personal
FC-428A228F,Gimalxina,,12 CAPSULAS,Otro
FC-43427754,Kotex Nat Flex Noct,Kotex,C/5,Higiene
FC-43454811,Toallitas húmedas cuidado puro,Huggies,C/80,Higiene
FC-43471900,Toallitas húmedas C/120,Absorsec,C/120,Higiene
FC-43489004,Escudo Rosa Prot Y Cuid,Escudo,110 G,Higiene
FC-43489165,Escudo Blanco Neut,Escudo,225 ML,Higiene
FC-443C330E,Cefagen,Cefagen,10 TABLETAS,Otro
FC-447B30F9,Budesonida,Budesonida,5 AMPOLLETA,Otro
FC-44B6751A,Aquito 500/100/30/4 Mg,Laur,3 AMPOLLETA,Otro
FC-45045281,Labello Hydro-C,Labello,,Otro
FC-45079011,Labello,Labello,,Otro
FC-45307181,Arnica Bde Parche,Arnica,,
FC-45720550,Quitaesmalte mora azul,Silkhair,100 ML,Higiene
FC-45720567,Quitaesmalte coco,Silkhair,100 ML,Higiene
FC-45722547,Agua micelar bifásica,Natural-G,120 ML,Cuidado personal
FC-46059556,Palmolive N-Bal Dermol,Palmolive,221 ML,Higiene
FC-46072050,Mennen Miel-Mza Sve,Mennen,200 ML,Higiene
FC-46073033,Caprice Sp Acti Ceramida,Caprice,200 ML,Higiene
FC-46073040,Caprice Sp Biotina Fza,Caprice,200 ML,Higiene
FC-46073156,Caprice Nat Mzna,Caprice,380 ML,Higiene
FC-46074504,Mennen Zero% Sve,Mennen,400 ML,Higiene
FC-46640629,Venda de yeso 20 cm x 2.75 m,Protec,1 PZA,Botiquín
FC-46650708,Mennen Lavan-Extrac Aven,Mennen,200 ML,Higiene
FC-46655055,Caprice Volum-Cirl,Caprice,200 G,Higiene
FC-46655079,Palmolive N-Bal Corp Baby0%,Palmolive,90 G,Higiene
FC-46655727,Mennen Baby Magic Lavan,Mennen,90 G,Higiene
FC-46657035,Lio Flor Czo-Rsa,Lio,221 ML,Higiene
FC-46683133,Palmolive N-Bal Dermo Limp,Palmolive,120 G,Higiene
FC-47624171,Nailex Desenterrador Unas Desenterrador Unas,Nailex,12 ML,
FC-47640531,Recuperador una uña amarilla,Pisa,15 ML,Cuidado personal
FC-47AAF23B,Mercurio Sulfatiazol Polvo 1710824,Mercurio,C/50,Producto
FC-48335305,Degasa 15.00 Agua Oxigenada,Degasa,480 ML,Botiquín
FC-48623006,Protec Pads Facial Redondos C/100,Protec,C/100,Cuidado personal
FC-48640751,Venda de yeso 5 cm x 2.75 m C/12,Protec,1 PZA,Botiquín
FC-48640775,Venda de yeso 10 cm x 2.75 m C/12,Protec,1 PZA,Botiquín
FC-48640799,Venda de yeso 15 cm x 2.75 m C/12,Protec,1 PZA,Botiquín
FC-48690800,Tensolastic Plus venda elástica 5 cm x 5 m,Protec,5 CM x 5 M,Botiquín
FC-48690909,Tensolastic Plus venda elástica 7 cm x 5 m,Protec,7 CM x 5 M,Botiquín
FC-48691005,Tensolastic Plus venda elástica 10 cm x 5 m,Protec,10 CM x 5 M,Botiquín
FC-48691104,Tensolastic Plus venda elástica 15 cm x 5 m,Protec,15 CM x 5 M,Botiquín
FC-48F732CF,Epicin,Epicin,20 CAPSULAS,Otro
FC-492D652F,Cefalver,Cefalver,20 CAPSULAS,Otro
FC-49800151,Prudence Clasico C/3,Prudence,C/3,Higiene
FC-49824391,Prudence 'Ull Retardante C/3,Prudence,C/3,Producto
FC-49824771,Prudence Fresa,Prudence,C/3,Producto
FC-49824911,Prudence Iva Dki Mexico S Cond Iva Mexico,Prudence,C/3,Higiene
FC-49853867,Softlub Extra Cond Extra,Softlub,C/3,Higiene
FC-4A0245DA,Amlodipino,Amlodipino,100 TABLETAS,Otro
FC-4BD80686,Beneventol,,3 CAPSULAS,Otro
FC-4C621D07,Vanmoxol,,1 SUSPENSION,Otro
FC-4F05124E,Gelcavit-9M Capsulas,Gelcavit-9M,C/30,Producto
FC-4F737E93,Cloxan,Cloxan,1 SOLUCION,Otro
FC-4FD413D2,Haspen,Haspen,3 AMPOLLETA,Otro
FC-50002301,Eomelubrina,Eomelubrina,C/10,Otro
FC-50003151,Opella Neomelubrina Jbe I 121.00 Neomelubrina Jbe I,Opella,100 ML,Otro
FC-50587FA6,Mexapin,Mexapin,1 SUSPENSION,Otro
FC-50882017,Dermodine Espuma 120 Mi,Dermodine,,Botiquín
FC-50959781,Centrum C/30,Centrum,C/30,Otro
FC-50AC2C82,Erispan,Erispan,1 FRASCO AMPULA,Otro
FC-50D044FF,Wermy,Wermy,15 CAPSULAS,Otro
FC-51067711,Nido,Nido,,Producto
FC-51078461,Nan 1 Pro 1,Nan,,
FC-51078531,Nan Nestle Bolsa Nestle Bolsa,Nan,2 G,
FC-51444145,Old Spice,Old Spice,,Higiene
FC-51448511,Electrolit Uva,Electrolit,525 ML,Higiene
FC-516C2E89,12H Jr,Clamoxin,1 SUSPENSION,Otro
FC-51747971,Electrolit Mora Azul,Electrolit,625 ML,Higiene
FC-52400038,Ajolotius Menta Eucal S/Azucar Past Menta Eucal,Ajolotius,,
FC-52400212,Ajolotius Jengibre Tab Nati Jengibre,Ajolotius,C/10,
FC-52400267,Ajolotius,Ajolotius,,Otro
FC-52816297,Fructis Pei Oil-R L-Coco,Fructis,300 ML,Cuidado personal
FC-52844825,Obao R-Nat Coco,Obao,R-ON 65 G,Higiene
FC-52876406,Obao Men Tatto Aqua,Obao,R-ON 65 G,Higiene
FC-52910971,Fructis Pei B-Dano Quim,Fructis,300 ML,Cuidado personal
FC-52933307,Obao Game 48Hr N,Obao,R-ON 65 G,Higiene
FC-52D2A43A,Zukedib,Zukedib,30 TABLETAS,Otro
FC-53506FA4,Enalapril,,30 TABLETAS,Otro
FC-54073302,Silica Shine Sily Oleo Argan,Silica Shine,120 ML,Higiene
FC-54500216,Nivea Sdatarr Giga,Nivea,400 ML,Cuidado personal
FC-54503095,Nivea Sda Tarro,Nivea,100 ML,Cuidado personal
FC-54504870,Lásico Pomada I.Abeili.C 56.50 56.50,Lásico,,Otro
FC-54521161,Tempra,Tempra,500 MG · C/10,Otro
FC-54549819,Crema corporal piel seca,Nivea,100 ML,Cuidado personal
FC-54558682,Crema corporal Nivea Milk,Nivea,400 ML,Cuidado personal
FC-55280956,Obao Men Tato Rebel,Obao,R-ON 65 G,Higiene
FC-56034041,Toallitas húmedas antibacterial,Escudo,C/50,Higiene
FC-56131681,Evenflo,Evenflo,C/90,Higiene
FC-56323059,Vaseline Puro,Vaseline,85 G,Producto
FC-56323066,FaseLine Puro,FaseLine,42 G,Producto
FC-56326142,Ponds S Humectante,Ponds,100 G,Cuidado personal
FC-56330309,Clariant B3 Nml/Gsa,Clariant,100 G,Cuidado personal
FC-56330378,Ponds Bio-Hydra Dual,Ponds,200 ML,Cuidado personal
FC-56340025,Sedal Sos Recon-Estru,Sedal,300 ML,Cuidado personal
FC-56340124,Sedal Sos Ceramida,Sedal,300 ML,Cuidado personal
FC-56340131,Sedal Rizos Obedie,Sedal,300 ML,Cuidado personal
FC-56342227,Sedal Rizos Obedientes,Sedal,135 ML,Cuidado personal
FC-56342258,Sedal Recons Estructur,Sedal,135 ML,Cuidado personal
FC-56360429,Talco desodorante pies,Genérico,200 G,Higiene
FC-578F060C,Mercurio Borax Polvo 140072483490,Mercurio,C/50,Producto
FC-57925EF3,Reglusan,Reglusan,50 TABLETAS,Otro
FC-58203691,Hilo dental expanding,Gum,0.9 M,Higiene
FC-58611420,Nido Nido Nestle Bolsa,Nido,,Abarrotes
FC-58792792,Tempra,Tempra,C/12,Producto
FC-58793249,Lubricante sensación calor,Sico,50 ML,Cuidado personal
FC-5885E577,Pabesorag,Pabesorag,28 TABLETAS,Otro
FC-58DB24C4,Bitenver,Bitenver,30 TABLETAS,Otro
FC-59225411,Nido,Nido,,Producto
FC-5A697CC2,Mercurio Aceite Olivo 1000625 83825,Mercurio,C/25,Producto
FC-5BC5F234,Fluconazol,,1 CAPSULAS,Otro
FC-5C8C9C11,Gelubrin,Gelubrin,10 CAPSULAS,Otro
FC-5D59ED54,Mercurio Cloruro De Magnesio Cajita,Mercurio,C/10,Producto
FC-5D9DFA3D,Norquinol,,20 TABLETAS,Otro
FC-5EF90195,Mercurio Flor De Arnica 1430724,Mercurio,C/50,Producto
FC-5F30F9D4,Clamoxin,Clamoxin,10 TABLETAS,Otro
FC-60009851,Colgate Triple Acc,Colgate,75 ML,Higiene
FC-60101231,"Tempra ,",Tempra,C/12,Otro
FC-60101378,Lubricante íntimo,Piel con Piel,,Higiene
FC-60101521,Vitacilina,Vitacilina,56.7 G,Producto
FC-60403681,Desenfriol,Desenfriol,C/30,Otro
FC-60689091,Colgate Trip Xtra,Colgate,50 ML,Producto
FC-6074BB64,Redalip,Redalip,30 TABLETAS,Otro
FC-60F627D5,Gentamicina,,5 AMPOLLETA,Otro
FC-61111501,Odolex Desdo,Odolex,150 G,Higiene
FC-61113000,Odolex Desod,Odolex,,Higiene
FC-61123009,Odolex Naturals Talco Desodorante,Odolex,300 G,
FC-61124013,Odolex Fresh,Odolex,150 G,Higiene
FC-614E4F82,Perilla N3,Edigar,PIEZA,Botiquín
FC-62034164,Mercurio Espiritus Untar 1770823,Mercurio,C/25,Producto
FC-62746605,Jarabe 250 Ml 1 Nat Ajolotius Bioal Imentos,Jarabe,JARABE,Otro
FC-62746612,Ajolotius,Ajolotius,JARABE,Otro
FC-62746643,Ajolotius Menta Fucal Menta Fucal,Ajolotius,C/10,
FC-62746698,Ajolotius,Ajolotius,JARABE,Otro
FC-63975795,Gentamicina,,25 COMPRIMIDOS,Otro
FC-64EB83AA,Compl,Bencil/Benz,1 FRASCO AMPULA,Otro
FC-65054135,Tubos surtidos,Genérico,,Botiquín
FC-65095718,Centrum,Centrum,C/30,Otro
FC-65095947,Centrum Tab 1 Tab,Centrum,C/30,
FC-6519183A,Clamoxin,Clamoxin,1 SUSPENSION,Otro
FC-66055303,Meditest Prueba Embarazo,Meditest,C/1,Producto
FC-66534951,Colgate Total,Colgate,1 tubo,Higiene
FC-66873531,Crema dental anticaries,Genérico,,Higiene
FC-66888171,Colgate Max Clean,Colgate,120 ML,Producto
FC-67905131,Blumen Cherry Bloss,Blumen,221 ML,Higiene
FC-67905186,Blumen Coconut Para,Blumen,221 ML,Higiene
FC-68900127,Gasa 10 x 10,Dibar,PAQ 10,Botiquín
FC-68900134,Gasa Lox10 C/100,Dibar,C/100,Producto
FC-68900226,Dibar Rojo,Dibar,250 ML,Botiquín
FC-68900264,Dibar Rojo,Dibar,125 ML,Botiquín
FC-68901117,Dibar Azul,Dibar,250 ML,Botiquín
FC-68901124,Alcohol etílico,Genérico,500 ML,Botiquín
FC-68901131,Alcohol azul,Genérico,1 L,Botiquín
FC-68910034,Dibar Gr Algodon Algodon,Dibar,60 G,Producto
FC-68910041,Algodón 5 g C/12,Dibar,5 G,Botiquín
FC-68960257,Dibar Ilt Rojo,Dibar,,Botiquín
FC-6898B64F,Bioerter,Bioerter,1 SUSPENSION,Otro
FC-68990023,Dibar Rojo,Dibar,500 ML,Botiquín
FC-69387811,Mercurio Aceite Gomenolado 1160623,Mercurio,C/25,Producto
FC-697EEAD0,Kurtosil,Kurtosil,1 CREMA,Otro
FC-69A3C416,Wexpec,Wexpec,1 SOLUCION,Otro
FC-6B2ADEE9,Protect aerosol 200 dosis,Protect,12.80 G,
FC-6C2878CF,Susp 125 Mg/Ml,Budenova,5 AMPOLLETA,Otro
FC-6EAD98A9,Cepobrom,Cepobrom,12 CAPSULAS,Otro
FC-70612368,Treda,Treda,C/20,Otro
FC-72300171,Ting polvo decolorante,Ting,85 G,Cuidado personal
FC-72629012,Colgate Adulto Med 40 C12,Colgate,,Higiene
FC-72C28BC1,Knoricin,Knoricin,1 SUSPENSION,Otro
FC-73629981,Kleenex Panuelos Pack C/8 1,Kleenex,C/8,Higiene
FC-74A5ABEE,Ciprofloxacino,,12 TABLETAS,Otro
FC-75001865,Lio 115M,Lio,,Higiene
FC-75062897,Rexona Bamboo 48H,Rexona,STICK 45 G,Higiene
FC-75062927,Rexona Pom-Dry 48 H,Rexona,STICK 45 G,Higiene
FC-75064938,Ego Force 24H R-On Dic26,Ego,45 ML,Higiene
FC-75069223,Rexona Mot-Sen Sport Stick,Rexona,,Higiene
FC-75076009,Rexona 48H Happy-M,Rexona,STICK 45 G,Higiene
FC-75125811,Evenflo Colors,Evenflo,,Bebés
FC-75163051,Evenflo Ensueno Azul,Evenflo,,Bebés
FC-75354321,Tylenol,Tylenol,TABLETAS,Otro
FC-759A5EF9,Wermy,Wermy,30 CAPSULAS,Otro
FC-76000253,Vitacilina Roja Antiarrugas,Vitacilina,100 G,Cuidado personal
FC-76000260,Vitacilina Amarilla Aclaradora,Vitacilina,,Cuidado personal
FC-76000277,Vitacilina Cre Humectante Humectante,Vitacilina,100 G,
FC-76000284,Vitacilina Ros-Sab,Vitacilina,500 ML,Cuidado personal
FC-76040436,Mexsana P/Pies,Mexsana,SPRAY 150 ML,Higiene
FC-76040610,Desenfriol ito,Desenfriol,2 PACK · C/24,Otro
FC-77620056,La Flor Agua Destilada,La Flor,1 L,Botiquín
