par,archivo,ean,todos,ean13_ok,nota
0108,0108_b_codigo.jpg,7503004908820,7503004908820,si,
0109,0109_b_codigo.jpg,7506624900519,7506624900519,si,
0110,0110_b_codigo.jpg,7502213042370,7502213042370,si,
0111,0111_b_codigo.jpg,7502216800984,7502216800984,si,
0112,0112_b_codigo.jpg,7502001166592,7502001166592,si,
0113,0113_b_codigo.jpg,785118753887,785118753887,no,
0114,0114_b_codigo.jpg,7503027446125,7503027446125,si,
0115,0115_b_codigo.jpg,7502009745218,7502009745218,si,
0116,0116_b_codigo.jpg,7502009740916,7502009740916,si,
0117,0117_b_codigo.jpg,7503000422238,7503000422238,si,
0118,0118_b_codigo.jpg,7502009747373,7502009747373,si,
0119,0119_b_codigo.jpg,7501075726251,7501075726251,si,
0120,0120_b_codigo.jpg,7502009748868,7502009748868,si,
0121,0121_b_codigo.jpg,7501349020269,7501349020269,si,
0122,0122_b_codigo.jpg,7503001007694,7503001007694,si,
0123,0123_b_codigo.jpg,7501349027312,7501349027312,si,
0124,0124_b_codigo.jpg,780083141875,780083141875,no,
0125,0125_b_codigo.jpg,7501349021839,7501349021839,si,
0126,0126_b_codigo.jpg,7506346601138,7506346601138,si,
0127,0127_b_codigo.jpg,7506313000575,7506313000575,si,
0128,0128_b_codigo.jpg,7503002045008,7503002045008,si,
0129,0129_b_codigo.jpg,7503002045312,7503002045312,si,
0130,0130_b_codigo.jpg,3311000001476,3311000001476,si,
0131,0131_b_codigo.jpg,3311000001209,3311000001209,si,
0132,0132_b_codigo.jpg,3311000001612,3311000001612,si,
0133,0133_b_codigo.jpg,3311000001292,3311000001292,si,
0134,0134_b_codigo.jpg,3311000001513,3311000001513,si,
0135,0135_b_codigo.jpg,3311000001605,3311000001605,si,
0136,0136_b_codigo.jpg,3311000001582,3311000001582,si,
0138,0138_b_codigo.jpg,3311000001537,3311000001537,si,
0139,0139_b_codigo.jpg,3311000015084,3311000015084,si,
0140,0140_b_codigo.jpg,3311000015084,3311000015084,si,
0141,0141_b_codigo.jpg,3311000001223,3311000001223,si,
0142,0142_b_codigo.jpg,3311000000493,3311000000493,si,
0143,0143_b_codigo.jpg,3311000001506,3311000001506,si,
0144,0144_b_codigo.jpg,7503022640153,7503022640153,si,
0145,0145_b_codigo.jpg,3311000000882,3311000000882,si,
0146,0146_b_codigo.jpg,3311000003845,3311000003845,si,
0147,0147_b_codigo.jpg,3311000000868,3311000000868,si,
0148,0148_b_codigo.jpg,3311000000936,3311000000936,si,
0149,0149_b_codigo.jpg,3311000001087,3311000001087,si,
0150,0150_b_codigo.jpg,3311000001049,3311000001049,si,
0151,0151_b_codigo.jpg,3311000000967,3311000000967,si,
0152,0152_b_codigo.jpg,3311000003487,3311000003487,si,
0153,0153_b_codigo.jpg,3311000003388,3311000003388,si,
0154,0154_b_codigo.jpg,3311000003715,3311000003715,si,
0155,0155_b_codigo.jpg,3311000003739,3311000003739,si,
0156,0156_b_codigo.jpg,3311000003722,3311000003722,si,
0157,0157_b_codigo.jpg,3311000003425,3311000003425,si,
0158,0158_b_codigo.jpg,3311000003494,3311000003494,si,
0159,0159_b_codigo.jpg,3311000003708,3311000003708,si,
0160,0160_b_codigo.jpg,3311000000776,3311000000776,si,
