par,archivo,ean,todos,ean13_ok,nota
0085,0085_b_codigo.jpg,7501349028487,7501349028487,si,
0086,0086_b_codigo.jpg,785118753962,785118753962,no,
0087,0087_b_codigo.jpg,7502001160019,7502001160019,si,
0088,0088_b_codigo.jpg,7501563380316,7501563380316,si,
0089,0089_b_codigo.jpg,7502009745836,7502009745836,si,leído a ojo (detector falló)
0090,0090_b_codigo.jpg,7502001162365,7502001162365,si,
0091,0091_b_codigo.jpg,7501349024151,7501349024151,si,
0092,0092_b_codigo.jpg,7501349010048,7501349010048,si,
0093,0093_b_codigo.jpg,785120755466,785120755466,no,
0094,0094_b_codigo.jpg,7502211784043,7502211784043,si,
0095,0095_b_codigo.jpg,7502001166028,7502001166028,si,
0096,0096_b_codigo.jpg,7502009748448,7502009748448,si,
0097,0097_b_codigo.jpg,785118754204,785118754204,no,
0098,0098_b_codigo.jpg,7502009741593,7502009741593,si,
0099,0099_b_codigo.jpg,7501075718041,7501075718041,si,
0100,0100_b_codigo.jpg,7502001160231,7502001160231,si,
0101,0101_b_codigo.jpg,7502223111073,7502223111073,si,
0102,0102_b_codigo.jpg,7502211780687,7502211780687,si,
0103,0103_b_codigo.jpg,7502226293776,7502226293776,si,
0104,0104_b_codigo.jpg,7502216797376,7502216797376,si,
0105,0105_b_codigo.jpg,7501573900252,7501573900252,si,
0106,0106_b_codigo.jpg,7502209858084,7502209858084,si,
0107,0107_b_codigo.jpg,7501258205221,7501258205221,si,
0108,0108_b_codigo.jpg,7503004908844,7503004908844,si,
0109,0109_b_codigo.jpg,7502001164086,7502001164086,si,
0110,0110_b_codigo.jpg,7502009744426,7502009744426,si,
0111,0111_b_codigo.jpg,7501342804385,7501342804385,si,
0112,0112_b_codigo.jpg,7501349024175,7501349024175,si,
0113,0113_b_codigo.jpg,7502001164611,7502001164611,si,
0114,0114_b_codigo.jpg,7502001164697,7502001164697,si,
0115,0115_b_codigo.jpg,7501258208178,7501258208178,si,
0116,0116_b_codigo.jpg,7502208892638,7502208892638,si,
0117,0117_b_codigo.jpg,7501573900436,7501573900436,si,
0118,0118_b_codigo.jpg,7501342803807,7501342803807,si,
0119,0119_b_codigo.jpg,7501075727517,7501075727517,si,
0120,0120_b_codigo.jpg,7502009746420,7502009746420,si,
0121,0121_b_codigo.jpg,7502009749452,7502009749452,si,
0122,0122_b_codigo.jpg,7501075710786,7501075710786,si,
0123,0123_b_codigo.jpg,7502213042738,7502213042738,si,
0124,0124_b_codigo.jpg,7501342803104,7501342803104,si,
0125,0125_b_codigo.jpg,7501075717044,7501075717044,si,
0126,0126_b_codigo.jpg,7502009747021,7502009747021,si,
0127,0127_b_codigo.jpg,780083142827,780083142827,no,
0128,0128_b_codigo.jpg,7503027446439,7503027446439,si,
0129,0129_b_codigo.jpg,75049805,75049805,no,
0130,0130_b_codigo.jpg,7501349028845,7501349028845,si,
0131,0131_b_codigo.jpg,780083139575,780083139575,no,
