sku,ean,nombre,marca,presentacion,stock,motivo
"FC-A871D831","","Perilla N6","Edigar","PIEZA","2","sin_ean"
"FC-C22EBFE6","","Perilla N2","Edigar","PIEZA","2","sin_ean"
"FC-C8B741F6","","FC producto botiquín","Fc","","2","sin_ean"
"FC-CM-84900280","759684900280","Jaloma agua de rosas spray 130 ml","Jaloma","130 ml","2","ean_sin_packshot_publico_encontrado"
"FC-FFC25DD1","","Perilla N4","Edigar","PIEZA","2","sin_ean"
"FC-LV-GNO016","6502400291650","Lomecan Duo 3 óvulos y crema 200 mg","Genomma Lab","Caja con 3 óvulos y crema","2","ean_sin_packshot_publico_encontrado"
"FMX-301136","","Cintapore cinta microporosa piel 2.5 cm x 5 m","Cintapore","Rollo 2.5 cm x 5 m color piel","2","sin_ean"
"FMX-302884","","Sol-Sun Crema C/50 Gr 50-Fps/Ah Av","","","2","sin_ean"
"FMX-502046","637420223803","Calazin Suspension Topica C/180 Ml","SOLAR","180 mL","2","ean_sin_packshot_publico_encontrado"
"EQ-VIT073","7501478317421","Bocetix 1 Sol 50 Mg 150 Ml","Vitae","Caja con 1 solución","1","ean_sin_packshot_publico_encontrado"
"FC-00100013","2008500100013","Cubrebocas tricapa desechable C/100","","Caja C/100","1","ean_interno"
"FC-00315021","6502400315021","Tukol-D jarabe infantil","Tukol-D","Jarabe 125 mL","1","ean_sin_packshot_publico_encontrado"
"FC-00661391","6502400661391","Suerox 8 Iones Frutos Rojos 630 ML","Suerox","630 ML","1","ean_sin_packshot_publico_encontrado"
"FC-00721541","6502400721541","Suerox Vitamins Manzana V-Limón 630 ML","Suerox","630 ML","1","ean_sin_packshot_publico_encontrado"
"FC-01167001","7502001167001","LAÜR Infantil solución inyectable C/3","SON'S","Caja con 3 frascos ámpula, 3 ampolletas 3 mL y 3 jeringas","1","ean_sin_packshot_publico_encontrado"
"FC-01303454","7501001303454","Pantene Control caída anticaída","Pantene","400 ML","1","ean_sin_packshot_publico_encontrado"
"FC-03441302","3616303441302","ADIDAS 150ML SPY TEAMFORCE","Adidas","150 ml","1","ean_sin_packshot_publico_encontrado"
"FC-03842550","3616303842550","ADIDAS 150ML SPY FRESH ENDURANCE","Adidas","150 ml","1","ean_sin_packshot_publico_encontrado"
"FC-06209763","7506306209763","DESOD SAVILE MANZANILLA SPY 150ML","Savile","150 ml","1","ean_sin_packshot_publico_encontrado"
"FC-06209855","7506306209855","DESOD AXE ANARC FLO 48H SPY 150ML","Axe","150 ml","1","ean_sin_packshot_publico_encontrado"
"FC-06215528","7506306215528","DEO SAVILE B-SOD Y LIM SPY150ML","Savile","150 ml","1","ean_sin_packshot_publico_encontrado"
"FC-09747786","7502009747786","Culminax Pediátrico (Carbocisteína) 250 mg/5 mL","Maver","Frasco 150 mL con vaso dosificador · sabor chabacano","1","ean_sin_packshot_publico_encontrado"
"FC-09864839","7506309864839","DESOD GTTE END COOL SPY150ML","Gillette","150 ml","1","ean_sin_packshot_publico_encontrado"
"FC-1321B34F","","Hidroxon","Hidroxon","30 TABLETAS","1","sin_ean"
"FC-15592837","7896015592837","CEP SENSODYNE GENTLE CARE XTR SUAV 3PZ","Sensodyne","3 pzas","1","ean_sin_packshot_publico_encontrado"
"FC-18020639","761318020639","CEP REVLON ACOLCHMGO GOMARV2063LA","Revlon","1 pza","1","ean_sin_packshot_publico_encontrado"
"FC-18128335","761318128335","CEP REVLON MOD PALETA RV2833LA","Revlon","1 pza","1","ean_sin_packshot_publico_encontrado"
"FC-19036590","7501019036590","SABA BUENAS NOCHES EXTRA 12 TOALLAS","","","1","ean_sin_packshot_publico_encontrado"
"FC-19039355","7501019039355","Parches Saba térmicos 3 pz","","","1","ean_sin_packshot_publico_encontrado"
"FC-20500171","8101205001716","Crema para peinar Pert aceite oliva aguacate","Pert","100 ML","1","ean_sin_packshot_publico_encontrado"
"FC-20500201","8101205002010","Shampoo Pert Aceite oliva","Pert","400 ML","1","ean_sin_packshot_publico_encontrado"
"FC-22107201","7501022107201","SH PERRO CONSE ANTI OLORES 500ML","Conse","500 ml","1","ean_sin_packshot_publico_encontrado"
"FC-27870259","7502227870259","Roxidolin Doxiciclina 100 mg 10 cápsulas","","","1","ean_sin_packshot_publico_encontrado"
"FC-36007279","037836007279","SH PERRO CONSE GUAU ALOE VERA 400ML","Conse","400 ml","1","ean_sin_packshot_publico_encontrado"
"FC-36032776","0378360327762","Shampoo Ricitos de Oro Biopure","Ricitos de Oro","250 ML","1","ean_sin_packshot_publico_encontrado"
"FC-36033735","0378360337358","Shampoo Ricitos de Oro Agua De Coco","Ricitos de Oro","250 ML","1","ean_sin_packshot_publico_encontrado"
"FC-36084508","037836084508","SH GRISI PERRO AGRADE AVENA 400ML","Grisi","400 ml","1","ean_sin_packshot_publico_encontrado"
"FC-38891190","0672388911904","Jabon Dove Original","Dove","135 G","1","ean_sin_packshot_publico_encontrado"
"FC-39349146","7506339349146","DESOD OLD SPICE WOLFTHORN SPY 150ML","Old Spice","150 ml","1","ean_sin_packshot_publico_encontrado"
"FC-3E863E37","","Tratidri","Tratidri","1 GEL","1","sin_ean"
"FC-40013850","6502400138504","Crema Teatrical Lanolina","Teatrical","52 g","1","ean_sin_packshot_publico_encontrado"
"FC-40025839","6502400258394","Jabon Intimo Lomecan V","Lomecan","200 ML","1","ean_sin_packshot_publico_encontrado"
"FC-40030338","6502400303384","Jabon Intimo Lomecan V Aclar","Lomecan","200 ML","1","ean_sin_packshot_publico_encontrado"
"FC-40030963","6502400309638","Crema Teatrical Cel-Ma Nutrit","Teatrical","400 ML","1","ean_sin_packshot_publico_encontrado"
"FC-40036965","6502400369656","Jabon Asepxia Bicarbon","Asepxia","100 G","1","ean_sin_packshot_publico_encontrado"
"FC-40071775","650240071775","NORDIKO ORIGINAL","","","1","ean_sin_packshot_publico_encontrado"
"FC-40071799","650240071799","NORDIKO ICY BLAST","","","1","ean_sin_packshot_publico_encontrado"
"FC-405A75E3","","Ursodesoxicolico","Acido","50 CAPSULAS","1","sin_ean"
"FC-42478359","3600542478359","AGUA MIC GARNIER JELLY CARB 400ML","Garnier","400 ml","1","ean_sin_packshot_publico_encontrado"
"FC-42700643","7506442700643","Irbesartán + HCTZ 150/12.5 mg 28 tabletas Camber","","","1","ean_sin_packshot_publico_encontrado"
"FC-44B6751A","","Aquito 500/100/30/4 Mg","Laur","3 AMPOLLETA","1","sin_ean"
"FC-46015514","7509546015514","DESOD LADYSS D-DEF A-FSH 45G","Lady Speed Stick","45 g","1","ean_sin_packshot_publico_encontrado"
"FC-46029153","7509546029153","DESOD LADYSS FLORAL FRESH GEL 65GN","Lady Speed Stick","65 g","1","ean_sin_packshot_publico_encontrado"
"FC-46078434","7509546078434","DESOD STEFANO ALP MEN SPY 113G","Stefano","113 g","1","ean_sin_packshot_publico_encontrado"
"FC-46504859","7501846504859","Xiomara Pomada B","Xiomara","","1","ean_sin_packshot_publico_encontrado"
"FC-46506198","7501846506198","Xiomara cera modeladora telaraña 100 g","Xiomara","Frasco 100 g","1","ean_sin_packshot_publico_encontrado"
"FC-46651743","7509546651743","DESOD STEFANO TRIUMPH 159 ML","Stefano","159 ml","1","ean_sin_packshot_publico_encontrado"
"FC-46654997","7509546654997","MOUSSE CAPRICE FINAL TOUCH 200 G","Caprice","200 g","1","ean_sin_packshot_publico_encontrado"
"FC-46694702","7509546694702","DESOD STEFANO NEXT LEVEL SPY150MLN","Stefano","150 ml","1","ean_sin_packshot_publico_encontrado"
"FC-47AAF23B","3311000003494","Mercurio Sulfatiazol Polvo","Mercurio","C/50","1","mercurio_herbolario_sin_packshot_publico"
"FC-49022492","7501349022492","Irbesartán 150 mg 28 tabletas LGEN","","","1","ean_sin_packshot_publico_encontrado"
"FC-50342563","7502250342563","VITACILINA FACILA SERUM COLÁGENO","","","1","ean_sin_packshot_publico_encontrado"
"FC-50343102","7502250343102","VITACILINA FACIAL MELATONINA","","","1","ean_sin_packshot_publico_encontrado"
"FC-52828078","7509552828078","MASCARILLA PARA CABELLO DEBIL HAIR FOOD","","","1","ean_sin_packshot_publico_encontrado"
"FC-578F060C","3311000003739","Mercurio Borax Polvo","Mercurio","C/50","1","mercurio_herbolario_sin_packshot_publico"
"FC-58752796","7501058752796","Lysol desinfectante antibacterial Crisp Linen 475 g","","","1","ean_sin_packshot_publico_encontrado"
"FC-5EF90195","3311000003845","Mercurio Flor De Arnica","Mercurio","C/50","1","mercurio_herbolario_sin_packshot_publico"
"FC-66022610","814266022610","SH HK KIDS HONEY","Honey Keeper","414 ml","1","ean_sin_packshot_publico_encontrado"
"FC-66022627","814266022627","SH HONEYKEEPER KIDS LAVANDA 3EN1 414ML","Honey Keeper","414 ml","1","ean_sin_packshot_publico_encontrado"
"FC-67917516","7506267917516","CRA HK KIDS OAT 414ML","Honey Keeper","414 ml","1","ean_sin_packshot_publico_encontrado"
"FC-67923654","7506267923654","GEL HONEY KEEPER MZNILL MIE 200ML","Honey Keeper","200 ml","1","ean_sin_packshot_publico_encontrado"
"FC-6B2ADEE9","7501109900008","Protect aerosol 200 dosis","Protect","12.80 G","1","ean_sin_packshot_publico_encontrado"
"FC-6C2878CF","","Susp 125 Mg/Ml","Budenova","5 AMPOLLETA","1","sin_ean"
"FC-70100013","2008470100013","Gillette Prestobarba 3 rastrillo desechable 1 pza","Gillette","1 pieza desechable 3 hojas","1","ean_interno"
"FC-75064891","75064891","DESOD SAVILE AGUA/ROSA R-ON 45ML MAR27","Savile","45 ml","1","ean_sin_packshot_publico_encontrado"
"FC-75064938","75064938","Desodorante Ego Force 24H roll-on","Ego","45 ML","1","ean_sin_packshot_publico_encontrado"
"FC-75068622","75068622","DESOD SAVILE B-SOD Y LIM R-ON45ML ABRIL27","Savile","45 ml","1","ean_sin_packshot_publico_encontrado"
"FC-75068639","75068639","DESOD SAVILE B-SOD Y LIM STICK45G","Savile","45 g","1","ean_sin_packshot_publico_encontrado"
"FC-75075996","75075996","DESOD REXON HAPPY MOR 48H R-ON 50ML","Rexona","50 ml","1","ean_sin_packshot_publico_encontrado"
"FC-78926523","78926523","DESOD REXONA WOM AEMOT R-ON 50G","Rexona","50 g","1","ean_sin_packshot_publico_encontrado"
"FC-84500522","7506484500522","Cinta micropore blanca 2.5 cm x 5 m","","1 pz","1","insumo_generico_dificil"
"FC-84900259","759684900259","JALOMA AGUA DE ARROZ 250ML SPRAY C24 PZS","Jaloma","250 ml","1","ean_sin_packshot_publico_encontrado"
"FC-85103015","6195851030154","Toallitas Humedas Bebin Super","Bebin Super","40 PZA","1","ean_sin_packshot_publico_encontrado"
"FC-85171118","7501685171118","Condón Sico","Sico","C/3","1","ean_sin_packshot_publico_encontrado"
"FC-85800198","6195858001980","Toallitas Bebin Super","Bebin Super","C/80","1","ean_sin_packshot_publico_encontrado"
"FC-89592876","4001895928765","Tegaderm 3M 10 x 12 cm C/50","Tegaderm","Caja con 50 apósitos 10 x 12 cm","1","ean_sin_packshot_publico_encontrado"
"FC-AA7B0686","","Drosquim adulto jarabe 300/160","Drosquim","200 ML","1","sin_ean"
"FC-B8D7C997","3311000003715","Bicarbonato Sobres","Bicarbonato","C/50","1","mercurio_herbolario_sin_packshot_publico"
"FC-CB5C11ED","3311000003425","Mercurio Magnesia Anisada","Mercurio","C/50","1","mercurio_herbolario_sin_packshot_publico"
"FC-D037156B","3311000003708","Mercurio Bismuto Subnitrato","Mercurio","C/50","1","mercurio_herbolario_sin_packshot_publico"
"FC-DB4A39AE","","Eferox (Cefalexina)","Calcio","12 COMPRIMIDOS","1","sin_ean"
"FC-EXP-PALM8","","Jabón Palmolive Neutro Balance 100 g 8 pack","","","1","sin_ean"
"FC-IFC-DON01","2008550100018","Dona / bolsa IJJ-10 C/12","","Paquete con 12","1","ean_interno"
"FC-IFC-PIN01","2008530100014","Pinza depilar Mereje tenaza C/12","Mereje","Paquete con 12","1","ean_interno"
"FMX-301721","","Vita/Kid/C Jarabe C/240 Ml","","","1","sin_ean"
"FMX-302947","","Citrato Magnesio/Lecitina Soya-Naturex Capsulas C/30","","","1","sin_ean"
"FMX-303091","793969285204","Piojitos Shampoo C/150 Gr","PIOJITOS","150G","1","ean_sin_packshot_publico_encontrado"
"FMX-307657","7506022300690","Jeringa SensiMedical 10 mL 22G x 32 mm negra","SensiMedical","Pieza 10 mL 22G x 32 mm (caja C/100 negra)","1","insumo_generico_dificil"
"FMX-500998","","Gelcavit-Platinum Capsulas C/30","","","1","sin_ean"
"FMX-501000","","Gelcavit-Colors Capsulas C/30","","","1","sin_ean"
"FMX-501003","","Gelcavit-Q-10 Capsulas C/30","","","1","sin_ean"
"FMX-501619","","Eucalin-Miel Jarabe C/120 Ml","","","1","sin_ean"
"FMX-502465","","Colageno-Naturex Tabletas C/60","","","1","sin_ean"
"FMX-505937","","Pleniform-40 Tabletas C/30","","","1","sin_ean"
"FMX-506386","7506022300843","Jeringa SensiMedical 5 mL 22G x 32 mm negra","SensiMedical","Pieza 5 mL 22G x 32 mm (caja C/100 negra)","1","insumo_generico_dificil"
"FMX-506388","7506022300751","Jeringa SensiMedical 3 mL 21G x 32 mm verde","SensiMedical","Pieza 3 mL 21G x 32 mm (caja C/100 verde)","1","insumo_generico_dificil"
"IFC-LAVAOJOS","2008490100017","Copa lavaojos de vidrio","Arfam","1 copa de vidrio","1","ean_interno"
"FC-05405168","7503005405168","Saluk Fashion SA","Saluk","","","ean_sin_packshot_publico_encontrado"
"FC-36040450","0378360404500","Crema Grisi concha nácar para manos","Grisi","80 ML","","ean_sin_packshot_publico_encontrado"
"FC-40013898","6502400138986","Crema Teatrical Lanol/Ros","Teatrical","52 G","","ean_sin_packshot_publico_encontrado"
"FC-42700629","7506442700629","Irbesartán 300 mg 28 tabletas LGEN","","","","ean_sin_packshot_publico_encontrado"
"FC-45720208","7502245720208","Quitaesmalte SKN · variante 208 · confirmar","SKN","100 ML","","ean_sin_packshot_publico_encontrado"
"FC-52900247","7506552900247","ALMOHADILLAS DE ALGON QUIRMEX","","","","ean_sin_packshot_publico_encontrado"
"FC-84500546","7506484500546","Cintapore cinta microporosa piel 2.5 cm x 5m","Cintapore","Rollo 2.5 cm x 5m color piel","","insumo_generico_dificil"
"FC-IFC-SIL01","2008520100017","Silika Seda Pure Fruit Pera 120 mL","Silika","Frasco 120 mL","","ean_interno"
