par,ean,estado,nombre_foto,sku,nombre_bd,codigo_bd,costo,precio,stock,nota
0013,7502209851528,otra_presentacion,beadvance Tamsulosina (Tamsulosina) cápsula LP 0.4 mg C/20 beadvance,FC-24901059,beadvance Senósidos A-B 8.6 mg,7506624901059,11.14,18,2,falso: beadvance Tamsulosina ≠ beadvance Senósidos
0014,785118753597,en_inventario,Lesaclor (Aciclovir) crema 5% tubo 5 g MAVI,FC-18753597,Lesaclor (Aciclovir) crema 5%,0785118753597,16.6,27,5,EAN exacto
0015,7502001164413,falta,Clotrimazol óvulos (Clotrimazol) óvulo 500 mg C/1 SON'S,,,,,,,EAN nuevo y sin marca comercial en el catálogo
0016,7501836002969,eq_sin_ean,Cineprac (Trimebutina) tabletas 200 mg C/20 LIFERPAL,EQ-LIF064,Cineprac 20 Tab 200 Mg,,41.49,67,3,"mismo producto ya cargado del ticket Equilibrio, sin EAN — solo hay que ponerle el código"
0017,7501573908104,eq_sin_ean,Bixen (Naproxeno sódico) tabletas 550 mg C/12 BIOMEP,EQ-BIO167,Bixen 12 Tab 550 Mg,,22.88,37,5,"mismo producto ya cargado del ticket Equilibrio, sin EAN — solo hay que ponerle el código"
0018,75050740,otra_presentacion,Tobramicina oftálmica (Tobramicina) sol. oftálmica 3 mg/mL gotero 15 mL OPKO,FC-00005823,Tobramicina / Dexametasona solución oftálmica 3-1 mg/mL,0008400005823,54.22,87,4,Tobramicina simple OPKO ≠ Tobra/Dexa
0019,7501258215954,eq_sin_ean,Murreolak (Acetilcisteína) efervescente 600 mg 2 tubos x 10 Serral,EQ-SER183,Murreolak 20 Tab Efervecentes 600 Mg,,128.64,206,1,"mismo producto ya cargado del ticket Equilibrio, sin EAN — solo hay que ponerle el código"
0020,7503003738404,eq_sin_ean,Rosel (Amantadina / Clorfenamina / Paracetamol) cápsula 50/3/300 mg C/24 WERMAR,EQ-WER025,Rosel solución infantil 0.5/0.02/3 g,7502240450230,26.88,44,2,"mismo producto ya cargado del ticket Equilibrio, sin EAN — solo hay que ponerle el código"
0021,7502211789277,otra_presentacion,Faribrox TM Adulto (Ambroxol / Dextrometorfano) jarabe 225/225 mg/100 mL 150 mL LOEFFLER,EQ-LOE131,Faribrox Tm Inf 1 Jbe 150/113mg/100/150,,22.89,37,2,Faribrox Adulto ≠ Faribrox Infantil (EQ-LOE131)
0022,7502211789284,eq_sin_ean,Faribrox TM Infantil (Ambroxol / Dextrometorfano) jarabe 150/113 mg/100 mL 150 mL LOEFFLER,EQ-LOE131,Faribrox Tm Inf 1 Jbe 150/113mg/100/150,,22.89,37,2,"mismo producto ya cargado del ticket Equilibrio, sin EAN — solo hay que ponerle el código"
0023,7503028771400,eq_sin_ean,Maracina (Bencidamina) solución 150 mg/100 mL atomizador 30 mL SUANCA,EQ-COD060,Maracina 1 Spray 30 Ml 150 Mg /100 Ml,,25.02,41,2,"mismo producto ya cargado del ticket Equilibrio, sin EAN — solo hay que ponerle el código"
0024,7501590222214,eq_sin_ean,Materfol (Ácido fólico) tabletas 400 mcg frasco 90 cmd,EQ-CMD015,Materfol 90 Comp 0.4 Mg,,21.41,35,1,"mismo producto ya cargado del ticket Equilibrio, sin EAN — solo hay que ponerle el código"
0025,780083149055,eq_sin_ean,Alzocid (Tadalafil) tableta 20 mg C/4 Collins,EQ-COL258,Alzocid 4 Tab 20 Mg,,23.78,39,3,"mismo producto ya cargado del ticket Equilibrio, sin EAN — solo hay que ponerle el código"
0026,7503008344785,otra_presentacion,Gelubrín (Ibuprofeno) cápsula 400 mg C/10,FC-5C8C9C11,Gelubrin,7503027446279,21.95,30.0,10,Gelubrín EAN 7503008344785 ≠ FC-5C8C9C11 EAN 7503027446279 (¿otra caja?)
0027,7502009745386,eq_sin_ean,Linexel (Venlafaxina) cápsula LP 75 mg C/20 Maver,EQ-MAV239,Linexel Lp 20 Caps 75 Mg,,39.26,63,1,"mismo producto ya cargado del ticket Equilibrio, sin EAN — solo hay que ponerle el código"
0028,7501277091034,eq_sin_ean,Espadiva (Hioscina / Ibuprofeno) tableta 20/400 mg C/10,EQ-APO142,Espadiva 10 Tab 20/400 Mg,,81.79,131,1,"mismo producto ya cargado del ticket Equilibrio, sin EAN — solo hay que ponerle el código"
0029,7503008344211,eq_sin_ean,Progelben (Benzonato) cápsula 100 mg C/20,EQ-PGE046,Progelben 20 Caps 100 Mg,,19.66,32,5,"mismo producto ya cargado del ticket Equilibrio, sin EAN — solo hay que ponerle el código"
0030,7502208894915,eq_sin_ean,Lo-Bruquin (Quinfamida / Albendazol) tableta 150/200 mg C/2 Bruluagsa,EQ-BRL072,Lo Bruquin 2 Tab 150/200 Mg,,15.4,25,10,"mismo producto ya cargado del ticket Equilibrio, sin EAN — solo hay que ponerle el código"
0031,7502006921974,otra_presentacion,Farmiver Junior (Quinfamida - Albendazol) suspensión 200 mg/400 mg C/1 Fármacos Continentales,EQ-FAC0057,Farmiver Infantil 1 Susp 100/400mg/10,,22.93,37,2,Farmiver Junior ≠ Farmiver Infantil
0032,7502001163485,eq_sin_ean,Dual (Clotrimazol) óvulo 200 mg / crema 1% C/3 Son's,EQ-SON164,Clotrinazol Dual 3 Ovs 200mg 1cma 10g,,50.07,81,1,"mismo producto ya cargado del ticket Equilibrio, sin EAN — solo hay que ponerle el código"
0033,7502006921967,eq_sin_ean,Farmiver infantil (Quinfamida - Albendazol) suspensión 100 mg/400 mg C/1 Fármacos Continentales,EQ-FAC0057,Farmiver Infantil 1 Susp 100/400mg/10,,22.93,37,2,"mismo producto ya cargado del ticket Equilibrio, sin EAN — solo hay que ponerle el código"
0034,7506353200645,eq_sin_ean,Tefilinb (Tolterodina) tableta 2 mg C/28 Nucitec,EQ-NUC034,Tefilinb 28 Tab 2 Mg,,35.29,57,2,"mismo producto ya cargado del ticket Equilibrio, sin EAN — solo hay que ponerle el código"
0035,780083149024,eq_sin_ean,Volfenac GEL (Diclofenaco) gel 2.32% C/1 Collins,EQ-COL239,Volfenac Gel 1 Gel 2.32g/100 G,,48.65,78,1,"mismo producto ya cargado del ticket Equilibrio, sin EAN — solo hay que ponerle el código"
0036,7501573900153,eq_sin_ean,Docsi (Clorfenamina) tableta 4 mg C/20 BIOMEP,EQ-BIO021,Docsi 20 Tab 4 Mg,,9.6,16,2,"mismo producto ya cargado del ticket Equilibrio, sin EAN — solo hay que ponerle el código"
0037,7501573908036,eq_sin_ean,Broxtorfan Infantil (Dextrometorfano / Ambroxol) jarabe 113 mg-150 mg/100 mL C/1 BIOMEP,EQ-BIO188,Broxtorfan Inf 1 Jbe 150/113 Mg/120 Ml,,15.85,26,1,"mismo producto ya cargado del ticket Equilibrio, sin EAN — solo hay que ponerle el código"
0038,7502009741005,otra_presentacion,"Laritol EX (Loratadina, Ambroxol) tableta 5 mg - 30 mg C/10 Maver",FMX-501200,Laritol loratadina solución 1 mg/ml 60 ml,7502009740305,20.67,34,1,Laritol EX tabletas 5/30 ≠ Laritol solución / Laritol EX jarabe
0039,7501478317421,eq_sin_ean,Bocetix (Levocetirizina) solución 0.5 mg/mL C/1 vitae,EQ-VIT073,Bocetix 1 Sol 50 Mg 150 Ml,,73.19,118,1,"mismo producto ya cargado del ticket Equilibrio, sin EAN — solo hay que ponerle el código"
0040,7501258206723,otra_presentacion,Oxital-C (Ácido ascórbico (Vitamina C)) tableta efervescente 1000 mg C/10 Laboratorios Serral,FC-58207010,Oxital-C (Vitamina C) 2 g efervescente,7501258207010,62.48,100,6,Oxital-C 1000 mg ≠ Oxital-C 2000 mg (FC-58207010)
0041,7502223112445,eq_sin_ean,QUIMIKAN (Benzocaína) solución 200 mg/mL C/1 QUIMPHARMA,EQ-QUM052,Quimikan 1 Sol C/ Apli 10 Ml 200mg/ 1 Ml,,63.68,102,1,"mismo producto ya cargado del ticket Equilibrio, sin EAN — solo hay que ponerle el código"
0042,7502009747205,falta,Benzocaína (Benzocaína) gel 0.1 g/1 g C/1 Maver,,,,,,,EAN nuevo y sin marca comercial en el catálogo
0043,7501547522145,eq_sin_ean,"Trociletas B (Cloruro de cetilpiridinio, Benzocaína) tabletas 2.5 mg - 10 mg C/12 Silanes",EQ-STR008,Trociletas-B Limon. 12 Tab 2.5/10 Mg,,32.11,52,2,"mismo producto ya cargado del ticket Equilibrio, sin EAN — solo hay que ponerle el código"
0044,7501836000927,otra_presentacion,Tiniazol (Ketoconazol) suspensión 2 g/100 mL C/1 LIFERPAL,EQ-LIF039,Tiniazol 1 Shampoo 2g/120 Ml,,42.95,69,1,Tiniazol suspensión ≠ Tiniazol shampoo
0045,7502227426869,eq_sin_ean,Rotumal GEL (Diclofenaco) gel 1.16%  GEL pharma,EQ-VIT055,Rotumal 1 Gel 60g/1.16 %,,22.93,37,2,"mismo producto ya cargado del ticket Equilibrio, sin EAN — solo hay que ponerle el código"
0046,7502009744129,otra_presentacion,"Erispan Compuesto (Loratadina, Betametasona) solución 100 mg - 5 mg / 100 mL C/1 Maver",FC-50AC2C82,Erispan,7502009740916,24.45,31.79,1,Erispan Compuesto solución ≠ Erispan (FMX)
0047,7501836010087,eq_sin_ean,"Realdrax-MXD (Hioscina, Ibuprofeno) tableta 20 mg / 400 mg C/10 LIFERPAL",EQ-LIF153,Realdrax Mxd 10 Tab 20/400 Mg,,40.6,65,1,"mismo producto ya cargado del ticket Equilibrio, sin EAN — solo hay que ponerle el código"
0048,7502001162525,eq_sin_ean,"Meclison (Meclizina, Piridoxina) tabletas 25 mg, 50 mg C/20 Son's",EQ-SON091,Meclison 20 Tab 50/25 Mg,,22.27,36,3,"mismo producto ya cargado del ticket Equilibrio, sin EAN — solo hay que ponerle el código"
0049,7502009743856,otra_presentacion,"Laritol D (Fenilefrina, Loratadina) tableta 30 mg - 5 mg liberación prolongada C/10 Maver",FMX-501200,Laritol loratadina solución 1 mg/ml 60 ml,7502009740305,20.67,34,1,Laritol D tabletas ≠ Laritol solución
0050,7502009741784,otra_presentacion,"Laritol D (Loratadina, Fenilefrina)   Maver",FMX-501200,Laritol loratadina solución 1 mg/ml 60 ml,7502009740305,20.67,34,1,Laritol D (dorso) ≠ Laritol solución
0051,75006433,otra_presentacion,Cirulan (Metoclopramida) solución oral 400 mg C/1 Novag,EQ-NOV004,Cirulan 20 Tab 10 Mg,,7.62,13,5,Cirulan solución ≠ Cirulan tabletas (EQ-NOV004)
0052,7502001162426,eq_sin_ean,"Ardosons (Indometacina, Betametasona, Metocarbamol) cápsulas 25 mg, 0.75 mg, 215 mg C/20 Son's",EQ-SON175,Ardosons 20 Caps 215/25/0.75 Mg,,60.33,97,1,"mismo producto ya cargado del ticket Equilibrio, sin EAN — solo hay que ponerle el código"
0053,7501573900115,eq_sin_ean,Biomesina Compuesta (Butilbromuro de hioscina / Metamizol sódico) tableta 10 mg / 250 mg C/10 BIOMEP,EQ-BIO003,Biomesina Compuesta 10 Grag 250/10 Mg,,28.57,46,2,"mismo producto ya cargado del ticket Equilibrio, sin EAN — solo hay que ponerle el código"
0054,7501342802565,falta,Metformina (Metformina) tableta 850 mg C/30 beadvance,,,,,,,EAN nuevo y sin marca comercial en el catálogo
0055,7502213040871,eq_sin_ean,CIFHIR (Bencidamina) gel 5% C/1 Farmacéutica Hispanoamericana,EQ-HIS045,Cifhir 1 Gel 60g/5 %,,45.68,74,1,"mismo producto ya cargado del ticket Equilibrio, sin EAN — solo hay que ponerle el código"
0056,7501258206723,otra_presentacion,Oxital-C (Ácido ascórbico (Vitamina C)) tableta efervescente 1000 mg C/10 Laboratorios Serral,FC-58207010,Oxital-C (Vitamina C) 2 g efervescente,7501258207010,62.48,100,6,Oxital-C 1000 mg (dup 0040)
0057,7502211783954,eq_sin_ean,ROSANIL (Nitazoxanida) tabletas 500 mg C/7 LOEFFLER,EQ-LOE135,Rosanil 7 Tab 500 Mg,,51.43,83,1,"mismo producto ya cargado del ticket Equilibrio, sin EAN — solo hay que ponerle el código"
0058,7501342804583,otra_presentacion,"beadvance (Neomicina, Caolín y Pectina) tableta 129 mg/280 mg/30 mg C/20 beadvance",FC-24901059,beadvance Senósidos A-B 8.6 mg,7506624901059,11.14,18,2,falso: beadvance Neomicina/caolín ≠ beadvance Senósidos
0059,7501075722253,eq_sin_ean,"Nineka (Neomicina, Caolín y Pectina) tabletas 129 mg/280 mg/30 mg C/20 Novag",EQ-NOV137,Nineka 20 Tab 129/280/30 Mg,,37.67,61,3,"mismo producto ya cargado del ticket Equilibrio, sin EAN — solo hay que ponerle el código"
0060,7502223111288,eq_sin_ean,QUIMUNEX (Prednisolona) solución 100 mg/100 mL C/1 QUIMPHARMA,EQ-QUM068,Quimunex 1 Sol 100 Mg/100 Ml,,68.48,110,1,"mismo producto ya cargado del ticket Equilibrio, sin EAN — solo hay que ponerle el código"
0061,7501349024601,falta,butilhioscina (butilhioscina) Tableta 10 mg C/10 AMSA,,,,,,,EAN nuevo y sin marca comercial en el catálogo
0062,7501573904403,otra_presentacion,Lozamir-C (Clotrimazol) Crema 1.0 g / 100 g C/tubo 30 g BIOMEP,FC-73906407,Lozamir-V (Clotrimazol) crema 2% con 3 aplicadores,7501573906407,22.71,37,3,Lozamir-C 1% ≠ Lozamir-V 2%
0063,7503004908677,falta,Clioquinol (Clioquinol) Crema 3 % C/tubo 20 g ALPHARMA,,,,,,,EAN nuevo y sin marca comercial en el catálogo
0064,7501349025943,falta,pregabalina (Pregabalina) Cápsula 75 mg  AMSA,,,,,,,EAN nuevo y sin marca comercial en el catálogo
0065,7501836000118,eq_sin_ean,Carbafen (Metocarbamol / Paracetamol) Tableta 400 mg / 350 mg C/30 LIFERPAL MD,EQ-LIF006,Carbafen 30 Tab 400/350mg,,41.47,67,1,"mismo producto ya cargado del ticket Equilibrio, sin EAN — solo hay que ponerle el código"
0066,7501299379158,otra_presentacion,Metronidazol / Diyodohidroxiquinoleína (Metronidazol / Diyodohidroxiquinoleína) Suspensión 2.5 g / 2.0 g / 100 mL C/frasco 120 mL PharmaGen,EQ-RAD093,Metronidazol 30 Tab 500 Mg,,14.92,24,3,Metro+diyodo suspensión ≠ Metronidazol tabletas
0067,7503028771684,eq_sin_ean,Baño Coloide () Polvo pH 5.75 C/sobre 90 g SUANCA,EQ-COD086,Bano Coloide 1 Pvo 96.5/2/90 G,,18.15,30,2,"mismo producto ya cargado del ticket Equilibrio, sin EAN — solo hay que ponerle el código"
0068,7502216796843,falta,Sildenafil (Sildenafil) Tableta 100 mg C/4 ULTRA,,,,,,,EAN nuevo y sin marca comercial en el catálogo
0069,7506624900908,falta,Quetiapina (Quetiapina) Tableta 100 mg C/60 beadvance,,,,,,,EAN nuevo y sin marca comercial en el catálogo
0070,7501644707506,otra_presentacion,Levonorgestrel / Etinilestradiol (Levonorgestrel / Etinilestradiol) Tableta 0.15 mg / 0.03 mg C/21 Quifa,EQ-ULT230,Levonorgestrel 1 Tab 1.5 Mg,,15.5,25,5,Anticonceptivo 0.15/0.03 C/21 ≠ Levonorgestrel 1.5 mg
0071,7501075717013,eq_sin_ean,Glunovag (Metformina) Tableta 500 mg Frasco 60 Novag,EQ-NOV157,Glunovag 60 Tab 500 Mg,,19.38,32,2,"mismo producto ya cargado del ticket Equilibrio, sin EAN — solo hay que ponerle el código"
0072,7502240450070,eq_sin_ean,Punab (Losartán) Tableta 50.0 mg C/30 WERMAR,EQ-WER040,Punab 30 Tab 50 Mg,,12.33,20,5,"mismo producto ya cargado del ticket Equilibrio, sin EAN — solo hay que ponerle el código"
0073,7502009742101,eq_sin_ean,Flexiver Compuesto (Meloxicam / Metocarbamol) Cápsula 7.5 mg / 215 mg C/20 Maver,EQ-MAV175,Flexiver Compuesto 20 Caps 215/7.5 Mg,,43.87,71,4,"mismo producto ya cargado del ticket Equilibrio, sin EAN — solo hay que ponerle el código"
0074,7502001162518,otra_presentacion,Meclison (Meclozina / Piridoxina) Solución 8.33 mg / 16.66 mg C/frasco gotero 15 mL SON'S,EQ-SON091,Meclison 20 Tab 50/25 Mg,,22.27,36,3,Meclison gotas ≠ Meclison tabletas (0048/EQ-SON091)
0075,7502216796737,falta,Pioglitazona (Pioglitazona) Tableta 15 mg C/frasco 7 ULTRA,,,,,,,EAN nuevo y sin marca comercial en el catálogo
0076,7502009742095,otra_presentacion,Flexiver Compuesto (Meloxicam / Metocarbamol) Cápsula 15 mg / 215 mg,EQ-MAV175,Flexiver Compuesto 20 Caps 215/7.5 Mg,,43.87,71,4,Flexiver 15 mg ≠ Flexiver 7.5 mg (0073)
0077,7502209858046,falta,Menflixit (Meloxicam) Tableta 7.5 mg C/14 AVITUS,,,,,,,EAN nuevo y sin marca comercial en el catálogo
0078,7502001160026,eq_sin_ean,Busconet (Metamizol sódico / Hioscina) Tableta 250 mg / 10 mg C/10 SON'S,EQ-SON034,Busconet 10 Tab 250/10 Mg,,24.92,40,3,"mismo producto ya cargado del ticket Equilibrio, sin EAN — solo hay que ponerle el código"
0079,7501342804590,otra_presentacion,Óxido de Zinc (Óxido de Zinc) Pasta 25 g Tarro 30 g beadvance,FC-C4530823,Mercurio óxido de zinc C/50,,54.0,86.4,1,Óxido de zinc beadvance ≠ Mercurio óxido de zinc C/50
0080,7502211786788,falta,Viladol Plus (Butilhioscina / Paracetamol) Tableta recubierta 10 mg / 500 mg C/20 LOEFFLER,,,,,,,EAN nuevo y sin marca comercial en el catálogo
0081,7501342804408,falta,Metoprolol (Metoprolol) Tableta 100 mg C/20 beadvance,,,,,,,EAN nuevo y sin marca comercial en el catálogo
0082,7502216792197,eq_sin_ean,Retoflam F (Metocarbamol / Meloxicam) Tableta 215 mg / 15 mg C/10 ULTRA,EQ-ULT056,Retoflam-F 10 Tab 215/15 Mg,,19.15,31,1,"mismo producto ya cargado del ticket Equilibrio, sin EAN — solo hay que ponerle el código"
0083,7501349021310,falta,sertralina (Sertralina) Tableta 50 mg  AMSA,,,,,,,EAN nuevo y sin marca comercial en el catálogo
0084,7501349025967,falta,pregabalina (Pregabalina) Cápsula 75 mg C/14 AMSA,,,,,,,EAN nuevo y sin marca comercial en el catálogo
0085,7501349028487,falta,pentoxifilina (Pentoxifilina) Tableta 400 mg liberación prolongada C/30 AMSA,,,,,,,EAN nuevo y sin marca comercial en el catálogo
0086,785118753962,eq_sin_ean,Figral (Sildenafil) Tableta 100 mg C/10 MAVI,EQ-MAI144,Figral 10 Tab 100 Mg,,80.04,129,10,"mismo producto ya cargado del ticket Equilibrio, sin EAN — solo hay que ponerle el código"
0087,7502001160019,otra_presentacion,Busconet (Hioscina / Metamizol sódico) Solución inyectable 20 mg / 2.5 g / 5 mL C/1 amp 5 mL SON'S,EQ-SON034,Busconet 10 Tab 250/10 Mg,,24.92,40,3,Busconet inyectable ≠ Busconet tabletas (0078)
0088,7501563380316,falta,Metronidazol (Metronidazol) Tableta 500 mg C/30 RAAM,,,,,,,EAN nuevo y sin marca comercial en el catálogo
0089,7502009745836,eq_sin_ean,Berniver (Mupirocina) Ungüento 2 % C/tubo 15 g Maver,EQ-MAV266,Berniver 2% 1 Ung 15 G,,76.86,123,1,"mismo producto ya cargado del ticket Equilibrio, sin EAN — solo hay que ponerle el código"
0090,7502001162365,falta,Mornin (Omeprazol) Cápsula 40 mg C/7 SON'S,,,,,,,EAN nuevo y sin marca comercial en el catálogo
0091,7501349024151,falta,metoclopramida (metoclopramida) Solución 10 mg/2 mL Inyectable C/6 AMSA,,,,,,,EAN nuevo y sin marca comercial en el catálogo
0092,7501349010048,falta,sitagliptina (sitagliptina) Comprimido 100 mg C/14 AMSA,,,,,,,EAN nuevo y sin marca comercial en el catálogo
0093,785120755466,eq_sin_ean,CROSTOX (Rosuvastatina) Tableta 20 mg C/30 MAVI,EQ-MAI163,Crostox 30 Tab 20 Mg,,76.84,123,1,"mismo producto ya cargado del ticket Equilibrio, sin EAN — solo hay que ponerle el código"
0094,7502211784043,eq_sin_ean,Pensodil-S (Naproxeno - Paracetamol) Supositorios 100 mg / 200 mg C/5 LOEFFLER,EQ-LOE066,Pensodil-S 5 Sup 200/100 Mg,,37.16,60,1,"mismo producto ya cargado del ticket Equilibrio, sin EAN — solo hay que ponerle el código"
0095,7502001166028,eq_sin_ean,"Neoderm-F (Acetónido de Fluocinolona, Neomicina) Crema 0.01 g, 0.35 g / 100 g C/40 g SON'S",EQ-SON104,Neoderm-F 1 Cma 40g,,25.85,42,1,"mismo producto ya cargado del ticket Equilibrio, sin EAN — solo hay que ponerle el código"
0096,7502009748448,eq_sin_ean,Cetilver (PIRFENIDONA) Gel 8 g / 100 g C/10 g Maver,EQ-MAV392,Cetilver 1 Gel 8% C/10 G,,45.31,73,1,"mismo producto ya cargado del ticket Equilibrio, sin EAN — solo hay que ponerle el código"
0097,785118754204,eq_sin_ean,MAVIGLIN (Metformina / Glibenclamida) Tableta 500 mg / 5 mg C/60 MAVI,EQ-MAI150,Maviglin 60 Grag 500/5 Mg,,61.53,99,1,"mismo producto ya cargado del ticket Equilibrio, sin EAN — solo hay que ponerle el código"
0098,7502009741593,eq_sin_ean,Dolxen (NAPROXENO) Tableta 500 mg C/10 Maver,EQ-MAV162,Dolxen 10 Tab 500 Mg,,18.94,31,1,"mismo producto ya cargado del ticket Equilibrio, sin EAN — solo hay que ponerle el código"
0099,7501075718041,falta,Ixicrol (PAROXETINA) Tabletas 20 mg C/10 Novag,,,,,,,EAN nuevo y sin marca comercial en el catálogo
0100,7502001160231,eq_sin_ean,Magnil infantil (Metamizol Sódico) Jarabe 250 mg / 5 mL C/100 mL SON'S,EQ-SON089,Magnil 1 Jbe 250mg/5/100 Ml,,24.05,39,1,"mismo producto ya cargado del ticket Equilibrio, sin EAN — solo hay que ponerle el código"
0101,7502223111073,eq_sin_ean,MITAFAR (NITAZOXANIDA) Suspensión 100 mg / 5 mL C/60 mL QUIMPHARMA,EQ-QUM006,Mitafar 1 Susp 100mg/5/60 Ml,,38.29,62,1,"mismo producto ya cargado del ticket Equilibrio, sin EAN — solo hay que ponerle el código"
0102,7502211780687,eq_sin_ean,NEOSEDAL (METAMIZOL SÓDICO) Jarabe 5 g / 100 mL C/120 mL LOEFFLER,EQ-LOE014,Neosedal 1 Jbe 5g/100/120 Ml,,23.35,38,1,"mismo producto ya cargado del ticket Equilibrio, sin EAN — solo hay que ponerle el código"
0103,7502226293776,otra_presentacion,Metamizol Sódico (Metamizol Sódico) Solución Inyectable 1 g / 2 mL C/3 ALPHARMA,FC-75713770,Metamizol sodico solucion Novag Infancia,7501075713770,99.1,0,3,Metamizol iny Alpharma ≠ Metamizol Novag
0104,7502216797376,falta,Piroxicam (Piroxicam) Tabletas 20 mg C/20 ULTRA,,,,,,,EAN nuevo y sin marca comercial en el catálogo
0105,7501573900252,eq_sin_ean,Wadil (Metformina - Glibenclamida) Tabletas 500 mg / 5 mg C/30 BIOMEP,EQ-BIO058,Wadil 30 Tab 500/5 Mg,,28.85,47,1,"mismo producto ya cargado del ticket Equilibrio, sin EAN — solo hay que ponerle el código"
0106,7502209858084,eq_sin_ean,Soltadol (Paracetamol) Tableta 750 mg C/10 AVITUS,EQ-AVT216,Soltadol 10 Tab 750 Mg,,5.04,9,5,"mismo producto ya cargado del ticket Equilibrio, sin EAN — solo hay que ponerle el código"
0107,7501258205221,eq_sin_ean,Cyrux (Misoprostol) Tableta 200 mcg C/28 Serral,EQ-SER116,Cyrux 28 Tab 200 Mcg,,222.22,356,1,"mismo producto ya cargado del ticket Equilibrio, sin EAN — solo hay que ponerle el código"
0108,7503004908844,falta,Nistatina (Nistatina) Suspensión 100 000 UI/mL C/24 mL ALPHARMA,,,,,,,EAN nuevo y sin marca comercial en el catálogo
0109,7502001164086,falta,"Nysmoson's-V (Metronidazol, Nistatina, Fluocinolona) Óvulo 500 mg, 100 000 UI, 0.5 mg C/10 SON'S",,,,,,,EAN nuevo y sin marca comercial en el catálogo
0110,7502009744426,eq_sin_ean,Oxatech (OLANZAPINA) Tableta 10 mg C/14 Maver,EQ-MAV196,Oxatech 14 Tab 10 Mg,,26.46,43,1,"mismo producto ya cargado del ticket Equilibrio, sin EAN — solo hay que ponerle el código"
0111,7501342804385,falta,Metoclopramida (Metoclopramida) Tableta 10 mg C/20 beadvance,,,,,,,EAN nuevo y sin marca comercial en el catálogo
0112,7501349024175,falta,pioglitazona (pioglitazona) Tableta 30 mg  AMSA,,,,,,,EAN nuevo y sin marca comercial en el catálogo
